Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.950001,26.145,25.85,25.98,5800,25.98
2016-06-09,25.969999,25.969999,25.825001,25.851,2300,25.851
2016-06-08,26.16,26.16,25.879999,25.976,1600,25.976
2016-06-07,25.99,25.99,25.99,25.99,200,25.99
2016-06-06,26.065001,26.148001,25.811001,26.018,2300,26.018
2016-06-03,26.049999,26.059999,25.75,25.985001,1800,25.985001
2016-06-02,25.799999,25.969999,25.799999,25.969999,5000,25.969999
2016-06-01,25.969999,25.969999,25.969999,25.969999,000,25.969999
2016-05-31,25.68,25.969999,25.68,25.969999,2400,25.969999
2016-05-27,26.079,26.079,26.079,26.079,000,26.079
2016-05-26,26.079,26.079,26.079,26.079,000,26.079
2016-05-25,25.93,26.10,25.690001,26.079,3600,26.079
2016-05-24,25.799999,25.99,25.799999,25.99,5800,25.99
2016-05-23,25.90,25.983,25.74,25.983,1500,25.983
2016-05-20,25.860001,25.879999,25.67,25.77,3100,25.77
2016-05-19,25.74,25.74,25.582001,25.704,2300,25.704
2016-05-18,25.799999,25.90,25.690001,25.74,2400,25.74
2016-05-17,25.790001,25.870001,25.643999,25.643999,3200,25.643999
2016-05-16,25.60,25.857,25.60,25.857,1800,25.857
2016-05-13,25.605,25.77,25.530001,25.549999,2800,25.549999
2016-05-12,25.65,25.690001,25.548,25.690001,3800,25.690001
2016-05-11,25.549999,25.67,25.445999,25.629999,7400,25.629999
2016-05-10,25.469999,25.59,25.40,25.580999,8700,25.580999
2016-05-09,25.42,25.50,25.40,25.40,6500,25.40
2016-05-06,25.42,25.50,25.42,25.444,3500,25.444
2016-05-05,25.50,25.50,25.384001,25.49,2000,25.49
2016-05-04,25.50,25.59,25.50,25.50,2200,25.50
2016-05-03,25.49,25.540001,25.362,25.362,1900,25.362
2016-05-02,25.497999,25.497999,25.32,25.35,2800,25.35
2016-04-29,25.459999,25.50,25.299999,25.50,2000,25.50
2016-04-28,25.540001,25.540001,25.540001,25.540001,400,25.540001
2016-04-27,25.530001,25.559999,25.26,25.391001,6700,25.391001
2016-04-26,25.323999,25.323999,25.299999,25.316,3100,25.316
2016-04-25,25.469999,25.556,25.395,25.395,4600,25.395
2016-04-22,25.540001,25.540001,25.496,25.496,400,25.496
2016-04-21,25.75,25.809999,25.469999,25.809999,3300,25.809999
2016-04-20,25.799999,25.799999,25.629999,25.75,2300,25.75
2016-04-19,25.450001,25.594,25.450001,25.549999,4900,25.549999
2016-04-18,25.586,25.690001,25.586,25.690001,1100,25.690001
2016-04-15,25.469999,25.549999,25.459999,25.48,700,25.48
2016-04-14,25.440001,25.639999,25.440001,25.610001,600,25.610001
2016-04-13,25.360001,25.610001,25.35,25.370001,2800,25.370001
2016-04-12,25.24,25.60,25.24,25.322001,4000,25.322001
2016-04-11,25.309999,25.43,25.309999,25.379,1000,25.379
2016-04-08,25.219999,25.431,25.219999,25.25,3600,25.25
2016-04-07,25.309999,25.422001,25.309999,25.309999,3200,25.309999
2016-04-06,25.354,25.354,25.354,25.354,500,25.354
2016-04-05,25.219999,25.42,25.219999,25.358,500,25.358
2016-04-04,25.450001,25.450001,25.219999,25.26,2900,25.26
2016-04-01,25.25,25.391001,25.219999,25.391001,1600,25.391001
2016-03-31,25.65,25.723,25.443001,25.459999,1700,25.459999
2016-03-30,25.52,25.52,25.40,25.40,2000,25.40
2016-03-29,25.76,25.780001,25.589001,25.589001,2700,25.120001
2016-03-28,25.65,25.780001,25.65,25.735001,4200,25.263325
2016-03-24,25.475,25.65,25.440001,25.65,4100,25.179882
2016-03-23,25.60,25.68,25.559999,25.68,2000,25.209332
2016-03-22,25.42,25.42,25.42,25.42,000,24.954097
2016-03-21,25.50,25.639999,25.42,25.42,2300,24.954097
2016-03-18,25.50,25.50,25.419001,25.50,6800,25.032631
