Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,25.02,25.200001,25.02,25.16,4300,25.16
2016-06-09,25.01,25.24,24.99,25.219,14600,25.219
2016-06-08,25.049999,25.049999,24.99,25.00,10700,25.00
2016-06-07,25.00,25.110001,24.945,24.99,20800,24.99
2016-06-06,25.18,25.18,24.945,25.00,14600,25.00
2016-06-03,25.08,25.139999,24.99,24.99,35700,24.99
2016-06-02,24.85,25.08,24.834,25.00,17300,25.00
2016-06-01,24.903,24.93,24.85,24.870001,19700,24.870001
2016-05-31,25.025999,25.056,24.85,24.93,11200,24.93
2016-05-27,25.10,25.10,24.889999,24.99,19500,24.99
2016-05-26,25.209999,25.489,25.209999,25.414,18500,25.414
2016-05-25,25.299999,25.299999,25.237,25.280001,19400,25.280001
2016-05-24,25.24,25.35,25.200001,25.200001,28800,25.200001
2016-05-23,25.194,25.389999,25.194,25.389999,24100,25.389999
2016-05-20,25.10,25.290001,25.10,25.219999,8800,25.219999
2016-05-19,25.02,25.10,24.91,25.09,33500,25.09
2016-05-18,25.15,25.24,25.07,25.10,31200,25.10
2016-05-17,25.059999,25.25,25.059999,25.25,15200,25.25
2016-05-16,25.15,25.15,25.030001,25.120001,10700,25.120001
2016-05-13,25.01,25.18,25.01,25.07,7600,25.07
2016-05-12,25.18,25.18,25.040001,25.070999,12600,25.070999
2016-05-11,24.99,25.120001,24.906,25.011,23600,25.011
2016-05-10,24.91,25.110001,24.83,24.85,41500,24.85
2016-05-09,24.74,24.90,24.719999,24.90,18900,24.90
2016-05-06,24.60,24.74,24.60,24.65,10700,24.65
2016-05-05,24.65,24.790001,24.59,24.60,26800,24.60
2016-05-04,24.690001,24.799999,24.65,24.68,46200,24.68
2016-05-03,24.66,24.690001,24.51,24.68,24000,24.68
2016-05-02,24.59,24.690001,24.450001,24.620001,3300,24.620001
2016-04-29,24.309999,24.549999,24.309999,24.549999,29500,24.549999
2016-04-28,24.48,24.549999,24.309999,24.309999,21400,24.309999
2016-04-27,24.450001,24.49,24.360001,24.469999,24600,24.469999
2016-04-26,24.34,24.50,24.32,24.48,28600,24.48
2016-04-25,24.82,24.83,24.16,24.34,91800,24.34
2016-04-22,24.700001,24.91,24.65,24.83,15600,24.83
2016-04-21,24.51,24.700001,24.51,24.620001,11400,24.620001
2016-04-20,24.49,24.559999,24.469999,24.51,22000,24.51
2016-04-19,24.443001,24.530001,24.41,24.50,12500,24.50
2016-04-18,24.35,24.51,24.32,24.51,22000,24.51
2016-04-15,24.40,24.50,24.299999,24.42,17900,24.42
2016-04-14,24.459999,24.459999,24.190001,24.40,42700,24.40
2016-04-13,24.43,24.43,24.370001,24.40,11200,24.40
2016-04-12,24.43,24.440001,24.34,24.370001,10500,24.370001
2016-04-11,24.389999,24.40,24.33,24.389999,11700,24.389999
2016-04-08,24.379999,24.389999,24.26,24.33,8700,24.33
2016-04-07,24.370001,24.379999,24.25,24.27,13800,24.27
2016-04-06,24.299999,24.370001,24.266001,24.370001,11500,24.370001
2016-04-05,24.274,24.33,24.219999,24.24,31300,24.24
2016-04-04,24.33,24.34,24.15,24.34,138300,24.34
2016-04-01,24.304001,24.34,24.243999,24.34,15800,24.34
2016-03-31,24.24,24.299999,24.17,24.290001,12800,24.290001
2016-03-30,24.25,24.290001,24.139999,24.26,14500,24.26
2016-03-29,24.25,24.280001,24.184999,24.209999,23700,24.209999
2016-03-28,24.25,24.25,24.129999,24.200001,7100,24.200001
2016-03-24,24.24,24.24,24.16,24.200001,8800,24.200001
2016-03-23,24.129999,24.200001,24.129999,24.190001,12100,24.190001
2016-03-22,24.190001,24.23,24.139999,24.15,11500,24.15
2016-03-21,24.209,24.209,24.129999,24.190001,7800,24.190001
2016-03-18,24.15,24.25,24.10,24.15,26100,24.15
2016-03-17,24.24,24.24,24.110001,24.24,12900,24.24
2016-03-16,24.10,24.25,24.10,24.24,25000,24.24
2016-03-15,24.049999,24.200001,24.00,24.122,39100,24.122
2016-03-14,24.049999,24.17,24.00,24.049999,27400,24.049999
2016-03-11,23.75,24.00,23.610001,23.90,45200,23.90
2016-03-10,23.780001,23.780001,23.549999,23.780001,34800,23.780001
2016-03-09,23.690001,23.780001,23.639999,23.75,3600,23.75
2016-03-08,23.700001,23.75,23.58,23.690001,19400,23.690001
2016-03-07,23.469999,23.709999,23.469999,23.709999,7400,23.709999
2016-03-04,23.559999,23.60,23.549999,23.59,6100,23.59
2016-03-03,23.639,23.639999,23.49,23.49,35700,23.49
2016-03-02,23.530001,23.719999,23.50,23.549999,28000,23.549999
2016-03-01,23.669001,23.719999,23.594999,23.719999,8900,23.719999
2016-02-29,23.656,23.68,23.57,23.67,10200,23.67
2016-02-26,23.700001,23.700001,23.51,23.559999,4600,23.559999
2016-02-25,24.09,24.120001,23.969999,24.10,38700,24.10
2016-02-24,24.00,24.08,24.00,24.00,10700,24.00
2016-02-23,24.059999,24.139,23.969999,24.045,21400,24.045
2016-02-22,23.969999,24.110001,23.940001,24.01,11000,24.01
2016-02-19,23.93,23.969999,23.540001,23.969999,8200,23.969999
2016-02-18,23.98,24.01,23.780001,23.860001,11800,23.860001
2016-02-17,23.950001,23.959999,23.60,23.92,13200,23.92
2016-02-16,23.99,23.99,23.865999,23.947001,4900,23.947001
2016-02-12,23.829,23.93,23.615,23.799999,8200,23.799999
2016-02-11,23.799999,23.83,23.059999,23.26,17300,23.26
2016-02-10,23.99,23.99,23.65,23.91,3600,23.91
2016-02-09,23.48,23.99,23.48,23.879999,10500,23.879999
2016-02-08,23.76,23.99,23.65,23.75,13100,23.75
2016-02-05,23.799999,24.00,23.77,23.978001,9700,23.978001
2016-02-04,24.139999,24.139999,23.83,24.01,9100,24.01
2016-02-03,24.17,24.17,23.983999,24.16,20800,24.16
2016-02-02,24.18,24.18,24.129999,24.15,8400,24.15
2016-02-01,24.09,24.18,23.98,24.17,11500,24.17
