Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,29.809999,30.139999,29.33,29.530001,88100,29.530001
2016-06-09,30.299999,30.540001,30.00,30.23,90600,30.23
2016-06-08,30.200001,31.23,30.200001,30.49,64500,30.49
2016-06-07,31.610001,32.349998,30.16,30.389999,107500,30.389999
2016-06-06,30.51,31.799999,30.51,31.620001,122800,31.620001
2016-06-03,30.00,30.73,30.00,30.59,100800,30.59
2016-06-02,29.16,30.48,29.16,30.24,61300,30.24
2016-06-01,29.50,29.83,29.07,29.33,107800,29.33
2016-05-31,28.879999,30.780001,28.77,29.85,251600,29.85
2016-05-27,28.08,30.450001,28.08,28.879999,316400,28.879999
2016-05-26,30.01,31.209999,28.299999,28.389999,268600,28.389999
2016-05-25,33.700001,33.889999,30.24,30.290001,445800,30.290001
2016-05-24,34.369999,35.849998,33.48,33.540001,284100,33.540001
2016-05-23,33.00,34.900002,33.00,34.560001,256200,34.560001
2016-05-20,33.150002,33.50,33.029999,33.43,58400,33.43
2016-05-19,33.560001,33.740002,32.50,32.84,59900,32.84
2016-05-18,33.049999,34.18,32.040001,33.98,109800,33.98
2016-05-17,35.049999,35.18,33.00,33.27,119300,33.27
2016-05-16,33.779999,35.23,33.77,34.75,131600,34.75
2016-05-13,34.009998,35.830002,33.259998,33.549999,253800,33.549999
2016-05-12,36.66,37.220001,34.00,34.16,247000,34.16
2016-05-11,38.139999,38.599998,36.740002,36.849998,107600,36.849998
2016-05-10,37.18,38.50,37.049999,38.25,131400,38.25
2016-05-09,38.200001,38.98,36.98,37.220001,157900,37.220001
2016-05-06,37.799999,38.98,37.799999,38.200001,204700,38.200001
2016-05-05,37.200001,38.09,37.200001,38.02,245400,37.960001
2016-05-04,36.009998,37.00,35.830002,37.00,127300,36.941611
2016-05-03,37.00,37.00,36.049999,36.330002,112600,36.27267
2016-05-02,36.779999,37.18,35.810001,36.73,123300,36.672036
2016-04-29,35.869999,36.610001,35.48,36.189999,171400,36.132887
2016-04-28,35.75,36.400002,35.650002,36.099998,158300,36.043029
2016-04-27,35.630001,37.490002,34.349998,35.610001,407100,35.553805
2016-04-26,34.07,36.00,33.900002,35.57,230900,35.513867
2016-04-25,35.689999,36.009998,33.900002,34.299999,151900,34.245871
2016-04-22,33.990002,35.970001,33.82,35.950001,182800,35.893268
2016-04-21,34.650002,35.130001,33.799999,34.200001,108300,34.14603
2016-04-20,35.290001,35.290001,33.740002,34.830002,209700,34.775037
2016-04-19,36.779999,36.779999,35.209999,35.290001,159100,35.23431
2016-04-18,36.41,37.369999,35.529999,36.740002,139600,36.682023
2016-04-15,38.049999,38.389999,35.150002,36.700001,277000,36.642085
2016-04-14,37.119999,38.50,37.119999,38.200001,285500,38.139718
2016-04-13,35.259998,37.990002,35.040001,37.299999,368100,37.241136
2016-04-12,35.34,35.799999,34.50,34.959999,156000,34.904829
2016-04-11,34.50,35.650002,34.110001,34.849998,164100,34.795002
2016-04-08,34.02,34.50,33.52,34.130001,111300,34.076141
2016-04-07,33.84,34.009998,33.290001,33.450001,107800,33.397214
2016-04-06,33.439999,34.470001,33.439999,34.150002,128100,34.09611
2016-04-05,32.200001,33.490002,31.18,33.209999,113300,33.157591
2016-04-04,32.48,33.860001,32.439999,32.549999,215900,32.498632
2016-04-01,32.860001,33.560001,32.119999,32.68,129500,32.628428
