Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.67,27.42,26.639999,27.040001,24600,27.040001
2016-06-09,26.280001,26.950001,26.10,26.719999,24200,26.719999
2016-06-08,26.24,26.780001,26.02,26.27,14700,26.27
2016-06-07,26.700001,26.950001,26.18,26.360001,21100,26.360001
2016-06-06,26.790001,26.959999,26.120001,26.91,16900,26.91
2016-06-03,26.40,26.540001,26.01,26.16,28800,26.16
2016-06-02,26.879999,27.049999,26.50,26.530001,13700,26.530001
2016-06-01,26.530001,27.110001,26.459999,26.799999,12700,26.799999
2016-05-31,26.799999,26.809999,26.50,26.549999,23200,26.549999
2016-05-27,26.799999,27.24,26.629999,26.780001,19100,26.780001
2016-05-26,27.059999,27.549999,26.41,26.799999,24000,26.799999
2016-05-25,27.450001,27.549999,25.709999,27.34,13700,27.34
2016-05-24,26.950001,27.549999,26.940001,27.52,10000,27.52
2016-05-23,27.00,27.280001,26.889999,27.18,15900,27.18
2016-05-20,26.540001,26.940001,26.01,26.879999,10100,26.879999
2016-05-19,26.459999,26.790001,26.18,26.700001,10900,26.700001
2016-05-18,26.10,26.75,25.559999,26.620001,14200,26.620001
2016-05-17,26.17,26.610001,25.940001,26.110001,24800,26.110001
2016-05-16,26.50,26.92,26.18,26.379999,9700,26.379999
2016-05-13,27.059999,27.34,26.629999,26.68,17900,26.68
2016-05-12,27.379999,27.530001,27.00,27.290001,21800,27.290001
2016-05-11,26.92,27.84,25.190001,27.27,15100,27.27
2016-05-10,27.08,27.50,26.040001,27.50,19400,27.50
2016-05-09,25.74,27.18,25.74,27.129999,17300,27.129999
2016-05-06,26.58,26.75,25.799999,26.75,53500,26.75
2016-05-05,26.540001,26.75,26.27,26.75,10500,26.75
2016-05-04,26.25,26.889999,26.25,26.50,27100,26.50
2016-05-03,25.690001,26.24,25.24,26.24,17200,26.24
2016-05-02,25.709999,25.90,25.700001,25.709999,6900,25.709999
2016-04-29,25.51,26.030001,24.610001,25.799999,19400,25.799999
2016-04-28,25.00,25.74,24.950001,25.51,8800,25.51
2016-04-27,24.879999,25.110001,24.77,25.049999,7400,25.049999
2016-04-26,24.389999,25.00,24.389999,24.92,12900,24.92
2016-04-25,24.35,24.540001,24.280001,24.450001,7100,24.450001
2016-04-22,23.889999,24.50,23.889999,24.35,8500,24.35
2016-04-21,24.42,24.469999,24.299999,24.459999,7500,24.459999
2016-04-20,24.280001,24.50,24.27,24.49,10800,24.49
2016-04-19,24.139999,24.41,24.139999,24.32,5600,24.32
2016-04-18,24.32,24.34,23.93,24.200001,6600,24.200001
2016-04-15,24.26,24.360001,24.07,24.16,7800,24.16
2016-04-14,24.200001,24.35,24.120001,24.309999,12900,24.309999
2016-04-13,24.17,24.379999,24.17,24.299999,15200,24.299999
2016-04-12,23.860001,24.27,23.809999,24.02,12600,24.02
2016-04-11,23.549999,23.940001,23.530001,23.73,15200,23.73
2016-04-08,23.440001,23.65,23.34,23.450001,7600,23.450001
