Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,27.76,27.860001,27.709999,27.709999,9600,27.709999
2016-06-09,27.690001,27.870001,27.690001,27.76,8900,27.76
2016-06-08,27.898001,27.91,27.700001,27.84,10100,27.84
2016-06-07,27.940001,27.940001,27.82,27.82,12700,27.82
2016-06-06,28.059999,28.10,27.93,27.940001,11500,27.940001
2016-06-03,27.74,28.120001,27.690001,28.120001,36600,28.120001
2016-06-02,27.65,27.75,27.65,27.719999,9800,27.719999
2016-06-01,27.610001,27.73,27.610001,27.65,9400,27.65
2016-05-31,27.549999,27.75,27.549999,27.620001,12700,27.620001
2016-05-27,27.639999,27.700001,27.559999,27.58,12700,27.58
2016-05-26,27.700001,27.700001,27.469999,27.629999,20700,27.629999
2016-05-25,27.57,27.709999,27.450001,27.58,66300,27.58
2016-05-24,27.780001,27.82,27.556999,27.639999,15100,27.639999
2016-05-23,27.48,27.799999,27.48,27.620001,22800,27.620001
2016-05-20,27.379999,27.60,27.379999,27.60,4300,27.60
2016-05-19,27.41,27.51,27.323,27.379999,11400,27.379999
2016-05-18,27.60,27.639999,27.450001,27.49,18200,27.49
2016-05-17,27.57,27.74,27.535,27.68,33500,27.68
2016-05-16,27.65,27.65,27.459999,27.49,35700,27.49
2016-05-13,27.41,27.639999,27.41,27.50,15800,27.50
2016-05-12,27.42,27.60,27.41,27.49,24200,27.49
2016-05-11,27.299999,27.60,27.299999,27.469999,34100,27.469999
2016-05-10,27.26,27.48,27.250999,27.33,16300,27.33
2016-05-09,27.219999,27.379999,27.219999,27.299999,22300,27.299999
2016-05-06,27.129999,27.370001,27.030001,27.219999,13500,27.219999
2016-05-05,27.139999,27.200001,27.030001,27.16,6100,27.16
2016-05-04,27.179001,27.23,27.08,27.219999,9200,27.219999
2016-05-03,26.98,27.18,26.98,27.08,181000,27.08
2016-05-02,27.09,27.188,27.00,27.110001,202000,27.110001
2016-04-29,27.190001,27.200001,26.879999,27.01,34600,27.01
2016-04-28,26.959999,27.200001,26.959999,27.08,20100,27.08
2016-04-27,26.959999,27.18,26.92,27.02,19500,27.02
2016-04-26,26.83,27.139999,26.83,27.07,19600,27.07
2016-04-25,26.83,27.030001,26.83,26.969999,15800,26.969999
2016-04-22,26.860001,27.10,26.860001,26.91,24500,26.91
2016-04-21,26.99,27.00,26.860001,26.92,75300,26.92
2016-04-20,26.90,27.00,26.860001,26.860001,16700,26.860001
2016-04-19,26.77,26.969999,26.77,26.90,18300,26.90
2016-04-18,26.59,27.049999,26.59,26.93,15100,26.93
2016-04-15,26.799999,26.85,26.66,26.76,231100,26.76
2016-04-14,26.92,26.92,26.76,26.76,270400,26.76
2016-04-13,26.93,26.997,26.700001,26.879999,60600,26.879999
2016-04-12,26.83,27.00,26.83,26.93,21400,26.93
2016-04-11,26.90,27.059999,26.860001,26.91,12900,26.91
2016-04-08,26.83,26.950001,26.83,26.879999,6500,26.879999
2016-04-07,26.959,26.959,26.799999,26.879999,24900,26.879999
2016-04-06,26.82,26.98,26.82,26.860001,13200,26.860001
2016-04-05,26.57,26.90,26.57,26.82,19000,26.82
2016-04-04,26.99,26.99,26.636999,26.82,21500,26.82
2016-04-01,27.08,27.08,26.67,26.700001,30400,26.700001
2016-03-31,27.02,27.09,26.93,26.950001,25100,26.950001
2016-03-30,27.051001,27.17,26.99,27.02,109000,27.02
2016-03-29,26.99,27.15,26.98,27.08,33300,27.08
2016-03-28,26.969999,27.139999,26.950001,27.02,24700,27.02
2016-03-24,26.77,27.00,26.77,27.00,5800,27.00
2016-03-23,26.99,26.99,26.790001,26.91,10900,26.91
2016-03-22,26.940001,26.969999,26.73,26.915001,38100,26.915001
2016-03-21,26.76,26.92,26.73,26.85,10700,26.85
2016-03-18,26.719999,26.93,26.60,26.75,19700,26.75
2016-03-17,26.379999,26.780001,26.379999,26.610001,43600,26.610001
2016-03-16,26.555,26.555,26.450001,26.549999,7600,26.549999
2016-03-15,26.573999,26.620001,26.50,26.51,15300,26.51
2016-03-14,26.50,26.77,26.459999,26.74,23500,26.74
2016-03-11,26.705999,26.780001,26.549999,26.559999,23500,26.559999
2016-03-10,26.68,26.959999,26.66,26.959999,11500,26.593999
2016-03-09,26.60,26.879999,26.60,26.879999,42900,26.515085
2016-03-08,26.790001,26.870001,26.721001,26.799999,21600,26.436171
2016-03-07,26.733999,26.82,26.610001,26.790001,11300,26.426309
2016-03-04,26.656,26.799999,26.620001,26.790001,19000,26.426309
2016-03-03,26.469999,26.700001,26.469999,26.700001,9100,26.33753
2016-03-02,26.67,26.759001,26.50,26.605,14600,26.243819
2016-03-01,26.672001,26.799999,26.58,26.68,31600,26.317801
2016-02-29,26.700001,26.799999,26.586,26.67,67200,26.307937
2016-02-26,26.700001,26.700001,26.50,26.700001,18000,26.33753
2016-02-25,26.370001,26.50,26.209999,26.41,19300,26.051466
