Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,14.68,14.72,14.56,14.70,434200,14.70
2016-06-09,14.78,14.79,14.64,14.74,457000,14.74
2016-06-08,14.77,14.86,14.69,14.83,352100,14.83
2016-06-07,14.81,14.84,14.68,14.77,368300,14.77
2016-06-06,14.67,14.82,14.67,14.77,399300,14.77
2016-06-03,14.73,14.73,14.42,14.66,501900,14.66
2016-06-02,14.77,14.82,14.57,14.82,609500,14.82
2016-06-01,14.76,14.89,14.65,14.87,609400,14.87
2016-05-31,14.79,14.84,14.71,14.81,736600,14.81
2016-05-27,14.71,14.79,14.67,14.79,442900,14.79
2016-05-26,14.80,14.88,14.69,14.71,477700,14.71
2016-05-25,14.73,14.87,14.70,14.77,488600,14.77
2016-05-24,14.51,14.75,14.36,14.74,668400,14.74
2016-05-23,14.51,14.53,14.44,14.50,326600,14.50
2016-05-20,14.39,14.54,14.39,14.50,503100,14.50
2016-05-19,14.43,14.52,14.28,14.38,409400,14.38
2016-05-18,14.10,14.52,14.07,14.51,514700,14.51
2016-05-17,14.46,14.48,14.09,14.15,653000,14.15
2016-05-16,14.24,14.53,14.10,14.48,945400,14.48
2016-05-13,14.26,14.39,14.11,14.17,380400,14.17
2016-05-12,14.26,14.36,14.16,14.28,527400,14.28
2016-05-11,14.27,14.40,14.18,14.21,602000,14.21
2016-05-10,14.05,14.30,14.02,14.26,604600,14.26
2016-05-09,14.00,14.09,13.92,14.00,435800,14.00
2016-05-06,13.83,14.04,13.83,14.03,591800,14.03
2016-05-05,14.00,14.11,13.94,13.96,597900,13.96
2016-05-04,13.84,14.02,13.76,13.95,614400,13.95
2016-05-03,13.77,13.99,13.67,13.97,883200,13.97
2016-05-02,14.13,14.19,13.98,14.10,734400,14.10
2016-04-29,13.85,14.07,13.63,14.02,1231600,14.02
2016-04-28,13.41,13.67,13.40,13.59,665500,13.59
2016-04-27,13.82,13.86,13.53,13.66,556700,13.51
2016-04-26,13.75,13.87,13.68,13.83,440900,13.678133
2016-04-25,13.56,13.81,13.50,13.67,538800,13.51989
2016-04-22,13.57,13.72,13.57,13.63,507300,13.48033
2016-04-21,13.71,13.81,13.52,13.55,541000,13.401208
2016-04-20,13.69,13.74,13.63,13.72,441300,13.569341
2016-04-19,13.78,13.78,13.65,13.72,409500,13.569341
2016-04-18,13.67,13.75,13.58,13.69,540200,13.53967
2016-04-15,13.68,13.81,13.65,13.73,392200,13.579231
2016-04-14,13.68,13.87,13.51,13.72,422100,13.569341
2016-04-13,13.50,13.75,13.48,13.75,578700,13.599012
2016-04-12,13.37,13.46,13.32,13.42,400800,13.272636
2016-04-11,13.16,13.46,13.16,13.37,475200,13.223184
2016-04-08,13.20,13.37,13.18,13.26,362100,13.114393
2016-04-07,13.37,13.38,13.09,13.15,567700,13.0056
2016-04-06,13.43,13.51,13.33,13.48,352900,13.331976
2016-04-05,13.55,13.62,13.41,13.41,498400,13.262745
2016-04-04,13.66,13.68,13.55,13.63,460200,13.48033
2016-04-01,13.53,13.67,13.42,13.62,507200,13.470439
2016-03-31,13.60,13.69,13.51,13.51,652100,13.361647
2016-03-30,13.60,13.71,13.58,13.64,458400,13.49022
2016-03-29,13.33,13.59,13.20,13.59,539700,13.440769
2016-03-28,13.38,13.48,13.33,13.39,586900,13.242965
2016-03-24,13.26,13.38,13.17,13.38,420200,13.233075
2016-03-23,13.39,13.49,13.31,13.31,585400,13.163844
2016-03-22,13.34,13.47,13.29,13.41,359300,13.262745
2016-03-21,13.57,13.67,13.27,13.43,660900,13.282526
2016-03-18,13.51,13.65,13.40,13.57,1136100,13.420988
2016-03-17,13.15,13.50,13.06,13.46,673700,13.312196
2016-03-16,13.16,13.30,13.14,13.22,354300,13.074832
2016-03-15,13.13,13.30,13.07,13.21,359900,13.064942
2016-03-14,13.27,13.33,13.19,13.24,366700,13.094612
2016-03-11,13.14,13.29,13.12,13.28,297500,13.134173
2016-03-10,13.12,13.20,12.93,13.08,492700,12.936369
2016-03-09,13.21,13.24,13.04,13.10,284300,12.95615
2016-03-08,13.11,13.30,13.09,13.15,457500,13.0056
2016-03-07,13.10,13.26,13.06,13.22,473400,13.074832
2016-03-04,13.06,13.19,12.76,13.14,470400,12.99571
2016-03-03,12.89,13.05,12.86,13.04,602600,12.896808
2016-03-02,12.90,12.94,12.76,12.94,418700,12.797906
2016-03-01,12.63,12.94,12.59,12.91,600800,12.768236
2016-02-29,12.73,12.77,12.58,12.59,457000,12.45175
2016-02-26,12.70,12.78,12.62,12.73,433500,12.590212
2016-02-25,12.44,12.69,12.44,12.67,323400,12.530871
2016-02-24,12.27,12.49,12.23,12.45,421100,12.313287
2016-02-23,12.44,12.61,12.38,12.40,382600,12.263836
2016-02-22,12.59,12.67,12.46,12.49,557700,12.352848
2016-02-19,12.39,12.59,12.36,12.47,569000,12.333068
2016-02-18,12.40,12.48,12.30,12.39,631200,12.253946
2016-02-17,12.41,12.56,12.32,12.34,533900,12.204495
2016-02-16,12.21,12.39,12.09,12.30,518500,12.164934
2016-02-12,11.96,12.13,11.93,12.10,857200,11.967131
2016-02-11,11.93,12.00,11.78,11.87,479000,11.739656
2016-02-10,12.15,12.29,12.06,12.07,584600,11.937459
2016-02-09,12.08,12.21,12.06,12.10,477100,11.967131
2016-02-08,12.00,12.24,11.87,12.18,652800,12.046252
2016-02-05,12.13,12.28,12.05,12.05,734200,11.91768
2016-02-04,12.10,12.29,11.91,12.06,439400,11.92757
2016-02-03,12.17,12.24,11.92,12.11,739800,11.97702
2016-02-02,12.16,12.25,11.96,12.05,482100,11.91768
2016-02-01,12.53,12.56,12.35,12.43,681400,12.145154
2016-01-29,12.59,12.59,12.43,12.57,1059300,12.281945
2016-01-28,12.57,12.65,12.51,12.56,680000,12.272175
2016-01-27,12.36,12.60,12.35,12.47,1371600,12.184238
2016-01-26,11.87,12.42,11.87,12.42,1269200,12.135383
2016-01-25,12.16,12.16,11.82,11.84,632600,11.568674
2016-01-22,12.14,12.22,12.00,12.18,550500,11.900883
2016-01-21,12.26,12.28,12.02,12.03,509200,11.75432
2016-01-20,12.06,12.35,11.99,12.26,640500,11.97905
2016-01-19,12.40,12.50,12.19,12.28,536600,11.998591
