Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.360001,22.48,22.219999,22.219999,1700,22.219999
2016-06-09,22.280001,22.450001,22.25,22.450001,3100,22.450001
2016-06-08,22.17,22.40,22.09,22.370001,17600,22.370001
2016-06-07,22.15,22.23,22.01,22.18,4000,22.18
2016-06-06,21.870001,22.129999,21.799999,22.030001,9200,22.030001
2016-06-03,21.530001,21.870001,21.469999,21.870001,6400,21.870001
2016-06-02,21.540001,21.629999,21.49,21.49,1400,21.49
2016-06-01,21.559999,21.639999,21.43,21.58,3800,21.58
2016-05-31,21.360001,21.639999,21.23,21.620001,3100,21.620001
2016-05-27,21.450001,21.620001,21.450001,21.49,3400,21.49
2016-05-26,21.639999,21.65,21.50,21.639999,9500,21.639999
2016-05-25,21.379999,21.639999,21.379999,21.639999,1300,21.639999
2016-05-24,21.700001,21.73,21.35,21.50,11100,21.50
2016-05-23,21.719999,21.74,21.709999,21.73,2800,21.73
2016-05-20,21.58,21.860001,21.50,21.67,3600,21.67
2016-05-19,21.77,21.98,21.51,21.51,7500,21.51
2016-05-18,21.799999,22.280001,21.77,21.780001,5800,21.780001
2016-05-17,22.200001,22.25,21.889999,22.059999,10000,22.059999
2016-05-16,22.030001,22.280001,22.030001,22.17,4500,22.17
2016-05-13,22.35,22.450001,22.32,22.32,4300,22.32
2016-05-12,21.99,22.309999,21.99,22.309999,6800,22.309999
2016-05-11,21.90,21.950001,21.82,21.93,8200,21.93
2016-05-10,21.90,21.90,21.879999,21.90,2300,21.90
2016-05-09,21.75,21.959999,21.75,21.870001,6600,21.870001
2016-05-06,21.639999,21.77,21.50,21.75,5600,21.75
2016-05-05,21.32,21.60,21.32,21.60,2100,21.60
2016-05-04,21.58,21.65,21.51,21.51,800,21.51
2016-05-03,21.51,21.690001,21.51,21.68,1000,21.68
2016-05-02,21.57,21.68,21.50,21.59,4700,21.59
2016-04-29,21.450001,21.57,21.10,21.52,6400,21.52
2016-04-28,21.700001,21.780001,21.110001,21.60,5400,21.60
2016-04-27,21.50,21.84,21.50,21.84,3000,21.84
2016-04-26,21.34,21.450001,21.209999,21.450001,9300,21.450001
2016-04-25,21.40,21.40,21.059999,21.34,8600,21.34
2016-04-22,21.309999,21.41,21.049999,21.299999,6400,21.299999
2016-04-21,21.35,21.35,21.09,21.309999,8500,21.309999
2016-04-20,20.90,21.42,20.90,21.34,5700,21.34
2016-04-19,20.549999,20.90,20.549999,20.860001,2600,20.860001
2016-04-18,20.40,20.50,20.299999,20.50,4900,20.50
2016-04-15,20.459999,20.50,20.040001,20.50,3400,20.50
2016-04-14,20.40,20.50,20.40,20.450001,1900,20.450001
2016-04-13,20.280001,20.48,20.15,20.48,2100,20.48
2016-04-12,20.32,20.32,20.280001,20.280001,700,20.280001
2016-04-11,20.23,20.370001,20.00,20.370001,2800,20.370001
2016-04-08,19.940001,20.02,19.77,20.02,2000,20.02
2016-04-07,20.01,20.01,19.82,19.860001,1000,19.860001
2016-04-06,20.01,20.02,19.84,20.01,1800,20.01
2016-04-05,19.700001,20.049999,19.700001,19.82,800,19.82
2016-04-04,20.00,20.10,20.00,20.10,2600,20.10
2016-04-01,19.68,20.18,19.68,20.18,2800,20.18
2016-03-31,20.209999,20.209999,19.549999,20.02,4600,20.02
2016-03-30,20.299999,20.299999,19.719999,20.049999,9700,20.049999
2016-03-29,20.18,20.540001,20.110001,20.50,13500,20.016
2016-03-28,20.25,20.25,20.01,20.190001,4100,19.71332
2016-03-24,20.049999,20.25,19.60,19.60,10400,19.137249
2016-03-23,20.129999,20.17,20.00,20.17,5100,19.693791
2016-03-22,20.01,20.02,20.01,20.02,600,19.547333
2016-03-21,19.99,20.209999,19.950001,19.99,10900,19.518041
2016-03-18,19.790001,19.85,19.60,19.610001,4500,19.147013
2016-03-17,19.65,19.75,19.559999,19.700001,8400,19.234889
2016-03-16,19.58,19.58,19.459999,19.52,1900,19.059138
2016-03-15,19.719999,19.74,19.41,19.440001,4200,18.981027
2016-03-14,19.50,19.75,19.50,19.719999,1900,19.254415
2016-03-11,19.75,19.75,19.40,19.549999,3100,19.088428
2016-03-10,19.530001,19.530001,19.23,19.41,2700,18.951734
2016-03-09,19.59,19.99,19.379999,19.51,5200,19.049374
2016-03-08,19.809999,19.809999,19.49,19.59,7400,19.127485
2016-03-07,20.01,20.10,19.85,19.950001,7500,19.478986
2016-03-04,20.219999,20.219999,19.790001,20.190001,800,19.71332
2016-03-03,20.23,20.23,19.870001,19.90,1600,19.430165
2016-03-02,19.24,19.84,19.24,19.84,2700,19.371583
2016-03-01,19.40,19.40,19.08,19.299999,4500,18.844331
2016-02-29,18.77,19.40,18.77,19.35,8300,18.893152
2016-02-26,19.129999,19.370001,19.00,19.34,4900,18.883387
2016-02-25,18.610001,19.23,18.610001,19.07,13200,18.619762
2016-02-24,19.780001,19.780001,18.459999,19.15,25000,18.697873
2016-02-23,20.530001,20.620001,20.530001,20.620001,6500,20.133168
2016-02-22,20.24,20.700001,20.24,20.530001,6500,20.045292
2016-02-19,20.360001,20.889999,20.360001,20.51,2900,20.025764
2016-02-18,20.73,20.73,20.26,20.35,2900,19.869542
2016-02-17,20.190001,20.59,20.00,20.59,21400,20.103875
2016-02-16,19.700001,20.43,19.379999,20.24,5000,19.762138
2016-02-12,19.200001,19.90,19.200001,19.35,1200,18.893152
2016-02-11,20.139999,20.200001,19.10,19.10,4300,18.649054
2016-02-10,20.60,20.60,20.25,20.48,39000,19.996472
2016-02-09,20.50,20.629999,20.27,20.60,12300,20.113639
2016-02-08,20.90,20.90,20.33,20.33,3000,19.850014
2016-02-05,20.530001,20.90,20.530001,20.90,2800,20.406556
2016-02-04,20.90,20.90,20.59,20.59,900,20.103875
2016-02-03,20.690001,20.879999,20.26,20.879999,3700,20.387027
2016-02-02,20.559999,20.860001,20.43,20.50,3600,20.016
2016-02-01,20.73,21.00,20.26,20.870001,11400,20.377265
2016-01-29,20.200001,21.35,19.66,20.219999,11500,19.74261
2016-01-28,19.08,20.10,19.08,20.10,29500,19.625444
2016-01-27,19.35,19.549999,19.02,19.15,6400,18.697873
2016-01-26,19.110001,19.559999,19.10,19.559999,9900,19.098193
2016-01-25,19.15,19.200001,18.799999,19.200001,18600,18.746693
2016-01-22,18.610001,19.440001,18.60,19.43,11800,18.971263
2016-01-21,18.25,18.59,18.25,18.59,11000,18.151095
2016-01-20,18.25,18.35,17.540001,18.23,43400,17.799594
2016-01-19,18.40,18.610001,18.24,18.559999,115200,18.121802
2016-01-15,18.27,18.40,17.76,18.40,25300,17.96558
2016-01-14,18.290001,18.459999,18.190001,18.42,12400,17.985108
2016-01-13,18.66,18.66,18.02,18.290001,24800,17.858178
2016-01-12,18.35,18.530001,18.299999,18.530001,16300,18.092512
2016-01-11,18.32,18.34,18.040001,18.24,6300,17.809358
2016-01-08,18.35,18.40,18.26,18.280001,5800,17.848414
2016-01-07,18.299999,18.469999,18.25,18.42,4500,17.985108
2016-01-06,18.690001,18.690001,18.440001,18.620001,4400,18.180387
2016-01-05,18.629999,18.82,18.57,18.809999,3500,18.3659
2016-01-04,18.40,18.940001,18.26,18.629999,5100,18.190149
2015-12-31,18.110001,18.469999,17.25,18.26,94300,17.828886
2015-12-30,18.00,18.219999,17.51,17.65,60400,17.233287
2015-12-29,18.84,19.200001,17.77,17.77,54000,17.350455
2015-12-28,18.99,19.10,18.85,18.85,20700,17.932383
2015-12-24,19.469999,19.469999,18.860001,19.33,13200,18.389017
2015-12-23,19.040001,19.48,19.02,19.389999,8600,18.446095
2015-12-22,19.00,19.02,18.790001,19.02,7200,18.094108
2015-12-21,19.60,19.60,18.40,18.860001,35400,17.941897
2015-12-18,19.10,19.790001,19.10,19.57,13300,18.617333
2015-12-17,19.379999,19.809999,19.379999,19.549999,22100,18.598306
2015-12-16,18.709999,19.35,18.709999,19.25,39600,18.312911
2015-12-15,17.40,18.66,17.25,18.459999,15900,17.561367
2015-12-14,18.52,18.52,17.16,17.280001,74300,16.438811
2015-12-11,19.219999,19.299999,18.50,18.790001,18800,17.875305
2015-12-10,19.32,19.50,19.32,19.35,13200,18.408043
2015-12-09,19.870001,19.870001,19.059999,19.360001,38200,18.417557
2015-12-08,20.379999,20.50,19.799999,19.879999,16900,18.912242
2015-12-07,20.65,20.719999,19.66,20.51,15100,19.511574
2015-12-04,20.60,20.98,20.60,20.93,8300,19.911129
2015-12-03,20.90,21.059999,20.860001,21.059999,2700,20.0348
2015-12-02,21.07,21.08,20.98,20.98,1600,19.958694
2015-12-01,20.969999,21.01,20.790001,21.01,3300,19.987235
2015-11-30,20.790001,20.969999,20.629999,20.959999,4700,19.939667
2015-11-27,20.67,20.790001,20.58,20.780001,4500,19.768431
2015-11-25,20.709999,20.82,20.700001,20.790001,6900,19.777945
2015-11-24,20.639999,20.84,20.639999,20.76,7000,19.749405
2015-11-23,21.07,21.09,20.84,20.84,6000,19.82551
2015-11-20,20.60,21.129999,20.60,21.01,24500,19.987235
2015-11-19,21.10,21.17,20.57,20.940001,25700,19.920642
2015-11-18,21.190001,21.200001,21.120001,21.16,5500,20.129932
2015-11-17,21.219999,21.26,21.15,21.219999,5400,20.187011
2015-11-16,21.209999,21.25,21.00,21.190001,12900,20.158472
2015-11-13,21.41,21.41,21.23,21.280001,4500,20.244091
2015-11-12,21.67,21.73,21.52,21.549999,8600,20.500946
2015-11-11,21.459999,22.139999,21.459999,21.709999,12600,20.653157
2015-11-10,21.719999,21.719999,21.49,21.59,5600,20.539
2015-11-09,21.57,21.790001,21.540001,21.709999,6900,20.653157
2015-11-06,21.940001,21.940001,21.700001,21.74,5500,20.681698
2015-11-05,21.879999,21.879999,21.879999,21.879999,200,20.814882
2015-11-04,21.889999,21.889999,21.75,21.85,5600,20.786344
2015-11-03,21.60,21.98,21.59,21.90,8800,20.833909
2015-11-02,21.799999,22.08,21.40,21.60,17200,20.548513
2015-10-30,21.85,21.969999,21.65,21.93,11300,20.862449
2015-10-29,22.01,22.110001,21.57,21.799999,15100,20.738776
2015-10-28,21.950001,22.129999,21.950001,22.10,8000,21.024174
2015-10-27,21.950001,22.059999,21.90,22.059999,1600,20.98612
2015-10-26,22.10,22.139999,21.92,22.01,1900,20.938555
2015-10-23,22.139999,22.15,21.959999,22.10,5800,21.024174
2015-10-22,22.059999,22.09,22.01,22.09,1200,21.01466
2015-10-21,22.110001,22.110001,21.940001,22.059999,3600,20.98612
2015-10-20,22.139999,22.139999,21.85,22.110001,2500,21.033687
2015-10-19,22.059999,22.190001,21.57,22.139999,5400,21.062225
2015-10-16,21.959999,22.190001,21.959999,22.190001,3200,21.109792
2015-10-15,22.15,22.190001,21.969999,22.190001,9400,21.109792
2015-10-14,22.120001,22.120001,21.92,22.10,7300,21.024174
2015-10-13,22.15,22.17,22.049999,22.10,1900,21.024174
2015-10-12,22.15,22.18,22.049999,22.10,6200,21.024174
2015-10-09,22.190001,22.190001,22.129999,22.139999,4400,21.062225
2015-10-08,22.219999,22.26,21.92,22.18,3900,21.100279
2015-10-07,22.24,22.25,21.93,22.200001,9100,21.119306
2015-10-06,22.09,22.35,21.93,22.24,6200,21.157358
2015-10-05,22.139999,22.15,21.870001,22.15,8600,21.071739
2015-10-02,21.91,21.969999,21.60,21.860001,8900,20.795857
2015-10-01,21.49,21.98,21.469999,21.879999,12700,20.814882
2015-09-30,21.42,21.50,21.10,21.50,16000,20.453381
2015-09-29,22.93,23.49,20.870001,21.280001,35300,20.244091
2015-09-28,23.75,23.75,22.42,22.719999,33600,21.153553
2015-09-25,22.84,22.959999,22.27,22.67,22200,21.107001
2015-09-24,22.719999,23.09,22.66,22.969999,24000,21.386316
2015-09-23,23.18,23.18,22.190001,22.99,6900,21.404938
2015-09-22,22.58,23.700001,22.469999,23.18,17400,21.581839
2015-09-21,22.25,23.440001,22.059999,22.709999,27300,21.144242
2015-09-18,22.02,22.24,22.02,22.24,5600,20.706647
