Date,Open,High,Low,Close,Volume,Adj Close
2016-02-10,8.47,8.47,8.47,8.47,000,8.47
2016-02-09,8.47,8.48,8.45,8.47,1116400,8.47
2016-02-08,8.46,8.48,8.45,8.46,523600,8.46
2016-02-05,8.46,8.47,8.45,8.46,391400,8.46
2016-02-04,8.46,8.48,8.45,8.47,832600,8.47
2016-02-03,8.46,8.48,8.45,8.46,926900,8.46
2016-02-02,8.43,8.47,8.43,8.47,527200,8.47
2016-02-01,8.42,8.48,8.42,8.46,766600,8.46
2016-01-29,8.44,8.44,8.41,8.44,736400,8.44
2016-01-28,8.42,8.44,8.41,8.42,429300,8.42
2016-01-27,8.42,8.45,8.41,8.44,709400,8.44
2016-01-26,8.44,8.45,8.41,8.43,399800,8.43
2016-01-25,8.40,8.45,8.40,8.42,244200,8.42
2016-01-22,8.33,8.48,8.32,8.41,1222600,8.41
2016-01-21,8.28,8.40,8.18,8.35,387900,8.35
2016-01-20,8.11,8.35,8.02,8.26,631200,8.26
2016-01-19,8.42,8.43,8.00,8.18,1080900,8.18
2016-01-15,8.42,8.44,8.41,8.42,1014400,8.42
2016-01-14,8.42,8.45,8.42,8.43,443000,8.43
2016-01-13,8.45,8.46,8.42,8.42,546100,8.42
2016-01-12,8.44,8.46,8.42,8.45,572200,8.45
2016-01-11,8.43,8.46,8.41,8.44,579500,8.44
2016-01-08,8.43,8.45,8.41,8.43,430800,8.43
2016-01-07,8.41,8.45,8.41,8.42,560900,8.42
2016-01-06,8.40,8.43,8.40,8.41,321200,8.41
2016-01-05,8.35,8.42,8.35,8.41,549700,8.41
2016-01-04,8.40,8.40,8.07,8.36,1093300,8.36
2015-12-31,8.42,8.43,8.41,8.42,463200,8.42
2015-12-30,8.43,8.45,8.42,8.42,279000,8.42
2015-12-29,8.44,8.44,8.42,8.44,173500,8.44
2015-12-28,8.44,8.45,8.42,8.43,422700,8.43
2015-12-24,8.44,8.45,8.43,8.45,168900,8.45
2015-12-23,8.46,8.48,8.41,8.44,497500,8.44
2015-12-22,8.47,8.48,8.45,8.47,403000,8.47
2015-12-21,8.48,8.49,8.45,8.49,652800,8.49
2015-12-18,8.49,8.50,8.42,8.49,2312400,8.49
2015-12-17,8.50,8.50,8.48,8.49,845000,8.49
2015-12-16,8.49,8.50,8.49,8.49,849000,8.49
2015-12-15,8.48,8.50,8.48,8.50,2102900,8.50
2015-12-14,8.48,8.49,8.48,8.48,1303900,8.48
2015-12-11,8.48,8.49,8.48,8.48,727000,8.48
2015-12-10,8.48,8.49,8.48,8.48,642900,8.48
2015-12-09,8.48,8.49,8.48,8.48,478100,8.48
2015-12-08,8.47,8.50,8.47,8.48,861300,8.48
2015-12-07,8.48,8.49,8.47,8.47,822000,8.47
2015-12-04,8.48,8.50,8.47,8.48,846800,8.48
2015-12-03,8.48,8.51,8.48,8.49,621300,8.49
2015-12-02,8.47,8.50,8.47,8.48,623300,8.48
2015-12-01,8.57,8.58,8.46,8.48,750800,8.48
2015-11-30,8.58,8.60,8.54,8.58,454700,8.58
2015-11-27,8.51,8.60,8.51,8.56,263500,8.56
2015-11-25,8.50,8.71,8.49,8.55,591600,8.55
2015-11-24,8.49,8.50,8.48,8.50,874200,8.50
2015-11-23,8.50,8.53,8.48,8.51,936800,8.51
2015-11-20,8.50,8.52,8.49,8.50,1680500,8.50
2015-11-19,8.47,8.65,8.46,8.54,1367800,8.54
2015-11-18,8.46,8.48,8.45,8.47,1382200,8.47
2015-11-17,8.45,8.47,8.45,8.46,883700,8.46
2015-11-16,8.45,8.46,8.45,8.46,2218500,8.46
2015-11-13,8.47,8.48,8.45,8.46,1937500,8.46
2015-11-12,8.46,8.47,8.45,8.47,1676700,8.47
2015-11-11,8.43,8.50,8.43,8.46,3312400,8.46
2015-11-10,8.42,8.45,8.37,8.44,7724300,8.44
2015-11-09,4.22,4.52,4.10,4.46,615600,4.46
2015-11-06,4.62,4.83,4.58,4.75,248800,4.75
2015-11-05,4.78,4.78,4.46,4.68,186900,4.68
2015-11-04,4.72,4.75,4.61,4.73,220000,4.73
2015-11-03,4.50,4.74,4.44,4.66,208700,4.66
2015-11-02,4.38,4.60,4.38,4.50,191200,4.50
2015-10-30,4.44,4.51,4.30,4.40,166000,4.40
2015-10-29,4.32,4.64,4.21,4.43,528300,4.43
2015-10-28,4.07,4.44,4.01,4.31,363800,4.31
2015-10-27,4.27,4.27,4.02,4.07,731300,4.07
2015-10-26,4.20,4.30,4.17,4.29,106200,4.29
2015-10-23,4.13,4.25,4.07,4.22,176400,4.22
2015-10-22,4.06,4.19,3.92,4.10,185900,4.10
2015-10-21,4.24,4.29,4.05,4.05,201200,4.05
2015-10-20,4.30,4.31,4.20,4.22,138600,4.22
2015-10-19,4.26,4.39,4.20,4.33,213200,4.33
2015-10-16,4.37,4.40,4.23,4.32,178500,4.32
2015-10-15,4.24,4.35,4.16,4.34,215200,4.34
2015-10-14,4.35,4.41,4.16,4.19,404500,4.19
2015-10-13,4.39,4.59,4.32,4.33,322900,4.33
2015-10-12,4.70,4.74,4.40,4.44,424600,4.44
2015-10-09,4.85,4.92,4.51,4.70,649500,4.70
2015-10-08,4.54,4.70,4.36,4.68,359100,4.68
2015-10-07,4.47,4.65,4.34,4.60,545000,4.60
2015-10-06,4.60,4.74,4.31,4.51,514200,4.51
2015-10-05,4.21,4.49,4.12,4.46,419800,4.46
2015-10-02,4.03,4.20,3.93,4.19,346000,4.19
2015-10-01,4.20,4.29,3.94,4.05,549200,4.05
2015-09-30,3.81,4.18,3.66,4.18,675900,4.18
2015-09-29,3.80,3.87,3.53,3.78,471800,3.78
2015-09-28,4.02,4.12,3.60,3.79,701300,3.79
2015-09-25,4.26,4.34,3.95,3.95,570400,3.95
2015-09-24,4.21,4.38,4.10,4.20,553200,4.20
2015-09-23,4.48,4.48,3.92,4.33,1640000,4.33
2015-09-22,4.94,4.94,4.47,4.48,535000,4.48
2015-09-21,5.01,5.30,4.67,4.77,720200,4.77
2015-09-18,4.62,5.01,4.56,4.99,660600,4.99
2015-09-17,4.51,4.70,4.48,4.66,270700,4.66
2015-09-16,4.53,4.60,4.40,4.53,204800,4.53
2015-09-15,4.24,4.62,4.24,4.50,389900,4.50
2015-09-14,4.24,4.28,4.10,4.20,303500,4.20
