Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,18.48,19.139999,18.48,19.07,235800,19.07
2016-06-09,18.40,18.719999,18.139999,18.68,421900,18.68
2016-06-08,18.41,18.60,18.370001,18.530001,46100,18.530001
2016-06-07,18.58,18.58,18.360001,18.43,110600,18.43
2016-06-06,18.34,18.610001,18.34,18.549999,76200,18.549999
2016-06-03,18.969999,18.969999,18.370001,18.379999,82400,18.379999
2016-06-02,18.629999,19.00,18.59,18.959999,164100,18.959999
2016-06-01,18.540001,18.709999,18.26,18.68,132000,18.68
2016-05-31,18.049999,18.780001,18.00,18.65,511800,18.65
2016-05-27,18.10,18.26,18.09,18.25,211500,18.25
2016-05-26,18.110001,18.190001,18.059999,18.120001,55900,18.120001
2016-05-25,18.02,18.190001,18.02,18.139999,98800,18.139999
2016-05-24,17.799999,18.030001,17.58,17.99,173300,17.99
2016-05-23,17.870001,17.98,17.65,17.709999,63300,17.709999
2016-05-20,17.67,18.15,17.629999,17.82,71400,17.82
2016-05-19,17.50,17.559999,17.10,17.549999,76300,17.549999
2016-05-18,16.889999,17.57,16.809999,17.549999,356200,17.549999
2016-05-17,17.35,17.450001,16.77,16.959999,229200,16.959999
2016-05-16,17.48,17.65,17.24,17.32,68400,17.32
2016-05-13,17.73,18.059999,17.40,17.440001,65700,17.440001
2016-05-12,17.780001,17.870001,17.690001,17.76,81500,17.76
2016-05-11,17.76,17.940001,17.700001,17.75,70000,17.75
2016-05-10,17.809999,18.00,17.73,17.809999,44100,17.809999
2016-05-09,17.940001,18.00,17.73,17.85,46100,17.85
2016-05-06,17.85,18.120001,17.85,17.959999,79300,17.959999
2016-05-05,18.25,18.25,17.75,18.01,129400,18.01
2016-05-04,18.530001,18.639999,18.120001,18.379999,106200,18.249999
2016-05-03,19.030001,19.200001,18.50,18.639999,84100,18.50816
2016-05-02,19.360001,19.65,18.50,19.040001,219200,18.905332
2016-04-29,18.879999,19.52,18.65,19.48,448300,19.342219
2016-04-28,18.700001,18.889999,18.66,18.84,38900,18.706746
2016-04-27,18.57,18.780001,18.50,18.75,29700,18.617383
2016-04-26,18.459999,18.639999,18.450001,18.57,44900,18.438655
2016-04-25,18.309999,18.540001,18.15,18.50,51800,18.369151
2016-04-22,18.68,18.68,18.379999,18.41,34000,18.279787
2016-04-21,17.639999,18.42,17.639999,18.389999,51300,18.259928
2016-04-20,18.34,18.559999,18.34,18.40,38800,18.269858
2016-04-19,18.35,18.40,18.18,18.379999,37700,18.249999
2016-04-18,18.09,18.360001,17.99,18.280001,71500,18.150708
