Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.60,12.78,12.30,12.59,57500,12.59
2016-06-09,12.87,12.87,12.26,12.69,94000,12.69
2016-06-08,13.09,13.39,12.44,12.64,103000,12.64
2016-06-07,13.19,13.58,12.92,13.09,69300,13.09
2016-06-06,13.53,13.61,12.67,13.15,154000,13.15
2016-06-03,13.69,13.72,13.50,13.65,42400,13.65
2016-06-02,13.75,13.75,13.50,13.57,84800,13.57
2016-06-01,13.47,13.68,13.39,13.58,53000,13.58
2016-05-31,13.75,13.75,13.28,13.39,55200,13.39
2016-05-27,13.67,13.74,13.51,13.57,27700,13.57
2016-05-26,13.31,13.66,13.31,13.60,43900,13.60
2016-05-25,13.36,13.44,13.25,13.37,29000,13.37
2016-05-24,13.25,13.49,13.25,13.40,38400,13.40
2016-05-23,13.25,13.32,13.25,13.29,29100,13.29
2016-05-20,13.37,13.37,13.23,13.31,36500,13.31
2016-05-19,13.32,13.47,13.28,13.37,33500,13.37
2016-05-18,13.49,13.50,13.39,13.40,10100,13.40
2016-05-17,13.31,13.50,13.29,13.49,40500,13.49
2016-05-16,12.93,13.50,12.91,13.39,86300,13.39
2016-05-13,13.29,13.31,13.02,13.20,48000,13.20
2016-05-12,13.34,13.44,13.26,13.35,68200,13.35
2016-05-11,13.35,13.46,13.21,13.31,71700,13.31
2016-05-10,13.32,13.40,13.10,13.30,34400,13.30
2016-05-09,13.40,13.55,13.08,13.21,106300,13.21
2016-05-06,13.50,13.50,13.00,13.28,106400,13.28
2016-05-05,13.37,13.55,13.00,13.48,83000,13.48
2016-05-04,12.83,13.33,12.74,13.31,56400,13.31
2016-05-03,12.99,12.99,12.61,12.88,62900,12.88
2016-05-02,13.01,13.02,12.50,12.99,110700,12.99
2016-04-29,13.29,13.40,13.14,13.20,44600,13.20
2016-04-28,13.33,13.40,13.20,13.31,28600,13.31
2016-04-27,13.56,13.60,13.21,13.35,82900,13.35
2016-04-26,13.20,13.37,13.06,13.37,74000,13.37
2016-04-25,13.00,13.20,12.97,13.12,127400,13.12
2016-04-22,12.85,13.29,12.77,13.01,80500,13.01
2016-04-21,12.93,12.93,12.54,12.87,24900,12.87
2016-04-20,12.94,13.00,12.77,12.94,25200,12.94
2016-04-19,12.82,12.98,12.75,12.92,44200,12.92
2016-04-18,11.84,12.88,11.83,12.70,70200,12.70
2016-04-15,12.75,12.85,12.25,12.34,101100,12.34
2016-04-14,12.95,12.95,12.37,12.86,111900,12.86
2016-04-13,12.97,13.04,12.92,12.96,57700,12.96
2016-04-12,13.22,13.38,12.95,13.00,88600,13.00
2016-04-11,13.52,13.52,13.22,13.22,146600,13.22
2016-04-08,13.34,13.47,13.17,13.30,57700,13.30
2016-04-07,13.20,13.45,13.20,13.30,51900,13.30
2016-04-06,13.10,13.34,13.10,13.20,39400,13.20
2016-04-05,13.00,13.27,13.00,13.07,67600,13.07
2016-04-04,13.12,13.33,13.01,13.22,118900,13.22
2016-04-01,12.87,13.10,12.87,13.00,58300,13.00
2016-03-31,12.94,13.07,12.78,12.95,91300,12.95
2016-03-30,12.95,12.97,12.78,12.93,28700,12.93
2016-03-29,12.89,12.93,12.79,12.88,48300,12.88
2016-03-28,12.75,12.97,12.73,12.81,77000,12.81
2016-03-24,12.53,12.72,12.53,12.61,29000,12.61
2016-03-23,12.34,12.49,12.34,12.42,28900,12.42
2016-03-22,12.40,12.42,12.27,12.40,57600,12.40
2016-03-21,12.35,12.39,12.30,12.39,43500,12.39
2016-03-18,12.22,12.31,12.20,12.31,48100,12.31
2016-03-17,12.17,12.24,12.03,12.22,35000,12.22
2016-03-16,12.13,12.20,12.08,12.08,22900,12.08
2016-03-15,12.15,12.25,12.03,12.21,43200,12.21
2016-03-14,12.13,12.30,12.00,12.25,38600,11.91
2016-03-11,11.69,12.13,11.69,12.11,59000,11.773886
2016-03-10,11.68,11.69,11.60,11.69,11400,11.365543
2016-03-09,11.66,11.67,11.53,11.63,7300,11.307209
2016-03-08,11.52,11.66,11.45,11.66,15400,11.336376
2016-03-07,11.45,11.68,11.45,11.59,30100,11.268319
2016-03-04,11.39,11.54,11.35,11.54,21100,11.219706
2016-03-03,11.54,11.54,11.12,11.47,15200,11.151649
2016-03-02,11.63,11.63,11.10,11.37,22500,11.054425
2016-03-01,10.98,11.61,10.83,11.55,41700,11.229429
2016-02-29,11.00,11.02,10.90,11.02,19500,10.714139
2016-02-26,11.00,11.02,10.91,10.95,12100,10.646082
2016-02-25,10.98,11.01,10.93,10.95,16400,10.646082
2016-02-24,10.79,11.00,10.79,10.97,11800,10.665527
2016-02-23,10.84,10.98,10.82,10.89,12800,10.587747
2016-02-22,11.00,11.00,10.83,10.83,15500,10.529412
2016-02-19,10.87,10.99,10.73,10.96,28600,10.655804
2016-02-18,11.02,11.02,10.80,10.96,15600,10.655804
2016-02-17,11.01,11.02,10.85,10.93,14800,10.626637
2016-02-16,11.01,11.02,10.83,11.01,22100,10.704417
2016-02-12,10.91,11.01,10.57,10.74,15300,10.44191
2016-02-11,10.56,10.86,10.56,10.84,30500,10.539135
2016-02-10,10.87,10.87,10.60,10.80,13400,10.500245
2016-02-09,10.68,10.92,10.61,10.79,24300,10.490523
2016-02-08,11.01,11.01,10.56,10.76,14100,10.461356
2016-02-05,10.92,11.02,10.77,11.01,28800,10.704417
2016-02-04,10.78,11.06,10.72,10.97,20500,10.665527
2016-02-03,11.08,11.10,10.60,10.86,16800,10.558579
2016-02-02,10.85,11.03,10.83,11.01,8800,10.704417
2016-02-01,11.00,11.00,10.62,10.98,13600,10.675249
2016-01-29,10.95,11.10,10.85,11.02,19900,10.714139
2016-01-28,10.75,10.93,10.68,10.91,17700,10.607192
2016-01-27,10.65,10.88,10.58,10.71,23800,10.412743
2016-01-26,10.20,10.68,10.15,10.62,46000,10.325241
2016-01-25,10.21,10.24,10.04,10.12,31500,9.839118
2016-01-22,10.18,10.55,10.18,10.30,18900,10.014123
2016-01-21,10.09,10.71,9.98,10.14,52900,9.858564
2016-01-20,10.32,10.36,10.08,10.21,52400,9.926621
2016-01-19,10.58,10.71,10.26,10.47,35500,10.179405
2016-01-15,10.78,10.91,10.55,10.59,35500,10.296074
2016-01-14,10.80,11.06,10.76,10.98,35000,10.675249
2016-01-13,11.28,11.41,10.73,10.83,65100,10.529412
2016-01-12,11.51,11.56,11.15,11.17,43200,10.859976
2016-01-11,11.57,11.69,11.42,11.51,62000,11.190539
2016-01-08,11.63,11.69,11.49,11.49,39500,11.171094
2016-01-07,11.58,11.72,11.49,11.57,28800,11.248873
2016-01-06,11.70,11.77,11.55,11.74,47800,11.414155
2016-01-05,11.62,11.65,11.40,11.63,47000,11.307209
2016-01-04,11.48,11.62,11.35,11.62,62300,11.297486
2015-12-31,11.47,11.69,11.46,11.48,64400,11.161371
2015-12-30,11.30,11.72,11.26,11.53,78100,11.209984
2015-12-29,11.08,11.40,11.03,11.27,57300,10.957201
2015-12-28,11.03,11.13,11.01,11.13,38300,10.821086
2015-12-24,10.87,11.09,10.87,11.06,12300,10.753029
2015-12-23,11.05,11.05,10.85,10.87,30800,10.568302
2015-12-22,10.85,10.98,10.70,10.94,24900,10.636359
2015-12-21,10.86,10.96,10.61,10.70,40800,10.40302
2015-12-18,10.85,10.91,10.56,10.74,31700,10.44191
2015-12-17,10.96,10.99,10.65,10.91,14500,10.607192
2015-12-16,10.53,10.99,10.53,10.98,31200,10.675249
2015-12-15,10.58,10.69,10.38,10.46,28200,10.169682
2015-12-14,10.96,11.15,10.61,10.87,100200,10.237738
2015-12-11,11.20,11.20,10.64,10.81,72900,10.181229
2015-12-10,10.84,11.10,10.83,10.97,25500,10.331922
2015-12-09,10.91,10.94,10.74,10.78,24900,10.152973
2015-12-08,11.07,11.07,10.75,10.86,18000,10.22832
2015-12-07,10.92,11.06,10.85,10.95,21900,10.313085
2015-12-04,10.78,10.92,10.78,10.85,9400,10.218902
2015-12-03,11.09,11.10,10.72,10.80,32300,10.17181
2015-12-02,11.09,11.10,10.86,11.10,18300,10.454361
2015-12-01,11.00,11.08,10.93,11.06,24500,10.416687
2015-11-30,10.85,10.99,10.69,10.96,36700,10.322504
2015-11-27,10.90,10.99,10.85,10.87,7600,10.237738
2015-11-25,10.89,11.11,10.81,10.94,14300,10.303667
2015-11-24,10.90,10.96,10.80,10.89,9700,10.256576
2015-11-23,11.00,11.00,10.85,10.98,4800,10.34134
2015-11-20,10.93,11.14,10.92,10.96,9600,10.322504
2015-11-19,11.07,11.29,10.84,10.99,23700,10.350758
2015-11-18,11.05,11.23,10.75,10.97,31200,10.331922
2015-11-17,10.77,11.05,10.61,11.01,33700,10.369596
2015-11-16,11.05,11.05,10.71,10.76,18400,10.134137
2015-11-13,10.80,11.06,10.71,11.00,12600,10.360177
2015-11-12,10.85,11.14,10.74,10.82,18400,10.190647
2015-11-11,11.08,11.18,10.84,10.86,13600,10.22832
2015-11-10,11.04,11.14,10.85,10.97,28400,10.331922
2015-11-09,11.06,11.26,10.81,11.15,15300,10.501452
2015-11-06,10.68,11.15,10.68,11.01,26500,10.369596
2015-11-05,11.04,11.20,10.80,10.80,6600,10.17181
2015-11-04,11.05,11.25,10.98,11.09,11900,10.444942
2015-11-03,11.00,11.15,10.76,11.02,13100,10.379014
2015-11-02,10.80,11.27,10.76,11.01,45400,10.369596
2015-10-30,11.18,11.18,10.83,10.89,22700,10.256576
2015-10-29,11.12,11.26,10.93,11.09,10200,10.444942
2015-10-28,10.78,11.31,10.70,11.16,17300,10.51087
2015-10-27,10.88,10.95,10.67,10.81,22700,10.181229
2015-10-26,11.03,11.06,10.73,11.04,26700,10.39785
2015-10-23,11.02,11.06,10.90,11.00,13900,10.360177
2015-10-22,11.06,11.06,10.66,10.94,35100,10.303667
2015-10-21,11.05,11.10,10.61,11.10,7000,10.454361
2015-10-20,10.84,11.12,10.84,11.10,6600,10.454361
2015-10-19,10.61,10.89,10.61,10.89,29800,10.256576
2015-10-16,10.39,10.69,10.37,10.58,25200,9.964607
2015-10-15,10.54,10.62,10.37,10.53,17400,9.917515
2015-10-14,10.53,10.53,10.39,10.48,10400,9.870423
2015-10-13,10.36,10.58,10.36,10.51,18300,9.898678
2015-10-12,10.39,10.47,10.35,10.46,38600,9.851587
2015-10-09,10.35,10.40,10.34,10.38,9800,9.77624
2015-10-08,10.48,10.53,10.33,10.36,44100,9.757403
2015-10-07,10.43,10.58,10.35,10.42,49900,9.813913
2015-10-06,10.30,10.53,10.28,10.36,16200,9.757403
2015-10-05,10.50,10.50,10.11,10.41,22200,9.804495
2015-10-02,10.62,10.65,10.24,10.50,22900,9.88926
2015-10-01,10.36,10.62,10.29,10.62,10500,10.00228
2015-09-30,10.28,10.42,10.05,10.24,53500,9.644383
2015-09-29,10.62,10.62,10.10,10.17,56600,9.578455
2015-09-28,10.90,11.09,10.51,10.67,35900,10.049372
2015-09-25,11.10,11.34,11.08,11.15,19300,10.501452
2015-09-24,11.06,11.46,10.75,11.03,184000,10.388432
2015-09-23,11.09,11.25,10.75,11.22,34900,10.567381
2015-09-22,10.92,11.25,10.79,11.08,23600,10.435524
2015-09-21,10.91,11.24,10.91,11.04,19200,10.39785
2015-09-18,10.59,11.17,10.59,10.93,40400,10.294249
2015-09-17,10.61,10.83,10.53,10.83,21900,10.200065
2015-09-16,10.56,10.77,10.40,10.65,25800,10.030535
2015-09-15,10.74,10.85,10.31,10.56,19800,9.94577
2015-09-14,10.90,11.10,10.62,10.67,28400,10.049372
2015-09-11,10.76,11.27,10.65,11.16,48400,10.190647
2015-09-10,10.69,11.00,10.60,10.81,62400,9.871048
2015-09-09,10.75,10.87,10.65,10.68,27700,9.75234
2015-09-08,10.84,10.87,10.58,10.66,44900,9.734077
2015-09-04,10.55,10.76,10.55,10.58,10000,9.661026
2015-09-03,10.39,10.64,10.39,10.63,17500,9.706683
2015-09-02,11.19,11.19,10.33,10.39,79400,9.487529
2015-09-01,10.91,11.03,10.53,10.88,11500,9.934968
2015-08-31,10.70,11.23,10.70,11.04,36500,10.08107
2015-08-28,10.75,10.82,10.71,10.75,12500,9.816259
2015-08-27,10.70,10.90,10.57,10.74,32400,9.807128
2015-08-26,10.53,10.55,10.40,10.55,15000,9.633632
2015-08-25,10.39,10.55,10.25,10.44,28900,9.533186
2015-08-24,10.09,10.55,10.00,10.14,107700,9.259244
2015-08-21,11.31,11.45,10.25,10.55,77300,9.633632
2015-08-20,11.30,11.67,11.30,11.39,22000,10.40067
2015-08-19,11.30,11.60,11.30,11.31,11500,10.327618
2015-08-18,11.42,11.57,11.25,11.31,20200,10.327618
2015-08-17,11.28,11.59,11.25,11.37,7000,10.382406
2015-08-14,11.25,11.28,10.95,11.25,28500,10.27283
2015-08-13,11.15,11.20,10.80,11.07,37900,10.108464
2015-08-12,11.00,11.25,10.85,11.16,25600,10.190647
2015-08-11,11.26,11.39,10.82,11.27,22900,10.291093
2015-08-10,11.06,11.42,10.77,11.36,29600,10.373275
2015-08-07,10.48,11.06,10.48,10.99,39500,10.035413
2015-08-06,10.75,11.03,10.06,10.38,63800,9.478398
2015-08-05,10.74,11.05,10.72,10.77,10000,9.834523
2015-08-04,10.85,11.00,10.71,10.73,18800,9.797996
2015-08-03,10.91,11.13,10.79,10.90,7300,9.95323
2015-07-31,10.93,11.19,10.69,10.92,9100,9.971493
2015-07-30,11.08,11.13,10.90,10.91,10100,9.962362
2015-07-29,10.70,11.08,10.66,11.08,20600,10.117596
2015-07-28,10.98,10.98,10.68,10.71,19900,9.779734
2015-07-27,11.11,11.29,10.56,10.86,67400,9.916705
2015-07-24,11.28,11.35,11.11,11.24,26500,10.263698
2015-07-23,11.70,11.70,11.27,11.29,47800,10.309355
2015-07-22,11.41,11.79,11.38,11.78,13400,10.756794
2015-07-21,11.33,11.48,11.33,11.40,11600,10.4098
2015-07-20,11.57,11.57,11.26,11.37,30500,10.382406
2015-07-17,11.75,11.75,11.53,11.53,28300,10.528509
2015-07-16,11.77,11.77,11.56,11.75,11900,10.7294
2015-07-15,11.64,11.78,11.55,11.78,14400,10.756794
2015-07-14,11.68,11.80,11.58,11.68,20000,10.66548
2015-07-13,11.94,11.94,11.66,11.73,23600,10.711137
