Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,2.60,2.62,2.48,2.57,30500,2.57
2016-06-09,2.73,2.76,2.60,2.65,30600,2.65
2016-06-08,2.62,2.76,2.50,2.76,32600,2.76
2016-06-07,2.57,2.69,2.51,2.69,56300,2.69
2016-06-06,2.45,2.57,2.45,2.57,32300,2.57
2016-06-03,2.49,2.59,2.44,2.46,32500,2.46
2016-06-02,2.59,2.59,2.51,2.52,11200,2.52
2016-06-01,2.50,2.65,2.48,2.65,31000,2.65
2016-05-31,2.63,2.63,2.51,2.54,13600,2.54
2016-05-27,2.61,2.67,2.54,2.65,146100,2.65
2016-05-26,2.55,2.58,2.55,2.58,20500,2.58
2016-05-25,2.49,2.62,2.41,2.56,42000,2.56
2016-05-24,2.41,2.56,2.41,2.53,56300,2.53
2016-05-23,2.42,2.44,2.32,2.43,16900,2.43
2016-05-20,2.32,2.41,2.30,2.39,18600,2.39
2016-05-19,2.35,2.37,2.28,2.36,26200,2.36
2016-05-18,2.40,2.40,2.28,2.38,44300,2.38
2016-05-17,2.34,2.45,2.31,2.40,41700,2.40
2016-05-16,2.40,2.45,2.33,2.35,12000,2.35
2016-05-13,2.36,2.40,2.32,2.34,35600,2.34
2016-05-12,2.40,2.43,2.35,2.40,37800,2.40
2016-05-11,2.51,2.57,2.36,2.42,54400,2.42
2016-05-10,2.49,2.61,2.36,2.55,188700,2.55
2016-05-09,2.57,2.58,2.46,2.46,34000,2.46
2016-05-06,2.60,2.65,2.57,2.60,54600,2.60
2016-05-05,2.67,2.72,2.58,2.61,52200,2.61
2016-05-04,2.73,2.75,2.66,2.70,45300,2.70
2016-05-03,2.77,2.78,2.67,2.78,10300,2.78
2016-05-02,2.80,2.81,2.72,2.77,26300,2.77
2016-04-29,2.75,2.83,2.67,2.83,117700,2.83
2016-04-28,2.85,2.92,2.72,2.76,35700,2.76
2016-04-27,2.97,2.97,2.84,2.90,11800,2.90
2016-04-26,2.94,3.01,2.83,2.96,27000,2.96
2016-04-25,2.90,2.93,2.90,2.90,4300,2.90
2016-04-22,2.84,2.94,2.79,2.90,41200,2.90
2016-04-21,2.79,2.93,2.79,2.86,16700,2.86
2016-04-20,2.82,2.88,2.81,2.82,18000,2.82
2016-04-19,2.85,2.97,2.81,2.84,45300,2.84
2016-04-18,2.89,2.98,2.81,2.85,19900,2.85
2016-04-15,2.96,2.99,2.92,2.92,29400,2.92
2016-04-14,2.97,3.02,2.94,2.94,31400,2.94
2016-04-13,3.06,3.07,3.00,3.00,41300,3.00
2016-04-12,3.09,3.09,3.02,3.04,35800,3.04
2016-04-11,3.14,3.15,3.04,3.05,50500,3.05
2016-04-08,3.21,3.24,3.05,3.11,50400,3.11
2016-04-07,3.23,3.23,3.06,3.09,68300,3.09
2016-04-06,3.27,3.29,3.15,3.25,27600,3.25
2016-04-05,3.28,3.34,3.25,3.33,9800,3.33
2016-04-04,3.19,3.34,3.19,3.29,7500,3.29
2016-04-01,3.26,3.36,3.15,3.34,7800,3.34
2016-03-31,3.14,3.39,3.11,3.39,66300,3.39
2016-03-30,3.24,3.35,3.14,3.19,325900,3.19
2016-03-29,3.21,3.38,3.10,3.27,14300,3.27
2016-03-28,3.29,3.38,3.25,3.26,9400,3.20
2016-03-24,3.17,3.25,3.17,3.24,800,3.180368
2016-03-23,3.33,3.38,3.20,3.20,2800,3.141104
2016-03-22,3.24,3.32,3.16,3.31,59800,3.24908
2016-03-21,3.35,3.37,3.19,3.25,11600,3.190184
2016-03-18,3.20,3.35,3.18,3.18,13800,3.121472
2016-03-17,3.29,3.32,3.16,3.25,9400,3.190184
2016-03-16,3.23,3.24,3.08,3.24,57000,3.180368
2016-03-15,3.28,3.34,3.25,3.31,26600,3.24908
