Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,16.74,16.99,16.67,16.75,37500,16.75
2016-06-09,16.940001,17.02,16.57,16.940001,29300,16.940001
2016-06-08,16.879999,17.190001,16.879999,17.049999,36700,17.049999
2016-06-07,16.870001,17.18,16.60,16.809999,27800,16.809999
2016-06-06,16.93,17.280001,16.93,17.030001,69000,17.030001
2016-06-03,16.84,17.040001,16.629999,17.02,63800,17.02
2016-06-02,17.360001,17.360001,16.65,16.889999,37100,16.889999
2016-06-01,16.93,17.200001,16.780001,17.17,55100,17.17
2016-05-31,17.00,17.08,16.84,16.969999,149500,16.969999
2016-05-27,16.959999,17.110001,16.85,16.93,71200,16.93
2016-05-26,16.75,16.98,16.690001,16.870001,57900,16.870001
2016-05-25,16.84,16.91,16.57,16.59,42200,16.59
2016-05-24,16.299999,16.77,16.299999,16.629999,47100,16.629999
2016-05-23,16.299999,16.40,16.120001,16.129999,55500,16.129999
2016-05-20,16.07,16.360001,16.07,16.26,42500,16.26
2016-05-19,15.94,16.10,15.68,15.97,50600,15.97
2016-05-18,15.76,16.049999,15.70,16.02,48100,16.02
2016-05-17,15.61,15.70,15.50,15.63,190100,15.63
2016-05-16,15.47,15.78,15.47,15.63,53500,15.63
2016-05-13,15.50,15.65,15.40,15.41,34000,15.41
2016-05-12,15.52,15.59,15.45,15.56,142300,15.56
2016-05-11,15.49,15.73,15.37,15.53,87800,15.53
2016-05-10,15.53,15.86,15.39,15.59,41600,15.59
2016-05-09,15.41,15.70,15.32,15.44,19600,15.44
2016-05-06,15.46,15.56,15.26,15.55,39100,15.55
2016-05-05,15.67,15.74,15.54,15.58,68100,15.58
2016-05-04,16.01,16.16,15.52,15.64,30300,15.64
2016-05-03,15.96,16.15,15.94,16.110001,48300,16.110001
2016-05-02,16.059999,16.17,15.93,16.059999,52800,16.059999
2016-04-29,15.94,16.23,15.91,16.049999,46300,16.049999
2016-04-28,15.71,16.08,15.71,16.02,87900,16.02
