Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,9.85,9.94,9.74,9.80,3980800,9.80
2016-06-09,9.93,10.03,9.88,10.02,4451900,10.02
2016-06-08,10.07,10.13,9.97,10.02,1890700,10.02
2016-06-07,9.84,10.15,9.80,10.07,5904500,10.07
2016-06-06,9.71,9.85,9.69,9.81,3929800,9.81
2016-06-03,9.90,9.90,9.67,9.71,2261200,9.71
2016-06-02,9.83,9.92,9.77,9.86,3194200,9.86
2016-06-01,9.79,9.98,9.69,9.95,4226000,9.95
2016-05-31,9.71,9.80,9.69,9.77,3537100,9.77
2016-05-27,9.51,9.68,9.51,9.66,2498600,9.66
2016-05-26,9.52,9.67,9.40,9.51,2386800,9.51
2016-05-25,9.46,9.55,9.42,9.51,2642400,9.51
2016-05-24,9.24,9.46,9.24,9.38,5042300,9.38
2016-05-23,9.22,9.34,9.17,9.18,2547600,9.18
2016-05-20,9.11,9.25,9.05,9.19,3302000,9.19
2016-05-19,9.14,9.25,8.89,9.03,2610300,9.03
2016-05-18,8.90,9.31,8.90,9.21,4639000,9.21
2016-05-17,8.99,9.14,8.90,8.95,2850700,8.95
2016-05-16,9.03,9.11,8.89,9.00,3876400,9.00
2016-05-13,8.95,9.12,8.92,8.95,3481100,8.95
2016-05-12,9.42,9.48,8.85,8.97,4915700,8.97
2016-05-11,9.31,9.57,9.30,9.39,3533400,9.39
2016-05-10,9.17,9.39,9.07,9.38,3996900,9.38
2016-05-09,9.81,9.90,9.00,9.11,7271500,9.11
2016-05-06,9.24,9.42,9.21,9.41,3662100,9.41
2016-05-05,9.35,9.50,9.24,9.29,2771400,9.29
2016-05-04,9.42,9.54,9.20,9.27,2965600,9.27
2016-05-03,9.61,9.64,9.41,9.49,2958700,9.49
2016-05-02,9.49,9.70,9.38,9.68,5912000,9.68
2016-04-29,9.77,9.80,9.38,9.47,3534400,9.47
2016-04-28,9.90,10.07,9.72,9.75,3406400,9.75
2016-04-27,9.91,10.04,9.68,10.00,4252900,10.00
2016-04-26,9.66,10.02,9.66,9.99,10857300,9.99
2016-04-25,9.80,9.91,9.59,9.59,2457500,9.59
2016-04-22,9.76,9.92,9.70,9.83,2799400,9.83
2016-04-21,9.88,9.96,9.80,9.81,3900800,9.81
2016-04-20,9.56,9.92,9.51,9.86,3108100,9.86
2016-04-19,9.74,9.79,9.53,9.58,2752500,9.58
2016-04-18,9.63,9.68,9.53,9.65,2618200,9.65
2016-04-15,9.71,9.77,9.53,9.66,2311500,9.66
2016-04-14,9.68,9.79,9.51,9.75,2501100,9.75
2016-04-13,9.42,9.72,9.41,9.72,1985000,9.72
2016-04-12,9.47,9.50,9.26,9.43,1993400,9.43
2016-04-11,9.57,9.64,9.44,9.46,2260100,9.46
