Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.299999,22.299999,22.27,22.290001,900,22.290001
2016-06-09,22.00,22.26,22.00,22.10,1100,22.10
2016-06-08,22.49,22.49,21.879999,22.120001,600,22.120001
2016-06-07,21.73,21.73,21.73,21.73,700,21.73
2016-06-06,22.01,22.200001,21.90,22.200001,1100,22.200001
2016-06-03,21.75,22.49,21.700001,21.75,3200,21.75
2016-06-02,21.799999,22.120001,21.68,21.719999,6200,21.719999
2016-06-01,21.60,21.60,21.549999,21.549999,800,21.549999
2016-05-31,22.08,22.549999,22.08,22.280001,600,22.280001
2016-05-27,22.190001,22.200001,21.90,21.93,7100,21.93
2016-05-26,21.780001,22.48,21.77,22.48,9300,22.48
2016-05-25,22.43,22.43,21.60,22.00,1400,22.00
2016-05-24,21.98,21.98,21.98,21.98,000,21.98
2016-05-23,21.860001,22.16,21.75,21.98,700,21.98
2016-05-20,21.75,22.65,21.75,21.860001,3500,21.860001
2016-05-19,21.969999,21.969999,21.969999,21.969999,200,21.969999
2016-05-18,22.18,22.18,21.870001,21.98,500,21.98
2016-05-17,22.60,22.60,21.75,21.879999,700,21.879999
2016-05-16,22.10,22.10,22.10,22.10,000,22.10
2016-05-13,21.90,22.10,21.90,22.10,400,22.10
2016-05-12,22.610001,22.610001,22.200001,22.200001,600,22.200001
2016-05-11,22.18,22.379999,21.719999,22.379999,1400,22.379999
2016-05-10,22.10,22.48,21.85,22.48,18500,22.48
2016-05-09,21.91,21.99,21.91,21.99,500,21.99
2016-05-06,21.85,22.00,21.85,21.91,1200,21.91
2016-05-05,21.90,21.969999,21.610001,21.860001,800,21.860001
2016-05-04,21.48,21.940001,21.48,21.549999,1700,21.549999
2016-05-03,21.799999,21.799999,21.799999,21.799999,700,21.799999
2016-05-02,21.459999,21.549999,21.40,21.50,5100,21.50
2016-04-29,21.889999,21.889999,21.889999,21.889999,000,21.889999
2016-04-28,21.889999,21.889999,21.889999,21.889999,000,21.889999
2016-04-27,22.299999,22.35,21.40,21.889999,3500,21.889999
2016-04-26,22.00,22.00,21.85,21.99,2600,21.78
2016-04-25,22.00,22.00,22.00,22.00,600,21.789904
2016-04-22,22.10,22.10,21.57,21.75,4600,21.542292
2016-04-21,22.040001,22.040001,22.040001,22.040001,300,21.829523
2016-04-20,21.940001,22.299999,21.940001,21.940001,2800,21.730478
2016-04-19,22.17,22.40,22.00,22.00,1500,21.789904
2016-04-18,22.00,22.00,21.940001,21.940001,2600,21.730478
2016-04-15,22.200001,22.200001,21.940001,21.950001,1600,21.740383
2016-04-14,21.90,22.35,21.90,21.940001,3900,21.730478
2016-04-13,22.35,22.35,22.10,22.10,500,21.88895
2016-04-12,21.90,21.90,21.90,21.90,000,21.690859
2016-04-11,21.90,22.15,21.90,21.90,900,21.690859
2016-04-08,22.02,22.02,21.90,21.90,500,21.690859
2016-04-07,22.219999,22.219999,21.77,21.879999,2900,21.67105
2016-04-06,22.389999,22.389999,22.389999,22.389999,300,22.176179
2016-04-05,21.709999,21.709999,21.709999,21.709999,2000,21.502673
2016-04-04,21.700001,21.700001,21.700001,21.700001,500,21.49277
2016-04-01,22.299999,22.40,21.799999,21.799999,800,21.591814
2016-03-31,21.84,22.00,21.709999,21.75,1600,21.542292
2016-03-30,21.77,22.40,21.77,22.40,2200,22.186084
2016-03-29,22.10,22.10,21.700001,21.77,1500,21.562101
2016-03-28,22.200001,22.200001,22.200001,22.200001,300,21.987995
2016-03-24,22.200001,22.200001,22.200001,22.200001,300,21.987995
2016-03-23,22.059999,22.309999,22.00,22.309999,600,22.096944
2016-03-22,22.030001,22.030001,22.030001,22.030001,600,21.819619
2016-03-21,22.440001,22.440001,22.00,22.030001,6100,21.819619
2016-03-18,22.74,22.75,22.700001,22.709999,600,22.493123
2016-03-17,22.52,22.52,22.459999,22.459999,300,22.245511
2016-03-16,22.51,22.51,22.51,22.51,200,22.295034
2016-03-15,22.639999,22.639999,22.639999,22.639999,2600,22.423792
2016-03-14,23.49,23.49,23.00,23.00,800,22.780355
2016-03-11,22.639999,22.639999,22.639999,22.639999,000,22.423792
2016-03-10,22.42,22.889999,22.42,22.639999,1100,22.423792
