Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.59,15.76,15.51,15.70,3404500,15.70
2016-06-09,15.98,15.98,15.58,15.74,2004200,15.74
2016-06-08,15.82,15.90,15.74,15.89,2298500,15.89
2016-06-07,15.85,15.90,15.76,15.77,1929100,15.77
2016-06-06,15.79,15.97,15.71,15.89,2723100,15.89
2016-06-03,15.76,15.81,15.34,15.75,4209400,15.75
2016-06-02,15.91,16.00,15.85,16.00,2104100,16.00
2016-06-01,15.76,16.00,15.71,15.97,3563800,15.97
2016-05-31,15.92,15.92,15.75,15.88,4126600,15.88
2016-05-27,15.73,15.86,15.65,15.85,3044800,15.85
2016-05-26,15.81,15.82,15.61,15.66,2784700,15.66
2016-05-25,15.66,15.94,15.66,15.84,4253900,15.84
2016-05-24,15.42,15.67,15.40,15.63,3115600,15.63
2016-05-23,15.42,15.49,15.34,15.40,3061400,15.40
2016-05-20,15.30,15.47,15.20,15.42,11302600,15.42
2016-05-19,15.31,15.42,15.16,15.27,4159600,15.27
2016-05-18,14.99,15.41,14.97,15.38,4521200,15.38
2016-05-17,15.18,15.23,14.91,14.99,4577100,14.99
2016-05-16,15.04,15.27,15.01,15.21,4277100,15.21
2016-05-13,15.27,15.38,15.01,15.04,4453500,15.04
2016-05-12,15.27,15.36,15.14,15.28,3708600,15.28
2016-05-11,15.23,15.43,15.18,15.24,5610400,15.24
2016-05-10,15.18,15.28,15.09,15.21,16358500,15.21
2016-05-09,15.00,15.14,14.93,15.13,5129200,15.13
2016-05-06,14.94,15.05,14.88,15.04,3690700,15.04
2016-05-05,15.14,15.20,14.94,15.00,4201100,15.00
2016-05-04,15.23,15.29,14.93,15.06,5498000,15.06
2016-05-03,15.38,15.49,15.20,15.30,4047300,15.30
2016-05-02,15.53,15.60,15.42,15.55,3841200,15.55
2016-04-29,15.52,15.58,15.38,15.50,6059300,15.50
2016-04-28,15.67,15.76,15.45,15.53,4354400,15.53
2016-04-27,15.98,16.139999,15.70,15.81,5119600,15.81
2016-04-26,16.030001,16.15,15.97,16.15,5392700,15.98
2016-04-25,16.15,16.15,15.87,16.040001,3136800,15.871159
2016-04-22,15.67,16.129999,15.64,16.09,5971800,15.920632
2016-04-21,16.65,16.68,15.80,15.87,6566500,15.702948
2016-04-20,16.379999,16.50,16.25,16.48,2935900,16.306526
2016-04-19,16.219999,16.360001,16.18,16.35,3046700,16.177895
2016-04-18,16.030001,16.200001,15.95,16.190001,2327400,16.01958
2016-04-15,16.17,16.219999,16.01,16.07,2890300,15.900842
2016-04-14,16.00,16.32,15.97,16.129999,3432400,15.96021
2016-04-13,15.76,16.049999,15.75,16.030001,3476200,15.861264
2016-04-12,15.56,15.68,15.38,15.65,2685800,15.485263
2016-04-11,15.45,15.67,15.43,15.46,3172600,15.297263
2016-04-08,15.46,15.61,15.34,15.38,4338800,15.218106
2016-04-07,15.63,15.68,15.24,15.31,4136100,15.148843
2016-04-06,15.65,15.72,15.50,15.72,3227400,15.554527
2016-04-05,15.51,15.86,15.51,15.64,4028200,15.475369
2016-04-04,16.139999,16.139999,15.96,16.049999,2728900,15.881052
2016-04-01,15.83,16.129999,15.77,16.129999,4472000,15.96021
2016-03-31,16.09,16.120001,15.84,15.93,4382200,15.762316
2016-03-30,15.97,16.219999,15.90,16.09,4150300,15.920632
2016-03-29,15.81,15.96,15.67,15.92,3645000,15.752421
2016-03-28,15.95,15.99,15.80,15.85,4353800,15.683159
2016-03-24,15.90,15.94,15.73,15.86,4779800,15.693053
2016-03-23,16.139999,16.17,15.96,15.96,3569300,15.792
2016-03-22,16.01,16.27,15.99,16.17,3393800,15.99979
2016-03-21,15.82,16.129999,15.82,16.129999,2869400,15.96021
2016-03-18,15.99,16.23,15.77,16.02,6293000,15.851369
2016-03-17,15.84,15.99,15.59,15.94,3274600,15.77221
2016-03-16,15.80,16.02,15.66,15.84,4002500,15.673264
2016-03-15,15.76,15.92,15.73,15.88,3369900,15.712842
2016-03-14,15.87,15.99,15.70,15.90,3285700,15.732631
2016-03-11,15.84,15.95,15.69,15.94,3333700,15.77221
2016-03-10,15.56,15.79,15.42,15.72,5429000,15.554527
2016-03-09,14.84,15.58,14.84,15.41,2987900,15.24779
2016-03-08,15.55,15.66,15.46,15.48,3903100,15.317052
2016-03-07,15.49,15.69,15.43,15.63,2931700,15.465474
