Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,17.25,17.25,17.25,17.25,000,17.25
2016-06-09,18.27,18.27,16.51,17.25,5400,17.25
2016-06-08,16.440001,17.25,16.41,17.24,37600,17.24
2016-06-07,16.48,16.690001,16.40,16.65,37000,16.65
2016-06-06,16.639999,16.690001,16.389999,16.43,9600,16.43
2016-06-03,16.00,16.00,16.00,16.00,000,16.00
2016-06-02,16.23,16.25,16.00,16.00,1100,16.00
2016-06-01,16.40,16.40,16.209999,16.209999,800,16.209999
2016-05-31,16.33,16.440001,16.200001,16.440001,3600,16.440001
2016-05-27,15.98,16.00,15.98,16.00,1900,16.00
2016-05-26,16.15,16.15,16.15,16.15,000,16.15
2016-05-25,16.15,16.15,16.15,16.15,000,16.15
2016-05-24,16.15,16.15,16.15,16.15,000,16.15
2016-05-23,15.85,16.59,15.81,16.15,7500,16.15
2016-05-20,16.280001,16.280001,16.280001,16.280001,000,16.280001
2016-05-19,16.280001,16.280001,16.280001,16.280001,000,16.280001
2016-05-18,16.459999,16.459999,16.280001,16.280001,300,16.280001
2016-05-17,15.77,16.00,15.75,15.87,11300,15.87
2016-05-16,15.78,15.87,15.75,15.75,64200,15.75
2016-05-13,15.65,15.75,15.65,15.75,300,15.75
2016-05-12,15.85,15.94,15.85,15.85,4600,15.85
2016-05-11,15.74,15.78,15.74,15.77,1400,15.77
2016-05-10,15.75,15.75,15.75,15.75,000,15.75
2016-05-09,15.62,15.90,15.50,15.75,24800,15.75
2016-05-06,15.84,15.85,15.71,15.85,600,15.85
2016-05-05,15.84,15.85,15.84,15.84,1100,15.84
2016-05-04,15.90,15.90,15.85,15.85,2800,15.85
2016-05-03,15.90,15.90,15.85,15.85,1400,15.85
2016-05-02,15.90,15.90,15.90,15.90,200,15.90
2016-04-29,15.90,15.90,15.90,15.90,000,15.84
2016-04-28,16.00,16.00,15.70,15.90,10700,15.84
2016-04-27,15.60,16.200001,15.60,16.00,20600,15.939623
2016-04-26,15.95,16.10,15.88,15.88,1900,15.820076
2016-04-25,16.08,16.15,16.08,16.15,300,16.089056
2016-04-22,16.190001,16.190001,16.190001,16.190001,000,16.128906
2016-04-21,16.00,16.190001,16.00,16.190001,500,16.128906
2016-04-20,16.10,16.110001,16.059999,16.059999,3300,15.999396
2016-04-19,16.33,16.33,16.18,16.18,1400,16.118944
2016-04-18,16.07,16.540001,16.01,16.01,800,15.949585
2016-04-15,15.99,15.99,15.99,15.99,100,15.92966
2016-04-14,16.08,16.08,16.08,16.08,000,16.019321
2016-04-13,16.440001,16.50,16.08,16.08,300,16.019321
2016-04-12,16.190001,16.190001,16.190001,16.190001,000,16.128906
2016-04-11,16.190001,16.23,16.190001,16.190001,2100,16.128906
2016-04-08,16.549999,16.549999,16.40,16.40,1500,16.338113
2016-04-07,16.59,16.65,16.59,16.59,2500,16.527397
2016-04-06,16.719999,16.719999,16.719999,16.719999,200,16.656905
