Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,27.42,27.51,26.91,27.200001,115000,27.200001
2016-06-09,27.790001,27.790001,27.25,27.639999,119600,27.639999
2016-06-08,27.940001,28.02,27.809999,27.959999,131500,27.959999
2016-06-07,27.76,28.110001,27.690001,27.93,250000,27.93
2016-06-06,27.52,27.84,27.389999,27.77,188600,27.77
2016-06-03,27.50,27.60,27.08,27.540001,163600,27.540001
2016-06-02,27.18,27.52,26.17,27.49,209100,27.49
2016-06-01,26.40,27.32,25.90,27.309999,611300,27.309999
2016-05-31,26.43,26.690001,26.219999,26.370001,211600,26.370001
2016-05-27,26.10,26.639999,26.10,26.559999,140300,26.559999
2016-05-26,26.15,26.23,25.809999,26.10,255400,26.10
2016-05-25,26.459999,26.469999,25.98,26.16,93400,26.16
2016-05-24,25.860001,26.43,25.860001,26.389999,227200,26.389999
2016-05-23,25.77,25.90,25.58,25.75,154700,25.75
2016-05-20,25.09,25.610001,25.01,25.610001,221600,25.610001
2016-05-19,25.219999,25.540001,24.440001,25.00,221200,25.00
2016-05-18,24.959999,25.549999,24.85,25.33,121900,25.33
2016-05-17,25.67,25.719999,24.959999,25.040001,183800,25.040001
2016-05-16,25.629999,25.93,25.629999,25.74,133500,25.74
2016-05-13,25.700001,25.950001,25.50,25.629999,124200,25.629999
2016-05-12,25.860001,26.049999,25.370001,25.700001,165000,25.700001
2016-05-11,26.10,26.43,25.68,25.73,135100,25.73
2016-05-10,25.969999,26.290001,25.809999,26.25,288200,26.25
2016-05-09,25.98,26.18,25.620001,25.950001,292000,25.950001
2016-05-06,27.530001,28.719999,25.40,25.959999,546000,25.959999
2016-05-05,26.68,26.73,25.90,26.07,150300,26.07
2016-05-04,26.450001,26.629999,26.17,26.51,164700,26.51
2016-05-03,26.76,27.049999,26.48,26.67,162100,26.67
2016-05-02,26.450001,27.040001,26.360001,27.00,152000,27.00
2016-04-29,26.360001,26.629999,26.200001,26.389999,331500,26.389999
2016-04-28,26.459999,26.82,26.200001,26.33,308300,26.33
2016-04-27,26.370001,26.59,26.17,26.50,89700,26.50
2016-04-26,26.18,26.48,26.059999,26.41,93300,26.41
2016-04-25,26.120001,26.610001,26.030001,26.139999,71800,26.139999
2016-04-22,26.24,26.48,26.059999,26.26,105000,26.26
2016-04-21,26.09,26.639999,26.09,26.32,165700,26.32
2016-04-20,26.17,26.33,25.98,26.09,95900,26.09
2016-04-19,26.50,26.50,25.809999,26.129999,158700,26.129999
2016-04-18,24.780001,26.43,24.780001,26.290001,423300,26.290001
2016-04-15,24.57,25.00,24.57,24.83,82400,24.83
2016-04-14,24.91,24.91,24.68,24.700001,75700,24.700001
2016-04-13,24.50,25.030001,24.50,24.99,122800,24.99
2016-04-12,24.49,24.639999,24.110001,24.32,103000,24.32
2016-04-11,24.610001,24.959999,24.42,24.440001,100100,24.440001
2016-04-08,24.77,24.90,24.389999,24.60,131300,24.60
2016-04-07,24.790001,24.889999,24.48,24.629999,170300,24.629999
2016-04-06,24.780001,24.99,24.75,24.92,82500,24.92
2016-04-05,25.00,25.09,24.75,24.809999,135900,24.809999
2016-04-04,25.32,25.51,25.049999,25.18,97100,25.18
2016-04-01,25.16,25.43,25.02,25.299999,148100,25.299999
2016-03-31,25.209999,25.60,25.139999,25.379999,183900,25.379999
2016-03-30,25.00,25.389999,24.790001,25.209999,170900,25.209999
2016-03-29,24.27,25.00,24.01,24.969999,181300,24.939999
2016-03-28,24.60,24.60,24.200001,24.309999,90300,24.280792
2016-03-24,24.01,24.59,23.799999,24.43,175800,24.400649
2016-03-23,24.75,24.790001,24.08,24.10,204400,24.071045
2016-03-22,24.719999,24.969999,24.620001,24.780001,93100,24.750229
2016-03-21,25.00,25.040001,24.629999,24.870001,152900,24.840121
2016-03-18,25.110001,25.33,24.940001,25.07,224700,25.039879
2016-03-17,24.700001,25.08,24.65,24.959999,124600,24.930011
2016-03-16,24.610001,25.049999,24.50,24.879999,198800,24.850107
2016-03-15,24.77,24.83,24.530001,24.66,165900,24.630372
2016-03-14,24.969999,25.15,24.879999,24.969999,267000,24.939999
2016-03-11,25.02,25.200001,24.780001,24.969999,214800,24.939999
2016-03-10,25.27,25.51,24.549999,24.84,180000,24.810156
2016-03-09,25.450001,25.639999,24.959999,25.200001,152800,25.169724
2016-03-08,25.24,25.60,25.17,25.290001,198000,25.259616
2016-03-07,25.34,25.85,25.280001,25.48,144900,25.449387
2016-03-04,25.440001,25.60,25.16,25.51,236900,25.479351
2016-03-03,25.389999,25.469999,25.120001,25.40,146000,25.369483
2016-03-02,25.629999,25.65,25.190001,25.50,279600,25.469363
2016-03-01,24.66,25.58,24.299999,25.57,358200,25.539279
2016-02-29,25.00,25.26,24.26,24.35,340800,24.320745
2016-02-26,24.75,25.32,24.049999,24.85,446400,24.820144
2016-02-25,22.92,23.17,22.209999,23.110001,464400,23.082235
2016-02-24,21.93,23.040001,21.719999,22.93,481200,22.902451
2016-02-23,22.09,22.35,21.92,22.120001,168800,22.093425
2016-02-22,22.110001,22.43,22.040001,22.16,189700,22.133376
2016-02-19,21.469999,22.219999,21.219999,21.85,330400,21.823749
2016-02-18,21.91,22.08,21.469999,21.50,376400,21.474169
2016-02-17,21.719999,23.35,21.530001,21.809999,516000,21.783796
2016-02-16,21.57,22.93,21.49,21.66,160900,21.633976
2016-02-12,20.99,21.549999,20.83,21.280001,131300,21.254434
2016-02-11,20.610001,20.91,20.530001,20.73,173100,20.705093
2016-02-10,20.780001,21.700001,20.690001,20.90,178500,20.874889
2016-02-09,20.51,21.129999,20.440001,20.620001,143300,20.595227
2016-02-08,20.629999,21.00,20.379999,20.77,216000,20.745046
2016-02-05,23.370001,23.49,21.00,21.110001,475700,21.084638
2016-02-04,23.780001,23.92,23.33,23.51,176100,23.481754
2016-02-03,23.379999,24.02,22.60,23.950001,639700,23.921226
2016-02-02,23.639999,23.639999,22.84,23.219999,302700,23.192102
2016-02-01,23.370001,23.959999,23.15,23.809999,238000,23.781393
2016-01-29,23.24,23.66,23.24,23.50,158100,23.471766
2016-01-28,23.389999,23.389999,22.91,23.10,101900,23.072247
2016-01-27,23.709999,23.83,23.10,23.16,120000,23.132174
2016-01-26,23.889999,24.040001,23.48,23.82,134400,23.791381
2016-01-25,24.18,24.360001,23.67,23.73,117800,23.701489
2016-01-22,24.02,24.40,23.959999,24.32,181500,24.29078
2016-01-21,24.09,24.25,23.67,23.74,136800,23.711477
2016-01-20,23.360001,24.35,23.09,24.10,211200,24.071045
2016-01-19,24.35,24.719999,23.440001,23.719999,260700,23.691501
2016-01-15,23.73,24.34,23.52,24.16,189200,24.130973
2016-01-14,24.299999,24.76,23.690001,24.389999,327400,24.360696
2016-01-13,25.34,25.59,24.17,24.25,146000,24.220865
2016-01-12,25.10,25.40,24.700001,25.23,259800,25.199687
2016-01-11,25.09,25.209999,24.57,24.82,342100,24.79018
2016-01-08,25.780001,26.200001,24.870001,24.90,205700,24.870083
2016-01-07,26.48,26.540001,25.66,25.700001,226100,25.669123
2016-01-06,26.709999,27.18,26.610001,26.91,163100,26.877669
2016-01-05,27.08,27.530001,26.57,27.190001,186800,27.157333
2016-01-04,27.040001,27.309999,26.780001,27.059999,216500,27.027488
2015-12-31,27.969999,28.17,27.50,27.50,109200,27.46696
2015-12-30,28.209999,28.40,28.030001,28.049999,65000,28.016299
2015-12-29,28.030001,28.370001,27.85,28.26,92200,28.226047
2015-12-28,27.950001,28.25,27.68,27.959999,95800,27.896442
2015-12-24,27.969999,28.25,27.879999,28.10,31600,28.036125
2015-12-23,27.98,28.23,27.83,27.969999,66000,27.90642
2015-12-22,27.860001,27.950001,27.50,27.889999,97600,27.826601
2015-12-21,27.65,27.870001,27.280001,27.77,129200,27.706875
2015-12-18,27.440001,27.969999,27.389999,27.540001,358200,27.477399
2015-12-17,28.16,28.40,27.43,27.450001,110900,27.387603
2015-12-16,27.950001,28.08,27.60,27.969999,80300,27.90642
2015-12-15,27.41,27.889999,26.639999,27.809999,134000,27.746783
2015-12-14,27.209999,27.50,27.049999,27.24,129200,27.178079
2015-12-11,27.75,28.030001,27.24,27.370001,180100,27.307785
2015-12-10,27.90,28.450001,27.84,28.23,182700,28.165829
2015-12-09,28.25,28.690001,27.870001,28.02,160900,27.956307
2015-12-08,28.209999,28.549999,27.82,28.43,146900,28.365375
2015-12-07,29.129999,29.360001,28.33,28.469999,166300,28.405283
2015-12-04,28.82,29.26,28.780001,29.15,184800,29.083738
2015-12-03,29.559999,29.700001,28.709999,28.75,124300,28.684647
2015-12-02,29.379999,29.73,29.27,29.42,231800,29.353124
2015-12-01,29.620001,29.85,29.32,29.450001,501300,29.383057
2015-11-30,29.08,29.90,29.08,29.540001,304200,29.472852
2015-11-27,29.01,29.370001,28.950001,29.190001,71000,29.123648
2015-11-25,29.030001,29.24,28.67,29.030001,140900,28.964011
2015-11-24,28.59,29.049999,28.469999,28.92,211000,28.854261
2015-11-23,28.860001,28.879999,28.639999,28.719999,110200,28.654715
2015-11-20,28.99,29.09,28.719999,28.76,135600,28.694625
2015-11-19,28.84,29.290001,28.84,28.90,119600,28.834306
2015-11-18,28.790001,28.83,28.42,28.780001,261000,28.71458
2015-11-17,28.65,29.50,28.549999,28.780001,171800,28.71458
2015-11-16,28.219999,28.719999,28.09,28.549999,143900,28.485101
2015-11-13,28.74,28.75,28.209999,28.290001,116400,28.225694
2015-11-12,28.98,29.15,28.73,28.90,114300,28.834306
2015-11-11,29.40,29.530001,29.01,29.02,137500,28.954034
2015-11-10,29.18,29.84,29.18,29.309999,142500,29.243374
2015-11-09,29.83,30.09,29.32,29.389999,192800,29.323192
2015-11-06,29.389999,30.07,29.379999,29.92,232800,29.851988
2015-11-05,29.93,30.23,29.190001,29.52,188800,29.452897
2015-11-04,28.60,30.129999,28.60,29.93,391600,29.861965
2015-11-03,28.139999,28.969999,28.049999,28.59,272200,28.525011
2015-11-02,27.84,28.40,27.790001,28.17,243600,28.105966
2015-10-30,27.889999,28.07,27.65,27.889999,172600,27.826601
2015-10-29,27.84,28.15,27.43,27.889999,344300,27.826601
2015-10-28,26.25,28.49,26.25,28.17,609000,28.105966
