Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,22.00,22.209999,21.09,21.16,1204300,21.16
2016-06-09,22.139999,22.27,21.620001,22.190001,777900,22.190001
2016-06-08,22.290001,22.559999,21.709999,22.280001,338700,22.280001
2016-06-07,22.24,22.540001,22.01,22.23,412600,22.23
2016-06-06,22.01,22.25,21.950001,22.23,521000,22.23
2016-06-03,21.799999,22.030001,21.700001,22.01,540500,22.01
2016-06-02,21.469999,21.860001,21.40,21.74,506700,21.74
2016-06-01,21.709999,21.85,21.52,21.549999,665300,21.549999
2016-05-31,21.469999,21.860001,21.32,21.780001,660500,21.780001
2016-05-27,21.15,21.559999,21.030001,21.40,575400,21.40
2016-05-26,21.129999,21.360001,20.90,21.120001,678100,21.120001
2016-05-25,20.91,21.23,20.65,21.16,641500,21.16
2016-05-24,20.77,20.99,20.65,20.879999,557000,20.879999
2016-05-23,20.809999,20.83,20.65,20.65,356300,20.65
2016-05-20,20.66,20.93,20.290001,20.76,382900,20.76
2016-05-19,20.08,20.68,19.780001,20.610001,567200,20.610001
2016-05-18,20.40,20.57,20.09,20.299999,801400,20.299999
2016-05-17,20.26,20.700001,19.90,20.49,573000,20.49
2016-05-16,20.35,20.73,20.18,20.26,797000,20.26
2016-05-13,19.65,20.459999,19.40,20.309999,885100,20.309999
2016-05-12,20.09,20.17,19.57,19.66,936200,19.66
2016-05-11,20.40,20.610001,19.950001,20.00,607300,20.00
2016-05-10,20.32,20.809999,19.50,20.43,984800,20.43
2016-05-09,20.43,21.24,19.35,20.40,1038300,20.40
2016-05-06,20.219999,20.629999,20.09,20.299999,825600,20.299999
2016-05-05,20.52,20.85,20.120001,20.25,667100,20.25
2016-05-04,20.42,20.700001,20.16,20.43,639500,20.43
2016-05-03,20.889999,21.110001,20.139999,20.469999,735800,20.469999
2016-05-02,20.969999,21.209999,20.83,21.059999,650000,21.059999
2016-04-29,21.57,22.07,20.790001,21.00,747200,21.00
2016-04-28,21.719999,22.030001,21.27,21.48,976400,21.48
2016-04-27,21.43,22.049999,21.200001,21.92,1352200,21.92
2016-04-26,20.790001,21.50,20.77,21.440001,1127300,21.440001
2016-04-25,21.23,21.25,20.559999,20.59,702000,20.59
2016-04-22,20.620001,21.309999,20.620001,21.27,1080900,21.27
2016-04-21,20.49,20.76,20.379999,20.719999,917500,20.719999
2016-04-20,20.299999,20.620001,20.15,20.40,463800,20.40
2016-04-19,20.469999,20.610001,20.129999,20.40,622200,20.40
2016-04-18,19.85,20.549999,19.75,20.41,1164800,20.41
2016-04-15,19.58,20.309999,19.33,20.18,1467400,20.18
2016-04-14,19.559999,19.68,19.290001,19.49,780300,19.49
2016-04-13,19.459999,19.700001,18.77,19.559999,1391800,19.559999
2016-04-12,18.049999,19.26,18.049999,19.200001,653800,19.200001
2016-04-11,18.450001,18.719999,18.01,18.07,472600,18.07
2016-04-08,18.030001,18.799999,18.030001,18.33,557100,18.33
2016-04-07,18.33,18.93,18.040001,18.15,1043700,18.15
2016-04-06,18.34,18.639999,18.17,18.49,951600,18.49
2016-04-05,18.40,18.68,17.700001,18.26,1337100,18.26
2016-04-04,18.219999,19.32,18.219999,18.969999,1015300,18.969999
2016-04-01,18.700001,19.110001,18.280001,18.51,883900,18.51
2016-03-31,19.360001,19.60,18.860001,19.07,1047800,19.07
2016-03-30,19.27,19.50,19.10,19.309999,690800,19.309999
2016-03-29,18.43,19.25,18.10,19.17,604600,19.17
2016-03-28,19.00,19.110001,18.719999,18.879999,573600,18.498999
2016-03-24,18.32,18.860001,18.10,18.84,657800,18.459807
2016-03-23,18.870001,19.00,18.51,18.51,616700,18.136466
2016-03-22,18.90,19.110001,18.75,19.030001,603300,18.645973
2016-03-21,19.09,19.27,18.67,19.040001,449800,18.655772
2016-03-18,19.10,19.299999,18.65,19.10,851900,18.71456
2016-03-17,18.959999,19.16,18.65,19.08,959100,18.694963
2016-03-16,18.83,19.139999,18.52,18.93,656500,18.547991
2016-03-15,18.370001,18.76,18.030001,18.76,553300,18.381421
2016-03-14,18.93,19.15,18.42,18.59,798100,18.214852
2016-03-11,18.92,19.33,18.32,19.15,611800,18.763551
2016-03-10,18.65,18.860001,18.40,18.75,538400,18.371623
2016-03-09,18.10,18.98,18.02,18.620001,506300,18.244247
2016-03-08,18.700001,18.780001,18.040001,18.049999,799800,17.685748
2016-03-07,17.59,19.02,17.540001,18.76,883700,18.381421
2016-03-04,17.52,18.50,17.27,17.889999,1101100,17.528977
2016-03-03,18.25,18.67,17.389999,17.57,1072200,17.215435
2016-03-02,17.559999,18.389999,17.389999,18.33,1187600,17.960099
2016-03-01,16.950001,17.700001,16.280001,17.610001,923300,17.254629
2016-02-29,16.629999,17.43,14.56,16.98,2170800,16.637341
2016-02-26,16.23,16.299999,15.74,16.18,1176300,15.853486
2016-02-25,16.41,16.49,15.84,16.040001,835300,15.716312
2016-02-24,16.209999,16.459999,15.71,16.40,776600,16.069046
2016-02-23,16.65,16.82,16.129999,16.459999,1139600,16.127835
2016-02-22,16.610001,17.15,16.52,16.809999,598300,16.470772
2016-02-19,16.690001,16.90,16.309999,16.43,745300,16.098441
2016-02-18,17.219999,17.40,16.48,16.860001,893800,16.519764
2016-02-17,16.809999,17.610001,16.65,17.08,1006100,16.735324
2016-02-16,16.129999,16.91,15.83,16.65,795400,16.314001
2016-02-12,15.60,15.98,15.33,15.90,825900,15.579136
2016-02-11,15.20,15.73,15.05,15.47,934300,15.157814
2016-02-10,16.209999,16.469999,15.44,15.51,921000,15.197007
2016-02-09,16.50,16.65,15.90,16.110001,1005500,15.784899
2016-02-08,17.33,17.559999,16.52,16.75,871600,16.411983
2016-02-05,17.27,18.120001,17.059999,17.549999,964700,17.195838
2016-02-04,17.549999,18.26,17.08,17.48,830100,17.127251
2016-02-03,17.76,17.93,17.110001,17.540001,1146900,17.186042
2016-02-02,18.24,18.40,17.58,17.75,594200,17.391803
2016-02-01,18.84,18.969999,18.389999,18.559999,621600,18.185457
2016-01-29,19.25,19.74,18.77,18.950001,919500,18.567588
2016-01-28,18.389999,19.34,18.200001,19.10,1296800,18.71456
2016-01-27,17.540001,18.469999,17.41,18.139999,754400,17.773932
2016-01-26,17.27,17.82,17.02,17.59,435300,17.235032
2016-01-25,17.92,18.33,17.32,17.360001,695700,17.009674
2016-01-22,17.57,18.33,17.379999,18.17,1437600,17.803328
2016-01-21,17.110001,17.540001,16.620001,17.25,1613000,16.901893
2016-01-20,16.559999,17.09,15.73,17.02,1699300,16.676535
2016-01-19,17.879999,17.879999,16.57,16.790001,1718600,16.451177
2016-01-15,17.57,17.809999,16.709999,17.530001,2187000,17.176243
2016-01-14,18.049999,18.450001,17.50,18.110001,1637900,17.744539
2016-01-13,18.870001,19.10,17.700001,17.870001,1378900,17.509382
2016-01-12,19.35,20.290001,18.459999,18.76,1184300,18.381421
2016-01-11,19.42,19.700001,18.969999,19.08,783100,18.694963
2016-01-08,19.43,19.83,19.17,19.23,807000,18.841936
2016-01-07,19.620001,20.00,19.16,19.26,793900,18.871331
2016-01-06,19.790001,20.25,19.75,20.17,730200,19.762967
2016-01-05,20.27,20.73,19.940001,20.09,1001600,19.684582
2016-01-04,20.41,21.01,19.91,20.290001,1278600,19.880547
2015-12-31,20.790001,21.129999,20.40,20.91,709700,20.488034
2015-12-30,20.90,21.34,20.690001,20.83,642200,20.409648
2015-12-29,21.43,21.700001,20.950001,20.99,620100,20.566419
2015-12-28,22.01,22.190001,21.40,21.799999,826600,20.995581
2015-12-24,22.00,22.23,21.59,22.16,699700,21.342298
2015-12-23,21.780001,22.07,21.620001,21.99,905900,21.17857
