Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,31.91,32.240002,31.719999,32.099998,15400,32.099998
2016-06-09,32.700001,32.700001,32.16,32.41,20800,32.41
2016-06-08,32.790001,32.970001,32.700001,32.869999,23900,32.869999
2016-06-07,33.43,33.43,32.68,32.700001,14400,32.700001
2016-06-06,33.00,33.48,32.990002,33.43,38000,33.43
2016-06-03,33.00,33.009998,32.57,33.009998,43800,33.009998
2016-06-02,33.029999,33.240002,33.00,33.240002,19700,33.240002
2016-06-01,32.919998,33.380001,32.889999,33.139999,33700,33.139999
2016-05-31,33.040001,33.169998,32.849998,32.919998,60300,32.919998
2016-05-27,32.68,33.110001,32.150002,33.040001,18300,33.040001
2016-05-26,32.599998,32.73,32.509998,32.68,16200,32.68
2016-05-25,32.580002,32.880001,32.349998,32.759998,22900,32.759998
2016-05-24,31.83,32.639999,31.780001,32.580002,37800,32.580002
2016-05-23,31.709999,31.99,31.57,31.83,26100,31.83
2016-05-20,31.42,31.870001,31.42,31.809999,34100,31.809999
2016-05-19,31.790001,31.879999,31.02,31.360001,31100,31.360001
2016-05-18,30.68,31.940001,30.68,31.92,45500,31.92
2016-05-17,31.530001,31.620001,30.120001,30.60,44500,30.60
2016-05-16,31.209999,31.85,31.059999,31.67,25900,31.67
2016-05-13,31.26,31.52,31.25,31.32,34300,31.32
2016-05-12,31.799999,31.870001,31.09,31.389999,31200,31.389999
2016-05-11,31.639999,31.91,31.639999,31.799999,14200,31.799999
2016-05-10,31.50,31.92,31.50,31.77,24500,31.77
2016-05-09,31.549999,31.85,31.26,31.42,23800,31.42
2016-05-06,31.219999,31.60,31.09,31.549999,20800,31.549999
2016-05-05,31.92,32.119999,31.43,31.450001,31100,31.450001
2016-05-04,31.700001,32.169998,31.700001,31.92,45900,31.92
2016-05-03,32.18,32.279999,31.92,32.00,68600,32.00
2016-05-02,31.92,32.459999,31.809999,32.299999,39500,32.299999
2016-04-29,31.58,32.009998,31.52,31.76,44400,31.76
2016-04-28,31.41,31.709999,31.41,31.610001,19000,31.610001
2016-04-27,32.16,32.16,31.42,31.690001,20200,31.690001
2016-04-26,32.150002,32.68,31.469999,32.049999,30900,32.049999
2016-04-25,31.41,32.310001,31.00,32.150002,44500,32.150002
2016-04-22,30.73,31.66,30.73,31.57,28100,31.57
2016-04-21,31.389999,31.389999,30.709999,30.719999,27100,30.719999
2016-04-20,30.18,31.549999,30.17,31.389999,26400,31.389999
2016-04-19,29.92,30.25,29.91,30.18,44100,30.18
2016-04-18,29.190001,30.18,29.190001,29.92,24900,29.92
2016-04-15,29.98,30.280001,29.35,29.51,46500,29.51
2016-04-14,30.299999,30.559999,29.969999,30.129999,17700,30.129999
2016-04-13,29.57,30.77,29.540001,30.360001,45500,30.360001
2016-04-12,29.120001,29.790001,29.059999,29.57,15700,29.57
2016-04-11,29.299999,29.799999,28.85,28.99,27600,28.99
2016-04-08,28.870001,29.469999,28.870001,29.299999,36900,29.299999
2016-04-07,29.00,29.110001,28.68,28.860001,28100,28.860001
2016-04-06,29.00,29.459999,28.85,29.370001,30900,29.370001
2016-04-05,29.41,29.50,29.049999,29.110001,21700,29.110001
2016-04-04,30.040001,30.08,29.75,29.85,35400,29.70
2016-04-01,30.290001,30.67,30.01,30.15,28600,29.998491
2016-03-31,30.25,30.60,30.139999,30.25,39900,30.097989
2016-03-30,29.629999,30.34,29.57,30.219999,30700,30.068139
2016-03-29,29.00,29.860001,28.77,29.629999,35500,29.481104
2016-03-28,28.84,29.549999,28.76,29.030001,47300,28.884121
2016-03-24,29.50,29.50,28.60,28.83,31200,28.685125
2016-03-23,29.75,29.780001,29.280001,29.370001,27700,29.222412
2016-03-22,29.93,29.940001,29.67,29.77,26200,29.620402
2016-03-21,29.98,30.26,29.790001,29.93,24500,29.779598
2016-03-18,29.799999,30.50,29.33,30.110001,63100,29.958693
2016-03-17,29.01,29.959999,28.690001,29.76,30100,29.610452
2016-03-16,29.76,30.459999,29.07,29.309999,44800,29.162712
2016-03-15,30.09,30.18,29.639999,29.799999,28500,29.65025
2016-03-14,30.52,30.57,29.98,30.129999,22700,29.978591
2016-03-11,30.00,30.66,29.60,30.59,27600,30.436281
2016-03-10,30.08,30.25,29.530001,29.99,39800,29.839296
2016-03-09,30.219999,30.219999,29.75,30.059999,17200,29.908944
2016-03-08,29.83,30.68,29.83,30.200001,24900,30.048241
2016-03-07,30.07,30.34,29.889999,30.09,33100,29.938793
2016-03-04,29.879999,30.26,29.559999,30.23,23400,30.078089
2016-03-03,29.639999,30.08,29.559999,29.879999,32600,29.729848
2016-03-02,29.73,29.85,29.52,29.690001,35700,29.540804
2016-03-01,28.83,29.77,28.280001,29.76,30800,29.610452
2016-02-29,28.48,28.870001,28.48,28.549999,75600,28.406531
2016-02-26,27.950001,28.58,27.629999,28.52,43500,28.376683
2016-02-25,26.959999,28.00,26.959999,27.950001,28900,27.809548
2016-02-24,27.01,27.09,26.35,27.00,103800,26.864321
2016-02-23,27.35,27.50,27.17,27.18,46500,27.043417
2016-02-22,27.41,27.690001,27.25,27.559999,43100,27.421506
2016-02-19,27.110001,27.59,27.09,27.40,125800,27.262311
2016-02-18,28.110001,28.15,27.209999,27.440001,38100,27.30211
2016-02-17,28.92,28.92,28.00,28.139999,33000,27.998592
2016-02-16,29.309999,29.309999,28.299999,28.76,25100,28.615477
2016-02-12,28.709999,29.370001,28.27,28.959999,27600,28.814471
2016-02-11,28.60,28.870001,27.59,28.17,32300,28.028442
2016-02-10,30.00,30.879999,28.969999,29.10,21700,28.953769
2016-02-09,29.09,30.139999,29.09,29.809999,20100,29.6602
2016-02-08,29.17,29.76,28.52,29.459999,41800,29.311958
2016-02-05,30.42,30.59,29.26,29.280001,76900,29.132864
2016-02-04,30.90,31.15,30.120001,30.34,34700,30.187537
2016-02-03,31.559999,31.559999,30.34,30.950001,59400,30.794472
2016-02-02,31.90,31.90,31.110001,31.24,51600,31.083014
2016-02-01,32.419998,32.509998,31.52,32.130001,42800,31.968543
2016-01-29,32.049999,32.549999,31.66,32.50,40100,32.336683
2016-01-28,31.440001,32.299999,31.440001,31.940001,27400,31.779497
2016-01-27,31.790001,32.099998,31.049999,31.309999,46500,31.152662
2016-01-26,31.02,31.950001,30.700001,31.799999,41300,31.6402
2016-01-25,30.42,31.25,29.799999,31.00,51500,30.84422
2016-01-22,30.48,31.15,29.780001,30.530001,49800,30.376583
2016-01-21,30.10,30.50,29.469999,29.879999,36400,29.729848
2016-01-20,30.32,30.65,29.450001,30.280001,52100,30.127839
2016-01-19,31.129999,31.24,30.190001,30.66,59100,30.505929
2016-01-15,30.299999,31.09,29.219999,30.969999,82300,30.81437
2016-01-14,31.07,31.41,30.549999,30.799999,39200,30.645225
2016-01-13,32.00,32.029999,30.530001,30.74,45200,30.585527
2016-01-12,31.90,32.299999,31.290001,32.02,74300,31.859095
2016-01-11,32.139999,32.18,31.35,31.60,48700,31.441206
2016-01-08,31.879999,32.439999,31.32,31.92,174400,31.759597
2016-01-07,32.349998,32.470001,31.549999,31.68,46400,31.520804
2016-01-06,32.34,33.360001,31.299999,32.73,28900,32.565526
2016-01-05,32.560001,32.740002,32.50,32.66,40300,32.495879
2016-01-04,32.639999,33.619999,31.51,32.580002,64800,32.267036
2015-12-31,33.66,33.900002,33.00,33.02,30100,32.702808
2015-12-30,33.75,33.919998,33.450001,33.599998,32000,33.277235
2015-12-29,34.07,34.34,33.580002,33.82,34900,33.495123
2015-12-28,33.82,34.07,33.23,33.830002,13800,33.505029
2015-12-24,33.619999,34.220001,33.549999,33.810001,8900,33.48522
2015-12-23,33.869999,34.00,33.330002,33.560001,35200,33.237622
2015-12-22,33.299999,33.84,32.610001,33.740002,26600,33.415893
2015-12-21,33.830002,35.200001,33.00,33.34,40000,33.019734
2015-12-18,33.700001,33.939999,33.139999,33.529999,104200,33.207907
2015-12-17,34.310001,34.860001,33.619999,33.889999,21100,33.56445
2015-12-16,34.00,34.43,33.669998,34.150002,30700,33.821954
2015-12-15,33.18,33.860001,33.099998,33.73,29300,33.405987
2015-12-14,32.759998,33.189999,32.560001,32.880001,38300,32.564154
2015-12-11,33.349998,33.439999,32.50,32.740002,55000,32.425499
2015-12-10,34.34,34.380001,33.84,33.959999,29300,33.633777
2015-12-09,35.07,35.450001,34.029999,34.209999,28200,33.881376
2015-12-08,34.900002,35.709999,34.57,35.040001,76200,34.703404
2015-12-07,35.630001,36.299999,35.00,35.220001,53100,34.881676
2015-12-04,35.049999,35.709999,34.970001,35.599998,34000,35.258023
2015-12-03,35.66,35.77,34.98,35.009998,51800,34.67369
2015-12-02,36.150002,36.470001,35.509998,35.52,28700,35.178793
