Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,16.549999,16.91,16.50,16.73,22200,16.73
2016-06-09,16.379999,16.690001,16.24,16.60,25200,16.60
2016-06-08,16.190001,16.43,16.18,16.370001,22000,16.370001
2016-06-07,16.110001,16.23,16.049999,16.190001,16300,16.190001
2016-06-06,16.16,16.280001,16.10,16.18,15800,16.18
2016-06-03,16.120001,16.209999,16.01,16.209999,8500,16.209999
2016-06-02,16.059999,16.25,16.059999,16.219999,7600,16.219999
2016-06-01,16.23,16.25,16.030001,16.15,17800,16.15
2016-05-31,16.24,16.24,16.059999,16.209999,6900,16.209999
2016-05-27,16.200001,16.35,16.110001,16.35,11700,16.35
2016-05-26,16.23,16.389999,16.16,16.219999,10200,16.219999
2016-05-25,16.16,16.25,16.01,16.190001,18000,16.190001
2016-05-24,16.700001,17.280001,16.00,16.23,57700,16.23
2016-05-23,16.65,16.75,16.620001,16.74,17000,16.74
2016-05-20,16.00,16.84,15.95,16.610001,40400,16.610001
2016-05-19,15.94,16.00,15.81,15.96,26700,15.96
2016-05-18,15.89,16.00,15.76,15.94,18500,15.94
2016-05-17,16.129999,16.200001,15.86,15.87,15700,15.87
2016-05-16,16.139999,16.200001,15.93,16.139999,23800,16.139999
2016-05-13,16.00,16.15,15.95,16.120001,15100,16.120001
2016-05-12,16.07,16.10,16.07,16.10,5100,16.10
2016-05-11,16.10,16.15,16.01,16.15,2800,16.15
2016-05-10,15.60,16.18,15.60,16.10,25300,16.10
2016-05-09,15.98,15.99,15.39,15.78,12300,15.78
2016-05-06,15.71,16.00,15.71,15.98,6600,15.98
2016-05-05,16.02,16.02,15.70,15.74,4900,15.74
2016-05-04,15.80,16.00,15.52,16.00,12400,16.00
2016-05-03,15.67,15.99,15.42,15.92,20100,15.92
2016-05-02,15.89,16.00,15.67,15.78,10500,15.78
2016-04-29,15.50,15.97,15.50,15.96,8300,15.96
2016-04-28,15.95,16.02,15.78,15.98,11000,15.98
2016-04-27,15.95,16.08,15.63,15.94,22100,15.94
2016-04-26,16.00,16.10,15.80,16.049999,16600,16.049999
2016-04-25,15.76,16.00,15.60,15.99,16900,15.99
2016-04-22,15.46,16.00,15.46,15.76,9900,15.76
2016-04-21,15.99,16.00,15.91,15.96,4300,15.96
2016-04-20,16.00,16.00,15.63,15.96,10500,15.96
2016-04-19,15.99,16.040001,15.85,15.94,7900,15.94
2016-04-18,15.83,16.09,15.53,15.93,9200,15.93
2016-04-15,15.65,16.09,15.65,15.86,16400,15.86
2016-04-14,15.45,15.99,15.42,15.93,12800,15.93
2016-04-13,15.60,15.83,15.25,15.75,10400,15.75
2016-04-12,15.29,15.57,15.05,15.52,23800,15.52
2016-04-11,15.40,15.45,15.04,15.23,6800,15.23
2016-04-08,15.16,15.54,14.97,15.11,39700,15.11
2016-04-07,15.72,15.92,15.07,15.18,52800,15.18
2016-04-06,15.57,15.93,15.37,15.67,22900,15.67
2016-04-05,15.63,15.76,15.26,15.65,22300,15.65
2016-04-04,15.70,15.96,15.56,15.75,22100,15.75
2016-04-01,15.87,15.96,15.80,15.96,17500,15.96
2016-03-31,15.86,15.88,15.68,15.76,16800,15.76
2016-03-30,15.68,15.85,15.52,15.84,12600,15.84
2016-03-29,15.67,15.75,15.45,15.55,11200,15.55
2016-03-28,15.77,15.84,15.58,15.74,14500,15.74
2016-03-24,15.34,15.75,15.16,15.65,8900,15.65
2016-03-23,15.31,15.34,15.16,15.28,7600,15.28
2016-03-22,15.08,15.33,14.76,15.32,38200,15.32
2016-03-21,15.01,15.29,14.76,15.26,22600,15.26
2016-03-18,14.76,15.02,14.76,14.88,15800,14.88
2016-03-17,14.83,15.00,14.61,14.83,12200,14.83
2016-03-16,14.92,15.04,14.90,14.90,6000,14.90
2016-03-15,14.72,14.75,14.60,14.73,13600,14.73
2016-03-14,14.66,14.81,14.63,14.68,20400,14.68
2016-03-11,14.96,15.21,14.76,14.79,7800,14.79
2016-03-10,15.09,15.10,14.86,14.90,17600,14.75
2016-03-09,15.77,15.80,14.95,15.09,44000,14.938088
2016-03-08,16.309999,16.309999,15.17,15.41,30300,15.254866
2016-03-07,15.95,16.25,15.89,16.209999,15300,16.046811
2016-03-04,16.00,16.25,15.64,15.80,13400,15.64094
2016-03-03,16.00,16.209999,15.46,15.87,20000,15.710235
2016-03-02,15.57,16.24,15.56,16.16,13200,15.997315
2016-03-01,15.50,15.79,15.41,15.70,14600,15.541946
2016-02-29,15.59,15.75,15.29,15.50,11900,15.34396
2016-02-26,15.38,15.77,15.38,15.72,6800,15.561745
2016-02-25,15.41,15.67,15.25,15.66,11000,15.502349
2016-02-24,15.02,15.49,14.86,15.46,20200,15.304363
2016-02-23,15.33,15.33,14.96,15.11,11400,14.957886
2016-02-22,15.13,15.50,15.11,15.33,10300,15.175671
2016-02-19,15.40,15.50,15.00,15.07,13900,14.918288
2016-02-18,14.81,15.19,14.81,14.85,2900,14.700504
2016-02-17,15.08,15.58,14.87,15.11,7900,14.957886
2016-02-16,14.76,15.28,14.76,15.00,16700,14.848993
2016-02-12,14.59,14.94,14.50,14.94,6600,14.789597
2016-02-11,14.55,14.72,14.45,14.45,9400,14.30453
2016-02-10,14.82,14.94,14.67,14.76,9600,14.61141
2016-02-09,14.71,14.93,14.69,14.69,13300,14.542114
2016-02-08,15.06,15.13,14.81,14.85,15000,14.700504
2016-02-05,15.36,15.43,15.04,15.16,13300,15.007383
2016-02-04,15.30,15.54,15.30,15.32,8900,15.165772
2016-02-03,15.30,15.55,15.30,15.32,12200,15.165772
2016-02-02,15.45,15.60,15.39,15.50,10600,15.34396
2016-02-01,15.23,15.60,15.18,15.60,17300,15.442954
2016-01-29,15.58,15.63,15.31,15.31,3700,15.155873
2016-01-28,15.41,15.53,15.31,15.41,6300,15.254866
2016-01-27,15.16,15.40,15.16,15.40,2800,15.244966
2016-01-26,15.13,15.23,15.00,15.23,7500,15.076678
2016-01-25,15.31,15.37,15.00,15.00,21100,14.848993
2016-01-22,15.57,15.57,15.40,15.53,6800,15.373658
2016-01-21,15.83,15.83,15.33,15.40,13600,15.244966
2016-01-20,15.66,15.66,15.26,15.42,24200,15.264765
2016-01-19,15.62,16.17,15.52,15.65,13400,15.492449
2016-01-15,15.68,15.95,15.56,15.66,12700,15.502349
2016-01-14,15.79,15.99,15.43,15.93,9900,15.769631
2016-01-13,15.82,15.93,15.34,15.34,10200,15.185571
2016-01-12,16.10,16.10,15.69,15.88,10500,15.720134
2016-01-11,15.96,16.139999,15.85,16.049999,17200,15.888422
2016-01-08,16.02,16.059999,15.82,15.96,4000,15.799329
2016-01-07,16.129999,16.309999,15.86,15.97,11100,15.809229
2016-01-06,16.17,16.469999,16.17,16.25,8600,16.08641
2016-01-05,16.42,16.450001,16.18,16.32,16400,16.155705
2016-01-04,16.280001,16.719999,15.75,16.389999,42400,16.225
2015-12-31,16.450001,16.879999,15.91,16.440001,42600,16.274497
2015-12-30,15.75,15.89,15.71,15.87,17600,15.710235
2015-12-29,15.54,15.83,15.48,15.75,38000,15.591443
2015-12-28,15.41,15.57,15.37,15.45,28500,15.294463
2015-12-24,15.26,15.54,15.25,15.35,9100,15.19547
2015-12-23,15.19,15.25,15.13,15.25,6500,15.096477
2015-12-22,15.16,15.16,15.06,15.11,9200,14.957886
2015-12-21,15.15,15.16,15.06,15.13,18000,14.977685
2015-12-18,15.14,15.15,15.05,15.05,25400,14.89849
2015-12-17,15.05,15.15,15.01,15.05,3900,14.89849
2015-12-16,15.05,15.20,15.01,15.20,3400,15.04698
2015-12-15,15.09,15.13,15.00,15.10,15200,14.947987
2015-12-14,14.87,15.00,14.76,15.00,9100,14.848993
2015-12-11,14.65,15.06,14.65,14.90,4500,14.75
2015-12-10,14.68,15.10,14.63,14.90,14400,14.60151
2015-12-09,14.50,14.69,14.50,14.62,4500,14.327119
2015-12-08,15.39,15.39,14.07,14.40,30600,14.111526
2015-12-07,15.37,15.58,15.37,15.44,2600,15.130692
2015-12-04,15.17,15.56,15.17,15.30,4400,14.993497
2015-12-03,15.25,15.53,15.06,15.27,7000,14.964098
2015-12-02,15.49,15.49,15.08,15.30,11000,14.993497
2015-12-01,15.48,15.58,15.27,15.29,1800,14.983697
2015-11-30,15.33,15.50,15.10,15.27,4800,14.964098
2015-11-27,15.32,15.32,15.16,15.29,800,14.983697
2015-11-25,15.20,15.30,15.10,15.10,1700,14.797504
2015-11-24,15.11,15.30,15.11,15.28,1300,14.973897
2015-11-23,15.08,15.26,15.08,15.09,8200,14.787704
2015-11-20,15.14,15.35,15.09,15.09,1900,14.787704
2015-11-19,15.44,15.44,15.04,15.31,1900,15.003297
2015-11-18,15.17,15.35,15.10,15.15,4600,14.846501
2015-11-17,15.29,15.40,15.03,15.05,10800,14.748505
2015-11-16,15.25,15.58,15.25,15.40,6700,15.091493
2015-11-13,15.65,15.65,15.25,15.27,7400,14.964098
2015-11-12,15.55,15.55,15.33,15.45,1600,15.140492
2015-11-11,15.53,15.58,15.40,15.55,13100,15.238489
2015-11-10,15.50,15.50,15.15,15.47,4800,15.160092
2015-11-09,15.05,15.55,15.05,15.51,3000,15.19929
2015-11-06,15.48,15.61,15.32,15.53,3100,15.218889
2015-11-05,15.37,15.54,15.09,15.47,4700,15.160092
2015-11-04,15.35,15.68,15.05,15.50,13500,15.18949
2015-11-03,14.79,15.39,14.79,15.35,21600,15.042496
2015-11-02,14.90,15.00,14.72,14.99,4300,14.689707
2015-10-30,15.00,15.00,14.73,14.73,7200,14.434915
2015-10-29,14.87,15.00,14.87,14.99,2900,14.689707
2015-10-28,14.78,15.15,14.63,14.81,6100,14.513313
2015-10-27,14.74,14.76,14.40,14.62,8200,14.327119
2015-10-26,14.45,14.70,14.37,14.68,6400,14.385918
2015-10-23,14.26,14.50,14.26,14.47,4800,14.180124
2015-10-22,14.35,14.44,14.13,14.44,4100,14.150725
2015-10-21,14.33,14.38,14.30,14.30,1200,14.01353
2015-10-20,14.10,14.24,14.08,14.24,12600,13.954732
2015-10-19,14.29,14.29,14.07,14.09,2400,13.807737
2015-10-16,14.17,14.41,14.05,14.07,4400,13.788137
2015-10-15,14.43,14.49,14.09,14.40,5100,14.111526
2015-10-14,14.42,14.43,14.20,14.40,2800,14.111526
2015-10-13,14.18,14.38,14.18,14.38,3900,14.091927
2015-10-12,14.34,14.34,14.02,14.10,10700,13.817537
2015-10-09,14.20,14.42,14.20,14.21,13700,13.925333
2015-10-08,14.21,14.38,14.02,14.36,4800,14.072327
2015-10-07,14.19,14.44,14.02,14.13,14400,13.846935
2015-10-06,14.42,14.42,14.01,14.14,14100,13.856735
2015-10-05,14.23,14.48,14.03,14.40,11500,14.111526
2015-10-02,14.35,14.52,14.24,14.24,1800,13.954732
2015-10-01,14.34,14.74,14.16,14.54,4800,14.248722
2015-09-30,14.54,14.54,14.15,14.24,5800,13.954732
2015-09-29,14.51,14.70,13.80,14.40,18300,14.111526
2015-09-28,14.53,14.78,14.53,14.78,5300,14.483914
2015-09-25,14.77,14.80,14.54,14.80,1400,14.503514
2015-09-24,14.65,14.78,14.55,14.70,1600,14.405516
2015-09-23,14.80,14.80,14.75,14.75,900,14.454515
2015-09-22,14.77,14.78,14.65,14.65,4400,14.356518
2015-09-21,14.80,14.80,14.55,14.55,3400,14.258522
2015-09-18,14.48,14.80,14.48,14.80,11900,14.503514
2015-09-17,14.75,14.85,14.60,14.61,4400,14.317319
2015-09-16,14.75,14.93,14.65,14.84,4500,14.542712
2015-09-15,15.02,15.03,14.60,14.60,5800,14.30752
2015-09-14,14.51,14.74,14.51,14.55,4700,14.258522
2015-09-11,14.77,14.95,14.50,14.74,4400,14.444715
2015-09-10,15.02,15.02,14.90,14.99,3800,14.542712
2015-09-09,15.15,15.32,15.00,15.11,11300,14.659131
2015-09-08,15.37,15.50,15.09,15.09,2300,14.639728
2015-09-04,15.10,15.50,15.10,15.10,2700,14.64943
2015-09-03,15.34,15.50,15.09,15.28,6800,14.824058
2015-09-02,15.50,15.55,15.35,15.36,2900,14.901671
2015-09-01,15.30,15.50,15.20,15.49,4300,15.027792
2015-08-31,15.21,15.50,15.21,15.50,4900,15.037494
2015-08-28,15.39,15.50,15.26,15.26,4200,14.804656
2015-08-27,15.07,15.39,15.00,15.38,6400,14.921075
2015-08-26,14.87,15.07,14.87,14.95,9400,14.503905
2015-08-25,14.27,14.65,14.27,14.65,3100,14.212857
2015-08-24,14.52,14.68,14.40,14.40,4100,13.970317
2015-08-21,14.70,14.95,14.70,14.84,3500,14.397188
2015-08-20,14.80,14.92,14.71,14.82,1800,14.377784
2015-08-19,14.85,14.96,14.80,14.96,4700,14.513607
2015-08-18,14.87,14.87,14.65,14.80,5800,14.358382
2015-08-17,14.92,14.92,14.72,14.72,2800,14.280769
2015-08-14,15.07,15.07,14.93,14.94,1400,14.494203
2015-08-13,15.08,15.08,15.01,15.06,700,14.610624
2015-08-12,14.98,15.24,14.98,15.08,2000,14.630026
2015-08-11,14.70,15.11,14.70,14.77,700,14.329277
2015-08-10,15.20,15.45,14.76,14.76,5100,14.319575
2015-08-07,15.02,15.07,14.68,14.81,2800,14.368083
2015-08-06,15.15,15.15,15.05,15.05,1200,14.600922
2015-08-05,15.03,15.19,15.03,15.19,1300,14.736744
2015-08-04,15.30,15.46,15.03,15.03,2300,14.581518
2015-08-03,15.04,15.50,15.04,15.30,3900,14.843462
2015-07-31,15.44,15.44,15.08,15.08,300,14.630026
2015-07-30,15.47,15.47,15.11,15.34,3500,14.882268
2015-07-29,15.54,15.54,15.43,15.49,3000,15.027792
2015-07-28,15.48,15.50,15.43,15.45,1600,14.988986
2015-07-27,15.42,15.50,15.42,15.49,3000,15.027792
2015-07-24,15.54,15.70,15.49,15.50,5700,15.037494
2015-07-23,15.51,15.58,15.43,15.49,7600,15.027792
2015-07-22,15.54,15.57,15.51,15.51,2000,15.047196
2015-07-21,15.58,15.58,15.45,15.58,2000,15.115107
2015-07-20,15.57,15.57,15.52,15.57,500,15.105405
2015-07-17,15.57,15.57,15.56,15.56,2300,15.095704
