Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.30,12.31,12.19,12.25,79400,12.25
2016-06-09,12.33,12.34,12.20,12.32,74800,12.32
2016-06-08,12.30,12.35,12.03,12.33,66300,12.33
2016-06-07,12.29,12.32,12.21,12.27,62600,12.27
2016-06-06,12.10,12.35,12.10,12.28,78800,12.28
2016-06-03,12.13,12.14,12.00,12.10,31500,12.10
2016-06-02,12.13,12.14,11.97,12.14,47100,12.14
2016-06-01,12.08,12.11,11.90,12.10,60100,12.10
2016-05-31,12.09,12.09,12.00,12.01,45300,12.01
2016-05-27,12.22,12.25,12.04,12.09,42100,12.09
2016-05-26,12.10,12.27,11.90,12.15,103100,12.15
2016-05-25,12.00,12.09,11.95,12.05,77600,12.05
2016-05-24,12.04,12.05,11.87,11.97,72400,11.97
2016-05-23,12.04,12.10,11.87,11.91,51600,11.91
2016-05-20,11.99,12.07,11.67,11.96,141400,11.96
2016-05-19,12.08,12.08,11.61,11.74,246700,11.74
2016-05-18,12.02,12.08,11.88,12.03,72300,12.03
2016-05-17,11.97,12.07,11.93,12.07,105100,11.975
2016-05-16,11.94,12.05,11.93,11.99,77500,11.89563
2016-05-13,11.93,12.10,11.89,11.92,93600,11.826181
2016-05-12,11.99,12.06,11.93,11.96,56600,11.865866
2016-05-11,11.93,12.04,11.90,11.99,58600,11.89563
2016-05-10,11.86,11.97,11.81,11.95,67500,11.855945
2016-05-09,11.76,11.96,11.75,11.88,86800,11.786496
2016-05-06,11.50,11.75,11.50,11.68,52000,11.58807
2016-05-05,11.48,11.69,11.48,11.58,50800,11.488857
2016-05-04,11.65,11.66,11.53,11.60,70000,11.5087
2016-05-03,11.70,11.70,11.50,11.62,115500,11.528542
2016-05-02,11.94,11.96,11.67,11.74,100500,11.647597
2016-04-29,12.06,12.06,11.79,11.86,83500,11.766653
2016-04-28,12.06,12.06,11.94,12.03,92100,11.935315
2016-04-27,11.90,12.09,11.90,12.03,74300,11.935315
2016-04-26,11.90,11.99,11.88,11.95,112700,11.855945
2016-04-25,12.00,12.05,11.86,11.93,114500,11.836102
2016-04-22,12.12,12.15,12.00,12.05,29300,11.955158
2016-04-21,12.17,12.19,12.03,12.08,78700,11.984921
2016-04-20,12.19,12.22,12.03,12.18,63100,12.084135
2016-04-19,12.18,12.26,12.12,12.17,133200,12.074213
2016-04-18,11.99,12.21,11.71,12.12,122800,12.024607
2016-04-15,12.02,12.18,11.88,12.02,73300,11.831142
2016-04-14,11.90,12.04,11.83,11.97,174900,11.781927
2016-04-13,11.90,11.94,11.85,11.87,102700,11.683498
2016-04-12,11.70,11.89,11.70,11.88,134800,11.693341
2016-04-11,11.76,11.88,11.67,11.75,141100,11.565384
2016-04-08,11.85,11.90,11.70,11.78,122600,11.594912
2016-04-07,11.85,11.85,11.69,11.80,75700,11.614598
2016-04-06,11.80,11.85,11.70,11.84,72800,11.65397
2016-04-05,11.65,11.85,11.54,11.82,99100,11.634284
2016-04-04,11.86,11.86,11.56,11.69,93900,11.506326
2016-04-01,11.68,11.85,11.66,11.81,104000,11.624441
2016-03-31,11.52,11.72,11.52,11.70,130300,11.516169
2016-03-30,11.60,11.72,11.42,11.54,60000,11.358683
2016-03-29,11.46,11.63,11.46,11.55,60000,11.368526
2016-03-28,11.46,11.54,11.45,11.54,48500,11.358683
2016-03-24,11.55,11.57,11.45,11.50,39900,11.319312
2016-03-23,11.69,11.69,11.55,11.55,46800,11.368526
2016-03-22,11.55,11.74,11.49,11.67,79800,11.486641
2016-03-21,11.63,11.70,11.47,11.52,128800,11.338998
2016-03-18,11.60,11.64,11.53,11.57,88000,11.388212
2016-03-17,11.50,11.77,11.49,11.60,156900,11.417741
2016-03-16,11.36,11.53,11.36,11.50,77900,11.319312
2016-03-15,11.58,11.58,11.47,11.48,44200,11.206118
2016-03-14,11.55,11.67,11.50,11.55,78100,11.274448
2016-03-11,11.49,11.56,11.47,11.56,52200,11.28421
2016-03-10,11.49,11.50,11.40,11.46,52100,11.186595
2016-03-09,11.42,11.52,11.41,11.48,68000,11.206118
2016-03-08,11.35,11.46,11.32,11.42,80000,11.14755
2016-03-07,11.47,11.52,11.38,11.42,51900,11.14755
2016-03-04,11.55,11.55,11.38,11.49,69500,11.215879
2016-03-03,11.39,11.50,11.37,11.48,90300,11.206118
2016-03-02,11.53,11.53,11.35,11.42,80100,11.14755
2016-03-01,11.37,11.45,11.30,11.45,89200,11.176834
2016-02-29,11.27,11.39,11.20,11.30,75200,11.030413
2016-02-26,11.25,11.40,11.19,11.31,118900,11.040174
2016-02-25,11.11,11.25,11.11,11.25,37400,10.981605
2016-02-24,11.01,11.14,10.89,11.13,46000,10.864468
2016-02-23,11.14,11.23,11.10,11.10,41000,10.835184
2016-02-22,11.12,11.39,11.05,11.13,149900,10.864468
