Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.00,13.00,12.93,12.93,900,12.93
2016-06-09,12.94,13.15,12.90,12.94,7000,12.94
2016-06-08,12.99,13.00,12.94,13.00,4600,13.00
2016-06-07,13.00,13.00,12.90,12.90,10000,12.90
2016-06-06,13.10,13.10,12.98,12.98,2100,12.98
2016-06-03,13.01,13.01,13.01,13.01,000,13.01
2016-06-02,13.09,13.10,13.01,13.01,900,13.01
2016-06-01,13.16,13.16,13.00,13.00,5000,13.00
2016-05-31,12.98,13.14,12.92,13.14,3500,13.14
2016-05-27,13.08,13.08,12.90,12.92,2500,12.92
2016-05-26,12.93,13.08,12.90,13.05,3800,13.05
2016-05-25,13.08,13.12,12.94,12.94,6700,12.94
2016-05-24,12.92,13.12,12.91,12.98,3600,12.98
2016-05-23,12.90,13.12,12.90,13.04,2900,13.04
2016-05-20,12.92,13.18,12.90,12.91,3500,12.91
2016-05-19,12.90,12.91,12.90,12.91,800,12.91
2016-05-18,13.01,13.01,12.88,12.98,6200,12.98
2016-05-17,13.04,13.13,12.92,12.92,1000,12.92
2016-05-16,12.92,13.32,12.88,13.11,6500,13.11
2016-05-13,13.15,13.15,12.92,12.92,3700,12.92
2016-05-12,13.18,13.27,13.15,13.15,700,13.15
2016-05-11,13.11,13.18,13.11,13.18,300,13.18
2016-05-10,13.18,13.18,13.18,13.18,800,13.18
2016-05-09,13.36,13.56,13.20,13.26,22400,13.26
2016-05-06,13.31,13.45,13.31,13.36,1500,13.36
2016-05-05,13.25,13.36,13.20,13.31,11800,13.31
2016-05-04,12.95,13.16,12.91,13.14,3400,13.14
2016-05-03,13.12,13.15,13.07,13.07,1600,13.07
2016-05-02,13.84,13.84,12.91,13.11,22200,13.11
2016-04-29,14.00,14.00,13.81,13.81,4200,13.81
2016-04-28,14.06,14.06,14.02,14.04,3000,14.04
2016-04-27,14.06,14.06,14.03,14.06,6000,14.06
2016-04-26,14.06,14.06,14.03,14.06,9200,14.06
2016-04-25,13.96,14.05,13.91,14.03,6800,14.03
2016-04-22,13.96,14.06,13.81,14.00,16700,14.00
2016-04-21,13.99,14.00,13.86,13.95,11900,13.95
2016-04-20,13.49,13.76,13.49,13.75,18400,13.75
2016-04-19,13.49,13.50,13.40,13.49,8900,13.49
2016-04-18,13.48,13.50,13.32,13.32,1000,13.32
2016-04-15,13.47,13.50,13.28,13.28,2500,13.28
2016-04-14,13.50,13.50,13.35,13.49,11800,13.49
2016-04-13,13.38,13.41,13.38,13.41,900,13.41
2016-04-12,13.45,13.49,13.43,13.43,4700,13.35
2016-04-11,13.39,13.50,13.29,13.29,8100,13.210834
2016-04-08,13.43,13.44,13.43,13.44,700,13.35994
2016-04-07,13.30,13.49,13.29,13.36,6200,13.280416
2016-04-06,13.30,13.49,13.30,13.49,6000,13.409642
2016-04-05,13.36,13.45,13.36,13.45,1000,13.36988
2016-04-04,13.50,13.50,13.30,13.30,2500,13.220774
2016-04-01,13.39,13.50,13.39,13.41,7600,13.330119
2016-03-31,13.20,13.25,13.19,13.25,33300,13.171072
2016-03-30,13.40,13.50,13.05,13.21,11600,13.13131
2016-03-29,13.28,13.50,13.28,13.33,1400,13.250595
2016-03-28,13.02,13.40,13.02,13.30,4100,13.220774
2016-03-24,13.32,13.32,13.02,13.02,600,12.942443
2016-03-23,13.30,13.30,13.20,13.25,5400,13.171072
2016-03-22,13.23,13.23,13.23,13.23,100,13.151191
2016-03-21,13.22,13.29,13.22,13.24,900,13.161131
2016-03-18,13.15,13.22,13.08,13.22,10000,13.141251
2016-03-17,13.14,13.15,13.14,13.15,500,13.071667
2016-03-16,13.20,13.20,13.10,13.20,3100,13.12137
2016-03-15,12.97,13.30,12.55,13.21,2400,13.13131
2016-03-14,13.10,13.21,12.73,12.73,2200,12.654169
2016-03-11,12.55,13.00,12.55,13.00,3500,12.922561
2016-03-10,12.71,12.71,12.50,12.50,2100,12.42554
2016-03-09,12.50,12.59,12.41,12.59,1800,12.515004
2016-03-08,12.46,12.49,12.27,12.27,2300,12.19691
2016-03-07,12.48,12.68,12.02,12.43,4300,12.355957
2016-03-04,12.68,12.68,12.50,12.52,2400,12.445421
2016-03-03,12.69,12.75,12.33,12.33,4300,12.256552
2016-03-02,12.60,12.75,12.60,12.75,7400,12.67405
2016-03-01,12.31,12.31,12.31,12.31,000,12.236672
2016-02-29,12.49,12.60,12.31,12.31,2500,12.236672
2016-02-26,12.40,12.50,12.30,12.50,900,12.42554
2016-02-25,12.35,12.45,12.35,12.45,700,12.375837
2016-02-24,12.01,12.32,12.00,12.32,2000,12.246612
2016-02-23,12.00,12.20,12.00,12.19,10900,12.117386
2016-02-22,12.05,12.30,12.02,12.03,3600,11.958339
2016-02-19,12.34,12.38,12.06,12.06,700,11.988161
2016-02-18,12.25,12.25,12.25,12.25,200,12.177029
2016-02-17,12.26,12.40,12.17,12.40,1400,12.326135
