Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,42.150002,43.099998,41.400002,41.799999,3000,41.799999
2016-06-09,43.900002,43.900002,40.360001,42.759998,2400,42.759998
2016-06-08,42.759998,43.950001,42.759998,43.889999,2100,43.889999
2016-06-07,43.82,43.82,42.59,43.009998,900,43.009998
2016-06-06,42.099998,43.59,42.099998,43.59,1200,43.59
2016-06-03,42.919998,42.93,42.919998,42.93,700,42.93
2016-06-02,43.900002,43.919998,43.119999,43.119999,500,43.119999
2016-06-01,43.279999,43.900002,43.259998,43.900002,3300,43.900002
2016-05-31,42.669998,43.68,42.50,43.68,3300,43.68
2016-05-27,41.82,43.220001,41.75,42.639999,2300,42.639999
2016-05-26,43.950001,43.950001,42.48,42.900002,2800,42.900002
2016-05-25,43.310001,43.950001,42.779999,43.950001,3000,43.950001
2016-05-24,42.00,42.75,42.00,42.529999,3800,42.529999
2016-05-23,41.110001,42.00,41.110001,41.959999,3400,41.959999
2016-05-20,40.950001,42.00,40.650002,40.650002,2400,40.650002
2016-05-19,40.189999,41.369999,40.189999,40.549999,2600,40.549999
2016-05-18,39.799999,41.16,39.799999,40.310001,3300,40.310001
2016-05-17,39.810001,41.259998,39.610001,39.610001,1400,39.610001
2016-05-16,41.07,41.43,40.599998,40.98,2500,40.98
2016-05-13,39.330002,40.200001,39.330002,40.200001,2100,40.200001
2016-05-12,38.889999,39.75,38.34,38.84,2500,38.84
2016-05-11,40.48,40.50,38.169998,38.599998,6900,38.599998
2016-05-10,39.759998,39.810001,39.169998,39.810001,1500,39.810001
2016-05-09,35.209999,40.98,35.209999,39.50,3400,39.50
2016-05-06,39.009998,40.50,39.009998,40.50,2300,40.50
2016-05-05,40.169998,40.169998,38.830002,39.66,1100,39.66
2016-05-04,39.93,39.93,39.93,39.93,400,39.93
2016-05-03,41.790001,42.099998,40.59,40.650002,2800,40.650002
2016-05-02,40.470001,42.200001,40.470001,42.200001,3100,42.200001
2016-04-29,42.50,42.50,40.50,41.970001,4100,41.970001
2016-04-28,42.50,42.50,40.25,40.310001,1500,40.310001
2016-04-27,41.380001,42.490002,41.16,42.490002,4100,42.490002
2016-04-26,40.00,41.00,40.00,41.00,3000,41.00
2016-04-25,39.619999,41.00,38.990002,39.580002,2800,39.580002
2016-04-22,39.209999,40.75,39.209999,40.740002,3100,40.740002
2016-04-21,39.049999,39.470001,38.630001,38.830002,6300,38.830002
2016-04-20,38.459999,39.41,38.299999,38.689999,3300,38.689999
2016-04-19,38.919998,38.919998,38.41,38.75,3100,38.75
2016-04-18,36.77,38.27,36.77,38.220001,2200,38.220001
2016-04-15,36.84,37.77,36.310001,37.119999,4700,37.119999
2016-04-14,38.880001,38.950001,36.98,37.25,11700,37.25
2016-04-13,38.779999,39.00,37.669998,38.490002,3900,38.490002
2016-04-12,36.59,38.25,36.59,38.119999,3300,38.119999
2016-04-11,37.700001,39.779999,36.32,36.66,4400,36.66
2016-04-08,37.209999,37.779999,36.759998,37.77,3500,37.77
2016-04-07,36.900002,37.259998,36.599998,36.900002,3500,36.900002
2016-04-06,36.630001,37.400002,36.59,37.240002,2900,37.240002
2016-04-05,37.310001,37.310001,36.049999,36.720001,3300,36.720001
2016-04-04,35.529999,36.580002,35.52,35.709999,4900,35.709999
2016-04-01,36.259998,36.630001,35.669998,35.669998,1700,35.669998
2016-03-31,36.98,37.25,35.830002,36.52,2100,36.52
2016-03-30,36.34,36.75,36.34,36.580002,2000,36.580002
2016-03-29,35.310001,37.439999,35.310001,36.310001,4200,36.110001
2016-03-28,35.560001,35.580002,35.43,35.57,2000,35.374076
2016-03-24,36.009998,36.23,35.619999,35.619999,1400,35.4238
