Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.67,6.79,6.61,6.70,551700,6.70
2016-06-09,6.71,6.75,6.61,6.68,586200,6.68
2016-06-08,6.75,6.82,6.70,6.71,466200,6.71
2016-06-07,6.80,6.82,6.71,6.75,477400,6.75
2016-06-06,6.66,6.80,6.61,6.78,433400,6.78
2016-06-03,6.52,6.65,6.50,6.63,691600,6.63
2016-06-02,6.47,6.54,6.42,6.50,223900,6.50
2016-06-01,6.47,6.53,6.40,6.51,202500,6.51
2016-05-31,6.50,6.58,6.45,6.49,507400,6.49
2016-05-27,6.45,6.50,6.45,6.49,283100,6.49
2016-05-26,6.51,6.59,6.42,6.45,372500,6.45
2016-05-25,6.42,6.55,6.41,6.52,369800,6.52
2016-05-24,6.29,6.45,6.27,6.40,305600,6.40
2016-05-23,6.26,6.35,6.15,6.25,430000,6.25
2016-05-20,6.20,6.26,6.14,6.26,313900,6.26
2016-05-19,6.30,6.30,6.10,6.17,474900,6.17
2016-05-18,6.43,6.47,6.30,6.36,362200,6.36
2016-05-17,6.41,6.53,6.41,6.47,300500,6.47
2016-05-16,6.38,6.51,6.38,6.42,411600,6.42
2016-05-13,6.48,6.48,6.34,6.36,297600,6.36
2016-05-12,6.45,6.52,6.35,6.47,482100,6.47
2016-05-11,6.27,6.50,6.25,6.39,255600,6.39
2016-05-10,6.17,6.32,6.09,6.29,475300,6.29
2016-05-09,6.18,6.23,6.06,6.13,653900,6.13
2016-05-06,6.13,6.22,6.11,6.14,332700,6.14
2016-05-05,6.21,6.23,6.05,6.11,327300,6.11
2016-05-04,6.04,6.20,6.04,6.17,211200,6.17
2016-05-03,6.16,6.16,6.01,6.10,426900,6.10
2016-05-02,6.49,6.54,6.20,6.23,595200,6.23
2016-04-29,6.52,6.61,6.46,6.59,239300,6.59
2016-04-28,6.60,6.65,6.51,6.53,145500,6.53
2016-04-27,6.58,6.66,6.44,6.61,301100,6.61
2016-04-26,6.43,6.62,6.43,6.57,189400,6.57
2016-04-25,6.49,6.49,6.41,6.43,142800,6.43
2016-04-22,6.28,6.54,6.28,6.48,147700,6.48
2016-04-21,6.56,6.58,6.32,6.32,408500,6.32
2016-04-20,6.54,6.62,6.46,6.54,183700,6.54
2016-04-19,6.54,6.64,6.50,6.56,166400,6.56
2016-04-18,6.40,6.59,6.40,6.50,228700,6.50
2016-04-15,6.50,6.51,6.37,6.43,230300,6.43
2016-04-14,6.58,6.63,6.51,6.51,208000,6.51
2016-04-13,6.53,6.65,6.50,6.59,217500,6.59
2016-04-12,6.31,6.53,6.29,6.51,319500,6.51
2016-04-11,6.28,6.37,6.21,6.28,230800,6.28
2016-04-08,6.30,6.42,6.27,6.27,290900,6.27
2016-04-07,6.31,6.34,6.21,6.26,146300,6.26
2016-04-06,6.25,6.37,6.24,6.35,258600,6.35
2016-04-05,6.16,6.26,6.09,6.23,223800,6.23
2016-04-04,6.17,6.21,6.05,6.17,409300,6.17
2016-04-01,6.03,6.14,6.00,6.14,497000,6.14
2016-03-31,5.98,6.09,5.98,6.06,383100,6.06
2016-03-30,6.04,6.09,5.96,5.99,320500,5.99
2016-03-29,5.91,6.07,5.83,6.04,455600,6.04
2016-03-28,6.10,6.11,5.92,5.94,271900,5.94
2016-03-24,5.95,6.14,5.86,6.11,210600,6.11
2016-03-23,6.14,6.17,5.98,6.00,285200,6.00
2016-03-22,6.09,6.16,6.00,6.14,247600,6.14
2016-03-21,6.21,6.30,6.04,6.10,311500,6.10
2016-03-18,6.12,6.25,6.06,6.20,841800,6.20
2016-03-17,6.05,6.20,6.00,6.13,242100,6.13
2016-03-16,5.95,6.12,5.92,6.06,302200,6.06
2016-03-15,6.33,6.37,6.11,6.28,365600,6.00
2016-03-14,6.23,6.40,6.19,6.35,425700,6.066879
2016-03-11,6.06,6.33,6.06,6.23,465400,5.952229
2016-03-10,6.11,6.14,5.97,6.03,461200,5.761147
2016-03-09,6.20,6.28,6.02,6.08,373400,5.808917
2016-03-08,6.35,6.44,6.05,6.17,267800,5.894904
2016-03-07,6.28,6.49,6.25,6.42,264600,6.133758
2016-03-04,6.08,6.47,6.08,6.28,400300,6.00
2016-03-03,6.03,6.20,5.99,6.07,437200,5.799363
2016-03-02,5.90,6.08,5.86,6.01,457200,5.742038
2016-03-01,5.85,6.00,5.78,5.95,335200,5.684713
2016-02-29,5.58,5.87,5.58,5.78,254600,5.522293
2016-02-26,5.48,5.68,5.36,5.60,234100,5.350318
2016-02-25,5.38,5.48,5.31,5.45,201100,5.207006
2016-02-24,5.31,5.38,5.10,5.38,282300,5.140127
2016-02-23,5.40,5.47,5.32,5.41,303700,5.16879
2016-02-22,5.55,5.58,5.30,5.41,407900,5.16879
2016-02-19,5.62,5.62,5.43,5.55,198600,5.302548
2016-02-18,5.55,5.64,5.49,5.64,236600,5.388535
2016-02-17,5.31,5.56,5.29,5.54,400500,5.292994
2016-02-16,5.29,5.35,5.20,5.31,424500,5.073248
2016-02-12,5.07,5.27,5.04,5.24,425500,5.006369
2016-02-11,5.06,5.14,4.90,5.07,515800,4.843949
2016-02-10,5.16,5.16,5.00,5.09,554700,4.863057
2016-02-09,5.30,5.30,5.07,5.16,315800,4.929936
2016-02-08,5.40,5.40,5.21,5.35,580800,5.111465
2016-02-05,5.35,5.51,5.35,5.44,311300,5.197452
2016-02-04,5.02,5.54,5.02,5.41,486700,5.16879
2016-02-03,5.13,5.26,5.01,5.24,300300,5.006369
2016-02-02,5.29,5.37,5.11,5.12,280900,4.89172
2016-02-01,5.29,5.37,5.22,5.36,203100,5.121019
2016-01-29,5.29,5.38,5.27,5.31,304000,5.073248
2016-01-28,5.42,5.45,5.25,5.31,297800,5.073248
2016-01-27,5.26,5.49,5.21,5.32,261100,5.082803
2016-01-26,5.14,5.29,5.11,5.26,268100,5.025478
2016-01-25,5.15,5.34,5.07,5.08,341500,4.853503
2016-01-22,5.10,5.23,5.09,5.17,499900,4.93949
