Date,Open,High,Low,Close,Volume,Adj Close
2016-06-03,0.86,0.86,0.72,0.73,463600,0.73
2016-06-02,0.78,0.99,0.67,0.76,1224900,0.76
2016-06-01,0.72,0.82,0.68,0.78,563900,0.78
2016-05-31,0.82,0.92,0.73,0.75,815200,0.75
2016-05-27,0.99,1.02,0.85,0.92,999400,0.92
2016-05-26,0.90,1.25,0.87,1.04,3039000,1.04
2016-05-25,1.58,1.65,1.47,1.59,2234000,1.59
2016-05-24,1.43,1.60,1.31,1.60,1474400,1.60
2016-05-23,1.56,1.70,1.43,1.52,1840900,1.52
2016-05-20,2.05,2.10,1.50,1.53,6004600,1.53
2016-05-19,1.09,1.98,1.06,1.90,14817200,1.90
2016-05-18,1.19,1.21,1.10,1.12,654400,1.12
2016-05-17,1.32,1.36,1.20,1.20,737100,1.20
2016-05-16,1.58,1.58,1.36,1.38,543900,1.38
2016-05-13,1.58,1.69,1.42,1.53,580500,1.53
2016-05-12,1.64,1.70,1.39,1.68,1585900,1.68
2016-05-11,2.01,2.02,1.64,1.70,1939700,1.70
2016-05-10,2.10,2.15,1.91,2.01,4375200,2.01
2016-05-09,2.14,2.39,1.84,1.90,8998400,1.90
2016-05-06,1.58,1.94,1.56,1.75,5186300,1.75
2016-05-05,1.67,1.84,1.48,1.61,3565700,1.61
2016-05-04,1.46,2.00,1.32,1.55,7040100,1.55
2016-05-03,1.31,1.97,1.03,1.74,9295100,1.74
2016-05-02,2.14,2.27,1.43,1.51,4461100,1.51
2016-04-29,3.20,3.94,2.22,2.64,20528100,2.64
2016-04-28,0.28,2.66,0.28,1.75,24000100,1.75
2016-04-27,0.26,0.27,0.20,0.26,432800,0.26
2016-04-26,0.28,0.28,0.22,0.26,404100,0.26
2016-04-25,0.32,0.32,0.27,0.27,357400,0.27
2016-04-22,0.33,0.36,0.26,0.31,505800,0.31
2016-04-21,0.35,0.37,0.30,0.31,253100,0.31
2016-04-20,0.38,0.38,0.32,0.35,332600,0.35
2016-04-19,0.47,0.48,0.30,0.37,978900,0.37
2016-04-18,0.45,0.46,0.42,0.44,254900,0.44
2016-04-15,0.47,0.49,0.41,0.46,160800,0.46
2016-04-14,0.51,0.53,0.45,0.47,232900,0.47
