Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,0.02,0.04,0.02,0.03,164200,0.03
2016-05-31,0.03,0.05,0.02,0.05,115900,0.05
2016-05-27,0.03,0.04,0.03,0.03,36600,0.03
2016-05-26,0.04,0.04,0.03,0.03,161600,0.03
2016-05-25,0.05,0.05,0.04,0.04,150600,0.04
2016-05-24,0.04,0.05,0.04,0.04,120800,0.04
2016-05-23,0.04,0.06,0.04,0.06,11000,0.06
2016-05-20,0.04,0.07,0.04,0.07,1700,0.07
2016-05-19,0.03,0.07,0.03,0.05,42400,0.05
2016-05-18,0.07,0.07,0.07,0.07,000,0.07
2016-05-17,0.05,0.07,0.04,0.07,30600,0.07
2016-05-16,0.05,0.07,0.05,0.07,600,0.07
2016-05-13,0.05,0.07,0.05,0.06,12200,0.06
2016-05-12,0.06,0.07,0.05,0.07,121400,0.07
2016-05-11,0.06,0.07,0.06,0.07,600,0.07
2016-05-10,0.06,0.07,0.05,0.07,24300,0.07
2016-05-09,0.06,0.06,0.05,0.06,10900,0.06
2016-05-06,0.06,0.06,0.06,0.06,4800,0.06
2016-05-05,0.06,0.07,0.06,0.07,6100,0.07
2016-05-04,0.06,0.06,0.06,0.06,5000,0.06
2016-05-03,0.06,0.06,0.06,0.06,5400,0.06
2016-05-02,0.07,0.07,0.06,0.06,25100,0.06
2016-04-29,0.06,0.06,0.06,0.06,60100,0.06
2016-04-28,0.06,0.06,0.06,0.06,1600,0.06
2016-04-27,0.05,0.07,0.05,0.06,24200,0.06
2016-04-26,0.05,0.07,0.05,0.07,24300,0.07
2016-04-25,0.05,0.07,0.05,0.07,39900,0.07
2016-04-22,0.05,0.05,0.05,0.05,31900,0.05
2016-04-21,0.05,0.05,0.05,0.05,1000,0.05
2016-04-20,0.05,0.06,0.05,0.05,30500,0.05
2016-04-19,0.05,0.07,0.05,0.07,2700,0.07
2016-04-18,0.05,0.07,0.05,0.07,7800,0.07
2016-04-15,0.07,0.07,0.05,0.05,15100,0.05
2016-04-14,0.05,0.05,0.05,0.05,7200,0.05
2016-04-13,0.05,0.07,0.05,0.07,6500,0.07
2016-04-12,0.07,0.07,0.07,0.07,3500,0.07
2016-04-11,0.05,0.07,0.05,0.07,2000,0.07
2016-04-08,0.07,0.07,0.07,0.07,200,0.07
2016-04-07,0.05,0.07,0.05,0.07,124700,0.07
2016-04-06,0.07,0.07,0.07,0.07,1000,0.07
2016-04-05,0.05,0.07,0.05,0.07,500,0.07
2016-04-04,0.07,0.07,0.05,0.07,40300,0.07
2016-04-01,0.08,0.08,0.05,0.08,97700,0.08
2016-03-31,0.05,0.08,0.05,0.08,111200,0.08
2016-03-30,0.05,0.05,0.05,0.05,2200,0.05
2016-03-29,0.05,0.06,0.05,0.06,18800,0.06
2016-03-28,0.06,0.06,0.06,0.06,600,0.06
2016-03-24,0.05,0.05,0.05,0.05,000,0.05
2016-03-23,0.05,0.05,0.05,0.05,800,0.05
2016-03-22,0.05,0.05,0.05,0.05,4700,0.05
2016-03-21,0.05,0.05,0.05,0.05,5700,0.05
2016-03-18,0.06,0.07,0.06,0.07,35500,0.07
2016-03-17,0.05,0.06,0.05,0.06,41400,0.06
2016-03-16,0.05,0.06,0.05,0.05,10100,0.05
2016-03-15,0.05,0.06,0.05,0.05,11500,0.05
2016-03-14,0.06,0.06,0.05,0.05,52000,0.05
2016-03-11,0.05,0.06,0.05,0.05,68700,0.05
2016-03-10,0.05,0.07,0.05,0.07,62900,0.07
2016-03-09,0.06,0.07,0.05,0.06,186100,0.06
2016-03-08,0.07,0.07,0.07,0.07,16000,0.07
2016-03-07,0.07,0.07,0.06,0.06,24600,0.06
2016-03-04,0.06,0.08,0.05,0.07,124900,0.07
2016-03-03,0.05,0.05,0.05,0.05,2600,0.05
2016-03-02,0.04,0.05,0.04,0.05,72600,0.05
2016-03-01,0.05,0.05,0.04,0.05,83300,0.05
2016-02-29,0.05,0.05,0.04,0.05,8500,0.05
2016-02-26,0.04,0.05,0.04,0.05,80200,0.05
2016-02-25,0.06,0.06,0.04,0.06,413400,0.06
2016-02-24,0.05,0.07,0.05,0.06,7700,0.06
2016-02-23,0.05,0.07,0.05,0.07,21000,0.07
2016-02-22,0.08,0.08,0.05,0.08,20200,0.08
2016-02-19,0.08,0.08,0.06,0.08,25300,0.08
2016-02-18,0.08,0.08,0.05,0.07,33200,0.07
2016-02-17,0.07,0.08,0.06,0.08,26700,0.08
2016-02-16,0.07,0.08,0.06,0.08,3300,0.08
2016-02-12,0.06,0.07,0.06,0.07,4700,0.07
2016-02-11,0.07,0.07,0.07,0.07,400,0.07
2016-02-10,0.08,0.08,0.06,0.07,16200,0.07
2016-02-09,0.06,0.08,0.06,0.08,7700,0.08
2016-02-08,0.06,0.08,0.05,0.08,29900,0.08
2016-02-05,0.08,0.08,0.08,0.08,1400,0.08
2016-02-04,0.08,0.08,0.06,0.08,1500,0.08
2016-02-03,0.07,0.09,0.06,0.09,54300,0.09
2016-02-02,0.07,0.09,0.07,0.09,2500,0.09
2016-02-01,0.07,0.09,0.07,0.09,12100,0.09
2016-01-29,0.07,0.09,0.07,0.09,14100,0.09
2016-01-28,0.08,0.09,0.07,0.09,38000,0.09
2016-01-27,0.08,0.10,0.07,0.08,130300,0.08
2016-01-26,0.06,0.11,0.06,0.07,86200,0.07
2016-01-25,0.08,0.08,0.05,0.08,203500,0.08
2016-01-22,0.06,0.08,0.06,0.08,114800,0.08
2016-01-21,0.06,0.08,0.05,0.07,83600,0.07
2016-01-20,0.06,0.06,0.05,0.05,63600,0.05
2016-01-19,0.06,0.10,0.05,0.06,146100,0.06
2016-01-15,0.08,0.11,0.05,0.07,426800,0.07
2016-01-14,0.08,0.10,0.07,0.09,404200,0.09
2016-01-13,0.10,0.10,0.08,0.08,583000,0.08
2016-01-12,0.10,0.12,0.08,0.10,786100,0.10
2016-01-11,0.13,0.15,0.10,0.12,293900,0.12
2016-01-08,0.12,0.15,0.12,0.13,475700,0.13
2016-01-07,0.16,0.17,0.12,0.12,294700,0.12
2016-01-06,0.25,0.25,0.13,0.16,678800,0.16
2016-01-05,0.26,0.28,0.21,0.25,237800,0.25
2016-01-04,0.23,0.28,0.23,0.25,266000,0.25
2015-12-31,0.25,0.27,0.23,0.24,142700,0.24
2015-12-30,0.25,0.26,0.22,0.25,163600,0.25
2015-12-29,0.28,0.28,0.23,0.24,263400,0.24
2015-12-28,0.25,0.28,0.24,0.25,467000,0.25
2015-12-24,0.28,0.28,0.23,0.25,406600,0.25
2015-12-23,0.29,0.29,0.27,0.28,363900,0.28
2015-12-22,0.29,0.41,0.28,0.30,1350500,0.30
2015-12-21,0.74,0.74,0.64,0.69,45100,0.69
2015-12-18,0.74,0.74,0.70,0.71,51200,0.71
2015-12-17,0.65,0.75,0.61,0.75,250800,0.75
2015-12-16,0.65,0.67,0.62,0.67,9300,0.67
2015-12-15,0.66,0.66,0.61,0.64,53300,0.64
2015-12-14,0.62,0.68,0.62,0.68,70000,0.68
2015-12-11,0.64,0.65,0.62,0.62,30700,0.62
2015-12-10,0.64,0.65,0.64,0.64,14300,0.64
2015-12-09,0.65,0.68,0.62,0.62,44600,0.62
2015-12-08,0.65,0.65,0.62,0.62,39300,0.62
2015-12-07,0.69,0.69,0.65,0.66,50500,0.66
2015-12-04,0.68,0.73,0.65,0.69,121700,0.69
2015-12-03,0.66,0.73,0.65,0.68,172500,0.68
2015-12-02,0.82,0.82,0.56,0.67,466500,0.67
2015-12-01,0.85,0.85,0.76,0.76,218400,0.76
2015-11-30,0.83,0.86,0.76,0.86,443100,0.86
2015-11-27,0.83,0.85,0.81,0.83,282900,0.83
2015-11-25,0.74,0.83,0.72,0.81,443000,0.81
2015-11-24,0.76,0.78,0.68,0.74,243600,0.74
2015-11-23,0.58,0.80,0.58,0.75,733500,0.75
2015-11-20,0.60,0.62,0.56,0.57,224100,0.57
2015-11-19,0.53,0.60,0.53,0.59,195200,0.59
2015-11-18,0.55,0.55,0.52,0.53,28400,0.53
2015-11-17,0.54,0.56,0.52,0.54,88800,0.54
2015-11-16,0.58,0.59,0.51,0.56,117300,0.56
2015-11-13,0.58,0.59,0.56,0.58,91800,0.58
2015-11-12,0.59,0.60,0.55,0.58,32400,0.58
2015-11-11,0.60,0.61,0.56,0.56,75300,0.56
2015-11-10,0.57,0.62,0.55,0.59,70900,0.59
2015-11-09,0.63,0.63,0.57,0.58,102400,0.58
2015-11-06,0.64,0.65,0.60,0.63,36800,0.63
