Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.78,16.084999,15.39,15.52,44200,15.52
2016-06-09,16.26,16.26,15.43,15.91,26300,15.91
2016-06-08,16.309999,16.709,16.040001,16.43,47900,16.43
2016-06-07,15.99,16.25,15.571,16.08,106800,16.08
2016-06-06,15.42,16.040001,15.186,15.81,85800,15.81
2016-06-03,15.23,15.42,14.85,15.42,45800,15.42
2016-06-02,14.40,15.43,14.34,15.14,41300,15.14
2016-06-01,14.39,14.71,14.24,14.48,136200,14.48
2016-05-31,14.69,14.76,14.50,14.72,107000,14.72
2016-05-27,14.72,14.75,14.35,14.75,24200,14.75
2016-05-26,14.60,14.90,14.30,14.68,31100,14.68
2016-05-25,14.73,15.171,14.30,14.78,64600,14.78
2016-05-24,14.50,14.81,14.29,14.61,45000,14.61
2016-05-23,14.69,14.81,14.48,14.51,33300,14.51
2016-05-20,14.40,14.94,14.36,14.75,125900,14.75
2016-05-19,14.13,14.69,13.96,14.39,112100,14.39
2016-05-18,14.47,14.70,13.77,14.38,75100,14.38
2016-05-17,14.29,14.65,14.15,14.25,192400,14.25
2016-05-16,12.22,14.05,12.22,14.01,271500,14.01
2016-05-13,11.98,12.22,11.92,12.00,85100,12.00
2016-05-12,11.98,12.25,11.945,11.98,95800,11.98
2016-05-11,11.68,11.95,11.16,11.94,95100,11.94
2016-05-10,11.58,11.99,11.459,11.52,9200,11.52
2016-05-09,11.11,11.69,10.89,11.52,11200,11.52
2016-05-06,11.31,11.31,10.71,11.03,60000,11.03
2016-05-05,11.41,11.62,11.28,11.28,66400,11.28
2016-05-04,11.61,11.90,11.25,11.28,19500,11.28
2016-05-03,11.08,11.55,11.08,11.35,13100,11.35
2016-05-02,11.62,11.62,11.12,11.59,12300,11.59
2016-04-29,11.23,11.60,10.76,11.50,146400,11.50
2016-04-28,11.37,11.624,11.00,11.23,134200,11.23
2016-04-27,11.72,11.745,11.55,11.62,85100,11.345
2016-04-26,11.34,11.66,11.062,11.53,36000,11.25713
2016-04-25,11.29,11.29,10.943,11.22,12800,10.954467
2016-04-22,10.79,11.644,10.71,11.32,36300,11.0521
2016-04-21,10.84,10.88,10.59,10.88,65700,10.622513
2016-04-20,10.50,10.74,10.30,10.72,163100,10.4663
2016-04-19,10.38,10.597,10.22,10.47,70900,10.222216
2016-04-18,9.94,10.55,9.94,10.24,26600,9.997659
2016-04-15,10.34,10.50,9.95,9.99,50600,9.753576
2016-04-14,10.38,10.75,10.25,10.25,53500,10.007423
2016-04-13,10.15,10.75,10.15,10.30,168800,10.05624
2016-04-12,10.10,10.30,9.95,10.15,66400,9.909789
2016-04-11,10.32,10.838,10.00,10.04,114000,9.802392
2016-04-08,10.10,10.35,9.60,9.99,53900,9.753576
2016-04-07,9.80,9.99,9.44,9.94,51000,9.704759
2016-04-06,9.37,10.03,9.37,9.91,18300,9.675469
2016-04-05,9.36,9.37,9.01,9.37,13800,9.148249
2016-04-04,9.81,9.90,9.19,9.39,43600,9.167776
2016-04-01,9.95,10.20,9.66,9.84,18600,9.607126
2016-03-31,10.15,10.46,10.00,10.14,189900,9.900026
2016-03-30,9.94,10.90,9.94,10.15,118500,9.909789
2016-03-29,9.94,10.15,9.79,10.15,71300,9.909789
2016-03-28,9.73,10.00,9.58,10.00,95300,9.763339
2016-03-24,9.91,9.95,9.63,9.63,23200,9.402096
2016-03-23,9.82,10.30,9.71,9.71,126500,9.480202
2016-03-22,9.94,10.30,9.85,9.90,134200,9.665705
2016-03-21,9.89,10.47,9.75,10.11,88900,9.870736
2016-03-18,9.51,9.95,9.37,9.83,152300,9.597362
2016-03-17,9.65,10.16,9.36,9.36,81800,9.138485
2016-03-16,9.43,9.70,9.43,9.69,61600,9.460675
2016-03-15,9.95,9.95,9.25,9.27,18800,9.050616
2016-03-14,9.416,9.84,9.416,9.50,20700,9.275172
2016-03-11,10.30,10.30,9.50,9.76,32400,9.529019
2016-03-10,9.90,10.163,9.70,9.75,6300,9.519256
2016-03-09,10.55,10.55,9.70,9.76,12800,9.529019
2016-03-08,10.26,10.81,9.55,9.89,33100,9.655943
2016-03-07,10.56,11.40,10.00,10.39,73200,10.14411
2016-03-04,10.48,11.655,9.61,10.36,57400,10.114819
2016-03-03,10.475,10.70,10.30,10.30,9800,10.05624
2016-03-02,10.53,10.805,10.22,10.51,20900,10.26127
2016-03-01,10.80,10.90,9.90,10.50,51800,10.251506
2016-02-29,9.53,11.11,9.53,10.21,24800,9.968369
2016-02-26,8.91,9.90,8.91,9.53,42200,9.304462
2016-02-25,9.20,9.42,8.54,9.10,117900,8.884639
2016-02-24,9.47,9.508,9.02,9.19,50100,8.972508
2016-02-23,9.88,9.93,9.49,9.51,11300,9.284936
2016-02-22,9.83,10.04,9.55,10.00,41900,9.763339
2016-02-19,11.97,12.05,9.56,9.79,21100,9.558309
2016-02-18,10.00,10.00,9.80,9.88,33500,9.646179
2016-02-17,9.96,10.03,9.68,10.00,60100,9.763339
2016-02-16,10.00,10.00,9.52,9.715,22000,9.485084
2016-02-12,9.50,9.875,9.37,9.51,17000,9.284936
2016-02-11,9.25,9.74,9.20,9.27,132900,9.050616
2016-02-10,9.42,9.98,9.21,9.56,5700,9.333753
2016-02-09,10.00,10.00,9.24,9.545,39200,9.319107
2016-02-08,10.03,10.125,9.70,9.84,27100,9.607126
2016-02-05,10.44,11.01,10.10,10.25,18200,10.007423
2016-02-04,10.50,11.15,10.23,10.50,29300,10.251506
2016-02-03,10.90,10.90,10.47,10.71,20700,10.456536
2016-02-02,11.02,11.36,10.89,10.93,13500,10.67133
2016-02-01,11.56,11.56,10.67,11.14,9600,10.87636
2016-01-29,11.61,12.01,11.27,11.47,37700,11.19855
2016-01-28,11.93,12.58,11.58,11.85,66900,11.301065
2016-01-27,12.05,12.11,11.65,11.70,19500,11.158013
2016-01-26,11.82,12.792,11.413,12.23,55100,11.663461
2016-01-25,11.88,12.55,11.41,11.70,8600,11.158013
2016-01-22,11.18,12.99,11.18,12.19,17400,11.625314
2016-01-21,10.18,11.42,10.09,10.96,90400,10.452293
2016-01-20,10.207,10.63,9.66,10.26,137300,9.784719
2016-01-19,11.83,12.217,10.06,10.20,83400,9.727499
2016-01-15,10.83,11.88,10.75,11.68,70400,11.13894
2016-01-14,11.10,11.83,10.70,11.81,44300,11.262918
2016-01-13,12.11,12.22,11.07,11.32,127000,10.795616
2016-01-12,12.77,12.77,11.86,12.00,50600,11.444116
2016-01-11,13.30,13.30,12.11,12.52,79200,11.940028
2016-01-08,12.64,13.00,12.21,12.70,19100,12.111689
2016-01-07,13.10,13.20,12.20,12.57,25100,11.987711
2016-01-06,13.10,13.19,13.06,13.19,52200,12.578991
2016-01-05,13.05,13.20,12.93,13.15,16300,12.540844
2016-01-04,12.81,13.21,12.22,13.15,27600,12.540844
2015-12-31,12.21,13.22,12.21,12.93,38400,12.331035
2015-12-30,12.38,12.55,12.16,12.39,51900,11.81605
2015-12-29,12.25,13.60,12.20,12.38,164600,11.806513
2015-12-28,13.23,13.409,12.10,12.22,75900,11.653925
2015-12-24,13.56,13.59,13.25,13.33,52500,12.712506
2015-12-23,13.51,13.73,13.21,13.40,53700,12.779263
2015-12-22,12.97,13.47,12.62,13.44,737200,12.81741
2015-12-21,12.99,13.66,12.62,12.91,25200,12.311961
2015-12-18,12.36,13.85,12.21,13.08,31400,12.474086
2015-12-17,12.57,12.57,12.094,12.31,22500,11.739756
2015-12-16,12.89,12.94,12.38,12.38,76200,11.806513
