Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,1.67,1.67,1.41,1.59,45400,1.59
2016-06-09,1.61,1.65,1.45,1.65,70100,1.65
2016-06-08,1.69,1.70,1.58,1.62,5000,1.62
2016-06-07,1.64,1.72,1.58,1.67,41300,1.67
2016-06-06,1.72,1.74,1.67,1.74,2300,1.74
2016-06-03,1.68,1.74,1.62,1.70,14800,1.70
2016-06-02,1.72,1.74,1.71,1.71,3300,1.71
2016-06-01,1.78,1.78,1.71,1.71,3500,1.71
2016-05-31,1.83,1.83,1.70,1.76,8400,1.76
2016-05-27,1.63,1.84,1.61,1.83,14700,1.83
2016-05-26,1.80,1.83,1.68,1.82,16600,1.82
2016-05-25,1.82,1.84,1.80,1.83,7500,1.83
2016-05-24,1.66,1.84,1.66,1.82,10100,1.82
2016-05-23,1.63,1.70,1.62,1.70,3400,1.70
2016-05-20,1.49,1.67,1.49,1.57,2300,1.57
2016-05-19,1.61,1.64,1.55,1.64,4300,1.64
2016-05-18,1.55,1.62,1.55,1.61,3600,1.61
2016-05-17,1.16,1.50,1.16,1.47,106000,1.47
2016-05-16,1.70,1.81,1.46,1.53,34700,1.53
2016-05-13,1.75,1.76,1.70,1.71,2900,1.71
2016-05-12,1.71,1.80,1.70,1.70,6500,1.70
2016-05-11,1.84,1.84,1.59,1.70,16800,1.70
2016-05-10,1.90,1.95,1.75,1.84,16800,1.84
2016-05-09,1.93,1.95,1.89,1.95,3200,1.95
2016-05-06,1.95,1.96,1.91,1.91,6200,1.91
2016-05-05,1.96,1.96,1.94,1.95,1300,1.95
2016-05-04,1.92,1.96,1.92,1.96,3000,1.96
2016-05-03,1.96,1.96,1.90,1.90,10300,1.90
2016-05-02,1.93,1.95,1.90,1.90,4400,1.90
2016-04-29,1.95,1.95,1.91,1.95,1000,1.95
2016-04-28,1.94,1.98,1.94,1.97,800,1.97
2016-04-27,1.94,1.98,1.91,1.94,13000,1.94
2016-04-26,1.95,1.98,1.94,1.94,1100,1.94
2016-04-25,1.95,1.96,1.93,1.96,4100,1.96
2016-04-22,1.96,1.98,1.94,1.95,10900,1.95
2016-04-21,1.96,1.98,1.90,1.95,15600,1.95
2016-04-20,1.99,1.99,1.98,1.98,900,1.98
2016-04-19,2.03,2.06,1.93,1.95,37100,1.95
2016-04-18,2.03,2.04,1.90,1.99,14600,1.99
2016-04-15,1.99,2.07,1.96,1.96,21900,1.96
2016-04-14,2.10,2.10,1.93,1.98,99800,1.98
2016-04-13,1.70,2.10,1.70,2.10,197100,2.10
2016-04-12,1.70,1.75,1.70,1.71,8300,1.71
2016-04-11,1.70,1.73,1.70,1.70,3000,1.70
2016-04-08,1.80,1.80,1.77,1.77,300,1.77
2016-04-07,1.77,1.80,1.77,1.78,8500,1.78
2016-04-06,1.80,1.80,1.77,1.77,7700,1.77
2016-04-05,1.80,1.84,1.79,1.81,3900,1.81
2016-04-04,1.86,1.86,1.75,1.84,18700,1.84
2016-04-01,1.74,1.88,1.70,1.82,18300,1.82
2016-03-31,1.79,1.81,1.69,1.70,10800,1.70
2016-03-30,1.85,1.92,1.74,1.79,5100,1.79
2016-03-29,1.75,1.94,1.75,1.86,16600,1.86
2016-03-28,1.98,1.98,1.55,1.74,107100,1.74
2016-03-24,2.08,2.08,2.00,2.07,32600,2.07
2016-03-23,2.09,2.09,2.08,2.08,1300,2.08
2016-03-22,2.07,2.14,2.03,2.09,79900,2.09
2016-03-21,2.05,2.07,2.05,2.06,2000,2.06
2016-03-18,2.09,2.14,2.06,2.08,65600,2.08
2016-03-17,2.05,2.13,2.05,2.10,66800,2.10
2016-03-16,2.07,2.10,2.04,2.07,27300,2.07
2016-03-15,2.04,2.08,2.04,2.05,30800,2.05
2016-03-14,2.00,2.09,2.00,2.08,35900,2.08
2016-03-11,2.04,2.08,2.02,2.08,15900,2.08
2016-03-10,2.01,2.07,1.94,1.97,17100,1.97
2016-03-09,2.06,2.06,1.98,2.01,16100,2.01
2016-03-08,2.05,2.09,2.03,2.07,30300,2.07
2016-03-07,2.11,2.12,2.07,2.07,34400,2.07
2016-03-04,2.10,2.13,2.05,2.12,63900,2.12
2016-03-03,2.10,2.18,2.05,2.08,44200,2.08
2016-03-02,2.07,2.20,2.07,2.11,74400,2.11
2016-03-01,2.07,2.07,2.03,2.06,7500,2.06
2016-02-29,2.06,2.08,2.02,2.02,27700,2.02
2016-02-26,2.07,2.07,2.03,2.06,34800,2.06
2016-02-25,2.07,2.08,2.06,2.08,31400,2.08
2016-02-24,2.00,2.07,2.00,2.05,30100,2.05
2016-02-23,2.06,2.07,2.01,2.05,14900,2.05
2016-02-22,2.10,2.10,1.99,2.06,39800,2.06
2016-02-19,1.98,2.09,1.95,2.07,97000,2.07
2016-02-18,1.90,1.96,1.90,1.96,6400,1.96
2016-02-17,1.90,1.95,1.90,1.93,2200,1.93
2016-02-16,1.98,1.98,1.88,1.90,4300,1.90
2016-02-12,1.88,1.99,1.88,1.99,11100,1.99
2016-02-11,1.88,1.93,1.78,1.83,32100,1.83
2016-02-10,2.02,2.03,1.88,1.94,19800,1.94
2016-02-09,1.95,2.09,1.95,1.95,5800,1.95
2016-02-08,2.01,2.07,1.94,1.96,11500,1.96
2016-02-05,2.15,2.15,2.10,2.13,17100,2.13
2016-02-04,2.16,2.17,2.07,2.17,36100,2.17
2016-02-03,2.15,2.16,2.13,2.15,42500,2.15
2016-02-02,2.12,2.20,2.11,2.14,18700,2.14
2016-02-01,2.14,2.14,1.95,2.13,47400,2.13
2016-01-29,2.12,2.16,2.05,2.11,67300,2.11
2016-01-28,2.12,2.12,2.08,2.10,6200,2.10
2016-01-27,2.07,2.30,1.96,2.14,83000,2.14
2016-01-26,2.00,2.07,2.00,2.07,3400,2.07
2016-01-25,2.03,2.10,2.03,2.06,25800,2.06
