Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,27.99,28.74,27.76,28.549999,28900,28.549999
2016-06-09,28.17,28.530001,27.66,28.299999,16200,28.299999
2016-06-08,27.889999,28.450001,27.870001,28.379999,18700,28.379999
2016-06-07,28.120001,28.379999,27.950001,28.049999,25700,28.049999
2016-06-06,27.290001,28.17,27.290001,28.139999,22700,28.139999
2016-06-03,27.49,27.49,27.15,27.34,23000,27.34
2016-06-02,27.50,27.860001,27.35,27.620001,17000,27.620001
2016-06-01,27.25,27.50,27.08,27.49,31200,27.49
2016-05-31,27.23,27.40,26.73,27.290001,25000,27.290001
2016-05-27,26.91,27.16,26.57,27.049999,26300,27.049999
2016-05-26,26.93,27.09,26.60,26.83,21800,26.83
2016-05-25,26.34,26.879999,26.34,26.780001,24700,26.780001
2016-05-24,25.49,26.50,25.49,26.299999,47200,26.299999
2016-05-23,25.60,25.700001,25.35,25.370001,11600,25.370001
2016-05-20,25.389999,25.790001,25.389999,25.68,12700,25.68
2016-05-19,25.26,25.450001,25.08,25.24,7700,25.24
2016-05-18,24.879999,25.639999,24.85,25.540001,18500,25.540001
2016-05-17,25.870001,25.870001,24.889999,24.98,19500,24.98
2016-05-16,26.07,26.129999,25.860001,25.93,13200,25.93
2016-05-13,26.139999,26.23,25.92,25.969999,27200,25.969999
2016-05-12,26.17,26.200001,25.92,26.01,11600,26.01
2016-05-11,26.41,26.51,25.99,26.01,27900,26.01
2016-05-10,26.309999,26.530001,26.25,26.43,16800,26.43
2016-05-09,25.870001,26.33,25.76,26.23,27100,26.23
2016-05-06,25.66,26.00,25.66,25.93,13300,25.93
2016-05-05,25.809999,25.90,25.709999,25.85,20000,25.85
2016-05-04,25.610001,25.76,25.60,25.67,28800,25.67
2016-05-03,25.870001,25.92,25.75,25.75,16700,25.75
2016-05-02,25.93,25.99,25.42,25.969999,25500,25.969999
2016-04-29,25.49,25.969999,25.49,25.77,56800,25.77
2016-04-28,26.049999,26.190001,25.49,25.690001,21000,25.690001
2016-04-27,26.209999,26.49,25.85,26.08,51200,26.08
2016-04-26,25.25,26.40,25.25,26.110001,101600,26.110001
2016-04-25,25.00,25.60,24.790001,25.110001,41600,25.110001
2016-04-22,24.99,25.00,24.809999,24.950001,18500,24.950001
2016-04-21,24.65,24.98,24.450001,24.98,38600,24.98
2016-04-20,24.799999,24.950001,24.450001,24.52,16700,24.52
2016-04-19,24.43,24.940001,24.26,24.85,21900,24.85
2016-04-18,23.77,24.440001,23.77,24.440001,18700,24.440001
2016-04-15,24.110001,24.27,23.719999,23.969999,22700,23.969999
2016-04-14,24.389999,24.60,24.129999,24.24,14600,24.24
2016-04-13,23.610001,24.74,23.540001,24.440001,30900,24.440001
2016-04-12,23.219999,23.549999,23.15,23.549999,12500,23.549999
2016-04-11,23.139999,23.34,23.00,23.110001,10300,23.110001
2016-04-08,23.08,23.290001,23.00,23.02,13100,23.02
2016-04-07,23.25,23.33,22.959999,23.00,18300,23.00
2016-04-06,23.43,23.43,23.18,23.290001,11000,23.290001
2016-04-05,23.24,23.540001,23.129999,23.379999,29900,23.379999
2016-04-04,23.50,23.75,23.17,23.33,17800,23.33
2016-04-01,23.83,23.83,23.379999,23.629999,18200,23.629999
2016-03-31,23.870001,24.07,23.790001,23.85,14400,23.85
2016-03-30,23.379999,24.10,23.379999,23.870001,18100,23.870001
2016-03-29,23.120001,23.42,22.99,23.32,16600,23.32
2016-03-28,23.16,23.440001,22.950001,23.120001,19700,23.120001
2016-03-24,23.27,23.27,23.00,23.18,7300,23.18
2016-03-23,23.219999,23.459999,23.219999,23.219999,9200,23.219999
2016-03-22,23.74,23.879999,23.620001,23.709999,9600,23.709999
2016-03-21,23.969999,24.120001,23.360001,23.620001,19900,23.620001
2016-03-18,23.42,24.15,23.42,23.940001,53700,23.940001
2016-03-17,23.040001,23.33,22.889999,23.219999,29900,23.219999
2016-03-16,22.870001,23.15,22.75,23.07,18000,23.07
2016-03-15,23.65,23.65,22.940001,22.940001,14100,22.900001
2016-03-14,23.48,23.809999,23.17,23.620001,17700,23.578815
2016-03-11,23.450001,23.57,23.120001,23.450001,20000,23.409112
2016-03-10,22.889999,23.50,22.549999,23.280001,25500,23.239408
2016-03-09,23.389999,23.42,22.809999,22.91,10400,22.870052
2016-03-08,23.389999,23.59,23.280001,23.370001,18400,23.329251
2016-03-07,23.129999,23.49,23.129999,23.459999,13200,23.419092
2016-03-04,22.940001,23.200001,22.76,23.129999,16500,23.089668
2016-03-03,22.66,22.950001,22.50,22.790001,30000,22.750263
2016-03-02,22.59,22.75,22.50,22.74,18800,22.700349
2016-03-01,22.43,22.719999,22.41,22.639999,36900,22.600523
2016-02-29,22.450001,22.530001,22.389999,22.42,19300,22.380907
2016-02-26,22.440001,22.620001,18.049999,22.530001,22600,22.490716
2016-02-25,21.93,22.389999,21.809999,22.379999,15800,22.340976
2016-02-24,21.799999,22.02,21.49,21.99,13300,21.951656
2016-02-23,22.09,22.24,21.90,21.950001,30100,21.911727
2016-02-22,22.09,22.24,21.950001,22.10,32200,22.061465
2016-02-19,21.67,21.98,20.790001,21.92,17100,21.881779
2016-02-18,21.84,21.91,21.610001,21.65,13000,21.612249
2016-02-17,22.030001,22.030001,21.84,21.93,17500,21.891762
2016-02-16,21.700001,22.00,21.52,21.940001,18500,21.901744
2016-02-12,21.40,21.940001,21.27,21.49,27100,21.452528
2016-02-11,21.17,21.299999,20.889999,21.00,24400,20.963383
2016-02-10,22.15,22.389999,21.559999,21.559999,14400,21.522406
2016-02-09,21.59,22.41,21.00,22.219999,27300,22.181255
2016-02-08,21.709999,21.799999,20.809999,21.77,56900,21.732041
2016-02-05,22.530001,22.74,21.700001,21.700001,36600,21.662163
2016-02-04,22.379999,22.629999,22.299999,22.41,14900,22.370924
2016-02-03,22.719999,22.77,22.08,22.40,27700,22.360941
2016-02-02,22.639999,22.82,22.440001,22.610001,16300,22.570576
2016-02-01,22.90,22.92,22.639999,22.639999,13500,22.600523
2016-01-29,22.280001,23.00,22.280001,22.959999,28900,22.919964
2016-01-28,22.15,22.549999,22.15,22.25,51900,22.211203
2016-01-27,21.65,22.370001,21.58,21.959999,31200,21.921708
2016-01-26,22.50,22.879999,21.40,21.52,77500,21.482477
2016-01-25,22.469999,22.469999,22.25,22.299999,28800,22.261115
2016-01-22,22.709999,22.709999,22.25,22.469999,17600,22.430819
2016-01-21,22.58,22.93,22.43,22.559999,36600,22.520662
2016-01-20,22.40,23.01,21.969999,22.60,63600,22.560593
2016-01-19,22.450001,22.59,21.950001,22.379999,53600,22.340976
2016-01-15,21.90,22.42,21.75,22.42,52900,22.380907
2016-01-14,22.299999,22.34,22.049999,22.200001,42100,22.161291
2016-01-13,22.879999,23.059999,22.00,22.07,35500,22.031517
2016-01-12,22.799999,23.00,22.40,22.85,62900,22.810157
2016-01-11,22.77,23.059999,22.48,22.67,34600,22.630471
2016-01-08,23.08,23.33,22.73,22.780001,39200,22.74028
2016-01-07,23.139999,23.450001,22.66,22.99,34200,22.949913
2016-01-06,23.190001,24.030001,23.129999,23.459999,37300,23.419092
2016-01-05,23.18,23.76,22.92,23.639999,40500,23.598779
2016-01-04,24.059999,24.059999,22.719999,23.209999,63200,23.169528
2015-12-31,24.68,24.68,24.18,24.290001,20800,24.247647
2015-12-30,24.83,24.85,24.60,24.620001,14700,24.577072
2015-12-29,24.43,24.90,24.43,24.799999,22400,24.756756
2015-12-28,24.43,24.549999,24.32,24.49,14300,24.447297
2015-12-24,24.41,24.719999,24.309999,24.40,38800,24.357454
2015-12-23,24.00,24.52,23.889999,24.35,47000,24.307542
2015-12-22,23.719999,24.15,23.370001,24.00,25800,23.958152
2015-12-21,24.00,24.00,22.98,23.809999,18500,23.768483
2015-12-18,23.84,24.43,23.74,23.959999,76900,23.918221
2015-12-17,24.00,24.129999,23.85,23.91,20900,23.868309
2015-12-16,23.91,24.16,23.530001,24.00,25900,23.958152
2015-12-15,23.290001,24.10,23.139999,24.049999,25600,23.968134
2015-12-14,22.700001,23.41,22.629999,23.18,20800,23.101096
2015-12-11,22.799999,23.200001,22.66,22.68,22100,22.602798
2015-12-10,22.91,23.48,22.76,23.27,19800,23.19079
2015-12-09,23.559999,23.559999,21.76,23.290001,32200,23.210723
2015-12-08,23.59,23.59,23.26,23.41,95800,23.330313
2015-12-07,24.00,24.00,23.48,23.75,15700,23.669156
2015-12-04,23.34,24.120001,23.24,23.950001,11600,23.868476
2015-12-03,23.59,23.799999,23.120001,23.16,14200,23.081164
