Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,4.65,4.78,4.45,4.58,51100,4.58
2016-06-09,4.59,4.95,4.59,4.72,70800,4.72
2016-06-08,4.38,4.65,4.36,4.65,218100,4.65
2016-06-07,4.15,4.40,4.08,4.33,78500,4.33
2016-06-06,4.28,4.28,4.11,4.12,42600,4.12
2016-06-03,4.31,4.40,4.20,4.26,37800,4.26
2016-06-02,4.30,4.40,4.17,4.38,55300,4.38
2016-06-01,4.08,4.33,4.05,4.31,83500,4.31
2016-05-31,4.19,4.19,4.05,4.13,53300,4.13
2016-05-27,4.11,4.19,4.11,4.14,30500,4.14
2016-05-26,4.20,4.20,4.11,4.15,53800,4.15
2016-05-25,4.17,4.25,4.14,4.18,55500,4.18
2016-05-24,4.27,4.46,4.12,4.19,65400,4.19
2016-05-23,4.20,4.35,4.11,4.27,70100,4.27
2016-05-20,4.20,4.32,4.15,4.19,119800,4.19
2016-05-19,4.46,4.55,4.15,4.15,145700,4.15
2016-05-18,4.68,4.74,4.50,4.53,124900,4.53
2016-05-17,4.68,4.86,4.59,4.73,65300,4.73
2016-05-16,4.75,4.75,4.59,4.73,32300,4.73
2016-05-13,4.74,4.82,4.65,4.75,55200,4.75
2016-05-12,4.76,4.94,4.65,4.78,133500,4.78
2016-05-11,4.97,4.98,4.64,4.88,179800,4.88
2016-05-10,5.04,5.20,4.81,5.08,55200,5.08
2016-05-09,4.76,5.05,4.76,5.02,35800,5.02
2016-05-06,4.75,4.85,4.75,4.76,41000,4.76
2016-05-05,4.98,4.98,4.75,4.78,32700,4.78
2016-05-04,5.00,5.03,4.83,4.93,33800,4.93
2016-05-03,4.95,5.04,4.95,4.98,33700,4.98
2016-05-02,5.11,5.11,4.90,4.99,67300,4.99
2016-04-29,5.29,5.29,4.93,4.99,52900,4.99
2016-04-28,5.39,5.39,5.23,5.26,21100,5.26
2016-04-27,5.43,5.44,5.33,5.38,10100,5.38
2016-04-26,5.35,5.44,5.15,5.42,41600,5.42
2016-04-25,5.36,5.48,5.29,5.35,19800,5.35
2016-04-22,5.35,5.48,5.30,5.34,43100,5.34
2016-04-21,5.20,5.48,5.16,5.40,45900,5.40
2016-04-20,5.23,5.26,5.14,5.16,48200,5.16
2016-04-19,5.25,5.33,5.12,5.25,49900,5.25
2016-04-18,5.32,5.33,5.10,5.24,36700,5.24
2016-04-15,5.55,5.55,5.22,5.30,71400,5.30
2016-04-14,5.29,5.57,5.20,5.52,45500,5.52
2016-04-13,5.04,5.25,5.04,5.25,53200,5.25
2016-04-12,5.00,5.09,4.95,5.03,33300,5.03
2016-04-11,5.00,5.12,4.94,5.01,42800,5.01
2016-04-08,5.07,5.10,4.88,5.02,16400,5.02
2016-04-07,5.02,5.14,4.88,5.04,28300,5.04
2016-04-06,5.06,5.19,5.00,5.05,16400,5.05
2016-04-05,5.12,5.21,4.92,5.06,29500,5.06
2016-04-04,5.29,5.48,5.01,5.11,91500,5.11
2016-04-01,5.26,5.44,5.25,5.34,26000,5.34
2016-03-31,5.32,5.45,5.26,5.32,27400,5.32
2016-03-30,5.28,5.45,5.23,5.34,59700,5.34
2016-03-29,4.94,5.22,4.75,5.17,41200,5.17
2016-03-28,5.01,5.08,4.79,4.91,87300,4.91
2016-03-24,5.09,5.09,4.90,4.96,47200,4.96
2016-03-23,5.29,5.29,4.98,5.15,42700,5.15
2016-03-22,5.39,5.51,5.19,5.30,53600,5.30
2016-03-21,5.63,5.73,5.36,5.43,37800,5.43
2016-03-18,5.55,5.60,5.52,5.59,22500,5.59
2016-03-17,5.60,5.70,5.51,5.55,36500,5.55
2016-03-16,5.58,5.68,5.48,5.60,58600,5.60
2016-03-15,5.72,5.85,5.52,5.55,52100,5.55
2016-03-14,5.40,5.86,5.39,5.70,112800,5.70
2016-03-11,5.24,5.46,5.24,5.39,35300,5.39
2016-03-10,5.26,5.42,5.20,5.20,44600,5.20
2016-03-09,5.22,5.29,5.03,5.21,38200,5.21
2016-03-08,5.19,5.42,5.17,5.20,57600,5.20
2016-03-07,5.40,5.46,5.23,5.28,72600,5.28
2016-03-04,5.40,5.47,5.35,5.39,26800,5.39
2016-03-03,5.42,5.50,5.28,5.35,71500,5.35
2016-03-02,5.12,5.48,5.12,5.20,70700,5.20
2016-03-01,5.28,5.49,5.07,5.15,63200,5.15
2016-02-29,4.96,5.49,4.87,5.20,70300,5.20
2016-02-26,4.96,5.04,4.90,4.96,49600,4.96
2016-02-25,5.07,5.14,4.90,4.93,40900,4.93
2016-02-24,4.98,5.02,4.86,5.01,53800,5.01
2016-02-23,4.97,5.00,4.87,4.98,23400,4.98
2016-02-22,4.95,4.95,4.83,4.94,55300,4.94
2016-02-19,4.96,4.96,4.70,4.84,46900,4.84
2016-02-18,5.00,5.00,4.78,4.95,39000,4.95
2016-02-17,4.93,5.00,4.88,4.99,70300,4.99
2016-02-16,5.00,5.05,4.58,4.98,102400,4.98
2016-02-12,4.80,5.09,4.63,5.06,113700,5.06
2016-02-11,5.20,5.20,4.50,4.77,290100,4.77
2016-02-10,5.38,5.50,5.12,5.39,70600,5.39
2016-02-09,5.38,5.45,5.07,5.28,111400,5.28
2016-02-08,5.78,5.78,5.37,5.48,38300,5.48
