Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,19.90,20.15,19.68,19.85,98700,19.85
2016-06-09,20.07,20.16,19.91,20.15,172400,20.15
2016-06-08,20.040001,20.280001,19.98,20.26,228500,20.26
2016-06-07,20.139999,20.379999,19.969999,20.030001,91700,20.030001
2016-06-06,19.91,20.110001,19.76,20.059999,122200,20.059999
2016-06-03,19.99,19.99,19.68,19.780001,86800,19.780001
2016-06-02,19.639999,20.190001,19.620001,19.940001,128500,19.940001
2016-06-01,20.15,20.15,19.690001,19.85,188800,19.85
2016-05-31,20.219999,20.309999,20.00,20.16,119300,20.16
2016-05-27,19.76,20.030001,19.66,20.00,107100,20.00
2016-05-26,19.559999,19.870001,19.360001,19.639999,191400,19.639999
2016-05-25,19.190001,19.610001,19.01,19.58,169600,19.58
2016-05-24,18.549999,19.27,18.48,19.200001,194000,19.200001
2016-05-23,17.799999,18.67,17.76,18.530001,228300,18.530001
2016-05-20,17.52,18.23,17.40,17.809999,242000,17.809999
2016-05-19,15.90,18.00,15.80,17.389999,505900,17.389999
2016-05-18,15.19,15.49,15.08,15.37,90700,15.37
2016-05-17,15.64,15.77,15.16,15.23,118300,15.23
2016-05-16,15.40,15.91,15.40,15.74,78600,15.74
2016-05-13,15.49,15.65,15.39,15.43,41600,15.43
2016-05-12,15.65,15.85,15.15,15.52,68100,15.52
2016-05-11,15.72,15.84,15.52,15.59,62900,15.59
2016-05-10,15.43,15.78,15.37,15.71,46900,15.71
2016-05-09,15.35,15.50,15.27,15.41,87400,15.41
2016-05-06,15.37,15.70,15.01,15.44,69200,15.44
2016-05-05,15.67,15.77,15.37,15.39,75000,15.39
2016-05-04,15.65,15.87,15.47,15.57,59400,15.57
2016-05-03,16.120001,16.280001,15.60,15.68,82200,15.68
2016-05-02,16.190001,16.299999,16.040001,16.27,94000,16.27
2016-04-29,16.49,16.57,16.08,16.09,116000,16.09
2016-04-28,16.450001,16.700001,16.34,16.43,150200,16.43
2016-04-27,16.42,16.60,16.360001,16.48,77200,16.48
2016-04-26,16.209999,16.860001,16.040001,16.43,128500,16.43
2016-04-25,16.25,16.389999,15.96,16.120001,57700,16.120001
2016-04-22,16.309999,16.43,16.129999,16.34,123900,16.34
2016-04-21,16.18,16.50,16.18,16.35,111500,16.35
2016-04-20,16.379999,16.68,16.16,16.209999,107300,16.209999
2016-04-19,15.77,16.48,15.74,16.43,97900,16.43
2016-04-18,15.79,16.10,15.63,15.88,159800,15.88
2016-04-15,15.76,16.129999,15.76,15.92,66700,15.92
2016-04-14,16.01,16.18,15.80,15.87,98600,15.87
2016-04-13,15.74,16.129999,15.54,16.040001,195100,16.040001
2016-04-12,15.62,15.93,15.51,15.76,126300,15.63
2016-04-11,15.55,15.87,15.43,15.63,91700,15.501072
2016-04-08,15.26,15.53,15.20,15.51,152100,15.382062
2016-04-07,15.39,15.41,14.98,15.11,156200,14.985361
2016-04-06,15.36,15.56,15.15,15.53,124200,15.401897
2016-04-05,15.50,15.95,15.31,15.32,154100,15.193629
2016-04-04,15.77,16.02,15.59,15.61,116800,15.481237
2016-04-01,15.86,15.91,15.67,15.84,110600,15.70934
2016-03-31,15.69,16.040001,15.69,16.02,177800,15.887856
2016-03-30,16.02,16.09,15.72,15.75,175500,15.620082
2016-03-29,15.69,15.95,15.63,15.91,238600,15.778762
2016-03-28,15.63,15.84,15.54,15.76,165000,15.63
2016-03-24,15.64,15.64,15.24,15.58,165100,15.451484
2016-03-23,15.85,15.85,15.45,15.46,123300,15.332474
2016-03-22,15.85,15.96,15.66,15.90,130100,15.768845
2016-03-21,15.60,16.01,15.28,15.97,184700,15.838268
2016-03-18,15.50,15.89,15.37,15.66,599000,15.530824
2016-03-17,14.40,15.50,14.40,15.40,340900,15.272969
2016-03-16,14.18,14.70,14.13,14.45,244300,14.330805
2016-03-15,14.21,14.61,13.95,14.22,300900,14.102703
