Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,12.54,12.75,12.26,12.40,692600,12.40
2016-06-09,13.20,13.37,12.59,12.67,594300,12.67
2016-06-08,13.25,13.41,13.18,13.29,698700,13.29
2016-06-07,13.03,13.40,13.00,13.18,585500,13.18
2016-06-06,12.91,13.18,12.77,13.08,473000,13.08
2016-06-03,13.05,13.14,12.74,12.88,800500,12.88
2016-06-02,12.95,13.19,12.72,13.08,809900,13.08
2016-06-01,13.16,13.20,12.90,13.07,648600,13.07
2016-05-31,12.96,13.23,12.77,13.17,1044000,13.17
2016-05-27,12.65,13.00,12.64,12.88,466500,12.88
2016-05-26,12.93,12.96,12.63,12.64,516000,12.64
2016-05-25,12.66,12.99,12.54,12.88,637700,12.88
2016-05-24,12.58,12.66,12.24,12.61,986600,12.61
2016-05-23,12.48,12.60,12.19,12.22,945200,12.22
2016-05-20,12.27,12.48,12.19,12.44,590400,12.44
2016-05-19,12.07,12.31,12.00,12.20,681800,12.20
2016-05-18,12.50,12.65,12.04,12.13,609900,12.13
2016-05-17,12.61,12.98,12.42,12.56,843500,12.56
2016-05-16,12.81,12.88,12.65,12.65,715800,12.65
2016-05-13,13.11,13.28,12.71,12.71,1021600,12.71
2016-05-12,13.18,13.31,13.01,13.20,817200,13.20
2016-05-11,13.78,13.84,13.05,13.08,758800,13.08
2016-05-10,14.00,14.11,13.81,13.93,626100,13.93
2016-05-09,14.01,14.12,13.75,13.88,963900,13.88
2016-05-06,13.57,14.06,13.50,13.99,1228300,13.99
2016-05-05,14.31,14.38,13.63,13.64,1124400,13.64
2016-05-04,14.09,14.57,13.99,14.12,1375700,14.12
2016-05-03,14.77,14.89,13.87,14.16,1611800,14.16
2016-05-02,14.90,14.98,14.41,14.95,1568300,14.95
2016-04-29,13.76,14.91,13.59,14.70,2207500,14.70
2016-04-28,14.96,15.01,13.01,13.70,4348700,13.70
2016-04-27,15.60,15.94,15.39,15.71,1044700,15.71
2016-04-26,15.14,15.60,15.00,15.50,797000,15.50
2016-04-25,15.16,15.25,14.88,15.02,970100,15.02
2016-04-22,14.57,15.40,14.55,15.26,1011200,15.26
2016-04-21,14.82,15.06,14.47,14.53,899000,14.53
2016-04-20,14.82,15.07,14.70,14.79,1214000,14.79
2016-04-19,15.19,15.45,14.69,14.81,757000,14.81
2016-04-18,14.95,15.27,14.75,15.08,395600,15.08
2016-04-15,14.91,15.29,14.86,15.04,579000,15.04
2016-04-14,15.41,15.41,14.92,15.01,589700,15.01
2016-04-13,14.52,15.68,14.49,15.41,1136900,15.41
2016-04-12,14.46,14.50,14.01,14.37,795200,14.37
2016-04-11,14.66,15.11,14.41,14.45,1360800,14.45
2016-04-08,14.39,14.75,14.20,14.60,659800,14.60
2016-04-07,14.54,14.80,14.13,14.22,983100,14.22
2016-04-06,14.71,14.87,14.39,14.69,627100,14.69
2016-04-05,15.32,15.38,14.62,14.66,932700,14.66
2016-04-04,14.89,15.47,14.89,15.47,970300,15.47
2016-04-01,15.58,15.64,14.83,15.30,1563800,15.30
2016-03-31,15.12,16.02,15.12,15.85,918600,15.85
2016-03-30,15.46,15.68,15.17,15.26,801200,15.18
2016-03-29,15.52,15.56,14.92,15.39,1529800,15.309319
2016-03-28,15.35,15.97,15.22,15.66,733100,15.577903
2016-03-24,15.03,15.37,14.74,15.27,555900,15.189948
2016-03-23,15.68,15.70,15.15,15.17,760300,15.090472
2016-03-22,16.209999,16.360001,15.72,15.73,832100,15.647536
2016-03-21,15.69,16.370001,15.55,16.25,1274700,16.16481
2016-03-18,15.50,15.90,15.34,15.74,2357000,15.657483
2016-03-17,15.05,15.37,14.78,15.34,1212200,15.259581
2016-03-16,14.39,15.13,14.30,15.05,1605000,14.971101
2016-03-15,14.00,14.69,13.98,14.30,2616000,14.225033
2016-03-14,14.11,14.19,13.30,13.45,883300,13.379489
2016-03-11,13.71,14.22,13.56,14.20,506300,14.125557
2016-03-10,13.84,14.11,13.28,13.55,473400,13.478965
2016-03-09,13.68,14.23,13.47,13.77,608100,13.697812
2016-03-08,14.45,14.52,13.56,13.59,1390700,13.518755
2016-03-07,13.21,14.59,13.21,14.56,1525800,14.48367
2016-03-04,13.13,13.63,13.07,13.25,1335100,13.180537
2016-03-03,12.95,13.25,12.95,13.08,1364100,13.011428
2016-03-02,13.07,13.22,12.90,12.96,666500,12.892058
2016-03-01,12.80,13.22,12.33,13.09,702500,13.021376
2016-02-29,12.78,12.96,12.65,12.77,928400,12.703054
2016-02-26,12.88,13.07,12.62,12.82,718000,12.752791
2016-02-25,12.48,12.79,12.24,12.78,666800,12.713001
2016-02-24,12.18,12.60,11.80,12.49,928600,12.424521
2016-02-23,12.31,12.52,11.97,12.40,995200,12.334993
2016-02-22,12.52,12.77,12.25,12.28,1016700,12.215622
2016-02-19,12.49,12.78,11.97,12.49,1394200,12.424521
2016-02-18,12.68,13.10,12.16,12.59,1320900,12.523997
2016-02-17,12.48,13.25,12.31,12.67,1752800,12.603578
2016-02-16,11.74,12.45,11.40,12.36,1219400,12.295203
2016-02-12,11.10,11.51,10.82,11.45,8961600,11.389974
2016-02-11,10.66,11.02,10.50,10.92,1914200,10.862752
2016-02-10,11.10,11.69,10.86,11.24,2067600,11.181074
2016-02-09,10.69,11.17,10.62,11.13,1854400,11.071651
2016-02-08,10.86,10.88,10.00,10.70,1851400,10.643905
2016-02-05,10.38,11.20,10.28,11.04,2628600,10.982123
2016-02-04,9.86,10.56,9.83,10.34,2597000,10.285793
2016-02-03,9.94,10.14,9.90,9.98,3519900,9.92768
2016-02-02,11.00,11.41,9.76,9.89,7806300,9.838152
2016-02-01,13.50,13.73,12.77,13.28,2054700,13.21038
2016-01-29,13.24,13.78,13.20,13.62,1337100,13.548597
2016-01-28,13.64,13.85,13.12,13.15,1209200,13.081061
2016-01-27,13.45,13.98,13.30,13.49,791700,13.419279
2016-01-26,12.86,13.56,12.81,13.56,1537400,13.488913
