Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,2.42,2.48,2.34,2.48,6300,2.48
2016-06-09,2.42,2.48,2.36,2.48,38300,2.48
2016-06-08,2.37,2.47,2.36,2.46,2100,2.46
2016-06-07,2.42,2.45,2.33,2.39,5800,2.39
2016-06-06,2.40,2.48,2.40,2.45,20400,2.45
2016-06-03,2.39,2.43,2.34,2.42,3300,2.42
2016-06-02,2.42,2.43,2.40,2.43,6900,2.43
2016-06-01,2.30,2.39,2.30,2.39,7500,2.39
2016-05-31,2.29,2.35,2.28,2.33,19300,2.33
2016-05-27,2.27,2.34,2.26,2.34,3400,2.34
2016-05-26,2.33,2.36,2.22,2.29,17900,2.29
2016-05-25,2.30,2.35,2.30,2.33,2200,2.33
2016-05-24,2.24,2.35,2.22,2.30,30400,2.30
2016-05-23,2.29,2.31,2.27,2.27,3000,2.27
2016-05-20,2.36,2.39,2.30,2.31,8100,2.31
2016-05-19,2.36,2.39,2.29,2.29,16100,2.29
2016-05-18,2.35,2.42,2.30,2.33,7300,2.33
2016-05-17,2.43,2.43,2.27,2.28,12800,2.28
2016-05-16,2.41,2.44,2.41,2.43,8600,2.43
2016-05-13,2.35,2.43,2.35,2.43,6700,2.43
2016-05-12,2.31,2.38,2.28,2.36,9200,2.36
2016-05-11,2.36,2.44,2.29,2.30,14100,2.30
2016-05-10,2.40,2.49,2.30,2.40,22500,2.40
2016-05-09,2.38,2.40,2.27,2.36,7600,2.36
2016-05-06,2.35,2.39,2.31,2.37,11000,2.37
2016-05-05,2.44,2.44,2.25,2.32,32400,2.32
2016-05-04,2.41,2.44,2.37,2.44,9000,2.44
2016-05-03,2.39,2.43,2.35,2.40,6700,2.40
2016-05-02,2.54,2.54,2.35,2.37,41600,2.37
2016-04-29,2.60,2.60,2.48,2.50,15400,2.50
2016-04-28,2.55,2.74,2.35,2.58,26800,2.58
2016-04-27,2.49,2.54,2.42,2.54,7100,2.54
2016-04-26,2.64,2.65,2.54,2.60,20100,2.60
2016-04-25,2.51,2.79,2.51,2.64,37300,2.64
2016-04-22,2.38,2.69,2.38,2.51,55900,2.51
2016-04-21,2.27,2.43,2.23,2.37,84400,2.37
2016-04-20,2.25,2.29,2.25,2.25,34500,2.25
2016-04-19,2.17,2.25,2.16,2.23,21100,2.23
2016-04-18,2.19,2.20,2.15,2.15,19400,2.15
2016-04-15,2.27,2.27,2.17,2.17,34000,2.17
2016-04-14,2.09,2.25,2.09,2.21,81500,2.21
2016-04-13,2.20,2.22,2.15,2.16,32800,2.16
2016-04-12,2.10,2.22,2.10,2.19,43600,2.19
2016-04-11,2.25,2.30,2.11,2.11,41300,2.11
2016-04-08,2.32,2.42,2.23,2.23,42600,2.23
2016-04-07,2.55,2.55,2.29,2.30,59000,2.30
2016-04-06,2.57,2.60,2.47,2.49,17500,2.49
2016-04-05,2.65,2.67,2.46,2.63,40400,2.63
2016-04-04,2.57,2.75,2.57,2.65,14000,2.65
2016-04-01,2.72,2.82,2.50,2.60,37900,2.60
2016-03-31,2.72,2.91,2.70,2.70,11800,2.70
2016-03-30,2.88,2.95,2.70,2.73,11300,2.73
2016-03-29,2.81,2.92,2.80,2.90,8200,2.90
2016-03-28,2.89,3.00,2.80,2.81,24900,2.79
2016-03-24,2.97,3.05,2.87,2.88,25200,2.859502
2016-03-23,3.14,3.20,2.90,2.93,45600,2.909146
2016-03-22,3.00,3.10,2.80,3.09,110700,3.068007
2016-03-21,3.71,3.71,3.00,3.03,73200,3.008434
2016-03-18,3.65,3.88,3.50,3.50,26600,3.475089
2016-03-17,4.00,4.00,3.47,3.64,93200,3.614093
2016-03-16,4.13,4.14,3.97,4.00,22900,3.97153
2016-03-15,4.23,4.23,4.10,4.21,500,4.180036
2016-03-14,4.01,4.24,4.01,4.19,1400,4.160178
2016-03-11,4.09,4.20,4.09,4.15,8200,4.120463
2016-03-10,4.09,4.10,4.02,4.10,4100,4.070818
2016-03-09,4.03,4.04,4.01,4.03,5800,4.001317
2016-03-08,4.26,4.26,4.04,4.05,3700,4.021175
2016-03-07,4.11,4.26,4.04,4.11,8200,4.080747
2016-03-04,4.35,4.35,4.07,4.09,5000,4.06089
2016-03-03,4.11,4.13,4.00,4.00,1100,3.97153
2016-03-02,4.02,4.29,4.00,4.04,14400,4.011245
2016-03-01,3.92,4.08,3.92,3.96,10200,3.931815
2016-02-29,3.87,4.05,3.87,3.90,10800,3.872242
2016-02-26,3.95,3.97,3.81,3.81,8900,3.782882
2016-02-25,4.01,4.01,3.92,3.96,7100,3.931815
2016-02-24,4.02,4.04,4.02,4.04,600,4.011245
2016-02-23,4.01,4.03,4.01,4.03,700,4.001317
2016-02-22,3.99,4.06,3.98,4.05,14800,4.021175
2016-02-19,4.09,4.10,4.01,4.07,8100,4.041032
2016-02-18,4.11,4.15,4.06,4.13,6200,4.100605
2016-02-17,4.10,4.10,3.96,4.07,5000,4.041032
2016-02-16,4.00,4.12,3.99,4.09,5600,4.06089
2016-02-12,3.99,4.02,3.96,4.00,3200,3.97153
2016-02-11,4.02,4.04,3.95,3.95,4300,3.921886
2016-02-10,4.12,4.12,4.02,4.05,2100,4.021175
2016-02-09,4.06,4.09,4.05,4.07,2700,4.041032
2016-02-08,4.10,4.13,4.10,4.11,2700,4.080747
2016-02-05,4.10,4.14,4.10,4.10,10500,4.070818
2016-02-04,4.12,4.16,4.11,4.11,3500,4.080747
2016-02-03,4.20,4.24,4.16,4.16,11100,4.130391
2016-02-02,4.21,4.21,4.11,4.15,2000,4.120463
2016-02-01,4.14,4.18,4.14,4.18,5400,4.150249
2016-01-29,4.25,4.25,4.13,4.13,2700,4.100605
2016-01-28,4.12,4.22,4.02,4.21,9800,4.180036
2016-01-27,4.20,4.21,4.12,4.21,1900,4.180036
2016-01-26,4.12,4.21,3.98,4.20,26400,4.170107
2016-01-25,4.20,4.29,3.90,4.14,31800,4.110534
2016-01-22,4.26,4.26,4.20,4.20,4800,4.170107
2016-01-21,4.35,4.35,4.20,4.26,3200,4.22968
2016-01-20,4.15,4.25,4.08,4.25,8700,4.219751
2016-01-19,4.19,4.19,4.11,4.15,18700,4.120463
2016-01-15,4.17,4.23,4.15,4.18,8100,4.150249
2016-01-14,4.14,4.22,4.13,4.18,10800,4.150249
2016-01-13,4.17,4.18,4.11,4.18,4300,4.150249
