Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,24.700001,24.700001,24.50,24.50,1300,24.50
2016-06-09,24.469999,24.719999,24.450001,24.549999,3800,24.549999
2016-06-08,24.690001,24.690001,24.610001,24.610001,500,24.610001
2016-06-07,24.65,24.65,24.450001,24.450001,1400,24.450001
2016-06-06,23.620001,25.200001,23.620001,24.01,1400,24.01
2016-06-03,24.98,25.18,23.40,23.40,4200,23.40
2016-06-02,23.27,23.60,23.139999,23.370001,2500,23.370001
2016-06-01,23.35,23.370001,23.32,23.32,2000,23.32
2016-05-31,23.35,23.35,23.110001,23.35,400,23.35
2016-05-27,23.219999,23.50,23.040001,23.33,2700,23.33
2016-05-26,23.59,23.59,23.59,23.59,300,23.59
2016-05-25,23.60,23.60,23.00,23.32,2800,23.32
2016-05-24,23.370001,23.370001,23.120001,23.16,700,23.16
2016-05-23,23.50,23.50,23.42,23.42,700,23.42
2016-05-20,23.299999,23.60,23.00,23.00,1200,23.00
2016-05-19,23.24,23.290001,23.24,23.290001,800,23.290001
2016-05-18,23.60,23.60,23.00,23.379999,1500,23.379999
2016-05-17,23.25,23.50,23.219999,23.219999,4800,23.219999
2016-05-16,22.59,23.27,22.379999,23.27,9800,23.27
2016-05-13,22.290001,22.290001,22.290001,22.290001,000,22.290001
2016-05-12,22.91,22.91,22.049999,22.290001,3500,22.290001
2016-05-11,22.879999,22.879999,22.60,22.60,600,22.60
2016-05-10,22.200001,22.200001,22.200001,22.200001,000,22.200001
2016-05-09,21.98,22.969999,21.950001,22.200001,1900,22.200001
2016-05-06,21.90,21.90,21.90,21.90,000,21.90
2016-05-05,22.08,22.889999,21.809999,21.90,2400,21.90
2016-05-04,21.950001,22.450001,21.950001,22.450001,200,22.450001
2016-05-03,21.950001,22.84,21.950001,22.23,1100,22.23
2016-05-02,22.719999,22.719999,21.799999,21.82,5200,21.82
2016-04-29,22.33,22.610001,22.33,22.610001,900,22.610001
2016-04-28,22.190001,22.49,22.00,22.49,1200,22.49
2016-04-27,21.860001,22.27,21.780001,22.00,5400,22.00
2016-04-26,21.52,22.870001,21.51,21.51,31800,21.51
2016-04-25,21.51,21.51,21.51,21.51,200,21.51
2016-04-22,22.139999,22.139999,21.51,21.559999,3400,21.559999
2016-04-21,22.040001,23.190001,21.950001,22.15,1200,22.15
2016-04-20,21.75,21.940001,21.700001,21.73,3300,21.73
2016-04-19,22.00,22.00,22.00,22.00,700,22.00
2016-04-18,21.790001,21.98,21.57,21.57,1600,21.57
2016-04-15,23.25,23.27,21.809999,21.809999,2500,21.809999
2016-04-14,23.450001,23.450001,22.030001,22.110001,1900,22.110001
2016-04-13,21.99,21.99,21.99,21.99,300,21.99
2016-04-12,22.90,22.90,22.120001,22.120001,2600,21.917001
2016-04-11,22.040001,22.190001,22.040001,22.190001,600,21.986358
2016-04-08,22.00,22.309999,22.00,22.309999,1100,22.105256
2016-04-07,22.60,23.57,22.290001,22.75,4600,22.541219
2016-04-06,22.049999,22.049999,22.00,22.00,1000,21.798101
2016-04-05,21.84,21.85,21.700001,21.85,1400,21.649478
2016-04-04,21.639999,21.639999,21.639999,21.639999,000,21.441405
2016-04-01,21.450001,23.639999,21.450001,21.639999,1600,21.441405
2016-03-31,21.389999,22.139999,21.389999,21.620001,2000,21.42159
2016-03-30,22.00,22.200001,21.99,22.200001,2600,21.996267
2016-03-29,22.10,22.10,21.51,21.719999,1600,21.52067
2016-03-28,21.450001,22.00,21.450001,22.00,1100,21.798101
2016-03-24,21.26,21.700001,21.26,21.700001,400,21.500855
2016-03-23,21.25,22.09,21.25,22.09,400,21.887276
2016-03-22,21.75,23.389999,21.75,22.66,700,22.452044
2016-03-21,22.01,22.01,21.959999,21.959999,400,21.758468
2016-03-18,21.299999,22.00,21.299999,21.959999,4700,21.758468
2016-03-17,21.120001,21.620001,21.120001,21.40,3500,21.203607
2016-03-16,21.33,21.559999,21.00,21.26,4100,21.064893
2016-03-15,21.83,21.83,21.35,21.35,1000,21.154067
2016-03-14,21.209999,21.25,21.209999,21.25,900,21.054984
