Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,20.82,20.92,20.74,20.85,403700,20.85
2016-06-09,20.790001,20.91,20.700001,20.85,389600,20.85
2016-06-08,20.52,20.82,20.49,20.799999,311000,20.799999
2016-06-07,20.42,20.60,20.42,20.530001,300400,20.530001
2016-06-06,20.440001,20.58,20.209999,20.40,458700,20.40
2016-06-03,20.51,20.67,20.34,20.450001,863600,20.450001
2016-06-02,20.190001,20.389999,20.139999,20.370001,806500,20.370001
2016-06-01,20.25,20.389999,20.15,20.25,674800,20.25
2016-05-31,20.290001,20.290001,20.02,20.219999,836300,20.219999
2016-05-27,20.139999,20.440001,20.110001,20.200001,547500,20.200001
2016-05-26,20.040001,20.16,19.969999,20.120001,254500,20.120001
2016-05-25,20.139999,20.27,19.809999,20.07,371100,20.07
2016-05-24,20.00,20.34,19.98,20.02,1040400,20.02
2016-05-23,19.969999,20.10,19.889999,19.959999,294900,19.959999
2016-05-20,19.84,20.110001,19.65,20.049999,505100,20.049999
2016-05-19,19.73,19.83,19.57,19.76,426800,19.76
2016-05-18,20.129999,20.129999,19.66,19.870001,395400,19.870001
2016-05-17,20.67,20.67,19.99,20.16,873500,20.16
2016-05-16,20.60,20.90,20.59,20.73,332800,20.73
2016-05-13,20.639999,20.74,20.32,20.639999,589400,20.639999
2016-05-12,20.459999,20.709999,20.360001,20.66,529300,20.66
2016-05-11,20.860001,20.860001,20.33,20.459999,424100,20.459999
2016-05-10,21.07,21.07,20.799999,20.889999,293500,20.889999
2016-05-09,20.700001,21.10,20.610001,20.93,871400,20.93
2016-05-06,20.290001,20.700001,20.219999,20.690001,586200,20.690001
2016-05-05,20.309999,20.41,20.18,20.370001,389300,20.370001
2016-05-04,20.00,20.42,19.959999,20.34,525900,20.34
2016-05-03,20.09,20.10,19.85,20.049999,287900,20.049999
2016-05-02,19.65,20.16,19.65,20.139999,675700,20.139999
2016-04-29,19.889999,20.00,19.440001,19.67,688800,19.67
2016-04-28,19.530001,19.99,19.530001,19.879999,611500,19.879999
2016-04-27,19.530001,19.610001,19.280001,19.60,296300,19.60
2016-04-26,19.48,19.639999,19.40,19.559999,414700,19.559999
2016-04-25,18.950001,19.40,18.950001,19.40,627300,19.40
2016-04-22,18.91,19.219999,18.799999,19.08,430300,19.08
2016-04-21,19.25,19.27,18.84,18.92,621000,18.92
2016-04-20,19.59,19.629999,19.290001,19.309999,386300,19.309999
2016-04-19,19.65,19.68,19.559999,19.610001,232100,19.610001
2016-04-18,19.629999,19.67,19.51,19.620001,254000,19.620001
2016-04-15,19.42,19.67,19.40,19.629999,283900,19.629999
2016-04-14,19.58,19.58,19.41,19.450001,418900,19.450001
2016-04-13,19.75,19.75,19.440001,19.60,602300,19.60
2016-04-12,19.68,19.77,19.60,19.68,524100,19.68
2016-04-11,19.780001,19.82,19.68,19.709999,432000,19.709999
2016-04-08,19.67,19.809999,19.57,19.75,450700,19.75
2016-04-07,19.450001,19.700001,19.110001,19.57,539600,19.57
2016-04-06,19.75,19.860001,19.58,19.629999,696800,19.629999
2016-04-05,20.059999,20.18,19.68,19.790001,643300,19.790001
2016-04-04,20.129999,20.200001,20.00,20.139999,479900,20.139999
2016-04-01,20.209999,20.26,20.040001,20.120001,718500,20.120001
2016-03-31,20.040001,20.15,19.959999,20.120001,485900,20.120001
2016-03-30,20.00,20.23,19.93,20.10,779000,20.10
2016-03-29,19.33,19.950001,19.33,19.950001,639800,19.950001
2016-03-28,19.030001,19.370001,19.030001,19.33,291200,19.33
2016-03-24,18.93,19.18,18.91,19.08,561300,19.08
2016-03-23,19.00,19.17,18.889999,18.98,510000,18.98
2016-03-22,18.84,19.09,18.84,19.08,448700,19.08
2016-03-21,19.16,19.16,18.889999,18.93,363800,18.93
2016-03-18,19.51,19.51,19.049999,19.07,701800,19.07
2016-03-17,19.09,19.459999,19.049999,19.41,397400,19.41
2016-03-16,18.93,19.280001,18.870001,19.200001,333900,19.200001
2016-03-15,18.90,19.219999,18.49,19.01,411200,19.01
2016-03-14,19.059999,19.18,18.870001,18.959999,373600,18.959999
2016-03-11,19.00,19.25,18.98,19.24,284300,19.06
