Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,4.65,4.77,4.65,4.77,25300,4.77
2016-06-09,4.62,4.75,4.62,4.72,466500,4.72
2016-06-08,4.74,4.84,4.62,4.75,6400,4.75
2016-06-07,4.74,4.83,4.65,4.70,25800,4.70
2016-06-06,4.72,4.89,4.63,4.89,3900,4.89
2016-06-03,4.70,4.75,4.60,4.72,9000,4.72
2016-06-02,4.69,4.75,4.69,4.69,9200,4.69
2016-06-01,4.74,4.78,4.65,4.69,56000,4.69
2016-05-31,4.78,4.86,4.66,4.66,10300,4.66
2016-05-27,4.80,4.85,4.72,4.72,2800,4.72
2016-05-26,4.82,4.85,4.80,4.81,4500,4.81
2016-05-25,4.61,4.82,4.61,4.78,11600,4.78
2016-05-24,4.76,4.82,4.73,4.78,31100,4.78
2016-05-23,4.71,4.78,4.71,4.76,30400,4.76
2016-05-20,4.61,4.70,4.61,4.69,265200,4.69
2016-05-19,4.65,4.68,4.62,4.68,15500,4.68
2016-05-18,4.65,4.65,4.61,4.62,7100,4.62
2016-05-17,4.59,4.68,4.59,4.61,7700,4.61
2016-05-16,4.49,4.69,4.47,4.56,23400,4.56
2016-05-13,4.40,4.55,4.40,4.55,16600,4.55
2016-05-12,4.37,4.55,4.37,4.44,2100,4.44
2016-05-11,4.37,4.55,4.37,4.44,11500,4.44
2016-05-10,4.37,4.38,4.34,4.38,2400,4.38
2016-05-09,4.41,4.41,4.28,4.30,9400,4.30
2016-05-06,4.44,4.44,4.25,4.30,11200,4.30
2016-05-05,4.35,4.40,4.35,4.35,2600,4.35
2016-05-04,4.47,4.47,4.30,4.30,13400,4.30
2016-05-03,4.32,4.42,4.30,4.31,6500,4.31
2016-05-02,4.37,4.50,4.31,4.36,7800,4.36
2016-04-29,4.50,4.55,4.36,4.36,24500,4.36
2016-04-28,4.49,4.51,4.49,4.51,26500,4.51
2016-04-27,4.51,4.52,4.49,4.50,15500,4.50
2016-04-26,4.46,4.72,4.46,4.50,8400,4.50
2016-04-25,4.50,4.60,4.46,4.47,9000,4.47
2016-04-22,4.54,4.54,4.41,4.46,35300,4.46
2016-04-21,4.50,4.60,4.49,4.55,3600,4.55
2016-04-20,4.76,4.76,4.62,4.62,300,4.62
2016-04-19,4.75,4.75,4.49,4.50,4100,4.50
2016-04-18,4.50,4.76,4.50,4.54,8000,4.54
2016-04-15,4.80,4.80,4.51,4.51,4400,4.51
2016-04-14,4.61,4.78,4.61,4.62,1900,4.62
2016-04-13,4.58,4.60,4.55,4.60,5400,4.60
2016-04-12,4.72,4.93,4.46,4.81,18100,4.81
2016-04-11,4.60,4.75,4.58,4.75,4400,4.75
2016-04-08,4.59,4.71,4.48,4.66,7400,4.66
2016-04-07,4.44,4.44,4.44,4.44,1100,4.44
2016-04-06,4.56,4.60,4.44,4.44,6100,4.42
2016-04-05,4.44,4.60,4.39,4.57,22900,4.549415
2016-04-04,4.42,4.44,4.27,4.42,5800,4.40009
2016-04-01,4.35,4.47,4.28,4.33,10000,4.310495
2016-03-31,4.43,4.49,4.20,4.20,16200,4.181081
2016-03-30,4.42,4.49,4.40,4.40,7100,4.38018
2016-03-29,4.35,4.41,4.31,4.35,6500,4.330405
2016-03-28,4.27,4.46,4.26,4.30,26200,4.280631
2016-03-24,4.28,4.28,4.28,4.28,000,4.260721
2016-03-23,4.34,4.35,4.28,4.28,900,4.260721
2016-03-22,4.28,4.28,4.28,4.28,000,4.260721
2016-03-21,4.29,4.35,4.27,4.28,4600,4.260721
2016-03-18,4.37,4.49,4.27,4.27,17000,4.250766
2016-03-17,4.35,4.36,4.31,4.35,6300,4.330405
2016-03-16,4.34,4.37,4.33,4.37,3300,4.350315
2016-03-15,4.26,4.33,4.26,4.33,1300,4.310495
2016-03-14,4.33,4.33,4.33,4.33,600,4.310495
2016-03-11,4.26,4.33,4.26,4.33,3100,4.310495
2016-03-10,4.29,4.33,4.25,4.33,5400,4.310495
2016-03-09,4.33,4.35,4.28,4.34,5600,4.320451
2016-03-08,4.25,4.36,4.24,4.24,1900,4.220901
2016-03-07,4.43,4.43,4.36,4.36,1100,4.340361
2016-03-04,4.37,4.44,4.31,4.31,4400,4.290586
2016-03-03,4.40,4.44,4.30,4.30,4200,4.280631
2016-03-02,4.36,4.44,4.22,4.28,8000,4.260721
2016-03-01,4.26,4.35,4.25,4.34,9800,4.320451
2016-02-29,4.46,4.49,4.25,4.26,28100,4.240811
2016-02-26,4.34,4.36,4.26,4.27,10600,4.250766
2016-02-25,4.37,4.37,4.25,4.25,2300,4.230856
2016-02-24,4.44,4.44,4.21,4.26,5400,4.240811
2016-02-23,4.29,4.43,4.17,4.21,34700,4.191036
2016-02-22,4.26,4.46,4.21,4.21,7900,4.191036
2016-02-19,4.23,4.26,4.23,4.26,800,4.240811
2016-02-18,4.21,4.40,4.20,4.40,700,4.38018
2016-02-17,4.29,4.44,4.20,4.25,6100,4.230856
2016-02-16,4.27,4.30,4.25,4.30,900,4.280631
2016-02-12,4.15,4.29,4.15,4.25,29100,4.230856
2016-02-11,4.35,4.37,4.26,4.33,14400,4.310495
2016-02-10,4.41,4.41,4.35,4.36,4800,4.340361
2016-02-09,4.38,4.38,4.38,4.38,1000,4.36027
2016-02-08,4.35,4.39,4.35,4.39,300,4.370225
2016-02-05,4.33,4.47,4.33,4.35,6900,4.330405
2016-02-04,4.43,4.47,4.35,4.47,2000,4.449865
2016-02-03,4.38,4.50,4.36,4.50,2900,4.47973
2016-02-02,4.45,4.54,4.39,4.41,15100,4.390135
2016-02-01,4.30,4.43,4.30,4.40,21600,4.38018
2016-01-29,4.47,4.47,4.32,4.32,2800,4.300541
2016-01-28,4.52,4.52,4.42,4.42,8300,4.40009
2016-01-27,4.37,4.48,4.37,4.42,4800,4.40009
2016-01-26,4.42,4.52,4.31,4.33,23900,4.310495
2016-01-25,4.52,4.52,4.50,4.50,2300,4.47973
2016-01-22,4.50,4.51,4.48,4.50,1000,4.47973
2016-01-21,4.46,4.59,4.45,4.45,5000,4.429955
2016-01-20,4.40,4.48,4.28,4.45,174000,4.429955
2016-01-19,4.49,4.49,4.35,4.40,7000,4.38018
2016-01-15,4.49,4.49,4.31,4.40,10000,4.38018
2016-01-14,4.48,4.54,4.46,4.54,9800,4.51955
2016-01-13,4.58,4.58,4.39,4.46,9400,4.43991
2016-01-12,4.52,4.56,4.48,4.49,9400,4.469775
2016-01-11,4.59,4.70,4.59,4.60,5200,4.579279
2016-01-08,4.61,4.75,4.61,4.70,3400,4.678829
2016-01-07,4.70,4.76,4.66,4.76,12400,4.738559
2016-01-06,4.56,4.78,4.56,4.71,11100,4.688784
2016-01-05,4.53,4.68,4.53,4.65,3500,4.629054
