Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,28.469999,28.49,28.00,28.059999,4705400,28.059999
2016-06-09,28.700001,28.870001,28.440001,28.690001,1393900,28.690001
2016-06-08,28.690001,28.91,28.625,28.76,2241100,28.76
2016-06-07,28.370001,28.799999,28.200001,28.639999,2590000,28.639999
2016-06-06,28.059999,28.299999,27.690001,28.209999,2359700,28.209999
2016-06-03,28.15,28.215,27.825001,28.07,1945300,28.07
2016-06-02,27.98,28.360001,27.85,28.32,1563600,28.32
2016-06-01,28.379999,28.389999,27.700001,28.10,2550800,28.10
2016-05-31,28.32,28.459999,28.049999,28.17,1783100,28.17
2016-05-27,28.08,28.459999,28.004999,28.309999,1353900,28.309999
2016-05-26,28.02,28.24,27.690001,28.110001,1151200,28.110001
2016-05-25,28.129999,28.299999,28.01,28.110001,1336700,28.110001
2016-05-24,27.73,28.18,27.530001,28.10,2266900,28.10
2016-05-23,27.790001,27.889999,27.559999,27.639999,1741700,27.639999
2016-05-20,27.91,28.24,27.68,27.85,1868300,27.85
2016-05-19,27.690001,27.959999,27.469999,27.75,2551300,27.75
2016-05-18,28.66,28.66,27.450001,27.84,4364300,27.84
2016-05-17,28.41,28.51,27.68,27.780001,3049500,27.780001
2016-05-16,28.969999,28.99,28.42,28.540001,3231800,28.540001
2016-05-13,28.950001,29.16,28.85,29.01,1952200,29.01
2016-05-12,29.370001,29.450001,28.795,28.879999,2528000,28.879999
2016-05-11,29.040001,29.49,28.83,29.129999,2872600,29.129999
2016-05-10,28.639999,29.18,28.52,29.040001,2532300,29.040001
2016-05-09,28.559999,28.860001,28.360001,28.629999,1612600,28.629999
2016-05-06,28.469999,28.90,28.379999,28.67,2659600,28.67
2016-05-05,28.58,28.59,28.16,28.49,1499400,28.49
2016-05-04,28.450001,28.629999,28.209999,28.58,1653500,28.58
2016-05-03,28.809999,28.825001,28.35,28.690001,1571000,28.690001
2016-05-02,28.959999,29.08,28.35,28.940001,2387500,28.940001
2016-04-29,28.82,29.18,28.190001,28.950001,2925900,28.950001
2016-04-28,28.549999,29.76,28.389999,28.93,3325700,28.93
2016-04-27,27.84,28.18,27.629999,28.01,2905600,28.01
2016-04-26,27.889999,28.15,27.745001,27.99,2551500,27.99
2016-04-25,28.040001,28.27,27.74,27.889999,1992700,27.889999
2016-04-22,27.98,28.16,27.77,28.02,2077000,28.02
2016-04-21,28.68,28.84,28.059999,28.18,1073000,28.18
2016-04-20,28.469999,28.74,28.27,28.610001,1914700,28.610001
2016-04-19,28.50,28.790001,28.33,28.51,1923800,28.51
2016-04-18,28.299999,28.530001,28.174999,28.33,1742500,28.33
2016-04-15,28.709999,28.809999,28.26,28.459999,2175900,28.459999
2016-04-14,28.639999,28.879999,28.280001,28.82,2730900,28.82
2016-04-13,28.709999,28.745001,27.00,28.51,10599200,28.51
2016-04-12,28.42,28.525,28.105,28.43,3484400,28.43
2016-04-11,29.02,29.049999,28.445,28.469999,2565600,28.469999
2016-04-08,29.360001,29.360001,28.700001,28.90,2136800,28.90
2016-04-07,28.940001,29.389999,28.85,29.219999,3793400,29.219999
2016-04-06,28.93,29.23,28.66,29.190001,1066400,29.190001
2016-04-05,29.17,29.389999,28.815001,28.92,1695400,28.92
2016-04-04,29.219999,29.73,29.040001,29.35,2701800,29.35
2016-04-01,28.67,29.290001,28.440001,29.290001,1992500,29.290001
2016-03-31,28.459999,28.950001,28.459999,28.92,2136600,28.92
2016-03-30,28.51,28.959999,28.389999,28.58,1924500,28.58
2016-03-29,27.52,28.559999,27.389999,28.41,2334800,28.41
2016-03-28,27.549999,27.610001,27.370001,27.469999,1239900,27.469999
2016-03-24,27.32,27.639999,27.299999,27.52,1282600,27.52
2016-03-23,27.469999,27.639999,27.290001,27.540001,1043500,27.540001
2016-03-22,27.26,27.60,27.24,27.540001,1473100,27.540001
2016-03-21,27.17,27.799999,27.17,27.58,1751700,27.58
2016-03-18,27.10,27.530001,27.10,27.299999,1939000,27.299999
2016-03-17,27.43,27.57,27.120001,27.17,1793600,27.17
2016-03-16,27.68,27.82,27.355,27.48,3135500,27.35
2016-03-15,27.60,28.01,27.43,27.74,1397200,27.60877
2016-03-14,28.00,28.120001,27.780001,27.790001,998200,27.658535
2016-03-11,27.639999,28.15,27.51,28.049999,1562100,27.917303
2016-03-10,28.01,28.25,27.049999,27.309999,1663900,27.180804
2016-03-09,27.90,28.219999,27.51,27.99,2176400,27.857587
2016-03-08,27.98,28.23,27.690001,27.790001,2414300,27.658535
2016-03-07,27.969999,28.42,27.780001,27.85,2267500,27.71825
2016-03-04,29.035,29.035,27.67,28.120001,3225600,27.986974
2016-03-03,27.809999,28.105,27.469999,27.99,2317900,27.857587
2016-03-02,28.00,28.23,27.379999,27.92,2852900,27.787919
2016-03-01,27.40,28.129999,27.25,28.00,8091800,27.86754
2016-02-29,27.25,27.530001,27.08,27.15,5963800,27.021561
2016-02-26,27.450001,27.450001,26.93,27.23,12105800,27.101183
2016-02-25,27.26,28.00,27.10,27.83,1283500,27.698345
2016-02-24,27.040001,27.604,26.629999,27.26,2010700,27.131041
2016-02-23,27.639999,27.90,27.205,27.25,1706100,27.121088
2016-02-22,27.92,28.469999,27.559999,27.68,2232200,27.549054
2016-02-19,26.93,27.59,26.90,27.549999,1573400,27.419668
2016-02-18,27.549999,27.549999,26.83,27.08,3104200,26.951893
2016-02-17,26.41,27.52,26.030001,27.32,5243800,27.190757
2016-02-16,26.17,26.459999,25.809999,26.17,3060100,26.046198
2016-02-12,26.09,26.09,25.475,25.91,2629300,25.787427
2016-02-11,25.559999,26.42,25.43,25.860001,5571600,25.737665
2016-02-10,25.17,26.530001,25.013,26.02,7466800,25.896908
2016-02-09,22.50,25.440001,22.030001,24.91,6806700,24.792158
2016-02-08,23.93,24.565001,22.41,23.18,6680000,23.070343
2016-02-05,25.09,25.120001,24.17,24.290001,4617900,24.175092
2016-02-04,24.77,25.215,24.58,25.129999,2267700,25.011117
2016-02-03,25.35,25.610001,24.379999,25.00,2464600,24.881732
2016-02-02,25.469999,25.530001,25.040001,25.25,1926100,25.13055
2016-02-01,25.459999,25.76,24.889999,25.459999,2009600,25.339555
2016-01-29,24.65,25.66,24.65,25.610001,1828500,25.488847
2016-01-28,25.450001,25.74,24.25,24.610001,3167600,24.493578
2016-01-27,25.719999,25.93,25.02,25.16,1950900,25.040975
2016-01-26,25.49,25.975,25.120001,25.82,1990400,25.697853
2016-01-25,25.809999,25.85,25.139999,25.309999,2044200,25.190265
2016-01-22,25.389999,26.040001,25.290001,25.98,2126500,25.857096
