Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,6.67,6.75,6.31,6.44,43000,6.44
2016-06-09,6.96,6.99,6.58,6.67,24800,6.67
2016-06-08,7.12,7.22,6.88,6.94,21400,6.94
2016-06-07,6.98,7.17,6.88,7.05,36600,7.05
2016-06-06,7.00,7.08,6.80,6.94,46800,6.94
2016-06-03,6.78,6.98,6.68,6.96,92200,6.96
2016-06-02,6.41,6.75,6.25,6.71,100100,6.71
2016-06-01,6.50,6.60,6.08,6.50,173000,6.50
2016-05-31,6.73,6.82,6.50,6.61,94700,6.61
2016-05-27,6.46,6.77,6.30,6.75,125000,6.75
2016-05-26,6.70,6.77,6.41,6.46,22400,6.46
2016-05-25,6.69,6.85,6.52,6.67,67000,6.67
2016-05-24,6.46,6.75,6.40,6.74,41800,6.74
2016-05-23,6.52,6.62,6.29,6.48,47900,6.48
2016-05-20,6.47,6.74,6.18,6.61,47000,6.61
2016-05-19,6.49,6.51,6.15,6.35,28300,6.35
2016-05-18,6.05,6.61,6.01,6.53,57300,6.53
2016-05-17,6.14,6.38,6.08,6.12,41500,6.12
2016-05-16,6.50,6.50,6.06,6.14,93600,6.14
2016-05-13,6.55,6.68,6.45,6.55,33200,6.55
2016-05-12,6.73,6.93,6.47,6.51,50500,6.51
2016-05-11,7.23,7.26,6.67,6.80,57600,6.80
2016-05-10,7.45,7.48,7.05,7.21,77700,7.21
2016-05-09,7.24,7.61,7.01,7.52,77000,7.52
2016-05-06,7.21,7.47,7.17,7.40,41100,7.40
2016-05-05,7.15,7.47,6.86,7.21,78700,7.21
2016-05-04,7.49,7.80,7.20,7.40,70000,7.40
2016-05-03,7.00,7.60,6.87,7.49,87500,7.49
2016-05-02,7.65,7.94,6.89,7.08,94000,7.08
2016-04-29,7.90,7.90,7.64,7.77,46300,7.77
2016-04-28,8.00,8.15,7.89,7.91,36700,7.91
2016-04-27,8.01,8.13,7.87,8.00,63900,8.00
2016-04-26,7.75,8.17,7.69,8.10,91800,8.10
2016-04-25,7.44,8.00,7.44,7.92,89000,7.92
2016-04-22,7.11,7.45,7.11,7.44,51000,7.44
2016-04-21,7.07,7.12,7.03,7.12,71700,7.12
2016-04-20,6.95,7.10,6.91,7.02,53500,7.02
2016-04-19,6.95,6.95,6.65,6.94,37000,6.94
2016-04-18,6.78,6.95,6.75,6.94,56800,6.94
2016-04-15,6.61,6.95,6.53,6.77,52500,6.77
2016-04-14,6.67,6.67,6.52,6.62,42900,6.62
2016-04-13,6.53,6.65,6.52,6.60,45500,6.60
2016-04-12,6.48,6.54,6.42,6.53,38600,6.53
2016-04-11,6.35,6.50,6.25,6.40,55700,6.40
2016-04-08,6.40,6.51,6.30,6.34,29100,6.34
2016-04-07,6.38,6.47,6.24,6.40,35200,6.40
2016-04-06,6.38,6.50,6.25,6.29,41800,6.29
2016-04-05,6.43,6.52,6.34,6.38,45100,6.38
2016-04-04,6.09,6.50,6.03,6.38,58800,6.38
2016-04-01,5.84,6.15,5.84,6.03,57200,6.03
2016-03-31,5.80,6.06,5.67,5.76,46700,5.76
2016-03-30,5.54,5.85,5.54,5.80,48500,5.80
2016-03-29,5.30,5.50,5.27,5.46,30800,5.46
2016-03-28,5.28,5.36,5.23,5.24,30600,5.24
2016-03-24,5.10,5.23,5.07,5.23,12000,5.23
2016-03-23,5.23,5.27,5.05,5.16,42900,5.16
2016-03-22,5.26,5.30,5.20,5.23,39800,5.23
2016-03-21,5.25,5.38,5.21,5.23,77600,5.23
2016-03-18,5.16,5.25,5.11,5.21,75100,5.21
2016-03-17,5.14,5.22,5.11,5.15,70900,5.085
2016-03-16,4.90,5.18,4.90,5.10,47100,5.035631
2016-03-15,4.90,5.00,4.78,4.87,15300,4.808534
2016-03-14,4.97,5.01,4.90,4.91,36600,4.848029
2016-03-11,5.09,5.09,4.96,4.99,46500,4.927019
2016-03-10,5.00,5.16,4.93,4.97,60200,4.907272
2016-03-09,4.87,5.04,4.82,4.95,57300,4.887524
2016-03-08,5.02,5.03,4.82,4.85,48600,4.788786
2016-03-07,4.96,5.14,4.96,4.97,34700,4.907272
2016-03-04,5.04,5.06,4.91,4.93,11900,4.867777
2016-03-03,4.94,5.07,4.90,5.01,23200,4.946767
2016-03-02,4.76,4.94,4.76,4.91,9300,4.848029
2016-03-01,4.91,4.92,4.66,4.69,23100,4.630806
2016-02-29,4.71,4.91,4.56,4.81,37600,4.749291
2016-02-26,4.78,4.93,4.67,4.70,33300,4.640679
2016-02-25,4.69,4.80,4.63,4.71,19400,4.650554
2016-02-24,4.60,4.74,4.54,4.70,24100,4.640679
2016-02-23,4.59,4.68,4.56,4.59,12700,4.532068
