Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.91,13.99,13.85,13.90,6900,13.90
2016-06-09,13.75,13.75,13.73,13.74,3100,13.74
2016-06-08,13.66,13.92,13.51,13.92,1500,13.92
2016-06-07,13.65,13.75,13.65,13.69,3200,13.69
2016-06-06,13.72,13.75,13.32,13.65,3200,13.65
2016-06-03,13.54,13.70,13.49,13.70,10700,13.70
2016-06-02,13.33,13.75,13.33,13.42,11500,13.42
2016-06-01,13.41,13.74,13.30,13.41,6800,13.41
2016-05-31,13.40,13.40,13.31,13.37,600,13.37
2016-05-27,13.62,13.62,13.62,13.62,300,13.62
2016-05-26,13.69,13.75,13.25,13.25,7300,13.25
2016-05-25,13.41,13.73,13.41,13.52,3500,13.52
2016-05-24,13.55,13.55,13.25,13.28,11200,13.28
2016-05-23,13.28,13.60,13.26,13.60,1100,13.60
2016-05-20,13.23,13.69,13.17,13.29,3300,13.29
2016-05-19,13.23,13.23,13.07,13.19,5100,13.19
2016-05-18,13.00,13.47,13.00,13.15,16900,13.15
2016-05-17,13.40,13.40,13.01,13.21,10300,13.21
2016-05-16,13.32,13.32,13.10,13.30,1300,13.30
2016-05-13,13.06,13.37,13.05,13.15,2000,13.15
2016-05-12,13.23,13.23,13.09,13.09,700,13.09
2016-05-11,13.50,13.50,13.03,13.06,4800,13.06
2016-05-10,12.93,13.30,12.93,13.29,2700,13.29
2016-05-09,13.07,13.25,12.54,13.00,24900,13.00
2016-05-06,13.74,13.74,13.12,13.28,13100,13.24
2016-05-05,13.51,13.95,13.38,13.72,4000,13.678675
2016-05-04,13.68,13.69,13.45,13.65,5600,13.608885
2016-05-03,13.67,13.70,13.50,13.50,12600,13.459337
2016-05-02,13.80,14.00,13.45,13.68,36200,13.638795
2016-04-29,13.15,13.75,13.05,13.45,17300,13.409488
2016-04-28,13.10,13.35,13.00,13.15,17600,13.110391
2016-04-27,12.99,13.29,12.99,13.09,14000,13.050572
2016-04-26,12.75,12.75,12.60,12.73,3300,12.691656
2016-04-25,12.80,12.80,12.75,12.79,4300,12.751476
2016-04-22,12.67,12.93,12.67,12.80,6800,12.761446
2016-04-21,12.66,13.00,12.66,13.00,1300,12.960843
2016-04-20,13.00,13.00,12.75,12.95,10400,12.910994
2016-04-19,12.55,12.57,12.55,12.57,1300,12.532138
2016-04-18,12.47,12.72,12.47,12.55,17800,12.512199
2016-04-15,12.56,12.65,12.50,12.56,2000,12.522169
2016-04-14,12.31,12.50,12.31,12.50,2300,12.462349
2016-04-13,12.87,12.87,12.34,12.36,7400,12.322771
2016-04-12,12.35,12.40,12.20,12.20,2400,12.163253
2016-04-11,12.58,12.58,12.26,12.36,6300,12.322771
2016-04-08,12.95,12.96,12.60,12.60,700,12.562048
2016-04-07,12.58,12.58,12.50,12.55,2300,12.512199
2016-04-06,12.26,12.47,12.26,12.47,1600,12.43244
2016-04-05,12.26,12.26,12.26,12.26,200,12.223072
2016-04-04,12.42,12.43,12.42,12.43,700,12.39256
2016-04-01,12.57,12.57,12.25,12.27,6300,12.233042
2016-03-31,12.50,12.50,12.50,12.50,900,12.462349
2016-03-30,12.72,12.73,12.50,12.70,1500,12.661747
2016-03-29,12.90,13.00,12.71,12.72,3200,12.681687
2016-03-28,13.00,13.00,13.00,13.00,000,12.960843
2016-03-24,13.03,13.03,13.00,13.00,1100,12.960843
2016-03-23,12.91,12.91,12.91,12.91,000,12.871114
2016-03-22,12.91,12.91,12.91,12.91,000,12.871114
2016-03-21,12.70,13.08,12.20,12.91,7700,12.871114
2016-03-18,12.73,13.03,12.73,12.87,3500,12.831235
2016-03-17,12.71,13.14,12.10,12.83,12800,12.791355
2016-03-16,12.80,12.80,12.80,12.80,000,12.761446
2016-03-15,13.05,13.05,12.60,12.80,5900,12.761446
2016-03-14,12.98,13.25,12.98,13.06,2700,13.020663
2016-03-11,13.29,13.29,12.77,12.79,4100,12.751476
2016-03-10,13.10,13.10,13.10,13.10,000,13.060542
2016-03-09,13.10,13.11,13.10,13.10,14900,13.060542
2016-03-08,13.15,13.15,13.05,13.10,2600,13.060542
2016-03-07,13.24,13.24,13.24,13.24,400,13.20012
2016-03-04,13.17,13.17,13.10,13.15,22800,13.110391
2016-03-03,13.05,13.25,12.98,12.98,4600,12.940903
2016-03-02,13.08,13.14,13.04,13.09,8000,13.050572
2016-03-01,13.25,13.25,13.20,13.25,2400,13.21009
2016-02-29,13.25,13.25,13.15,13.20,3100,13.160241
2016-02-26,13.34,13.34,13.05,13.05,700,13.010693
2016-02-25,13.00,13.19,13.00,13.15,6700,13.110391
2016-02-24,13.06,13.10,12.83,12.83,2100,12.791355
2016-02-23,13.10,13.10,13.10,13.10,000,13.060542
2016-02-22,12.99,13.10,12.99,13.10,6500,13.060542
2016-02-19,13.00,13.00,13.00,13.00,200,12.960843
2016-02-18,12.84,13.00,12.84,12.97,4800,12.930934
2016-02-17,12.85,12.90,12.79,12.90,3000,12.861144
2016-02-16,12.50,12.50,12.50,12.50,000,12.462349
