Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.71,11.71,11.71,11.71,000,11.71
2016-06-09,11.71,11.71,11.71,11.71,000,11.71
2016-06-08,11.75,11.76,11.675,11.71,1900,11.71
2016-06-07,11.532,12.00,11.36,11.81,4200,11.81
2016-06-06,11.79,12.12,11.50,11.77,4600,11.77
2016-06-03,11.769,11.769,11.50,11.721,800,11.721
2016-06-02,11.824,11.824,11.824,11.824,000,11.824
2016-06-01,11.824,11.824,11.824,11.824,400,11.824
2016-05-31,11.50,11.50,11.50,11.50,000,11.50
2016-05-27,11.50,11.50,11.50,11.50,000,11.50
2016-05-26,11.50,11.50,11.50,11.50,000,11.50
2016-05-25,12.16,12.16,11.45,11.50,3400,11.337
2016-05-24,11.371,11.371,11.371,11.371,000,11.209829
2016-05-23,11.371,11.371,11.371,11.371,000,11.209829
2016-05-20,11.371,11.371,11.371,11.371,000,11.209829
2016-05-19,11.371,11.371,11.371,11.371,000,11.209829
2016-05-18,11.371,11.371,11.371,11.371,200,11.209829
2016-05-17,11.25,11.25,11.25,11.25,300,11.090543
2016-05-16,11.19,11.19,11.19,11.19,000,11.031393
2016-05-13,11.19,11.19,11.19,11.19,000,11.031393
2016-05-12,11.19,11.19,11.19,11.19,000,11.031393
2016-05-11,11.19,11.19,11.19,11.19,000,11.031393
2016-05-10,11.19,11.19,11.19,11.19,000,11.031393
2016-05-09,11.19,11.19,11.19,11.19,000,11.031393
2016-05-06,11.19,11.19,11.19,11.19,000,11.031393
2016-05-05,11.19,11.19,11.19,11.19,000,11.031393
2016-05-04,11.19,11.19,11.19,11.19,000,11.031393
2016-05-03,11.19,11.19,11.19,11.19,000,11.031393
2016-05-02,11.19,11.19,11.19,11.19,000,11.031393
2016-04-29,11.19,11.19,11.19,11.19,000,11.031393
2016-04-28,11.19,11.19,11.19,11.19,000,11.031393
2016-04-27,11.19,11.19,11.19,11.19,000,11.031393
2016-04-26,11.19,11.19,11.19,11.19,000,11.031393
2016-04-25,11.19,11.19,11.19,11.19,000,11.031393
2016-04-22,11.19,11.19,11.19,11.19,000,11.031393
2016-04-21,11.19,11.19,11.19,11.19,000,11.031393
2016-04-20,11.19,11.19,11.19,11.19,000,11.031393
2016-04-19,11.19,11.19,11.19,11.19,000,11.031393
2016-04-18,11.19,11.19,11.19,11.19,000,11.031393
2016-04-15,11.19,11.19,11.19,11.19,000,11.031393
2016-04-14,11.19,11.19,11.19,11.19,000,11.031393
2016-04-13,11.19,11.19,11.19,11.19,000,11.031393
2016-04-12,11.19,11.19,11.19,11.19,000,11.031393
2016-04-11,11.19,11.19,11.19,11.19,000,11.031393
2016-04-08,11.19,11.19,11.19,11.19,000,11.031393
2016-04-07,11.19,11.19,11.19,11.19,000,11.031393
2016-04-06,11.19,11.19,11.19,11.19,000,11.031393
2016-04-05,11.19,11.19,11.19,11.19,000,11.031393
2016-04-04,11.19,11.19,11.19,11.19,000,11.031393
2016-04-01,11.19,11.19,11.19,11.19,000,11.031393
2016-03-31,11.19,11.19,11.19,11.19,000,11.031393
2016-03-30,11.19,11.19,11.19,11.19,000,11.031393
2016-03-29,11.19,11.19,11.19,11.19,900,11.031393
2016-03-28,11.00,11.00,11.00,11.00,000,10.844087
2016-03-24,11.23,11.23,11.00,11.00,250000,10.844087
2016-03-23,12.398,12.398,12.398,12.398,000,12.222271
2016-03-22,12.398,12.398,12.398,12.398,000,12.222271
2016-03-21,12.398,12.398,12.398,12.398,000,12.222271
2016-03-18,12.398,12.398,12.398,12.398,000,12.222271
2016-03-17,12.398,12.398,12.398,12.398,200,12.222271
