Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,16.73,16.82,16.41,16.530001,268400,16.530001
2016-06-09,17.33,17.35,16.549999,17.030001,385500,17.030001
2016-06-08,17.32,17.860001,17.15,17.74,487200,17.74
2016-06-07,16.799999,17.33,16.690001,17.00,338000,17.00
2016-06-06,16.860001,17.120001,16.469999,16.940001,338000,16.940001
2016-06-03,16.450001,16.75,16.110001,16.74,392400,16.74
2016-06-02,15.93,16.280001,15.75,16.25,366800,16.25
2016-06-01,15.89,16.139999,15.35,16.02,553400,16.02
2016-05-31,16.280001,16.379999,15.95,16.09,326500,16.09
2016-05-27,16.639999,16.93,15.90,16.120001,309600,16.120001
2016-05-26,16.90,17.190001,16.41,16.639999,372000,16.639999
2016-05-25,15.75,16.66,15.56,16.59,645800,16.59
2016-05-24,15.91,16.18,15.68,15.71,517900,15.71
2016-05-23,15.70,16.110001,15.61,15.91,424800,15.91
2016-05-20,15.88,16.08,15.64,15.84,337600,15.84
2016-05-19,15.35,15.95,15.08,15.73,295300,15.73
2016-05-18,16.200001,16.59,15.31,15.53,598900,15.53
2016-05-17,16.469999,16.860001,16.02,16.629999,507000,16.629999
2016-05-16,16.77,17.059999,16.34,16.440001,572900,16.440001
2016-05-13,16.42,16.940001,15.92,16.40,423300,16.40
2016-05-12,17.07,17.42,16.26,16.50,444400,16.50
2016-05-11,17.389999,17.389999,16.42,17.00,519900,17.00
2016-05-10,16.77,17.42,16.559999,17.27,449500,17.27
2016-05-09,18.450001,18.450001,16.24,16.549999,831200,16.549999
2016-05-06,18.370001,19.030001,18.27,18.83,515000,18.83
2016-05-05,19.32,19.40,18.389999,18.43,427900,18.43
2016-05-04,19.01,19.67,18.74,18.98,427800,18.792
2016-05-03,20.68,20.73,19.219999,19.299999,499200,19.10883
2016-05-02,20.66,21.209999,20.27,21.110001,401300,20.900903
2016-04-29,20.379999,21.34,20.25,20.620001,365500,20.415756
2016-04-28,21.00,21.57,20.33,20.379999,471300,20.178132
2016-04-27,20.120001,20.90,19.129999,20.85,405700,20.643478
2016-04-26,19.65,20.34,19.030001,20.209999,299100,20.009816
2016-04-25,20.15,20.17,19.34,19.540001,488400,19.346454
2016-04-22,20.360001,21.219999,20.049999,20.33,570900,20.128628
2016-04-21,20.77,21.15,20.17,20.290001,562500,20.089025
2016-04-20,20.76,21.08,20.43,20.540001,423300,20.336549
2016-04-19,20.559999,21.34,20.299999,20.780001,406100,20.574171
2016-04-18,19.950001,20.440001,19.83,20.33,320000,20.128628
2016-04-15,19.68,20.309999,19.60,20.200001,412100,19.999917
2016-04-14,19.84,19.959999,19.360001,19.790001,267800,19.593978
2016-04-13,19.42,19.99,19.41,19.74,345000,19.544472
2016-04-12,18.940001,19.48,18.940001,19.190001,325000,18.999921
2016-04-11,18.379999,19.07,18.379999,18.93,361800,18.742496
2016-04-08,17.379999,18.40,17.34,18.120001,401500,17.940519
2016-04-07,18.18,18.379999,17.030001,17.139999,411600,16.970225
2016-04-06,17.809999,18.360001,16.75,18.24,494100,18.05933
2016-04-05,18.52,19.040001,18.120001,18.58,346700,18.395962
2016-04-04,18.969999,19.32,18.540001,18.57,377800,18.386061
2016-04-01,17.370001,18.969999,17.07,18.940001,355500,18.752397
2016-03-31,19.08,19.32,18.379999,18.440001,387100,18.257349
2016-03-30,18.459999,19.25,18.40,19.129999,330900,18.940513
2016-03-29,17.83,18.92,17.07,18.26,1414500,18.079132
2016-03-28,18.879999,19.610001,18.790001,19.41,417700,19.217741
2016-03-24,18.139999,18.790001,18.01,18.780001,342400,18.593982
2016-03-23,18.620001,19.200001,18.32,18.32,502500,18.138537
2016-03-22,18.40,18.84,18.10,18.790001,271600,18.603883
2016-03-21,18.82,18.82,18.07,18.610001,260000,18.425666
2016-03-18,18.99,19.459999,18.59,18.90,1945000,18.712792
2016-03-17,16.950001,19.00,16.629999,18.83,706000,18.643486
2016-03-16,16.43,16.879999,15.99,16.82,447600,16.653395
2016-03-15,16.440001,16.59,15.94,16.41,269700,16.247456
2016-03-14,16.35,16.969999,16.07,16.690001,519500,16.524683
2016-03-11,16.58,16.92,16.450001,16.459999,418400,16.29696
2016-03-10,16.200001,17.059999,15.94,16.43,415500,16.267259
2016-03-09,16.040001,16.32,15.15,16.209999,383500,16.049436
2016-03-08,16.889999,17.08,15.69,15.84,413800,15.683102
