Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.41,13.59,13.31,13.31,12900,13.31
2016-06-09,13.59,13.87,13.56,13.60,13600,13.60
2016-06-08,13.54,13.76,13.54,13.63,7400,13.63
2016-06-07,13.49,13.79,13.24,13.57,21400,13.57
2016-06-06,13.51,13.76,13.51,13.68,9200,13.68
2016-06-03,13.86,13.89,13.48,13.70,13100,13.70
2016-06-02,13.91,13.92,13.86,13.87,8900,13.87
2016-06-01,13.99,13.99,13.88,13.90,3500,13.90
2016-05-31,14.02,14.07,13.87,13.91,6800,13.91
2016-05-27,14.01,14.06,13.87,14.00,7500,14.00
2016-05-26,13.90,14.09,13.90,13.94,3700,13.94
2016-05-25,14.13,14.13,13.87,13.91,11500,13.91
2016-05-24,14.00,14.11,13.92,13.94,16000,13.94
2016-05-23,13.97,14.14,13.90,13.95,28100,13.95
2016-05-20,14.00,14.08,13.92,13.94,8900,13.94
2016-05-19,13.94,14.14,13.93,13.95,11700,13.95
2016-05-18,13.86,14.02,13.86,14.02,8600,14.02
2016-05-17,13.91,14.01,13.86,13.87,20100,13.87
2016-05-16,13.95,14.08,13.86,13.95,18100,13.95
2016-05-13,13.88,14.00,13.88,13.88,10700,13.88
2016-05-12,13.91,13.99,13.91,13.92,9600,13.92
2016-05-11,13.98,14.04,13.86,13.96,13300,13.96
2016-05-10,14.07,14.07,13.92,13.99,15100,13.99
2016-05-09,13.92,14.08,13.92,14.00,13300,14.00
2016-05-06,13.88,14.01,13.88,14.00,15600,14.00
2016-05-05,13.86,14.12,13.86,13.98,13300,13.98
2016-05-04,13.91,14.09,13.91,13.93,18200,13.89
2016-05-03,14.02,14.19,13.95,13.98,13700,13.939856
2016-05-02,14.00,14.23,13.95,14.11,16200,14.069483
2016-04-29,13.90,14.04,13.90,13.92,13800,13.880029
2016-04-28,13.96,14.30,13.92,13.95,16300,13.909942
2016-04-27,14.06,14.25,13.92,13.95,16700,13.909942
2016-04-26,13.96,14.28,13.92,13.95,28000,13.909942
2016-04-25,13.90,13.98,13.90,13.95,19700,13.909942
2016-04-22,13.95,14.01,13.93,13.93,15200,13.89
2016-04-21,13.94,14.05,13.92,13.95,14800,13.909942
2016-04-20,13.81,14.01,13.80,14.00,29100,13.959799
2016-04-19,13.99,14.05,13.80,13.94,238100,13.899971
2016-04-18,14.02,14.05,13.92,13.98,8500,13.939856
2016-04-15,13.95,14.04,13.88,13.88,7400,13.840144
2016-04-14,14.01,14.12,13.95,13.99,5500,13.949827
2016-04-13,14.04,14.15,13.91,13.98,27100,13.939856
2016-04-12,14.06,14.17,13.82,14.06,34000,14.019627
2016-04-11,14.23,14.23,14.02,14.08,21200,14.039569
2016-04-08,14.25,14.25,14.12,14.16,9300,14.119339
2016-04-07,14.21,14.25,14.10,14.17,9100,14.129311
2016-04-06,14.18,14.25,14.09,14.25,49600,14.209081
2016-04-05,14.23,14.39,14.12,14.13,10500,14.089426
2016-04-04,14.31,14.31,14.24,14.29,8300,14.248966
2016-04-01,14.07,14.30,14.00,14.20,8800,14.159224
2016-03-31,14.41,14.47,13.93,13.93,38400,13.89
2016-03-30,14.35,14.45,14.24,14.33,12300,14.288851
2016-03-29,14.31,14.35,14.22,14.29,28400,14.248966
2016-03-28,14.29,14.35,14.25,14.34,7100,14.298823
2016-03-24,14.11,14.25,14.02,14.21,12000,14.169196
2016-03-23,14.08,14.25,14.04,14.23,28200,14.189138
2016-03-22,14.08,14.17,14.03,14.08,5000,14.039569
2016-03-21,14.15,14.15,14.06,14.06,3800,14.019627
2016-03-18,13.96,14.22,13.96,14.12,54000,14.079454
2016-03-17,14.00,14.05,13.92,13.92,5400,13.880029
2016-03-16,14.07,14.19,13.90,13.90,5800,13.860086
2016-03-15,14.06,14.14,14.00,14.14,23000,14.099397
2016-03-14,13.93,14.07,13.88,14.06,53100,14.019627
2016-03-11,13.95,14.06,13.91,14.05,50500,14.009655
2016-03-10,14.05,14.05,13.93,13.93,16900,13.89
2016-03-09,13.99,14.05,13.84,14.04,21500,13.999684
2016-03-08,13.97,13.99,13.84,13.85,4000,13.81023
2016-03-07,13.94,13.99,13.81,13.85,4400,13.81023
2016-03-04,14.20,14.24,13.65,13.84,25700,13.800258
2016-03-03,14.15,14.20,14.08,14.20,11300,14.159224
2016-03-02,14.07,14.15,14.07,14.13,5700,14.089426
2016-03-01,14.04,14.15,13.96,14.08,46500,14.039569
2016-02-29,14.12,14.20,13.85,13.90,15200,13.860086
2016-02-26,14.25,14.25,13.94,14.11,17000,14.069483
2016-02-25,13.98,14.25,13.92,14.25,17700,14.209081
2016-02-24,13.91,14.12,13.81,13.98,24600,13.939856
2016-02-23,13.85,14.00,13.80,14.00,112300,13.959799
2016-02-22,13.80,13.97,13.67,13.90,5500,13.860086
2016-02-19,13.82,13.90,13.69,13.73,6100,13.690574
2016-02-18,13.88,13.92,13.75,13.92,2700,13.880029
2016-02-17,13.78,13.88,13.72,13.82,5000,13.780315
2016-02-16,13.82,13.88,13.67,13.71,2300,13.670632
2016-02-12,13.67,13.89,13.67,13.80,5600,13.760373
2016-02-11,13.65,13.87,13.65,13.68,5800,13.640718
2016-02-10,13.54,13.89,13.54,13.74,8300,13.700545
2016-02-09,13.81,13.95,13.53,13.57,8000,13.531033
2016-02-08,13.77,13.98,13.75,13.85,6800,13.81023
2016-02-05,13.91,13.98,13.89,13.91,37700,13.870057
2016-02-04,13.96,14.00,13.81,13.91,23200,13.870057
2016-02-03,14.00,14.00,13.85,13.90,32100,13.820201
2016-02-02,13.96,14.00,13.90,13.94,4000,13.859971
2016-02-01,13.90,14.13,13.90,13.99,4900,13.909684
2016-01-29,13.97,13.97,13.79,13.96,37000,13.879857
2016-01-28,13.81,13.99,13.73,13.96,7700,13.879857
2016-01-27,13.56,13.74,13.26,13.59,15000,13.511981
2016-01-26,13.50,13.67,13.50,13.64,32400,13.561694
2016-01-25,13.73,13.77,13.44,13.44,7900,13.362841
2016-01-22,13.63,14.00,13.60,13.78,10300,13.70089
2016-01-21,13.42,13.60,13.31,13.54,10900,13.462268
2016-01-20,13.65,13.86,13.48,13.60,42600,13.521924
2016-01-19,13.68,13.76,13.67,13.70,4900,13.621349
2016-01-15,13.65,14.47,13.56,13.56,11900,13.482153
2016-01-14,14.33,14.33,13.75,13.76,6000,13.681005
2016-01-13,14.02,14.02,13.75,13.77,6100,13.690948
2016-01-12,13.78,14.11,13.76,13.90,205700,13.820201
2016-01-11,13.94,13.94,13.67,13.80,18200,13.720775
2016-01-08,14.03,14.03,13.85,13.93,2600,13.850029
2016-01-07,13.92,14.23,13.75,13.80,22200,13.720775
2016-01-06,13.64,14.22,13.57,14.14,28500,14.058823
2016-01-05,13.60,13.97,13.60,13.67,9800,13.591521
2016-01-04,13.65,13.73,13.43,13.59,6600,13.511981
2015-12-31,13.61,13.77,13.34,13.65,4800,13.571636
2015-12-30,13.62,13.90,13.41,13.55,5900,13.47221
2015-12-29,13.21,13.60,13.21,13.60,6200,13.521924
2015-12-28,13.60,13.99,13.21,13.21,3900,13.134162
2015-12-24,13.50,13.51,13.23,13.44,1500,13.362841
2015-12-23,13.25,13.77,13.25,13.39,8400,13.313129
2015-12-22,13.90,13.90,13.24,13.36,15300,13.283301
2015-12-21,14.00,14.00,13.08,13.21,20000,13.134162
2015-12-18,13.31,13.56,13.10,13.17,23000,13.094392
2015-12-17,13.56,13.60,13.46,13.57,11900,13.492095
2015-12-16,13.55,13.55,13.30,13.39,9300,13.313129
2015-12-15,13.24,13.49,12.83,13.41,26900,13.333014
2015-12-14,13.00,13.09,12.95,13.09,13400,13.014851
2015-12-11,12.70,13.21,12.70,13.00,15800,12.925368
2015-12-10,12.80,12.87,12.72,12.79,10100,12.716573
2015-12-09,12.82,12.90,12.70,12.83,6500,12.756344
2015-12-08,12.80,12.95,12.52,12.82,8700,12.746401
2015-12-07,12.81,12.90,12.80,12.80,2300,12.726516
2015-12-04,12.89,13.00,12.85,12.85,5900,12.776229
2015-12-03,12.91,12.92,12.80,12.90,3200,12.825941
2015-12-02,12.84,13.00,12.84,12.90,5700,12.825941
2015-12-01,12.95,13.02,12.82,12.97,11100,12.89554
2015-11-30,13.04,13.04,12.89,12.98,5100,12.905482
2015-11-27,13.04,13.05,12.84,12.94,5800,12.865712
2015-11-25,13.02,13.04,12.82,13.02,2900,12.945253
2015-11-24,12.99,13.06,12.82,12.98,16200,12.905482
2015-11-23,12.98,13.07,12.84,12.98,12300,12.905482
2015-11-20,13.06,13.09,12.89,13.02,11000,12.945253
2015-11-19,12.96,13.11,12.69,12.97,6400,12.89554
2015-11-18,12.70,13.18,12.53,12.82,223000,12.746401
2015-11-17,13.17,13.26,12.99,13.03,15700,12.955195
2015-11-16,13.27,13.33,13.06,13.06,1200,12.985024
2015-11-13,13.11,13.24,13.05,13.24,6100,13.16399
2015-11-12,12.73,13.25,12.73,13.14,2000,13.064564
2015-11-11,13.28,13.28,13.16,13.25,1500,13.173933
2015-11-10,13.15,13.25,13.11,13.25,7800,13.173933
2015-11-09,13.00,13.19,12.99,13.11,9200,13.034736
2015-11-06,13.05,13.15,13.00,13.15,6900,13.074506
2015-11-05,12.86,13.07,12.86,13.07,6200,12.994966
2015-11-04,12.94,12.97,12.78,12.97,5300,12.85577
2015-11-03,12.79,12.90,12.66,12.90,3200,12.786386
2015-11-02,12.72,12.89,12.70,12.81,4200,12.69718
2015-10-30,12.34,12.74,12.10,12.65,11300,12.538588
2015-10-29,12.68,12.69,11.83,12.63,4900,12.518765
2015-10-28,12.58,12.82,12.51,12.65,8700,12.538588
2015-10-27,12.91,12.91,12.45,12.54,7100,12.429557
2015-10-26,12.75,13.00,12.75,12.91,5700,12.796298
2015-10-23,12.59,12.77,12.59,12.72,8100,12.607972
2015-10-22,12.49,12.70,12.45,12.50,6500,12.389909
2015-10-21,12.74,12.74,12.48,12.48,5200,12.370085
2015-10-20,12.52,12.76,12.52,12.76,8300,12.64762
2015-10-19,12.24,12.77,12.23,12.61,8200,12.49894
2015-10-16,12.12,12.23,12.05,12.23,8200,12.122287
2015-10-15,11.95,12.16,11.95,12.14,23100,12.03308
2015-10-14,12.00,12.14,11.94,11.95,2300,11.844753
2015-10-13,12.14,12.17,12.07,12.09,3500,11.983521
2015-10-12,12.05,12.16,12.03,12.10,7100,11.993433
2015-10-09,12.15,12.15,11.90,12.09,5400,11.983521
2015-10-08,12.12,12.15,12.08,12.15,2000,12.042992
2015-10-07,12.14,12.15,12.05,12.08,2800,11.973608
2015-10-06,12.09,12.16,12.06,12.14,6800,12.03308
2015-10-05,12.01,12.12,11.88,12.05,8900,11.943873
2015-10-02,12.03,12.10,11.81,12.00,14600,11.894313
2015-10-01,11.92,12.10,11.85,12.10,57000,11.993433
2015-09-30,11.96,12.01,11.88,11.90,3000,11.795193
2015-09-29,11.95,12.02,11.81,11.95,9200,11.844753
2015-09-28,11.80,12.02,11.80,11.88,17900,11.77537
2015-09-25,11.75,11.98,11.75,11.90,30000,11.795193
2015-09-24,11.87,12.12,11.66,11.75,14300,11.646515
2015-09-23,11.72,12.20,11.72,11.86,15700,11.755546
2015-09-22,11.74,11.88,11.67,11.87,6400,11.765458
2015-09-21,11.82,11.94,11.63,11.82,8300,11.715898
2015-09-18,11.63,11.85,11.51,11.85,30500,11.745635
2015-09-17,11.60,11.94,11.45,11.62,17100,11.51766
2015-09-16,11.56,11.74,11.45,11.67,29000,11.56722
2015-09-15,11.84,11.86,11.49,11.60,14800,11.497836
2015-09-14,11.69,11.94,11.66,11.91,3800,11.805106
2015-09-11,11.48,11.75,11.48,11.66,12500,11.557307
2015-09-10,11.50,11.53,11.39,11.53,12900,11.428452
2015-09-09,11.51,11.54,11.38,11.43,29500,11.329334
2015-09-08,11.40,11.52,11.39,11.51,7400,11.408629
