Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,45.060001,45.130001,44.09,44.310001,321500,44.310001
2016-06-09,45.360001,45.939999,45.360001,45.610001,249600,45.610001
2016-06-08,45.439999,45.900002,44.619999,45.689999,256900,45.689999
2016-06-07,45.00,45.639999,44.630001,45.360001,235100,45.360001
2016-06-06,45.00,45.099998,44.34,44.950001,269800,44.950001
2016-06-03,44.799999,45.110001,44.400002,44.759998,388600,44.759998
2016-06-02,45.950001,46.209999,44.110001,44.50,825300,44.50
2016-06-01,44.470001,45.790001,44.060001,45.669998,607300,45.669998
2016-05-31,44.93,44.959999,44.25,44.450001,456600,44.450001
2016-05-27,43.599998,44.779999,43.169998,44.700001,641700,44.700001
2016-05-26,42.330002,43.759998,42.279999,43.290001,340200,43.290001
2016-05-25,43.75,43.849998,42.32,42.540001,386500,42.540001
2016-05-24,42.02,43.720001,41.939999,43.650002,618400,43.650002
2016-05-23,42.27,42.84,41.73,41.959999,588700,41.959999
2016-05-20,40.990002,42.200001,40.599998,42.189999,530200,42.189999
2016-05-19,40.740002,40.98,40.259998,40.630001,196100,40.630001
2016-05-18,40.700001,41.389999,40.310001,41.139999,313100,41.139999
2016-05-17,41.549999,41.549999,40.110001,40.470001,410300,40.470001
2016-05-16,39.830002,41.849998,39.830002,41.66,819400,41.66
2016-05-13,39.740002,40.060001,39.50,39.889999,207100,39.889999
2016-05-12,40.48,40.48,39.00,39.709999,367500,39.709999
2016-05-11,40.080002,40.900002,39.970001,40.41,289500,40.41
2016-05-10,40.43,40.57,39.919998,40.27,285700,40.27
2016-05-09,39.099998,40.599998,39.099998,40.439999,461700,40.439999
2016-05-06,39.09,39.869999,38.610001,39.75,412900,39.75
2016-05-05,39.419998,39.549999,38.759998,39.16,354200,39.16
2016-05-04,40.509998,40.580002,39.310001,39.32,526400,39.169999
2016-05-03,40.00,40.650002,39.66,40.580002,769600,40.425194
2016-05-02,38.84,40.349998,38.549999,40.290001,844800,40.1363
2016-04-29,39.450001,39.48,38.200001,38.549999,721200,38.402936
2016-04-28,41.099998,41.099998,37.50,39.330002,1470500,39.179963
2016-04-27,40.830002,41.509998,40.080002,41.299999,639300,41.142445
2016-04-26,40.259998,41.869999,40.23,41.099998,755700,40.943207
2016-04-25,40.419998,40.59,39.52,39.560001,426400,39.409085
2016-04-22,40.84,40.91,39.990002,40.32,506500,40.166184
2016-04-21,40.50,41.27,40.50,40.880001,659700,40.724049
2016-04-20,40.040001,40.939999,39.450001,40.560001,583000,40.40527
2016-04-19,39.84,40.119999,39.490002,39.73,340700,39.578435
2016-04-18,39.950001,40.16,39.529999,39.669998,371600,39.518662
2016-04-15,39.43,40.139999,39.27,39.720001,747800,39.568474
2016-04-14,38.43,39.330002,37.59,39.209999,686500,39.060418
2016-04-13,38.599998,39.450001,38.09,38.189999,509100,38.044309
2016-04-12,38.740002,38.970001,37.810001,38.580002,620700,38.432824
2016-04-11,39.950001,40.16,38.41,38.450001,543600,38.303319
2016-04-08,39.50,40.240002,39.209999,39.91,736800,39.757748
2016-04-07,40.00,40.27,38.299999,38.98,1456000,38.831296
2016-04-06,36.200001,38.02,35.529999,37.860001,607000,37.715569
2016-04-05,37.380001,37.990002,36.830002,36.900002,361900,36.759233
2016-04-04,38.450001,38.630001,37.43,37.549999,300400,37.406751
2016-04-01,38.369999,38.830002,38.040001,38.25,343900,38.104081
2016-03-31,39.779999,39.880001,37.939999,38.810001,713900,38.661946
2016-03-30,37.110001,39.98,37.110001,39.889999,1696100,39.737824
2016-03-29,36.68,37.52,36.43,36.91,537500,36.769193
2016-03-28,37.189999,37.310001,36.599998,36.619999,285400,36.480298
2016-03-24,36.91,37.27,36.220001,37.080002,706700,36.938546
2016-03-23,36.509998,37.369999,36.209999,37.32,693800,37.177629
2016-03-22,36.049999,36.59,36.029999,36.310001,273900,36.171483
2016-03-21,36.299999,36.41,35.700001,36.400002,296900,36.26114
2016-03-18,35.00,36.349998,34.810001,36.299999,563700,36.161519
2016-03-17,34.470001,35.75,34.029999,35.25,392300,35.115526
2016-03-16,33.709999,35.400002,33.639999,34.299999,946300,34.169149
2016-03-15,34.040001,34.119999,33.599998,33.900002,185700,33.770677
2016-03-14,34.080002,34.490002,33.860001,34.00,582500,33.870294
2016-03-11,33.029999,34.560001,32.810001,34.259998,545100,34.129301
2016-03-10,32.790001,33.200001,32.450001,33.029999,201900,32.903993
2016-03-09,33.060001,33.169998,32.669998,32.740002,163300,32.615103
2016-03-08,32.849998,33.09,32.50,32.799999,204000,32.674871
2016-03-07,33.529999,33.529999,32.619999,32.900002,215400,32.774492
2016-03-04,32.869999,33.849998,32.869999,33.549999,370200,33.42201
2016-03-03,33.439999,33.700001,32.740002,32.900002,211500,32.774492
2016-03-02,33.98,34.07,33.360001,33.470001,208400,33.342317
2016-03-01,33.860001,34.00,33.400002,33.98,229600,33.85037
2016-02-29,33.209999,33.950001,33.209999,33.689999,312100,33.561475
2016-02-26,33.130001,33.470001,32.959999,33.200001,198700,33.073347
2016-02-25,33.099998,33.099998,32.580002,32.919998,170300,32.794412
2016-02-24,33.150002,33.32,32.860001,33.119999,269000,32.99365
2016-02-23,33.200001,33.68,33.169998,33.209999,180200,33.083307
2016-02-22,33.48,33.639999,32.759998,33.43,241500,33.302469
2016-02-19,33.09,33.77,32.98,33.290001,255600,33.163004
2016-02-18,33.299999,33.50,32.639999,33.439999,456400,33.312429
2016-02-17,32.990002,33.380001,32.419998,33.049999,528000,32.923918
2016-02-16,31.40,32.939999,31.379999,32.799999,524000,32.674871
2016-02-12,30.959999,31.709999,30.50,31.40,150200,31.280213
2016-02-11,30.92,31.190001,30.48,30.68,505400,30.413534
2016-02-10,30.719999,32.419998,30.709999,31.32,600400,31.047975
2016-02-09,30.00,30.879999,29.50,30.66,514500,30.393707
2016-02-08,30.690001,30.969999,30.02,30.389999,400600,30.126052
2016-02-05,31.07,31.73,30.83,31.26,466800,30.988496
2016-02-04,30.76,31.139999,30.459999,31.09,217700,30.819973
