Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.17,26.24,26.110001,26.24,2400,26.24
2016-06-09,26.15,26.23,26.15,26.23,500,26.23
2016-06-08,26.16,26.16,26.16,26.16,200,26.16
2016-06-07,26.129999,26.23,26.129999,26.23,1500,26.23
2016-06-06,26.139999,26.24,26.139999,26.24,900,26.24
2016-06-03,26.10,26.10,26.10,26.10,1400,26.10
2016-06-02,25.950001,26.040001,25.950001,26.02,2400,26.02
2016-06-01,26.16,26.190001,26.09,26.09,1100,26.09
2016-05-31,25.940001,26.040001,25.92,26.040001,2300,26.040001
2016-05-27,26.129999,26.129999,26.129999,26.129999,200,26.129999
2016-05-26,25.92,26.00,25.91,25.950001,1300,25.950001
2016-05-25,26.25,26.25,25.90,25.90,1500,25.90
2016-05-24,26.09,26.09,25.90,25.90,2200,25.90
2016-05-23,26.209999,26.209999,25.91,25.91,800,25.91
2016-05-20,26.25,26.25,26.25,26.25,000,26.25
2016-05-19,26.25,26.25,26.25,26.25,000,26.25
2016-05-18,26.17,26.25,26.17,26.25,1400,26.25
2016-05-17,26.17,26.25,26.17,26.24,3700,26.24
2016-05-16,26.139999,26.219999,26.139999,26.219999,400,26.219999
2016-05-13,26.00,26.09,26.00,26.09,300,26.09
2016-05-12,26.129999,26.129999,26.09,26.09,300,26.09
2016-05-11,25.98,25.98,25.98,25.98,300,25.98
2016-05-10,25.85,25.85,25.85,25.85,000,25.85
2016-05-09,25.76,25.85,25.76,25.85,500,25.85
2016-05-06,25.98,25.98,25.959999,25.959999,600,25.959999
2016-05-05,25.950001,25.950001,25.73,25.93,400,25.93
2016-05-04,26.139999,26.139999,25.73,26.049999,3300,26.049999
2016-05-03,26.129999,26.190001,26.049999,26.120001,1800,26.120001
2016-05-02,26.10,26.120001,26.10,26.120001,900,26.120001
2016-04-29,26.17,26.17,26.07,26.07,1200,26.07
2016-04-28,25.99,26.18,25.98,26.129999,2600,26.129999
2016-04-27,25.950001,25.950001,25.950001,25.950001,000,25.950001
2016-04-26,26.15,26.18,25.950001,25.950001,1900,25.950001
2016-04-25,25.85,26.10,25.60,26.049999,7800,26.049999
2016-04-22,26.25,26.25,25.799999,26.15,4200,26.15
2016-04-21,26.00,26.00,25.90,25.93,800,25.93
2016-04-20,26.01,26.190001,25.959999,26.190001,1600,26.190001
2016-04-19,26.01,26.040001,26.01,26.040001,800,26.040001
2016-04-18,26.08,26.08,26.08,26.08,1000,26.08
2016-04-15,25.799999,25.799999,25.799999,25.799999,4400,25.799999
2016-04-14,25.790001,25.799999,25.780001,25.799999,1800,25.799999
2016-04-13,25.73,25.93,25.719999,25.93,1400,25.93
2016-04-12,25.66,26.09,25.66,26.09,2500,26.09
2016-04-11,25.57,26.09,25.57,26.09,2600,26.09
2016-04-08,25.950001,25.950001,25.559999,25.559999,600,25.559999
2016-04-07,25.98,26.00,25.969999,26.00,1900,26.00
2016-04-06,26.09,26.09,26.09,26.09,400,26.09
2016-04-05,25.549999,26.09,25.549999,26.09,1200,26.09
2016-04-04,25.75,25.75,25.75,25.75,000,25.75
2016-04-01,25.75,25.75,25.75,25.75,200,25.75
2016-03-31,25.719999,25.719999,25.719999,25.719999,000,25.719999
2016-03-30,25.84,26.08,25.719999,25.719999,1900,25.719999
2016-03-29,26.190001,26.190001,26.08,26.08,300,26.08
2016-03-28,26.190001,26.190001,25.98,25.98,800,25.542
2016-03-24,26.00,26.129999,25.790001,26.129999,1400,25.689471
2016-03-23,25.99,26.00,25.98,26.00,900,25.561663
2016-03-22,25.959999,25.959999,25.959999,25.959999,000,25.522336
2016-03-21,25.959999,25.959999,25.959999,25.959999,000,25.522336
2016-03-18,25.780001,25.98,25.780001,25.959999,1000,25.522336
2016-03-17,25.67,25.67,25.67,25.67,000,25.237227
2016-03-16,25.950001,25.950001,25.67,25.67,600,25.237227
2016-03-15,25.75,25.75,25.700001,25.700001,300,25.266722
2016-03-14,25.73,25.73,25.73,25.73,000,25.296215
2016-03-11,25.809999,25.809999,25.709999,25.73,3100,25.296215
2016-03-10,25.83,25.83,25.799999,25.799999,1600,25.365034
2016-03-09,25.940001,25.98,25.889999,25.889999,2000,25.453517
2016-03-08,25.66,25.99,25.66,25.690001,1300,25.25689
2016-03-07,25.77,25.77,25.77,25.77,000,25.335541
2016-03-04,25.66,25.870001,25.66,25.77,2400,25.335541
2016-03-03,25.66,25.98,25.66,25.93,1700,25.492843
2016-03-02,25.959999,25.959999,25.959999,25.959999,200,25.522336
2016-03-01,25.76,25.76,25.76,25.76,400,25.325709
2016-02-29,25.82,25.99,25.82,25.99,400,25.551831
2016-02-26,25.91,25.91,25.620001,25.809999,800,25.374866
2016-02-25,25.60,25.60,25.60,25.60,000,25.168407
2016-02-24,25.60,25.60,25.60,25.60,200,25.168407
