Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,23.49,23.790001,22.99,23.42,7200,23.42
2016-06-09,23.709999,23.790001,23.290001,23.43,2100,23.43
2016-06-08,23.32,23.790001,23.25,23.360001,11500,23.360001
2016-06-07,23.49,23.50,23.25,23.25,8000,23.25
2016-06-06,23.469999,23.950001,23.299999,23.360001,6100,23.360001
2016-06-03,23.549999,23.559999,23.200001,23.299999,12300,23.299999
2016-06-02,24.469999,24.469999,23.889999,23.889999,4600,23.889999
2016-06-01,23.93,24.10,23.90,23.99,3800,23.99
2016-05-31,24.40,24.48,23.879999,24.129999,8500,24.129999
2016-05-27,24.32,24.450001,24.32,24.450001,4400,24.450001
2016-05-26,24.34,24.709999,24.299999,24.370001,5000,24.370001
2016-05-25,24.700001,24.700001,24.040001,24.440001,10900,24.440001
2016-05-24,24.459999,24.719999,24.41,24.65,8700,24.65
2016-05-23,24.450001,24.74,24.450001,24.65,6600,24.65
2016-05-20,24.280001,24.74,24.280001,24.60,10000,24.60
2016-05-19,24.24,24.639999,24.139999,24.209999,7400,24.209999
2016-05-18,24.299999,24.709999,23.879999,24.469999,14700,24.469999
2016-05-17,24.610001,24.75,24.299999,24.32,9900,24.32
2016-05-16,24.75,24.75,24.57,24.65,6300,24.65
2016-05-13,24.110001,24.799999,24.110001,24.709999,11900,24.709999
2016-05-12,24.59,24.75,24.59,24.629999,5300,24.629999
2016-05-11,24.68,24.77,24.33,24.75,6400,24.75
2016-05-10,24.75,24.76,24.530001,24.700001,9900,24.61
2016-05-09,24.75,24.75,24.66,24.719999,8200,24.629926
2016-05-06,24.559999,24.799999,24.40,24.719999,11000,24.629926
2016-05-05,24.75,24.799999,24.52,24.66,16800,24.570145
2016-05-04,24.75,24.790001,24.48,24.690001,8800,24.600036
2016-05-03,24.719999,24.799999,24.48,24.75,10600,24.659817
2016-05-02,24.75,24.799999,24.66,24.68,7700,24.590073
2016-04-29,24.75,24.77,24.65,24.77,7500,24.679745
2016-04-28,24.59,24.780001,24.59,24.709999,17700,24.619962
2016-04-27,24.799999,24.82,24.620001,24.75,12100,24.659817
2016-04-26,24.75,24.799999,24.639999,24.75,12400,24.659817
2016-04-25,24.25,24.860001,24.25,24.860001,19300,24.769417
2016-04-22,24.59,24.60,24.370001,24.370001,7100,24.281203
2016-04-21,24.50,24.629999,24.32,24.50,181400,24.410728
2016-04-20,24.370001,24.50,24.370001,24.48,14300,24.390801
2016-04-19,24.40,24.43,24.32,24.43,4100,24.340983
2016-04-18,24.35,24.50,24.24,24.299999,11300,24.211456
2016-04-15,24.299999,24.50,24.25,24.309999,69200,24.22142
2016-04-14,24.299999,24.299999,24.129999,24.24,4700,24.151675
2016-04-13,24.24,24.280001,24.09,24.25,9400,24.161639
2016-04-12,24.00,24.49,23.82,24.17,9900,24.081931
2016-04-11,24.00,24.24,23.74,24.059999,8400,23.972331
2016-04-08,24.059999,24.290001,23.700001,24.200001,8600,24.111822
2016-04-07,23.85,24.280001,23.60,23.969999,5100,23.882659
2016-04-06,24.50,24.50,23.57,23.860001,56200,23.773061
2016-04-05,23.74,24.459999,23.700001,24.049999,71300,23.962367
2016-04-04,23.77,24.09,23.549999,23.98,7600,23.892622
2016-04-01,23.99,24.309999,23.77,23.809999,8800,23.723242
2016-03-31,24.049999,24.610001,23.790001,24.02,44400,23.932478
2016-03-30,23.32,24.59,23.02,24.00,32200,23.91255
2016-03-29,23.35,23.50,22.76,23.290001,17800,23.205138
2016-03-28,23.549999,23.549999,23.129999,23.32,4000,23.235027
2016-03-24,23.35,23.690001,23.190001,23.49,4900,23.404408
2016-03-23,23.74,23.75,23.35,23.43,13500,23.344627
2016-03-22,23.83,23.98,23.41,23.709999,4200,23.623606
2016-03-21,23.690001,24.00,23.48,23.790001,5400,23.703316
2016-03-18,23.540001,23.82,23.35,23.43,7700,23.344627
2016-03-17,23.639999,23.639999,23.370001,23.530001,5800,23.444263
2016-03-16,23.450001,23.99,23.41,23.459999,4300,23.374517
2016-03-15,23.639999,23.879999,23.370001,23.450001,4800,23.364555
2016-03-14,23.35,23.700001,23.35,23.549999,9100,23.464189
2016-03-11,23.75,23.75,23.40,23.50,5000,23.414372
2016-03-10,23.559999,23.799999,23.209999,23.450001,9000,23.364555
2016-03-09,23.549999,23.77,23.18,23.34,11300,23.254955
2016-03-08,23.870001,23.889999,23.43,23.549999,14000,23.464189
2016-03-07,23.809999,23.950001,23.790001,23.93,22200,23.842805
2016-03-04,23.690001,24.00,23.690001,23.809999,23600,23.723242
2016-03-03,23.790001,23.90,23.620001,23.799999,11700,23.713278
2016-03-02,23.75,23.799999,23.290001,23.74,11500,23.653497
2016-03-01,23.75,23.93,23.459999,23.799999,36600,23.713278
2016-02-29,23.75,23.799999,22.93,23.540001,13900,23.454227
2016-02-26,23.68,23.799999,23.50,23.67,9300,23.583752
2016-02-25,23.719999,23.799999,23.49,23.530001,7300,23.444263
2016-02-24,23.459999,23.799999,23.17,23.77,8500,23.683388
2016-02-23,23.370001,23.950001,23.370001,23.709999,10700,23.623606
2016-02-22,23.67,23.73,23.030001,23.629999,5800,23.543897
2016-02-19,23.10,23.73,23.10,23.50,3400,23.414372
2016-02-18,23.24,23.59,23.24,23.530001,1900,23.444263
2016-02-17,23.10,23.65,22.950001,23.40,3700,23.314736
2016-02-16,23.23,23.610001,22.799999,23.610001,5700,23.523972
2016-02-12,23.01,23.50,22.41,23.50,7300,23.414372
2016-02-11,22.690001,23.200001,22.50,23.10,24300,23.01583
2016-02-10,23.50,23.50,22.75,23.23,10100,23.145355
2016-02-09,23.50,23.50,22.379999,23.059999,5000,22.886303
2016-02-08,23.73,23.73,23.549999,23.73,7500,23.551257
2016-02-05,23.66,23.889999,23.66,23.73,1900,23.551257
2016-02-04,23.75,24.00,23.450001,23.50,10000,23.32299
2016-02-03,23.50,23.90,23.49,23.68,1200,23.501634
2016-02-02,23.50,23.50,22.950001,22.950001,800,22.777133
2016-02-01,24.450001,24.549999,23.110001,23.50,22700,23.32299
2016-01-29,23.75,24.129999,23.52,23.75,10900,23.571106
2016-01-28,23.969999,24.00,23.75,23.75,7300,23.571106
2016-01-27,23.65,24.00,23.110001,23.549999,21700,23.372612
2016-01-26,23.379999,23.879999,23.00,23.75,15100,23.571106
2016-01-25,23.98,24.00,23.440001,23.75,4200,23.571106
2016-01-22,24.00,24.00,23.059999,23.75,1900,23.571106
2016-01-21,23.549999,23.76,23.049999,23.469999,2700,23.293215
2016-01-20,23.74,23.74,23.58,23.66,700,23.481784
2016-01-19,23.549999,23.73,23.15,23.469999,4800,23.293215
2016-01-15,23.110001,23.389999,23.00,23.049999,3400,22.876378
2016-01-14,23.10,23.99,23.10,23.50,39900,23.32299
2016-01-13,23.450001,23.450001,23.15,23.360001,4400,23.184045
2016-01-12,23.549999,23.559999,23.299999,23.40,7300,23.223742
2016-01-11,23.450001,23.450001,23.110001,23.379999,16400,23.203893
2016-01-08,23.35,24.00,23.200001,23.41,21100,23.233667
2016-01-07,23.190001,23.50,23.190001,23.25,26500,23.074873
2016-01-06,23.389999,23.75,23.25,23.66,78300,23.481784
2016-01-05,23.129999,23.51,23.129999,23.360001,14800,23.184045
2016-01-04,23.52,23.799999,23.200001,23.299999,15100,23.124495
2015-12-31,23.709999,23.90,23.639999,23.90,1500,23.719976
2015-12-30,23.860001,23.860001,23.860001,23.860001,000,23.680279
2015-12-29,23.549999,23.889999,23.549999,23.860001,3200,23.680279
2015-12-28,23.18,23.879999,23.18,23.530001,4800,23.352764
2015-12-24,23.10,23.75,23.10,23.75,500,23.571106
2015-12-23,24.00,24.00,24.00,24.00,000,23.819223
2015-12-22,23.049999,24.00,23.00,24.00,1300,23.819223
2015-12-21,23.75,23.75,23.75,23.75,000,23.571106
2015-12-18,22.799999,23.75,22.299999,23.75,16300,23.571106
2015-12-17,23.559999,23.709999,22.65,23.299999,6500,23.124495
2015-12-16,23.01,23.27,22.950001,23.25,7700,23.074873
2015-12-15,22.68,22.950001,22.049999,22.950001,15700,22.777133
2015-12-14,22.66,22.66,22.66,22.66,1100,22.489317
2015-12-11,23.549999,23.73,22.549999,22.66,3000,22.489317
2015-12-10,23.690001,23.690001,23.690001,23.690001,000,23.511559
2015-12-09,23.690001,23.690001,23.690001,23.690001,000,23.511559
2015-12-08,23.690001,23.690001,23.690001,23.690001,000,23.511559
2015-12-07,23.690001,23.690001,23.690001,23.690001,500,23.511559
2015-12-04,23.50,24.00,23.10,23.48,2800,23.30314
2015-12-03,23.92,23.92,23.92,23.92,000,23.739826
2015-12-02,23.92,23.92,23.92,23.92,200,23.739826
2015-12-01,24.51,24.51,23.51,23.93,900,23.749751
2015-11-30,23.719999,24.49,23.110001,23.879999,5700,23.700126
2015-11-27,24.709999,24.74,23.02,23.10,9000,22.926003
2015-11-25,24.190001,24.40,24.18,24.40,1100,24.21621
2015-11-24,24.030001,24.50,24.030001,24.190001,2100,24.007793
2015-11-23,23.889999,23.889999,23.85,23.85,800,23.670354
2015-11-20,23.75,23.790001,23.75,23.790001,700,23.610806
2015-11-19,23.75,23.75,22.98,23.74,59400,23.561182
2015-11-18,23.99,23.99,22.10,22.10,1900,21.933535
2015-11-17,22.48,22.549999,22.049999,22.360001,1400,22.191577
2015-11-16,23.16,23.16,23.16,23.16,000,22.98555
2015-11-13,24.00,24.00,23.00,23.16,3900,22.98555
2015-11-12,22.610001,24.02,22.610001,23.52,27000,23.342839
2015-11-11,22.610001,22.610001,22.610001,22.610001,100,22.439694
2015-11-10,22.60,22.60,22.60,22.60,000,22.429769
2015-11-09,22.60,22.60,22.60,22.60,000,22.340447
2015-11-06,22.450001,22.60,22.450001,22.60,1100,22.340447
2015-11-05,22.50,22.50,22.50,22.50,500,22.241595
2015-11-04,22.50,22.50,22.450001,22.450001,700,22.19217
2015-11-03,22.459999,22.50,22.40,22.50,2000,22.241595
2015-11-02,22.60,22.60,22.50,22.50,700,22.241595
2015-10-30,22.50,22.549999,22.280001,22.50,2700,22.241595
2015-10-29,22.49,22.49,22.49,22.49,300,22.231709
2015-10-28,22.879999,22.879999,22.610001,22.610001,2900,22.350332
2015-10-27,22.26,22.26,21.60,21.67,300,21.421127
2015-10-26,22.48,22.48,22.48,22.48,200,22.221824
2015-10-23,21.799999,21.799999,21.799999,21.799999,000,21.549633
2015-10-22,21.389999,21.799999,21.389999,21.799999,200,21.549633
2015-10-21,21.870001,21.870001,21.870001,21.870001,000,21.618831
2015-10-20,21.469999,21.870001,21.469999,21.870001,500,21.618831
2015-10-19,22.10,22.469999,21.77,21.799999,9600,21.549633
2015-10-16,22.07,22.280001,21.33,22.030001,2300,21.776993
2015-10-15,21.889999,22.50,21.889999,22.440001,1700,22.182284
2015-10-14,21.34,21.34,21.34,21.34,200,21.094917
2015-10-13,21.379999,21.65,21.379999,21.65,200,21.401356
2015-10-12,21.459999,21.65,21.32,21.65,400,21.401356
2015-10-09,21.309999,21.75,21.299999,21.700001,1500,21.450783
2015-10-08,21.41,21.90,21.41,21.90,2900,21.648485
2015-10-07,22.00,22.99,21.950001,22.00,8100,21.747337
2015-10-06,21.299999,21.629999,21.299999,21.60,1900,21.351931
