Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.83,10.92,10.67,10.70,70800,10.70
2016-06-09,10.84,10.98,10.75,10.96,55000,10.96
2016-06-08,10.66,10.92,10.66,10.87,90800,10.87
2016-06-07,10.72,10.77,10.65,10.66,56800,10.66
2016-06-06,10.70,10.86,10.62,10.70,73500,10.70
2016-06-03,10.89,10.89,10.67,10.70,62900,10.70
2016-06-02,10.92,11.04,10.80,10.91,69200,10.91
2016-06-01,11.10,11.10,10.71,10.88,70900,10.88
2016-05-31,10.66,10.86,10.60,10.77,149400,10.77
2016-05-27,10.60,10.74,10.60,10.70,64700,10.70
2016-05-26,10.54,10.75,10.42,10.60,70900,10.60
2016-05-25,10.50,10.675,10.44,10.57,107400,10.57
2016-05-24,10.68,10.88,10.51,10.61,209400,10.61
2016-05-23,10.68,10.83,10.65,10.66,54700,10.66
2016-05-20,10.65,10.73,10.60,10.71,101000,10.71
2016-05-19,10.74,10.74,10.52,10.60,69900,10.60
2016-05-18,10.65,10.92,10.56,10.76,140600,10.76
2016-05-17,11.15,11.16,10.69,10.70,136200,10.70
2016-05-16,11.24,11.242,11.11,11.16,91900,11.16
2016-05-13,11.34,11.345,11.06,11.12,91100,11.12
2016-05-12,11.40,11.54,11.17,11.35,73900,11.35
2016-05-11,12.05,12.19,11.35,11.35,90200,11.35
2016-05-10,11.35,12.16,11.34,12.11,79800,12.11
2016-05-09,11.40,11.53,11.38,11.41,54000,11.41
2016-05-06,11.50,11.61,11.35,11.38,49700,11.38
2016-05-05,11.62,11.68,11.47,11.49,45700,11.49
2016-05-04,11.61,11.68,11.49,11.61,58700,11.61
2016-05-03,11.52,11.68,11.43,11.62,110700,11.62
2016-05-02,11.35,11.72,11.14,11.45,210800,11.45
2016-04-29,11.50,11.50,11.09,11.28,101600,11.28
2016-04-28,11.88,11.88,11.53,11.55,80900,11.55
2016-04-27,11.82,11.89,11.75,11.89,67600,11.89
2016-04-26,11.89,11.99,11.77,11.84,118600,11.84
2016-04-25,11.90,11.97,11.88,11.90,82000,11.90
2016-04-22,11.96,12.00,11.92,11.94,60500,11.94
2016-04-21,11.95,11.975,11.90,11.91,76900,11.91
2016-04-20,11.98,12.01,11.92,11.99,63800,11.99
2016-04-19,12.00,12.02,11.94,11.98,44600,11.98
2016-04-18,11.91,12.07,11.881,11.98,73200,11.98
2016-04-15,11.93,12.09,11.93,11.94,41600,11.94
2016-04-14,12.04,12.10,11.95,11.97,86300,11.97
2016-04-13,12.00,12.09,11.93,12.00,103500,12.00
2016-04-12,11.93,12.151,11.84,12.01,73600,12.01
2016-04-11,12.03,12.252,11.86,11.88,82400,11.88
2016-04-08,12.04,12.12,11.90,12.00,98300,12.00
2016-04-07,12.10,12.144,11.91,11.97,127300,11.97
2016-04-06,12.62,12.62,12.06,12.15,83800,12.15
2016-04-05,12.37,12.831,12.24,12.26,85500,12.26
2016-04-04,12.70,12.70,12.36,12.39,110800,12.39
2016-04-01,12.63,12.75,12.47,12.71,105000,12.71
2016-03-31,12.78,12.78,12.58,12.60,103100,12.60
2016-03-30,12.96,12.96,12.494,12.74,108200,12.74
2016-03-29,12.49,12.91,12.49,12.85,124800,12.85
2016-03-28,12.14,12.555,12.14,12.46,98900,12.46
2016-03-24,12.40,12.486,12.00,12.14,160200,12.14
2016-03-23,12.60,12.828,12.311,12.43,106400,12.43
2016-03-22,12.98,12.98,12.62,12.66,90800,12.66
2016-03-21,13.09,13.10,12.97,12.99,127400,12.93
2016-03-18,13.07,13.26,12.88,13.00,189900,12.939954
2016-03-17,12.90,13.20,12.72,13.00,208600,12.939954
2016-03-16,12.27,12.85,12.186,12.83,151600,12.770739
2016-03-15,12.04,12.51,12.04,12.27,278100,12.213326
2016-03-14,11.82,12.10,11.66,12.04,570500,11.984388
2016-03-11,12.69,12.69,11.652,11.75,278000,11.695727
2016-03-10,11.75,11.80,11.45,11.48,81200,11.426974
2016-03-09,11.76,11.92,11.70,11.76,84200,11.705681
2016-03-08,11.71,12.15,11.65,11.70,163100,11.645958
2016-03-07,11.80,11.996,11.71,11.77,130400,11.715635
2016-03-04,12.00,12.08,11.78,11.80,115600,11.745497
2016-03-03,11.79,12.04,11.67,11.98,216700,11.924665
2016-03-02,11.40,11.79,11.36,11.64,224900,11.586236
2016-03-01,11.39,11.62,11.29,11.43,117500,11.377206
2016-02-29,11.32,12.16,11.20,11.27,212600,11.217945
2016-02-26,11.20,11.34,11.17,11.23,103900,11.178129
2016-02-25,11.14,11.287,11.12,11.20,124900,11.148268
2016-02-24,11.20,11.27,11.05,11.08,384000,11.028822
2016-02-23,11.11,11.30,11.05,11.15,121500,11.098498
2016-02-22,11.00,11.67,10.93,11.15,598700,11.098498
2016-02-19,10.17,10.51,10.17,10.48,144000,10.431593
2016-02-18,10.05,10.31,9.88,10.16,79100,10.113071
2016-02-17,9.93,10.37,9.93,10.05,77400,10.00358
2016-02-16,10.00,10.03,9.82,9.85,27800,9.804504
2016-02-12,9.86,10.06,9.76,9.82,24800,9.774642
2016-02-11,9.72,9.87,9.70,9.79,25800,9.744781
2016-02-10,10.00,10.22,9.88,9.88,31200,9.834365
2016-02-09,9.77,10.09,9.50,9.94,535700,9.894087
2016-02-08,9.40,9.98,9.40,9.89,35800,9.844319
