Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.23,5.29,5.12,5.19,39900,5.19
2016-06-09,5.43,5.43,5.17,5.19,54900,5.19
2016-06-08,5.30,5.47,5.21,5.41,25300,5.41
2016-06-07,5.37,5.45,5.23,5.26,31900,5.26
2016-06-06,5.23,5.75,5.23,5.35,97700,5.35
2016-06-03,5.19,5.24,5.10,5.18,24200,5.18
2016-06-02,5.13,5.20,5.06,5.11,22000,5.11
2016-06-01,5.14,5.25,5.06,5.10,23700,5.10
2016-05-31,5.09,5.25,5.03,5.12,52900,5.12
2016-05-27,5.06,5.07,5.02,5.03,74700,5.03
2016-05-26,5.03,5.04,5.00,5.01,35400,5.01
2016-05-25,5.17,5.17,5.02,5.02,23200,5.02
2016-05-24,5.17,5.27,5.03,5.05,25700,5.05
2016-05-23,5.06,5.09,5.02,5.08,20900,5.08
2016-05-20,5.09,5.09,5.01,5.03,11800,5.03
2016-05-19,5.10,5.11,5.01,5.09,28500,5.09
2016-05-18,5.31,5.31,5.09,5.14,23300,5.14
2016-05-17,5.40,5.42,5.25,5.31,14600,5.31
2016-05-16,5.43,5.45,5.27,5.43,63600,5.43
2016-05-13,5.51,5.53,5.40,5.46,10200,5.46
2016-05-12,5.57,5.57,5.44,5.48,9600,5.48
2016-05-11,6.00,6.00,5.47,5.57,22200,5.57
2016-05-10,5.58,5.99,5.48,5.70,30900,5.70
2016-05-09,5.48,5.56,5.48,5.55,2100,5.55
2016-05-06,5.52,5.58,5.42,5.49,25800,5.49
2016-05-05,5.48,5.58,5.41,5.56,34200,5.56
2016-05-04,5.49,5.50,5.47,5.47,27000,5.47
2016-05-03,5.50,5.50,5.43,5.46,12000,5.46
2016-05-02,5.37,5.62,5.35,5.52,46600,5.52
2016-04-29,5.39,5.44,5.28,5.32,76200,5.32
2016-04-28,5.04,5.40,5.04,5.35,56000,5.35
2016-04-27,5.10,5.10,5.05,5.10,39800,5.10
2016-04-26,5.07,5.10,5.06,5.08,7800,5.08
2016-04-25,5.12,5.12,5.05,5.09,12500,5.09
2016-04-22,5.12,5.14,5.05,5.10,31700,5.10
2016-04-21,5.08,5.19,5.06,5.11,36800,5.11
2016-04-20,5.08,5.12,5.01,5.10,22900,5.10
2016-04-19,5.06,5.14,5.06,5.09,17600,5.09
2016-04-18,5.15,5.16,5.06,5.06,18200,5.06
2016-04-15,5.08,5.13,5.03,5.11,29700,5.11
2016-04-14,5.06,5.10,5.01,5.07,18300,5.07
2016-04-13,5.10,5.12,5.06,5.09,20100,5.09
2016-04-12,5.10,5.14,5.05,5.13,33900,5.13
2016-04-11,5.13,5.23,5.05,5.07,45900,5.07
2016-04-08,5.12,5.24,5.04,5.07,47200,5.07
2016-04-07,5.02,5.11,5.02,5.08,11500,5.08
2016-04-06,5.10,5.10,5.02,5.07,69500,5.07
2016-04-05,5.16,5.16,5.02,5.09,78000,5.09
2016-04-04,5.13,5.19,5.08,5.14,55900,5.14
2016-04-01,5.08,5.24,5.06,5.12,20200,5.12
2016-03-31,5.21,5.24,5.12,5.14,36700,5.14
2016-03-30,5.26,5.28,5.19,5.22,18200,5.22
2016-03-29,5.16,5.27,5.16,5.24,14000,5.24
2016-03-28,5.21,5.21,5.17,5.20,19400,5.20
2016-03-24,5.15,5.29,5.15,5.23,16100,5.23
2016-03-23,5.21,5.21,5.15,5.17,7400,5.17
2016-03-22,5.32,5.32,5.21,5.25,13500,5.25
2016-03-21,5.43,5.45,5.32,5.35,13800,5.35
2016-03-18,5.26,5.45,5.26,5.44,28600,5.44
2016-03-17,5.28,5.32,5.21,5.30,15500,5.30
2016-03-16,5.27,5.27,5.20,5.26,5100,5.26
2016-03-15,5.25,5.35,5.19,5.23,19900,5.23
2016-03-14,5.30,5.36,5.22,5.29,22000,5.29
2016-03-11,5.22,5.41,5.19,5.34,19700,5.34
2016-03-10,5.31,5.31,5.21,5.31,9000,5.225
2016-03-09,5.25,5.33,5.15,5.31,14100,5.225
2016-03-08,5.32,5.32,5.17,5.18,19100,5.097081
2016-03-07,5.58,5.58,5.25,5.27,51000,5.18564
2016-03-04,5.42,5.63,5.39,5.56,25500,5.470998
2016-03-03,5.58,5.58,5.43,5.46,21900,5.372599
2016-03-02,5.49,5.71,5.46,5.54,13700,5.451318
2016-03-01,5.44,5.48,5.39,5.42,10600,5.333239
