Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.10,13.10,13.06,13.07,28500,13.07
2016-06-09,13.05,13.14,13.05,13.08,44600,13.08
2016-06-08,13.13,13.15,13.05,13.12,38700,13.12
2016-06-07,13.10,13.15,13.04,13.07,39000,13.07
2016-06-06,13.07,13.09,13.04,13.06,48600,13.06
2016-06-03,13.08,13.08,13.03,13.04,15100,13.04
2016-06-02,13.08,13.08,13.02,13.04,44000,13.04
2016-06-01,13.01,13.08,12.96,13.075,39100,13.075
2016-05-31,13.02,13.08,12.93,12.96,23800,12.96
2016-05-27,13.05,13.08,13.00,13.08,26600,13.08
2016-05-26,13.005,13.08,13.005,13.045,6000,13.045
2016-05-25,13.06,13.07,13.02,13.07,30700,13.07
2016-05-24,13.08,13.08,12.94,13.08,33500,13.08
2016-05-23,13.04,13.09,12.946,13.06,42300,13.06
2016-05-20,13.00,13.03,12.93,13.03,188400,13.03
2016-05-19,12.96,12.96,12.93,12.93,109300,12.93
2016-05-18,12.93,13.00,12.92,12.92,199300,12.92
2016-05-17,12.92,12.95,12.92,12.92,84300,12.92
2016-05-16,12.94,12.95,12.93,12.93,43400,12.93
2016-05-13,12.90,12.95,12.90,12.95,39200,12.95
2016-05-12,12.90,12.95,12.89,12.92,78100,12.92
2016-05-11,12.94,12.94,12.90,12.90,28200,12.90
2016-05-10,12.90,12.94,12.88,12.94,178200,12.94
2016-05-09,12.87,12.95,12.87,12.93,59300,12.93
2016-05-06,12.88,12.90,12.87,12.87,265300,12.87
2016-05-05,12.90,12.91,12.88,12.88,37400,12.88
2016-05-04,12.88,12.95,12.86,12.88,517200,12.88
2016-05-03,12.85,13.50,12.85,12.88,1006800,12.88
2016-05-02,10.51,10.51,10.39,10.40,5600,10.40
2016-04-29,10.37,10.55,10.05,10.39,10200,10.39
2016-04-28,10.14,10.66,10.00,10.40,9900,10.40
2016-04-27,10.17,10.24,10.01,10.18,12300,10.18
2016-04-26,10.12,10.18,9.98,10.15,9200,10.15
2016-04-25,10.13,10.18,10.06,10.17,5300,10.17
2016-04-22,10.218,10.218,9.98,9.98,19400,9.98
2016-04-21,9.91,10.16,9.72,10.01,19000,10.01
2016-04-20,10.13,10.19,10.09,10.13,6700,10.13
2016-04-19,10.10,10.19,10.07,10.15,1600,10.15
2016-04-18,10.539,10.539,10.10,10.12,24300,10.12
2016-04-15,10.47,10.54,10.10,10.10,3600,10.10
2016-04-14,10.51,10.52,10.05,10.05,10300,10.05
2016-04-13,10.55,10.60,10.19,10.34,8400,10.34
2016-04-12,10.60,10.60,10.49,10.49,8800,10.49
2016-04-11,10.58,10.65,10.50,10.54,6500,10.54
2016-04-08,10.61,10.65,10.44,10.59,22300,10.59
2016-04-07,10.35,10.58,10.32,10.52,24400,10.52
2016-04-06,10.24,10.67,10.24,10.31,3500,10.31
2016-04-05,10.61,10.61,10.22,10.24,3200,10.24
2016-04-04,10.45,10.81,10.38,10.61,24700,10.61
2016-04-01,9.95,10.57,9.95,10.35,8900,10.35
2016-03-31,10.34,10.72,9.86,9.86,5600,9.86
2016-03-30,10.51,11.42,10.25,10.25,11200,10.25
2016-03-29,10.08,10.62,10.08,10.45,10100,10.45
2016-03-28,10.39,10.56,9.81,10.17,15100,10.17
2016-03-24,10.31,10.50,10.31,10.41,4700,10.41
2016-03-23,10.43,10.52,10.31,10.32,3000,10.32
2016-03-22,10.50,10.65,10.34,10.36,5200,10.36
2016-03-21,10.63,10.80,10.30,10.37,12000,10.37
