Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.04,5.05,4.96,4.97,158400,4.97
2016-06-09,5.06,5.08,5.04,5.05,122200,5.05
2016-06-08,5.05,5.11,5.04,5.08,253200,5.08
2016-06-07,5.03,5.04,4.99,5.03,142100,5.03
2016-06-06,4.82,5.00,4.82,4.99,288400,4.99
2016-06-03,4.82,4.87,4.81,4.87,115600,4.87
2016-06-02,4.77,4.82,4.74,4.78,121300,4.78
2016-06-01,4.74,4.79,4.73,4.76,57100,4.76
2016-05-31,4.79,4.82,4.76,4.76,60300,4.76
2016-05-27,4.81,4.83,4.76,4.80,73600,4.80
2016-05-26,4.76,4.85,4.74,4.81,35500,4.81
2016-05-25,4.78,4.83,4.75,4.75,115800,4.713
2016-05-24,4.76,4.81,4.76,4.79,56700,4.752688
2016-05-23,4.74,4.76,4.71,4.76,97400,4.722922
2016-05-20,4.76,4.79,4.72,4.75,64700,4.713
2016-05-19,4.69,4.80,4.66,4.77,211300,4.732844
2016-05-18,4.76,4.77,4.70,4.73,109000,4.693156
2016-05-17,4.81,4.85,4.76,4.77,94300,4.732844
2016-05-16,4.75,4.85,4.75,4.80,88400,4.762611
2016-05-13,4.86,4.88,4.76,4.76,86900,4.722922
2016-05-12,4.91,5.02,4.80,4.84,163500,4.802299
2016-05-11,4.80,4.86,4.72,4.83,90600,4.792377
2016-05-10,4.75,4.83,4.75,4.80,60500,4.762611
2016-05-09,4.85,4.85,4.68,4.74,161900,4.703078
2016-05-06,4.85,4.90,4.85,4.86,32200,4.822143
2016-05-05,4.86,4.91,4.86,4.86,133600,4.822143
2016-05-04,4.77,4.85,4.72,4.85,60900,4.812221
2016-05-03,4.93,4.93,4.79,4.80,101200,4.762611
2016-05-02,4.95,5.00,4.93,4.96,51300,4.921364
2016-04-29,5.00,5.02,4.94,4.96,69300,4.921364
2016-04-28,4.96,5.06,4.96,4.99,95700,4.95113
2016-04-27,5.01,5.03,4.95,4.97,125200,4.931286
2016-04-26,4.97,5.05,4.97,5.01,68500,4.934263
