Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.280001,26.67,26.120001,26.48,58000,26.48
2016-06-09,26.60,26.719999,26.120001,26.620001,79100,26.620001
2016-06-08,26.639999,26.959999,26.559999,26.73,42900,26.73
2016-06-07,26.76,26.780001,26.559999,26.639999,49600,26.639999
2016-06-06,26.17,26.950001,26.17,26.790001,72700,26.790001
2016-06-03,26.25,26.309999,25.75,26.16,73300,26.16
2016-06-02,26.07,26.50,25.93,26.49,65300,26.49
2016-06-01,25.700001,26.139999,25.549999,26.139999,59600,26.139999
2016-05-31,25.950001,26.030001,25.530001,25.870001,90100,25.870001
2016-05-27,25.51,25.93,25.389999,25.93,38100,25.93
2016-05-26,25.91,25.91,25.459999,25.58,32600,25.58
2016-05-25,25.879999,26.290001,25.65,25.93,54000,25.93
2016-05-24,24.98,25.90,24.82,25.860001,90400,25.860001
2016-05-23,25.219999,25.299999,24.879999,24.940001,52600,24.940001
2016-05-20,24.959999,25.379999,24.959999,25.219999,75700,25.219999
2016-05-19,25.01,25.780001,24.60,24.780001,74600,24.780001
2016-05-18,23.90,25.040001,23.889999,25.030001,47500,25.030001
2016-05-17,24.74,24.98,23.83,23.950001,84500,23.950001
2016-05-16,24.25,25.08,24.25,24.98,53800,24.98
2016-05-13,25.02,25.129999,24.27,24.33,35500,24.33
2016-05-12,24.790001,25.040001,24.42,24.73,40600,24.73
2016-05-11,24.870001,25.139999,24.709999,24.73,33000,24.73
2016-05-10,24.76,25.139999,24.51,24.959999,44700,24.959999
2016-05-09,24.559999,24.780001,24.34,24.540001,38400,24.540001
2016-05-06,24.299999,24.67,24.15,24.67,93600,24.67
2016-05-05,24.85,24.90,24.43,24.450001,46600,24.450001
2016-05-04,25.02,25.18,24.540001,24.68,56500,24.68
2016-05-03,25.67,25.99,24.870001,25.110001,66500,25.110001
2016-05-02,25.790001,26.030001,25.51,25.91,65200,25.719999
2016-04-29,25.73,26.030001,25.52,25.67,50400,25.481759
2016-04-28,25.98,26.10,25.67,25.85,76600,25.66044
2016-04-27,25.959999,26.16,25.76,26.07,171900,25.878826
2016-04-26,25.68,26.08,25.67,26.030001,86700,25.83912
2016-04-25,25.85,25.889999,25.48,25.58,73600,25.392419
2016-04-22,25.809999,25.940001,25.549999,25.889999,116000,25.700145
2016-04-21,25.85,26.280001,25.379999,26.01,93600,25.819266
2016-04-20,26.110001,26.459999,26.01,26.33,39900,26.136919
2016-04-19,25.950001,26.299999,25.870001,26.139999,33400,25.948312
2016-04-18,25.559999,25.99,25.559999,25.959999,61500,25.769632
2016-04-15,25.719999,25.99,25.66,25.83,39400,25.640586
2016-04-14,25.85,26.26,25.76,25.85,44400,25.66044
2016-04-13,25.23,25.959999,25.23,25.879999,72600,25.690219
2016-04-12,24.690001,25.24,24.50,25.07,46800,24.886159
2016-04-11,24.459999,25.040001,24.459999,24.709999,77500,24.528798
2016-04-08,24.17,24.549999,24.059999,24.290001,71300,24.11188
2016-04-07,24.700001,24.700001,23.85,24.00,88200,23.824006
2016-04-06,24.85,24.969999,24.459999,24.700001,78100,24.518873
