Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.00,26.27,25.77,25.879999,4455400,25.879999
2016-06-09,26.379999,26.43,25.76,26.200001,4135100,26.200001
2016-06-08,26.200001,26.99,26.040001,26.68,5184600,26.68
2016-06-07,25.379999,25.66,25.209999,25.530001,2448000,25.530001
2016-06-06,25.16,25.610001,25.16,25.49,2201100,25.49
2016-06-03,25.00,25.32,24.700001,25.27,3483100,25.27
2016-06-02,24.469999,24.92,24.40,24.92,1834400,24.92
2016-06-01,24.43,24.74,24.280001,24.67,1774000,24.67
2016-05-31,24.66,25.09,24.549999,24.690001,1864700,24.690001
2016-05-27,24.639999,24.799999,24.18,24.65,2350000,24.65
2016-05-26,24.99,25.389999,24.65,24.74,3133900,24.74
2016-05-25,24.25,24.76,24.01,24.60,3220400,24.60
2016-05-24,24.129999,24.49,23.91,24.219999,4444800,24.219999
2016-05-23,23.389999,24.129999,23.309999,23.98,2562100,23.98
2016-05-20,23.85,24.00,23.389999,23.440001,3320300,23.440001
2016-05-19,22.860001,23.85,22.620001,23.700001,3843000,23.700001
2016-05-18,23.620001,23.969999,23.00,23.15,4723100,23.15
2016-05-17,24.42,24.530001,23.77,23.84,3757800,23.84
2016-05-16,24.16,24.870001,24.129999,24.469999,4285500,24.469999
2016-05-13,23.860001,24.200001,23.60,24.030001,5027300,24.030001
2016-05-12,24.35,24.48,23.700001,23.889999,3428900,23.889999
2016-05-11,24.120001,24.469999,24.040001,24.24,2794900,24.24
2016-05-10,23.66,24.16,23.540001,24.10,4745800,24.10
2016-05-09,24.65,24.65,23.49,23.549999,7695300,23.549999
2016-05-06,24.700001,25.110001,24.360001,24.940001,2345400,24.940001
2016-05-05,24.940001,25.110001,24.58,24.85,3882800,24.85
2016-05-04,24.50,25.049999,24.40,24.76,2690100,24.76
2016-05-03,24.92,24.92,24.27,24.65,5609400,24.65
2016-05-02,25.26,25.42,25.01,25.309999,5992400,25.309999
2016-04-29,24.68,25.23,24.370001,25.209999,6432900,25.209999
2016-04-28,25.049999,25.219999,24.549999,24.65,3294600,24.65
2016-04-27,24.18,25.07,24.030001,25.07,3600100,25.07
2016-04-26,24.290001,24.57,23.780001,24.540001,3355400,24.540001
2016-04-25,24.43,24.68,24.040001,24.18,3381600,24.18
2016-04-22,24.74,25.07,24.379999,24.60,4391200,24.60
2016-04-21,24.73,25.00,24.42,24.639999,5855300,24.639999
2016-04-20,24.559999,24.83,24.059999,24.48,4515700,24.48
2016-04-19,24.389999,24.60,24.26,24.549999,3728300,24.549999
2016-04-18,24.049999,24.389999,24.00,24.09,3982000,24.09
2016-04-15,23.690001,24.209999,23.49,24.200001,3169000,24.200001
2016-04-14,23.65,23.85,23.49,23.75,2656400,23.75
2016-04-13,23.50,23.879999,23.50,23.67,2752700,23.67
2016-04-12,23.09,23.389999,22.860001,23.299999,3287900,23.299999
2016-04-11,22.90,23.42,22.74,22.98,4942200,22.98
2016-04-08,22.709999,22.93,22.50,22.73,1995900,22.73
2016-04-07,22.639999,22.700001,22.190001,22.370001,2747800,22.370001
2016-04-06,22.559999,22.959999,22.440001,22.809999,2851600,22.809999
2016-04-05,22.450001,22.76,22.299999,22.559999,4114400,22.559999
2016-04-04,23.00,23.16,22.440001,22.450001,3020300,22.450001
2016-04-01,22.120001,23.00,21.57,23.00,3346500,23.00
2016-03-31,22.77,22.91,22.469999,22.51,2276600,22.51
2016-03-30,22.790001,22.92,22.48,22.83,2528200,22.83
2016-03-29,22.09,22.620001,21.92,22.58,2635200,22.58
2016-03-28,22.42,22.469999,22.09,22.33,1526700,22.19
2016-03-24,21.709999,22.43,21.59,22.42,2936000,22.279436
2016-03-23,22.129999,22.40,21.790001,21.91,3474300,21.772633
2016-03-22,21.959999,22.35,21.74,22.16,1788100,22.021066
2016-03-21,21.92,22.17,21.59,22.09,2326500,21.951505
2016-03-18,22.17,22.57,21.77,21.889999,4382500,21.752758
2016-03-17,21.77,22.190001,21.41,22.059999,3440400,21.921693
2016-03-16,21.00,21.73,20.719999,21.67,3810400,21.534138
2016-03-15,21.08,21.309999,20.799999,20.92,3185700,20.788841
2016-03-14,20.969999,21.60,20.610001,21.309999,3833000,21.176395
2016-03-11,21.42,21.57,20.879999,21.200001,2309300,21.067086
2016-03-10,20.379999,21.190001,20.370001,21.17,3449500,21.037273
2016-03-09,20.48,20.65,20.02,20.370001,3120100,20.24229
2016-03-08,20.629999,20.969999,20.18,20.32,4700300,20.192602
2016-03-07,19.860001,20.690001,19.389999,20.67,3364800,20.540408
2016-03-04,19.92,20.290001,19.48,19.77,5724200,19.646051
2016-03-03,20.440001,20.780001,20.040001,20.110001,4619000,19.983919
2016-03-02,19.51,20.540001,19.41,20.51,5915600,20.381411
2016-03-01,18.51,19.370001,18.27,19.309999,3935600,19.188934
2016-02-29,18.209999,18.33,18.01,18.190001,2943000,18.075957
2016-02-26,18.309999,18.49,17.90,18.110001,2542600,17.996459
2016-02-25,17.709999,18.32,17.00,18.17,3747700,18.056082
2016-02-24,17.26,17.84,16.889999,17.74,5915800,17.628778
2016-02-23,18.16,18.23,17.42,17.51,3583000,17.40022
2016-02-22,18.219999,18.51,18.16,18.360001,2602100,18.244891
2016-02-19,17.85,18.02,17.60,17.860001,2330100,17.748026
2016-02-18,18.68,18.68,17.82,17.889999,4149900,17.777837
2016-02-17,18.76,19.059999,18.51,18.67,2878600,18.552947
2016-02-16,18.59,18.77,18.200001,18.57,2337300,18.453574
2016-02-12,17.93,18.43,17.860001,18.33,2972200,18.215079
2016-02-11,17.360001,17.85,17.139999,17.639999,2742800,17.529404
2016-02-10,17.34,17.860001,17.33,17.690001,2887100,17.579092
2016-02-09,17.48,17.690001,17.10,17.34,4510100,17.231286
2016-02-08,17.959999,18.10,17.469999,17.780001,3010600,17.668528
2016-02-05,17.51,19.200001,17.51,18.16,3622100,18.046144
2016-02-04,18.620001,19.43,18.559999,18.85,4277800,18.731819
2016-02-03,17.799999,18.690001,17.59,18.620001,4382600,18.503261
2016-02-02,17.77,17.940001,17.51,17.540001,2612500,17.430033
2016-02-01,18.280001,18.280001,17.700001,17.969999,3760600,17.857335
2016-01-29,17.379999,18.35,17.379999,18.35,4697900,18.234954
2016-01-28,16.940001,17.48,16.68,17.42,3745900,17.310784
2016-01-27,16.75,17.27,16.59,16.700001,4785600,16.595299
2016-01-26,16.200001,17.110001,16.15,16.93,7154100,16.823856
2016-01-25,16.09,16.34,15.90,15.96,4900700,15.859938
2016-01-22,16.219999,16.26,15.74,16.200001,4871200,16.098434
2016-01-21,15.60,16.26,15.60,15.86,4076100,15.760564
2016-01-20,15.98,16.139999,15.32,15.88,4328000,15.780439
2016-01-19,16.139999,16.50,16.030001,16.280001,4281400,16.177932
2016-01-15,16.219999,16.379999,15.72,15.95,4273000,15.85
2016-01-14,16.51,16.84,16.35,16.700001,2914600,16.595299
2016-01-13,16.93,17.07,16.25,16.41,4218000,16.307116
2016-01-12,16.33,16.809999,16.15,16.75,4423100,16.644985
2016-01-11,16.629999,16.77,16.09,16.26,3076800,16.158057
2016-01-08,17.280001,17.32,16.530001,16.549999,3625300,16.446238
2016-01-07,17.139999,17.51,16.889999,17.18,5483200,17.072289
2016-01-06,17.59,17.870001,17.43,17.50,5010200,17.390282
2016-01-05,17.790001,17.99,17.610001,17.799999,2995000,17.688401
2016-01-04,17.620001,17.889999,17.469999,17.76,2732200,17.648653
2015-12-31,17.889999,18.110001,17.75,17.870001,1886600,17.757964
2015-12-30,17.940001,18.16,17.83,17.950001,1310300,17.837462
2015-12-29,17.940001,18.33,17.799999,18.09,1675900,17.976584
2015-12-28,18.02,18.07,17.639999,17.98,1810100,17.730138
