Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.60,15.75,15.60,15.67,33700,15.67
2016-06-09,15.62,15.67,15.50,15.65,16300,15.65
2016-06-08,15.55,15.68,15.53,15.64,9100,15.64
2016-06-07,15.50,15.69,15.50,15.58,8600,15.58
2016-06-06,15.62,15.73,15.50,15.54,19400,15.54
2016-06-03,15.55,15.72,15.54,15.60,6500,15.60
2016-06-02,15.64,15.72,15.55,15.56,10900,15.56
2016-06-01,15.56,15.69,15.52,15.63,17800,15.63
2016-05-31,15.58,15.70,15.50,15.56,8800,15.56
2016-05-27,15.57,15.69,15.57,15.63,13400,15.63
2016-05-26,15.47,15.69,15.45,15.59,14000,15.59
2016-05-25,15.60,15.70,15.45,15.51,28500,15.51
2016-05-24,15.54,15.70,15.52,15.52,13900,15.52
2016-05-23,15.65,15.69,15.50,15.57,7600,15.57
2016-05-20,15.60,15.72,15.48,15.60,23900,15.60
2016-05-19,15.50,15.63,15.43,15.55,25100,15.55
2016-05-18,15.50,15.55,15.38,15.49,31100,15.49
2016-05-17,15.50,15.57,15.32,15.50,18800,15.50
2016-05-16,15.49,15.67,15.49,15.59,20500,15.472
2016-05-13,15.49,15.55,15.32,15.46,18700,15.342984
2016-05-12,15.43,15.52,15.29,15.47,25300,15.352909
2016-05-11,15.37,15.54,15.37,15.50,29200,15.382681
2016-05-10,15.50,15.50,15.28,15.28,12900,15.164346
2016-05-09,15.48,15.55,15.19,15.36,10500,15.243741
2016-05-06,15.27,15.47,15.15,15.37,16300,15.253665
2016-05-05,15.46,15.47,15.29,15.35,14400,15.233817
2016-05-04,15.15,15.41,15.15,15.41,25000,15.293362
2016-05-03,15.08,15.15,14.86,15.13,15500,15.015482
2016-05-02,15.06,15.14,14.90,15.03,15400,14.916238
2016-04-29,15.07,15.07,14.91,15.00,22100,14.886466
2016-04-28,14.90,15.14,14.81,15.06,17100,14.946012
2016-04-27,14.83,15.13,14.79,14.94,21500,14.826919
2016-04-26,14.90,14.90,14.85,14.89,20300,14.777299
2016-04-25,14.75,14.90,14.75,14.90,14000,14.787222
2016-04-22,14.84,14.89,14.75,14.75,38900,14.638358
2016-04-21,14.84,14.90,14.75,14.81,11700,14.697904
2016-04-20,14.84,14.90,14.77,14.89,21400,14.777299
2016-04-19,14.77,14.81,14.70,14.75,15400,14.638358
2016-04-18,14.90,14.90,14.78,14.78,27600,14.551024
2016-04-15,14.72,14.90,14.71,14.89,31400,14.659321
2016-04-14,14.79,14.79,14.70,14.72,10200,14.491954
2016-04-13,14.67,14.74,14.52,14.72,32200,14.491954
2016-04-12,14.44,14.65,14.38,14.54,17500,14.314742
2016-04-11,14.55,14.63,14.31,14.31,21900,14.088306
2016-04-08,14.63,14.63,14.41,14.47,10800,14.245827
2016-04-07,14.61,14.77,14.41,14.56,23700,14.334433
2016-04-06,14.57,14.80,14.57,14.60,32200,14.373813
2016-04-05,14.49,14.74,14.36,14.60,19100,14.373813
2016-04-04,14.70,14.76,14.40,14.54,28300,14.314742
2016-04-01,14.60,14.71,14.54,14.70,16000,14.472264
2016-03-31,14.37,14.68,14.37,14.58,26000,14.354123
2016-03-30,14.59,14.62,14.17,14.35,30500,14.127686
2016-03-29,14.10,14.72,14.10,14.58,20300,14.354123
2016-03-28,14.18,14.19,14.02,14.06,40000,13.842179
2016-03-24,14.19,14.39,14.02,14.11,35400,13.891404
2016-03-23,14.55,14.65,14.23,14.26,25200,14.039081
2016-03-22,14.21,14.50,14.18,14.50,20700,14.275362
2016-03-21,14.03,14.30,14.00,14.29,45000,13.952444
2016-03-18,14.17,14.21,13.85,13.97,121200,13.640003
2016-03-17,14.12,14.14,13.92,14.05,56000,13.718113
2016-03-16,14.04,14.07,13.97,14.02,26000,13.688822
2016-03-15,13.99,14.05,13.78,14.00,36600,13.669294
2016-03-14,13.94,14.05,13.85,14.03,14300,13.698585
2016-03-11,14.08,14.10,13.84,14.00,22300,13.669294
2016-03-10,14.03,14.14,13.90,14.05,18800,13.718113
2016-03-09,13.86,14.09,13.78,14.00,9400,13.669294
2016-03-08,14.01,14.05,13.77,13.79,28700,13.464255
2016-03-07,13.89,14.16,13.89,14.12,40500,13.786459
2016-03-04,14.03,14.15,14.01,14.01,24700,13.679058
2016-03-03,14.06,14.19,14.00,14.09,22700,13.757168
2016-03-02,14.07,14.19,13.93,14.12,8600,13.786459
2016-03-01,14.18,14.28,14.06,14.15,34400,13.81575
2016-02-29,13.72,14.16,13.69,14.10,29700,13.766932
2016-02-26,13.65,13.77,13.59,13.69,15300,13.366616
2016-02-25,13.49,13.81,13.40,13.70,11700,13.37638
2016-02-24,13.25,13.50,13.25,13.37,6600,13.054176
2016-02-23,13.48,13.53,13.31,13.40,12100,13.083467
2016-02-22,13.28,13.49,13.04,13.46,21600,13.14205
2016-02-19,13.32,13.37,13.06,13.24,15500,12.927246
2016-02-18,13.23,13.35,13.23,13.35,16700,13.034649
2016-02-17,13.16,13.45,13.06,13.22,29000,12.907719
2016-02-16,13.21,13.32,13.03,13.04,20300,12.731971
2016-02-12,13.42,13.56,13.03,13.15,48800,12.724159
2016-02-11,13.30,13.41,13.21,13.30,25600,12.869302
2016-02-10,13.41,13.58,13.40,13.44,10100,13.004768
2016-02-09,13.15,13.33,12.99,13.24,12600,12.811245
2016-02-08,13.23,13.37,12.80,13.26,40000,12.830597
2016-02-05,13.41,13.54,13.09,13.19,48800,12.762864
2016-02-04,13.55,13.61,13.29,13.34,36100,12.908007
2016-02-03,13.82,13.93,13.52,13.55,20300,13.111206
2016-02-02,13.90,14.11,13.50,13.68,55500,13.236996
2016-02-01,13.97,14.12,13.66,13.86,31900,13.411167
2016-01-29,13.73,14.10,13.73,13.98,20500,13.527281
2016-01-28,13.79,13.87,13.52,13.71,10900,13.266025
2016-01-27,13.85,13.92,13.23,13.65,24300,13.207967
2016-01-26,13.67,13.90,13.45,13.83,25600,13.382139
2016-01-25,14.08,14.23,13.43,13.66,52300,13.217644
2016-01-22,13.99,14.13,13.95,14.11,16900,13.653071
2016-01-21,13.71,13.92,13.62,13.78,28800,13.333758
2016-01-20,14.11,14.13,13.02,13.67,74800,13.22732
2016-01-19,14.00,14.38,13.87,14.19,21300,13.73048
2016-01-15,13.74,13.97,13.65,13.97,29500,13.403427
2016-01-14,14.22,14.50,13.75,13.78,51200,13.221132
2016-01-13,14.57,14.75,14.07,14.07,31700,13.499371
