Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.39,10.95,10.39,10.51,44500,10.51
2016-06-09,11.02,11.02,10.48,10.52,36700,10.52
2016-06-08,11.25,11.62,10.98,11.03,24800,11.03
2016-06-07,11.49,11.60,11.05,11.10,66700,11.10
2016-06-06,11.48,12.13,11.42,11.47,47800,11.47
2016-06-03,11.86,11.86,11.54,11.63,15000,11.63
2016-06-02,12.20,12.51,11.77,11.81,31500,11.81
2016-06-01,11.70,12.39,11.68,12.26,45300,12.26
2016-05-31,10.92,11.78,10.92,11.70,56900,11.70
2016-05-27,10.33,11.37,10.31,11.01,59500,11.01
2016-05-26,10.11,10.24,9.95,10.20,658400,10.20
2016-05-25,10.15,10.22,10.05,10.17,19800,10.17
2016-05-24,10.06,10.25,10.06,10.17,18000,10.17
2016-05-23,10.25,10.25,10.03,10.03,16100,10.03
2016-05-20,10.20,10.34,10.02,10.22,94500,10.22
2016-05-19,10.29,10.34,10.01,10.17,34900,10.17
2016-05-18,10.53,10.59,10.34,10.54,17100,10.54
2016-05-17,10.84,10.90,10.55,10.60,37200,10.60
2016-05-16,10.50,10.94,10.46,10.90,26600,10.90
2016-05-13,10.66,10.99,10.60,10.70,183000,10.70
2016-05-12,11.25,11.27,10.57,10.70,70300,10.70
2016-05-11,11.78,11.78,11.23,11.24,40300,11.24
2016-05-10,11.51,11.70,11.40,11.59,28500,11.59
2016-05-09,11.49,11.98,11.25,11.53,48600,11.53
2016-05-06,11.06,11.46,11.05,11.44,47000,11.44
2016-05-05,11.38,11.38,11.10,11.13,29900,11.13
2016-05-04,11.27,11.44,11.10,11.15,57000,11.15
2016-05-03,11.39,11.52,11.20,11.31,73200,11.31
2016-05-02,11.85,11.85,11.00,11.40,109600,11.40
2016-04-29,12.94,12.94,11.78,11.95,120900,11.95
2016-04-28,14.70,14.70,12.80,12.86,172500,12.86
2016-04-27,15.32,15.32,14.34,14.70,41100,14.70
2016-04-26,15.79,15.79,15.32,15.41,19700,15.41
2016-04-25,16.40,16.40,15.70,15.74,28300,15.74
2016-04-22,16.40,16.42,16.360001,16.379999,12600,16.379999
2016-04-21,16.450001,16.450001,16.35,16.40,19500,16.40
2016-04-20,16.59,16.59,16.43,16.49,20600,16.49
2016-04-19,17.35,17.370001,16.41,16.540001,54500,16.540001
