Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,26.030001,26.23,25.780001,25.940001,8200,25.940001
2016-06-09,25.959999,26.16,25.73,26.040001,8500,26.040001
2016-06-08,26.110001,26.32,26.110001,26.290001,10200,26.290001
2016-06-07,26.370001,26.43,26.110001,26.110001,7100,26.110001
2016-06-06,25.950001,26.58,25.950001,26.469999,7600,26.469999
2016-06-03,26.41,26.450001,25.940001,26.16,8100,26.16
2016-06-02,26.27,26.459999,26.24,26.459999,4800,26.459999
2016-06-01,26.26,26.620001,26.049999,26.48,13100,26.48
2016-05-31,26.049999,26.35,25.969999,26.309999,21500,26.309999
2016-05-27,26.24,26.35,25.879999,26.32,15900,26.32
2016-05-26,26.68,26.68,26.00,26.219999,32300,26.219999
2016-05-25,26.190001,26.700001,26.139999,26.620001,10000,26.620001
2016-05-24,25.950001,26.58,25.91,26.440001,13500,26.440001
2016-05-23,25.68,26.15,25.65,25.90,17500,25.90
2016-05-20,25.74,26.120001,25.74,25.93,18100,25.93
2016-05-19,26.030001,26.23,25.50,25.65,32200,25.65
2016-05-18,25.83,26.290001,25.83,26.01,22800,26.01
2016-05-17,26.02,26.02,25.389999,25.60,24600,25.60
2016-05-16,25.940001,26.200001,25.82,25.959999,26300,25.959999
2016-05-13,25.76,25.91,25.75,25.860001,11000,25.860001
2016-05-12,25.82,26.049999,25.57,25.809999,16500,25.809999
2016-05-11,25.59,26.07,25.59,25.85,16800,25.85
2016-05-10,25.549999,25.860001,25.459999,25.68,64900,25.68
2016-05-09,25.75,26.18,25.51,25.77,35200,25.59
2016-05-06,25.85,25.950001,25.540001,25.85,46700,25.669441
2016-05-05,26.07,26.07,25.76,26.00,16400,25.818393
2016-05-04,25.959999,26.07,25.77,26.01,14800,25.828323
2016-05-03,26.200001,26.74,25.889999,26.129999,21000,25.947484
2016-05-02,26.25,26.440001,26.25,26.25,19300,26.066647
2016-04-29,26.280001,26.60,26.18,26.23,17300,26.046786
2016-04-28,26.040001,26.299999,25.889999,26.120001,19100,25.937556
2016-04-27,26.219999,26.35,25.90,26.10,31900,25.917695
2016-04-26,25.98,26.35,25.969999,26.049999,13000,25.868043
2016-04-25,25.83,25.92,25.639999,25.860001,9700,25.679371
2016-04-22,25.67,26.07,25.65,25.91,17200,25.729021
2016-04-21,25.75,25.809999,25.549999,25.66,14400,25.480768
2016-04-20,25.620001,26.030001,25.58,25.809999,13400,25.629719
2016-04-19,25.08,25.68,25.049999,25.66,43700,25.480768
2016-04-18,25.27,25.43,24.959999,25.18,97100,25.004121
2016-04-15,25.58,25.91,25.200001,25.27,29900,25.093492
2016-04-14,26.08,26.200001,25.639999,25.709999,31600,25.530418
2016-04-13,25.66,26.17,25.57,26.030001,13200,25.848184
2016-04-12,25.549999,25.60,25.389999,25.58,6000,25.401326
2016-04-11,25.370001,25.809999,25.32,25.530001,10200,25.351676
2016-04-08,25.610001,25.65,25.360001,25.370001,15300,25.192794
2016-04-07,25.780001,25.940001,25.34,25.48,22200,25.302025
2016-04-06,26.08,26.10,25.719999,25.91,16400,25.729021
2016-04-05,25.950001,26.25,25.75,25.889999,15200,25.709161
2016-04-04,26.219999,26.299999,25.889999,26.059999,29100,25.877973
2016-04-01,25.99,26.25,25.85,26.18,13500,25.997136
2016-03-31,25.98,26.34,25.690001,26.059999,39200,25.877973
2016-03-30,26.110001,26.280001,25.780001,25.950001,26800,25.768743
2016-03-29,25.66,26.16,25.66,26.110001,15300,25.927625
2016-03-28,25.92,25.92,25.66,25.67,6200,25.490698
2016-03-24,25.76,25.82,25.67,25.709999,5400,25.530418
2016-03-23,25.860001,26.00,25.75,25.790001,12600,25.609861
2016-03-22,26.00,26.18,25.870001,25.969999,10800,25.788602
2016-03-21,26.34,26.440001,25.99,26.00,9300,25.818393
2016-03-18,26.34,26.530001,25.90,26.32,48500,26.136157
2016-03-17,25.75,26.25,25.75,26.200001,14100,26.016997
2016-03-16,25.75,25.950001,25.700001,25.809999,14500,25.629719
2016-03-15,25.940001,26.200001,25.83,25.879999,14200,25.69923
2016-03-14,26.01,26.01,25.67,25.969999,13700,25.788602
2016-03-11,25.91,26.17,25.75,26.02,11400,25.838254
2016-03-10,26.00,26.09,25.719999,25.83,11000,25.64958
