Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,15.04,15.07,14.82,14.87,172200,14.87
2016-06-09,15.00,15.08,14.86,15.06,157000,15.06
2016-06-08,14.98,15.08,14.86,15.00,228400,15.00
2016-06-07,14.81,14.97,14.76,14.94,112200,14.94
2016-06-06,14.78,14.93,14.73,14.75,112000,14.75
2016-06-03,14.75,14.78,14.61,14.75,75500,14.75
2016-06-02,14.73,14.84,14.67,14.72,69500,14.72
2016-06-01,14.67,14.82,14.55,14.78,89300,14.78
2016-05-31,14.68,14.78,14.61,14.62,132000,14.62
2016-05-27,14.48,14.66,14.43,14.63,99800,14.63
2016-05-26,14.55,14.58,14.41,14.46,120300,14.46
2016-05-25,14.57,14.58,14.50,14.56,139400,14.56
2016-05-24,14.62,14.64,14.50,14.52,73500,14.52
2016-05-23,14.61,14.70,14.43,14.51,159200,14.51
2016-05-20,14.32,14.60,14.22,14.56,126000,14.56
2016-05-19,14.53,14.53,14.11,14.21,202900,14.21
2016-05-18,14.49,14.61,14.45,14.53,121300,14.53
2016-05-17,14.69,14.81,14.52,14.56,99400,14.56
2016-05-16,14.78,14.85,14.63,14.64,87600,14.64
2016-05-13,14.78,14.84,14.70,14.70,123400,14.70
2016-05-12,14.82,14.84,14.54,14.75,140200,14.75
2016-05-11,14.72,14.88,14.72,14.77,227700,14.77
2016-05-10,14.85,14.95,14.73,14.80,130400,14.80
2016-05-09,14.84,14.92,14.72,14.76,193700,14.76
2016-05-06,14.65,14.98,14.65,14.80,150500,14.80
2016-05-05,14.63,14.83,14.60,14.63,169800,14.63
2016-05-04,14.50,14.73,14.36,14.69,115400,14.69
2016-05-03,14.52,14.56,14.29,14.52,117000,14.52
2016-05-02,14.80,14.86,14.50,14.56,96100,14.56
2016-04-29,14.73,14.80,14.63,14.78,96100,14.78
2016-04-28,14.74,14.94,14.63,14.67,69800,14.67
2016-04-27,14.80,14.96,14.72,14.85,73500,14.85
2016-04-26,14.68,14.87,14.66,14.80,70700,14.80
2016-04-25,14.70,14.75,14.60,14.72,53700,14.72
2016-04-22,14.63,14.75,14.56,14.68,98800,14.68
2016-04-21,14.75,14.94,14.61,14.63,174700,14.63
2016-04-20,14.73,14.89,14.69,14.79,155700,14.79
