Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,10.90,10.91,10.71,10.89,239600,10.89
2016-06-09,10.99,10.99,10.76,10.93,159000,10.93
2016-06-08,10.90,10.94,10.83,10.86,185900,10.86
2016-06-07,10.90,10.96,10.85,10.92,147400,10.92
2016-06-06,11.06,11.07,10.94,10.94,172600,10.94
2016-06-03,10.97,11.05,10.80,11.03,133900,11.03
2016-06-02,11.03,11.12,10.91,10.98,128900,10.98
2016-06-01,11.05,11.07,10.93,11.04,66800,11.04
2016-05-31,11.00,11.06,10.86,10.99,87100,10.99
2016-05-27,10.92,10.99,10.85,10.92,65800,10.92
2016-05-26,10.93,11.00,10.89,10.91,44100,10.91
2016-05-25,10.80,10.99,10.80,10.92,86600,10.92
2016-05-24,10.80,10.90,10.75,10.80,60700,10.80
2016-05-23,10.53,10.80,10.52,10.74,94500,10.74
2016-05-20,10.27,10.52,10.25,10.50,149600,10.50
2016-05-19,10.60,10.62,10.00,10.12,192500,10.12
2016-05-18,10.60,10.64,10.50,10.62,52600,10.62
2016-05-17,10.59,10.68,10.50,10.56,52300,10.56
2016-05-16,10.50,10.68,10.50,10.53,112500,10.53
2016-05-13,10.56,10.70,10.53,10.56,56300,10.56
2016-05-12,10.77,10.80,10.48,10.54,109900,10.54
2016-05-11,10.37,10.99,10.37,10.72,157100,10.72
2016-05-10,10.23,10.50,10.21,10.45,138300,10.45
2016-05-09,10.55,10.65,9.95,10.27,322800,10.27
2016-05-06,11.17,11.17,10.45,10.55,286700,10.55
2016-05-05,11.32,11.35,11.03,11.04,88100,11.04
2016-05-04,11.27,11.33,11.20,11.31,40500,11.31
2016-05-03,11.11,11.30,11.07,11.30,99700,11.30
2016-05-02,11.24,11.35,11.13,11.15,56700,11.15
2016-04-29,11.20,11.34,11.18,11.25,60800,11.25
2016-04-28,11.26,11.35,11.18,11.28,40000,11.28
2016-04-27,11.25,11.35,11.16,11.33,58300,11.33
2016-04-26,11.14,11.31,11.08,11.21,59400,11.21
2016-04-25,11.04,11.22,11.02,11.19,60800,11.19
2016-04-22,11.06,11.14,11.02,11.09,48300,11.09
2016-04-21,11.16,11.33,11.00,11.05,96600,11.05
2016-04-20,11.13,11.20,11.11,11.19,46600,11.19
2016-04-19,11.11,11.20,11.08,11.20,51800,11.20
2016-04-18,11.05,11.14,11.02,11.09,32500,11.09
2016-04-15,11.05,11.11,11.00,11.02,39600,11.02
2016-04-14,11.15,11.25,11.04,11.05,41400,11.05
2016-04-13,11.35,11.35,11.06,11.15,114200,11.15
2016-04-12,11.10,11.35,11.08,11.34,84200,11.34
2016-04-11,11.19,11.31,11.02,11.05,68100,11.05
2016-04-08,10.95,11.15,10.92,11.14,96400,11.14
2016-04-07,11.10,11.17,10.85,10.87,77800,10.87
2016-04-06,10.87,11.10,10.87,11.06,62700,11.06
2016-04-05,11.00,11.12,10.91,10.92,49700,10.92
2016-04-04,11.23,11.23,10.95,11.02,177100,11.02
2016-04-01,10.83,11.04,10.83,11.01,175100,11.01
2016-03-31,10.89,10.90,10.82,10.83,74100,10.83
2016-03-30,10.89,10.94,10.54,10.82,142200,10.82
2016-03-29,10.77,10.90,10.71,10.89,76800,10.89
2016-03-28,10.60,10.90,10.53,10.88,109300,10.88
2016-03-24,10.47,10.63,10.38,10.53,59600,10.53
2016-03-23,10.53,10.69,10.43,10.43,30000,10.43
2016-03-22,10.74,10.80,10.60,10.61,58200,10.61
2016-03-21,10.85,10.92,10.73,10.74,84700,10.74
2016-03-18,10.67,11.00,10.58,10.87,330300,10.87
2016-03-17,10.09,10.74,10.09,10.59,186000,10.59
2016-03-16,10.36,10.46,10.29,10.43,88400,10.09
2016-03-15,10.46,10.46,10.20,10.34,78800,10.002934
2016-03-14,10.24,10.50,10.15,10.47,91000,10.128697
2016-03-11,10.17,10.51,10.02,10.17,103200,9.838476
2016-03-10,10.08,10.38,10.01,10.08,97700,9.751409
2016-03-09,10.10,10.16,10.01,10.07,55600,9.741735
2016-03-08,10.20,10.28,10.04,10.06,42900,9.732062
2016-03-07,10.07,10.27,10.07,10.24,45600,9.906194
2016-03-04,10.14,10.40,10.07,10.15,98100,9.819127
2016-03-03,9.92,10.17,9.88,10.09,114600,9.761084
2016-03-02,9.83,9.98,9.74,9.89,60300,9.567604
2016-03-01,9.82,9.94,9.70,9.83,84700,9.509559
2016-02-29,9.50,9.83,9.45,9.83,91600,9.509559
2016-02-26,9.43,9.54,9.40,9.46,62700,9.151621
2016-02-25,9.33,9.48,9.33,9.43,61900,9.122599
