Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.72,5.77,5.68,5.73,433700,5.73
2016-06-09,5.70,5.77,5.63,5.73,474500,5.73
2016-06-08,5.70,5.77,5.63,5.72,352800,5.72
2016-06-07,5.65,5.74,5.61,5.68,419200,5.68
2016-06-06,5.67,5.79,5.61,5.66,562400,5.66
2016-06-03,5.62,5.70,5.55,5.66,962800,5.66
2016-06-02,5.57,5.64,5.57,5.60,433300,5.60
2016-06-01,5.61,5.69,5.58,5.58,486600,5.58
2016-05-31,5.64,5.67,5.56,5.61,637800,5.61
2016-05-27,5.65,5.67,5.52,5.60,281400,5.60
2016-05-26,5.61,5.72,5.57,5.63,260700,5.63
2016-05-25,5.61,5.71,5.57,5.57,324700,5.57
2016-05-24,5.49,5.70,5.46,5.64,361300,5.64
2016-05-23,5.33,5.51,5.27,5.48,324600,5.48
2016-05-20,5.11,5.30,5.11,5.29,198000,5.29
2016-05-19,5.35,5.38,5.01,5.13,473100,5.13
2016-05-18,5.36,5.45,5.36,5.37,208900,5.37
2016-05-17,5.36,5.46,5.36,5.39,203500,5.39
2016-05-16,5.32,5.47,5.32,5.40,274700,5.40
2016-05-13,5.32,5.42,5.31,5.36,270500,5.36
2016-05-12,5.26,5.34,5.25,5.31,185200,5.31
2016-05-11,5.16,5.37,5.15,5.25,307400,5.25
2016-05-10,5.07,5.20,5.03,5.17,269100,5.17
2016-05-09,4.98,5.12,4.98,5.04,277900,5.04
2016-05-06,4.98,5.04,4.96,5.00,291200,5.00
2016-05-05,4.98,5.04,4.90,5.00,238600,5.00
2016-05-04,4.92,5.03,4.92,4.98,217700,4.98
2016-05-03,5.00,5.12,4.88,5.11,309000,5.11
2016-05-02,5.16,5.22,5.02,5.08,189800,5.08
2016-04-29,5.20,5.25,5.11,5.18,436900,5.18
2016-04-28,5.15,5.27,5.12,5.22,120000,5.22
2016-04-27,5.22,5.23,5.12,5.21,117400,5.21
2016-04-26,5.11,5.25,5.10,5.22,115000,5.22
2016-04-25,5.11,5.17,5.05,5.13,74000,5.13
2016-04-22,5.04,5.13,5.04,5.11,95400,5.11
2016-04-21,5.02,5.09,5.01,5.05,130600,5.05
2016-04-20,4.98,5.07,4.96,5.05,159300,5.05
2016-04-19,4.98,5.04,4.95,5.01,80600,5.01
2016-04-18,4.96,5.01,4.91,4.94,150300,4.94
2016-04-15,4.93,5.01,4.93,4.97,92300,4.97
2016-04-14,4.99,5.02,4.92,4.97,103600,4.97
2016-04-13,4.89,5.07,4.85,4.98,181800,4.98
2016-04-12,4.78,4.91,4.75,4.91,138900,4.91
2016-04-11,4.70,4.84,4.70,4.75,98400,4.75
2016-04-08,4.73,4.85,4.70,4.72,80700,4.72
2016-04-07,4.77,4.77,4.68,4.73,86500,4.73
2016-04-06,4.72,4.82,4.72,4.82,69000,4.82
2016-04-05,4.87,4.87,4.71,4.72,135600,4.72
2016-04-04,4.92,4.99,4.86,4.87,101500,4.87
2016-04-01,4.81,5.03,4.77,4.95,313300,4.95
2016-03-31,4.71,4.94,4.64,4.80,464600,4.80
2016-03-30,4.65,4.70,4.56,4.62,211600,4.62
