Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,19.889999,20.120001,19.74,19.940001,198600,19.940001
2016-06-09,20.27,20.34,19.90,19.99,366100,19.99
2016-06-08,20.17,20.40,20.120001,20.290001,219800,20.290001
2016-06-07,20.34,20.389999,20.18,20.200001,83200,20.200001
2016-06-06,20.02,20.50,20.02,20.34,356000,20.34
2016-06-03,19.91,20.10,19.709999,20.07,176100,20.07
2016-06-02,20.01,20.25,19.93,20.219999,292500,20.219999
2016-06-01,19.92,20.17,19.74,20.110001,455700,20.110001
2016-05-31,20.00,20.030001,19.73,19.940001,425400,19.940001
2016-05-27,20.030001,20.059999,19.92,20.00,192900,20.00
2016-05-26,20.040001,20.17,20.00,20.030001,103700,20.030001
2016-05-25,19.870001,20.219999,19.83,20.139999,449300,20.139999
2016-05-24,19.559999,19.959999,19.48,19.82,571100,19.82
2016-05-23,19.389999,19.51,19.16,19.50,223300,19.50
2016-05-20,19.26,19.48,19.200001,19.370001,288600,19.370001
2016-05-19,19.25,19.459999,18.99,19.15,128200,19.15
2016-05-18,18.76,19.43,18.76,19.370001,297400,19.370001
2016-05-17,19.10,19.299999,18.690001,18.790001,253000,18.790001
2016-05-16,19.10,19.33,18.98,19.17,120500,19.17
2016-05-13,19.35,19.51,18.92,19.02,135100,19.02
2016-05-12,19.18,19.540001,19.18,19.440001,182700,19.440001
2016-05-11,19.57,19.700001,19.17,19.190001,299300,19.190001
2016-05-10,19.57,19.719999,19.440001,19.629999,117000,19.629999
2016-05-09,19.309999,19.59,19.309999,19.450001,127300,19.450001
2016-05-06,19.110001,19.459999,19.10,19.450001,241000,19.400001
2016-05-05,19.559999,19.639999,19.25,19.25,266300,19.200514
2016-05-04,19.48,19.620001,19.299999,19.49,420400,19.439897
2016-05-03,19.41,19.540001,19.16,19.540001,185500,19.48977
2016-05-02,19.48,19.59,19.360001,19.559999,352900,19.509717
2016-04-29,19.440001,19.57,19.309999,19.40,267800,19.350128
2016-04-28,18.90,19.780001,18.90,19.43,246900,19.380052
2016-04-27,19.51,19.60,19.389999,19.559999,254400,19.509717
2016-04-26,19.43,19.59,19.370001,19.51,201400,19.459846
2016-04-25,19.48,19.48,19.299999,19.42,152300,19.370077
2016-04-22,19.40,19.639999,19.40,19.50,715100,19.449872
2016-04-21,19.50,19.719999,19.370001,19.459999,285100,19.409973
2016-04-20,19.10,19.99,19.10,19.540001,354500,19.48977
2016-04-19,18.77,19.129999,18.709999,19.120001,281300,19.070849
2016-04-18,18.65,18.950001,18.51,18.77,329700,18.721749
2016-04-15,18.559999,18.82,18.559999,18.74,360700,18.691825
2016-04-14,18.540001,18.75,18.49,18.629999,274600,18.582107
2016-04-13,18.17,18.559999,18.120001,18.530001,472300,18.482366
2016-04-12,17.92,18.219999,17.889999,18.07,353700,18.023547
2016-04-11,17.809999,18.139999,17.73,17.950001,526600,17.903857
2016-04-08,17.809999,17.90,17.620001,17.719999,283000,17.674447
2016-04-07,17.860001,18.219999,17.43,17.530001,341600,17.484937
2016-04-06,18.00,18.10,17.879999,18.01,286500,17.963702
2016-04-05,18.15,18.26,17.99,17.99,377700,17.943753
2016-04-04,18.08,18.309999,18.01,18.27,498800,18.223034
2016-04-01,17.99,18.139999,17.780001,18.110001,222100,18.063445
2016-03-31,18.280001,18.360001,17.889999,18.09,503600,18.043496
2016-03-30,18.26,18.370001,18.139999,18.299999,361700,18.252956
2016-03-29,17.74,18.25,17.629999,18.25,303600,18.203085
2016-03-28,17.84,18.00,17.700001,17.82,322800,17.77419
2016-03-24,17.719999,17.84,17.540001,17.83,194500,17.784165
2016-03-23,17.85,17.940001,17.719999,17.85,213000,17.804114
2016-03-22,17.540001,17.93,17.469999,17.860001,115300,17.814088
2016-03-21,17.719999,17.82,17.469999,17.68,212600,17.634551
2016-03-18,17.50,17.870001,17.440001,17.68,705900,17.634551
2016-03-17,17.24,17.620001,17.110001,17.58,289600,17.534807
2016-03-16,17.27,17.360001,17.15,17.309999,328700,17.265501
