Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,11.10,11.10,11.10,11.10,30000,11.10
2016-06-09,10.91,11.10,10.91,11.10,4000,11.10
2016-06-08,11.18,11.18,11.18,11.18,000,11.18
2016-06-07,11.18,11.24,11.15,11.18,7900,11.18
2016-06-06,10.94,11.09,10.85,11.09,46000,11.09
2016-06-03,10.90,10.90,10.89,10.90,3000,10.90
2016-06-02,10.95,10.97,10.88,10.89,2000,10.89
2016-06-01,10.94,10.94,10.85,10.91,2500,10.91
2016-05-31,10.63,10.89,10.30,10.87,8600,10.87
2016-05-27,10.89,10.89,10.49,10.49,6100,10.49
2016-05-26,10.50,10.70,10.50,10.70,1500,10.70
2016-05-25,10.21,10.78,10.21,10.33,5300,10.33
2016-05-24,10.35,10.35,10.34,10.34,300,10.34
2016-05-23,10.26,10.35,10.21,10.21,6600,10.21
2016-05-20,10.38,10.38,10.24,10.25,2400,10.25
2016-05-19,10.28,10.28,10.28,10.28,500,10.28
2016-05-18,10.46,10.46,10.30,10.33,3500,10.33
2016-05-17,10.22,10.58,10.22,10.33,6100,10.33
2016-05-16,10.00,10.22,10.00,10.22,3600,10.22
2016-05-13,10.05,10.19,10.00,10.14,8300,10.14
2016-05-12,10.05,10.22,10.02,10.02,1500,10.02
2016-05-11,9.97,10.01,9.95,10.01,6600,10.01
2016-05-10,9.90,9.95,9.86,9.95,10900,9.915
2016-05-09,9.77,9.90,9.77,9.90,5100,9.865176
2016-05-06,9.71,9.80,9.71,9.71,3600,9.675844
2016-05-05,9.70,9.78,9.61,9.70,15400,9.665879
2016-05-04,9.63,9.63,9.59,9.59,16900,9.556267
2016-05-03,9.63,9.63,9.56,9.60,7800,9.566232
2016-05-02,9.60,9.60,9.55,9.55,900,9.516407
2016-04-29,9.58,9.62,9.57,9.58,9600,9.546302
2016-04-28,9.55,9.59,9.50,9.56,8500,9.526372
2016-04-27,9.46,9.59,9.46,9.55,4100,9.516407
2016-04-26,9.54,9.59,9.52,9.55,18700,9.516407
2016-04-25,9.56,9.56,9.37,9.37,7500,9.33704
2016-04-22,9.48,9.48,9.48,9.48,300,9.446653
2016-04-21,9.55,9.55,9.40,9.46,2100,9.426724
2016-04-20,9.56,9.56,9.46,9.46,4200,9.426724
2016-04-19,9.53,9.55,9.53,9.54,3900,9.506442
2016-04-18,9.69,9.69,9.52,9.52,2400,9.486513
2016-04-15,9.69,9.69,9.50,9.50,2100,9.466583
2016-04-14,9.52,9.55,9.46,9.50,9500,9.466583
2016-04-13,9.69,9.69,9.53,9.53,300,9.496477
2016-04-12,9.64,9.70,9.57,9.57,4600,9.536337
2016-04-11,9.68,9.68,9.64,9.64,3000,9.606091
2016-04-08,9.64,9.64,9.64,9.64,200,9.606091
2016-04-07,9.55,9.68,9.50,9.64,12700,9.606091
2016-04-06,9.70,9.70,9.51,9.51,2100,9.476548
2016-04-05,9.59,9.60,9.50,9.50,3300,9.466583
2016-04-04,9.51,9.60,9.50,9.50,4000,9.466583
2016-04-01,9.50,9.55,9.50,9.50,4900,9.466583
2016-03-31,9.50,9.57,9.50,9.50,10000,9.466583
2016-03-30,9.40,9.50,9.36,9.50,5700,9.466583
2016-03-29,9.50,9.55,9.35,9.35,2900,9.317111
2016-03-28,9.35,9.67,9.35,9.37,2400,9.33704
2016-03-24,9.40,9.47,9.33,9.34,900,9.307146
2016-03-23,9.57,9.60,9.49,9.52,900,9.486513
2016-03-22,9.70,9.74,9.20,9.40,13000,9.366934
2016-03-21,9.74,9.74,9.38,9.74,25700,9.705739
2016-03-18,9.60,9.74,9.10,9.70,45000,9.665879
2016-03-17,9.06,9.73,9.01,9.50,33600,9.466583
2016-03-16,9.15,9.70,9.02,9.64,17700,9.606091
2016-03-15,9.12,9.45,9.00,9.15,11000,9.117814
2016-03-14,9.11,9.31,9.10,9.12,12000,9.08792
2016-03-11,9.20,9.36,9.10,9.12,13600,9.08792
2016-03-10,9.24,9.49,9.10,9.15,53600,9.117814
2016-03-09,8.94,9.12,8.91,8.99,14300,8.958377
2016-03-08,8.80,9.25,8.80,9.00,9100,8.968342
2016-03-07,8.99,9.18,8.75,9.02,9400,8.988272
2016-03-04,9.00,9.37,9.00,9.10,4400,9.067991
2016-03-03,9.13,9.32,9.02,9.02,800,8.988272
2016-03-02,9.15,9.16,9.00,9.01,6400,8.978307
2016-03-01,9.29,9.29,8.99,9.22,4200,9.187568
2016-02-29,9.10,9.49,9.10,9.10,4100,9.067991
2016-02-26,9.20,9.20,9.20,9.20,000,9.167638
2016-02-25,9.07,9.20,9.00,9.20,1600,9.167638
2016-02-24,9.15,9.15,9.00,9.07,4500,9.038095
2016-02-23,9.07,9.07,9.00,9.00,1600,8.968342
2016-02-22,9.10,9.10,9.10,9.10,400,9.067991
2016-02-19,8.99,8.99,8.99,8.99,100,8.958377
2016-02-18,9.36,9.36,8.99,9.17,4700,9.137744
2016-02-17,9.03,9.03,9.03,9.03,000,8.998236
2016-02-16,9.03,9.03,9.03,9.03,200,8.998236
2016-02-12,9.23,9.23,9.23,9.23,000,9.197532
2016-02-11,9.23,9.24,9.00,9.23,4800,9.197532
2016-02-10,9.25,9.29,9.21,9.25,7600,9.217462
2016-02-09,9.24,9.30,9.24,9.27,3000,9.237393
2016-02-08,9.29,9.29,9.29,9.29,300,9.257322
2016-02-05,9.49,9.49,9.49,9.49,700,9.421741
2016-02-04,9.49,9.49,9.49,9.49,000,9.421741
2016-02-03,9.45,9.49,9.35,9.49,8600,9.421741
2016-02-02,9.47,9.68,9.47,9.47,3800,9.401885
2016-02-01,9.70,9.70,9.70,9.70,700,9.63023
2016-01-29,9.70,9.73,9.36,9.47,2900,9.401885
2016-01-28,9.70,9.70,9.70,9.70,200,9.63023
2016-01-27,9.33,9.37,9.30,9.30,6400,9.233108
2016-01-26,9.34,9.34,9.34,9.34,000,9.27282
2016-01-25,9.03,9.34,9.03,9.34,300,9.27282
2016-01-22,9.14,9.14,9.14,9.14,000,9.074259
2016-01-21,9.35,9.35,9.14,9.14,200,9.074259
2016-01-20,9.29,9.37,9.15,9.35,7200,9.282748
2016-01-19,9.46,9.46,9.46,9.46,500,9.391957
2016-01-15,9.52,9.67,9.02,9.66,2000,9.590518
2016-01-14,9.50,9.73,9.50,9.70,400,9.63023
2016-01-13,9.70,9.75,9.41,9.46,17000,9.391957
2016-01-12,9.60,9.80,9.60,9.80,9600,9.729511
2016-01-11,9.80,9.80,9.61,9.61,1500,9.540878
2016-01-08,9.83,9.83,9.78,9.78,1700,9.709655
2016-01-07,9.66,9.66,9.65,9.65,800,9.58059
2016-01-06,9.83,9.83,9.83,9.83,800,9.759295
2016-01-05,9.60,9.87,9.57,9.70,6600,9.63023
2016-01-04,9.73,9.74,9.52,9.52,1300,9.451526
2015-12-31,9.75,9.95,9.75,9.95,800,9.878432
2015-12-30,9.84,9.84,9.84,9.84,000,9.769224
2015-12-29,9.84,9.84,9.84,9.84,1200,9.769224
2015-12-28,9.93,9.94,9.88,9.94,1200,9.868504
2015-12-24,9.97,9.97,9.97,9.97,000,9.898289
2015-12-23,9.75,9.97,9.55,9.97,19600,9.898289
2015-12-22,9.98,9.98,9.98,9.98,500,9.908216
2015-12-21,9.98,9.98,9.98,9.98,400,9.908216
2015-12-18,9.60,9.92,9.54,9.92,5400,9.848648
2015-12-17,9.74,9.75,9.61,9.61,2800,9.540878
2015-12-16,9.76,9.77,9.51,9.51,11700,9.441597
2015-12-15,9.92,9.95,9.53,9.66,6100,9.590518
2015-12-14,9.76,9.76,9.76,9.76,000,9.689799
2015-12-11,9.76,9.76,9.76,9.76,000,9.689799
