Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,23.58,23.809999,23.41,23.43,101800,23.43
2016-06-09,23.68,23.92,23.530001,23.74,100500,23.74
2016-06-08,23.620001,23.940001,23.50,23.879999,94700,23.879999
2016-06-07,23.99,24.120001,23.610001,23.67,82500,23.67
2016-06-06,23.76,24.23,23.58,24.059999,175400,24.059999
2016-06-03,24.40,24.40,23.690001,23.76,322500,23.76
2016-06-02,24.08,24.42,24.00,24.379999,81700,24.379999
2016-06-01,23.76,24.309999,23.76,24.190001,80700,24.190001
2016-05-31,23.59,24.10,23.43,23.879999,151600,23.879999
2016-05-27,23.629999,23.83,23.42,23.60,202000,23.60
2016-05-26,23.629999,23.790001,23.549999,23.559999,284900,23.559999
2016-05-25,23.85,24.34,23.110001,23.77,457400,23.77
2016-05-24,22.870001,23.73,22.870001,23.51,143800,23.51
2016-05-23,22.889999,23.23,22.790001,22.83,91200,22.83
2016-05-20,22.75,22.889999,22.559999,22.85,257400,22.85
2016-05-19,22.67,23.16,22.52,22.60,74000,22.60
2016-05-18,22.77,22.93,22.40,22.84,104100,22.84
2016-05-17,23.459999,23.65,22.700001,22.91,205800,22.91
2016-05-16,22.93,23.620001,22.93,23.450001,126500,23.450001
2016-05-13,22.879999,23.10,22.809999,22.959999,90700,22.959999
2016-05-12,22.82,23.049999,22.610001,22.83,77000,22.83
2016-05-11,23.09,23.190001,22.719999,22.73,54200,22.73
2016-05-10,22.60,23.24,22.530001,23.15,164200,23.15
2016-05-09,22.440001,22.77,22.15,22.57,105400,22.57
2016-05-06,22.16,22.559999,22.049999,22.559999,153400,22.559999
2016-05-05,22.120001,22.559999,22.040001,22.35,201700,22.35
2016-05-04,21.91,22.389999,21.889999,22.10,123500,22.10
2016-05-03,22.049999,22.780001,21.85,22.10,109900,22.10
2016-05-02,22.25,22.639999,21.879999,22.25,161400,22.25
2016-04-29,23.219999,24.219999,21.309999,22.030001,496600,22.030001
2016-04-28,23.26,23.68,23.030001,23.219999,90100,23.219999
2016-04-27,23.17,23.84,23.040001,23.40,60400,23.40
2016-04-26,23.26,23.32,22.99,23.25,113800,23.25
2016-04-25,22.799999,23.379999,22.629999,23.24,164500,23.24
2016-04-22,22.66,22.92,22.540001,22.860001,167800,22.860001
2016-04-21,22.780001,23.209999,22.639999,22.75,99700,22.75
2016-04-20,23.08,23.08,22.799999,22.870001,59900,22.870001
2016-04-19,23.17,23.190001,22.84,22.98,100900,22.98
2016-04-18,22.809999,23.139999,22.809999,23.030001,164000,23.030001
2016-04-15,23.18,23.52,22.780001,23.059999,97500,23.059999
2016-04-14,23.07,23.41,23.059999,23.299999,63900,23.299999
2016-04-13,22.559999,23.190001,22.450001,23.15,104400,23.15
2016-04-12,22.42,22.91,22.209999,22.49,64800,22.49
2016-04-11,22.33,22.940001,22.299999,22.42,102300,22.42
2016-04-08,22.73,22.879999,22.290001,22.41,43700,22.41
2016-04-07,23.049999,23.049999,22.49,22.639999,99900,22.639999
2016-04-06,21.780001,23.219999,21.780001,23.15,46200,23.15
2016-04-05,23.639999,23.700001,22.92,22.93,108500,22.93
2016-04-04,23.629999,24.040001,22.92,23.879999,168000,23.879999
2016-04-01,23.66,23.85,23.10,23.66,79600,23.66
2016-03-31,22.68,24.09,22.68,23.92,124000,23.92
2016-03-30,23.41,23.58,22.98,23.290001,80100,23.290001
2016-03-29,22.690001,23.530001,22.379999,23.52,118700,23.41
2016-03-28,23.10,23.10,22.74,22.950001,69000,22.842666
2016-03-24,22.700001,23.10,22.110001,22.98,93800,22.872525
2016-03-23,23.50,23.50,22.780001,22.790001,131500,22.683415
2016-03-22,23.50,23.77,23.360001,23.620001,91900,23.509533
2016-03-21,23.75,23.969999,23.450001,23.67,141500,23.559298
2016-03-18,23.540001,24.02,23.27,23.889999,184500,23.778269
2016-03-17,22.51,23.52,22.360001,23.379999,132000,23.270654
2016-03-16,22.67,23.02,22.58,22.66,94100,22.554022
2016-03-15,22.60,22.83,22.190001,22.700001,181800,22.593836
2016-03-14,22.98,23.00,22.700001,22.85,184900,22.743134
2016-03-11,22.98,23.24,22.799999,23.01,224800,22.902385
2016-03-10,23.75,23.75,22.709999,22.83,145100,22.723227
2016-03-09,24.059999,24.059999,23.370001,23.60,135400,23.489626
2016-03-08,24.610001,24.610001,23.969999,24.02,108100,23.907662
2016-03-07,24.27,24.82,23.969999,24.690001,101400,24.574528
2016-03-04,24.629999,24.799999,24.35,24.50,95700,24.385416
2016-03-03,24.50,24.67,24.32,24.629999,134800,24.514808
2016-03-02,24.139999,24.440001,24.02,24.42,130200,24.305791
2016-03-01,23.950001,24.23,23.50,24.190001,189700,24.076867
2016-02-29,23.52,24.200001,23.17,23.74,189100,23.628971
2016-02-26,24.030001,24.030001,23.379999,23.639999,145100,23.529438
2016-02-25,23.98,24.07,23.610001,23.969999,145700,23.857895
2016-02-24,23.85,24.66,23.540001,23.860001,200300,23.74841
2016-02-23,24.24,24.60,24.00,24.129999,141600,24.017146
2016-02-22,23.67,24.709999,23.67,24.309999,246500,24.196305
2016-02-19,22.98,23.440001,22.889999,23.42,284700,23.310468
2016-02-18,23.049999,23.42,22.950001,23.01,159400,22.902385
2016-02-17,23.030001,23.27,22.58,23.08,223700,22.972058
2016-02-16,21.92,22.969999,21.440001,22.860001,443300,22.753087
2016-02-12,22.639999,22.639999,20.620001,21.870001,412700,21.767718
2016-02-11,24.209999,24.639999,22.10,22.690001,337300,22.583882
2016-02-10,23.129999,23.629999,22.98,23.18,157000,23.07159
2016-02-09,23.040001,23.49,22.82,22.98,138800,22.872525
2016-02-08,23.030001,23.459999,22.639999,23.280001,173300,23.171123
2016-02-05,24.33,24.33,23.209999,23.209999,167300,23.101449
2016-02-04,24.629999,24.83,24.309999,24.43,140400,24.315744
2016-02-03,24.74,24.92,24.32,24.66,113700,24.544668
2016-02-02,24.99,24.99,24.41,24.50,215200,24.385416
2016-02-01,24.84,24.969999,24.50,24.690001,289700,24.574528
2016-01-29,24.690001,24.99,24.25,24.940001,434500,24.823359
2016-01-28,24.01,24.92,23.98,24.67,391300,24.554621
2016-01-27,23.23,23.93,22.93,23.809999,358200,23.698643
2016-01-26,22.780001,23.360001,22.620001,23.34,164300,23.230842
2016-01-25,22.52,22.799999,22.40,22.719999,129700,22.613741
2016-01-22,22.52,22.83,22.35,22.57,145700,22.464443
2016-01-21,22.299999,22.66,22.00,22.299999,189800,22.195705
2016-01-20,21.879999,22.66,21.51,22.360001,155700,22.255426
2016-01-19,22.43,22.469999,21.790001,22.190001,190200,22.086221
2016-01-15,22.25,22.40,21.709999,22.309999,201000,22.205658
2016-01-14,22.030001,23.10,21.66,22.780001,165600,22.673461
2016-01-13,22.35,22.48,21.620001,21.969999,207100,21.867248
2016-01-12,22.450001,22.469999,21.879999,22.25,135600,22.145939
2016-01-11,22.290001,22.49,22.08,22.299999,112200,22.195705
2016-01-08,22.17,22.42,22.049999,22.15,156100,22.046407
2016-01-07,22.23,22.469999,21.98,22.15,123600,22.046407
2016-01-06,22.309999,22.629999,22.24,22.50,172800,22.39477
2016-01-05,23.049999,23.049999,22.440001,22.59,102200,22.484349
2016-01-04,23.290001,23.540001,22.48,22.91,298200,22.802853
2015-12-31,24.200001,24.209999,23.629999,23.639999,248100,23.529438
2015-12-30,24.60,24.85,24.17,24.17,138000,24.05696
2015-12-29,24.34,24.799999,24.26,24.68,141500,24.465043
2015-12-28,24.32,24.379999,23.860001,24.23,117700,24.018961
2015-12-24,23.879999,24.610001,23.84,24.360001,133900,24.14783
2015-12-23,23.57,23.90,23.50,23.709999,80900,23.50349
2015-12-22,23.700001,23.75,23.370001,23.59,260100,23.384536
2015-12-21,24.030001,24.18,23.48,23.700001,129900,23.493579
2015-12-18,24.23,24.299999,23.84,23.85,416100,23.642272
2015-12-17,24.870001,25.120001,24.40,24.440001,128300,24.227133
2015-12-16,24.950001,25.26,24.57,24.860001,133800,24.643475
2015-12-15,24.82,25.190001,24.68,24.950001,194700,24.732692
2015-12-14,25.25,25.60,24.620001,24.73,244900,24.514606
2015-12-11,25.00,25.559999,25.00,25.290001,202900,25.06973
2015-12-10,25.18,25.92,25.110001,25.35,134500,25.129207
2015-12-09,25.290001,25.60,25.040001,25.16,152700,24.940862
2015-12-08,25.209999,25.51,24.85,25.41,224700,25.188684
2015-12-07,25.75,25.75,25.35,25.370001,139000,25.149034
2015-12-04,25.59,26.049999,25.59,25.889999,293800,25.664503
2015-12-03,26.00,26.120001,25.60,25.620001,150700,25.396856
2015-12-02,26.18,26.41,25.85,25.98,135500,25.753719
2015-12-01,26.48,26.48,26.129999,26.190001,132700,25.961891
2015-11-30,26.389999,27.18,26.209999,26.43,217800,26.199801
2015-11-27,25.93,26.469999,25.93,26.41,70200,26.179974
2015-11-25,25.82,26.049999,25.67,25.90,65800,25.674416
2015-11-24,25.610001,25.98,25.370001,25.82,77400,25.595113
2015-11-23,25.84,26.16,25.65,25.790001,110800,25.565375
2015-11-20,25.959999,26.48,25.42,25.98,142900,25.753719
2015-11-19,26.02,26.139999,25.690001,25.790001,79700,25.565375
2015-11-18,25.60,26.049999,25.450001,26.00,148500,25.773546
2015-11-17,25.719999,26.08,25.51,25.639999,140000,25.41668
2015-11-16,25.780001,26.15,25.23,25.709999,186800,25.48607
2015-11-13,26.110001,26.25,25.700001,25.91,94200,25.684329
2015-11-12,26.379999,26.52,26.190001,26.33,96500,26.100671
2015-11-11,26.91,27.09,26.280001,26.629999,74300,26.398058
2015-11-10,26.76,27.059999,26.59,26.91,132900,26.675619
2015-11-09,27.07,27.120001,26.68,26.90,136100,26.665706
2015-11-06,26.83,27.23,26.68,27.059999,265600,26.824313
2015-11-05,27.42,27.540001,26.940001,26.969999,133900,26.735096
2015-11-04,26.83,27.530001,26.83,27.35,212400,27.111788
2015-11-03,27.24,27.450001,26.870001,26.91,219400,26.675619
2015-11-02,27.15,27.27,26.469999,27.129999,311800,26.893703
2015-10-30,23.110001,27.76,23.110001,27.34,623700,27.101875
2015-10-29,22.99,23.17,22.040001,23.00,284400,22.799675
2015-10-28,22.25,22.91,22.139999,22.91,150400,22.710459
2015-10-27,22.35,22.40,21.93,22.139999,105400,21.947165
2015-10-26,22.82,22.93,22.209999,22.440001,97500,22.244553
2015-10-23,22.639999,22.85,22.290001,22.809999,280700,22.611329
2015-10-22,22.09,22.74,22.09,22.41,124800,22.214813
2015-10-21,22.42,22.469999,22.00,22.01,111300,21.818298
2015-10-20,22.40,22.65,22.219999,22.35,126300,22.155337
2015-10-19,22.48,22.68,22.190001,22.41,76200,22.214813
2015-10-16,22.77,22.77,22.23,22.59,74300,22.393246
2015-10-15,22.309999,22.719999,22.18,22.690001,79300,22.492375
2015-10-14,22.639999,22.879999,22.26,22.26,129200,22.06612
2015-10-13,22.90,23.23,21.99,22.74,120800,22.541939
2015-10-12,22.93,22.959999,22.57,22.940001,135300,22.740198
2015-10-09,22.620001,22.950001,22.58,22.879999,145600,22.680719
2015-10-08,22.42,22.66,22.26,22.559999,151600,22.363507
2015-10-07,22.02,22.57,21.90,22.450001,146900,22.254466
2015-10-06,22.040001,22.280001,21.77,22.00,119400,21.808385
2015-10-05,21.690001,22.129999,21.60,22.10,126800,21.907514
2015-10-02,21.280001,21.58,21.08,21.57,123800,21.38213
2015-10-01,21.76,21.90,21.360001,21.530001,179000,21.342479
2015-09-30,21.75,21.91,21.42,21.82,159000,21.629952
2015-09-29,21.299999,21.67,21.110001,21.540001,211800,21.352392
2015-09-28,21.85,21.90,21.299999,21.370001,275500,21.084744
2015-09-25,22.379999,22.379999,21.889999,21.98,232000,21.6866
2015-09-24,21.82,22.35,21.73,22.24,211400,21.94313
2015-09-23,21.780001,22.08,21.719999,22.01,157500,21.716201
2015-09-22,21.40,21.860001,21.35,21.77,109000,21.479404
2015-09-21,21.58,21.950001,21.42,21.620001,114700,21.331407
2015-09-18,21.309999,21.82,21.290001,21.459999,208200,21.173541
2015-09-17,21.73,21.940001,21.57,21.629999,90100,21.341272
2015-09-16,21.83,21.98,21.67,21.799999,65400,21.509003
2015-09-15,21.299999,21.98,21.299999,21.85,77300,21.558337
2015-09-14,22.08,22.08,21.23,21.34,137700,21.055144
2015-09-11,21.90,22.26,21.74,22.110001,64200,21.814866
2015-09-10,21.91,22.219999,21.91,22.02,58500,21.726067
2015-09-09,22.110001,22.33,21.93,22.00,132200,21.706334
2015-09-08,21.629999,22.18,21.469999,21.98,155500,21.6866
2015-09-04,21.07,21.65,21.07,21.549999,197200,21.26234
2015-09-03,21.379999,21.67,21.26,21.35,208200,21.065011
2015-09-02,21.200001,21.50,20.959999,21.360001,246100,21.074877
2015-09-01,20.99,21.190001,20.879999,21.030001,317900,20.749283
2015-08-31,21.00,21.379999,20.969999,21.18,401300,20.89728
2015-08-28,21.290001,21.51,20.99,21.16,248500,20.877546
2015-08-27,21.290001,21.43,20.940001,21.35,296700,21.065011
2015-08-26,21.450001,21.709999,20.84,21.040001,434900,20.759149
2015-08-25,22.190001,22.190001,20.91,20.99,240600,20.709816
2015-08-24,21.84,21.99,21.40,21.559999,408300,21.272207
2015-08-21,22.52,23.030001,22.50,22.780001,353000,22.475923
2015-08-20,22.91,23.24,22.82,22.959999,290100,22.653518
2015-08-19,23.110001,23.549999,23.00,23.15,128400,22.840983
2015-08-18,23.09,23.450001,22.99,23.25,82500,22.939648
2015-08-17,23.27,23.27,22.809999,23.09,277300,22.781784
2015-08-14,23.60,23.75,23.33,23.370001,118800,23.058047
2015-08-13,23.91,23.99,23.610001,23.73,83900,23.413241
2015-08-12,23.809999,24.030001,23.719999,23.969999,83500,23.650037
2015-08-11,23.889999,24.23,23.67,23.969999,61900,23.650037
2015-08-10,24.10,24.18,23.870001,24.08,147600,23.758569
2015-08-07,24.120001,24.360001,23.870001,24.02,108200,23.69937
2015-08-06,24.59,24.639999,24.219999,24.27,111400,23.946033
2015-08-05,24.65,25.139999,24.49,24.49,246000,24.163096
2015-08-04,24.25,24.870001,24.25,24.68,111200,24.35056
2015-08-03,24.879999,24.879999,24.200001,24.41,129400,24.084164
2015-07-31,24.65,25.01,24.60,24.93,144700,24.597223
2015-07-30,25.32,25.940001,23.82,24.58,179500,24.251895
2015-07-29,23.82,25.76,23.82,25.49,507800,25.149748
2015-07-28,23.780001,23.780001,23.17,23.66,148700,23.344175
2015-07-27,23.26,23.76,23.10,23.620001,99700,23.30471
2015-07-24,23.57,23.84,23.219999,23.459999,167500,23.146844
2015-07-23,23.90,24.09,23.450001,23.66,108900,23.344175
2015-07-22,23.700001,24.16,23.700001,23.82,89200,23.502039
2015-07-21,24.049999,24.200001,23.68,23.90,84100,23.580971
2015-07-20,24.24,24.32,23.940001,24.02,82600,23.69937
2015-07-17,24.52,24.60,24.17,24.32,84500,23.995365
2015-07-16,24.139999,24.75,23.92,24.41,82900,24.084164
2015-07-15,24.67,24.67,24.120001,24.129999,134300,23.807901
2015-07-14,24.209999,24.73,24.09,24.709999,80600,24.380159
2015-07-13,24.25,24.50,24.25,24.33,105300,24.005232
2015-07-10,24.049999,24.940001,23.66,24.23,121300,23.906566
2015-07-09,23.780001,23.93,22.469999,23.719999,115000,23.403374
2015-07-08,23.809999,24.200001,23.379999,23.540001,150700,23.225778
2015-07-07,23.879999,24.059999,23.57,23.98,112300,23.659903
2015-07-06,23.719999,24.139999,23.67,23.879999,91900,23.561238
2015-07-02,24.059999,24.059999,23.59,23.889999,97700,23.571105
2015-07-01,24.24,24.309999,23.93,24.00,148500,23.679637
2015-06-30,24.040001,24.58,23.83,24.110001,185400,23.788169
2015-06-29,24.18,25.59,23.68,23.83,305100,23.511906
2015-06-26,25.10,25.10,24.43,24.52,476900,24.09403
2015-06-25,25.370001,25.50,24.92,24.98,228300,24.546038
2015-06-24,25.41,25.459999,25.110001,25.299999,459500,24.860478
2015-06-23,25.379999,25.709999,25.309999,25.49,148100,25.047178
2015-06-22,25.00,25.35,24.83,25.33,90500,24.889958
2015-06-19,25.00,25.01,24.719999,24.85,290300,24.418297
2015-06-18,24.889999,25.00,24.549999,25.00,218000,24.565691
2015-06-17,24.870001,24.950001,24.700001,24.76,113400,24.32986
2015-06-16,24.91,25.040001,24.76,24.860001,165500,24.428123
2015-06-15,24.780001,25.08,24.629999,24.98,116400,24.546038
2015-06-12,24.870001,25.049999,24.68,24.98,196400,24.546038
2015-06-11,24.26,25.00,24.23,24.93,330800,24.496907
2015-06-10,24.030001,24.540001,24.030001,24.219999,308500,23.799241
2015-06-09,24.92,24.92,23.809999,23.870001,364300,23.455322
2015-06-08,25.50,25.91,25.01,25.049999,142800,24.614821
2015-06-05,25.67,25.809999,25.389999,25.690001,112300,25.243704
2015-06-04,25.77,26.01,25.629999,25.74,107700,25.292835
2015-06-03,25.48,25.969999,25.309999,25.959999,148300,25.509012
2015-06-02,25.700001,25.879999,25.290001,25.40,198100,24.958741
2015-06-01,25.879999,25.93,25.290001,25.690001,230600,25.243704
2015-05-29,26.25,26.32,25.879999,25.940001,138500,25.489361
2015-05-28,25.91,26.360001,25.889999,26.32,130100,25.862759
2015-05-27,25.780001,26.139999,25.50,25.93,208200,25.479535
2015-05-26,26.10,26.23,25.719999,25.74,274400,25.292835
2015-05-22,26.540001,26.719999,26.309999,26.35,71300,25.892238
2015-05-21,26.68,26.83,26.35,26.610001,143800,26.147722
2015-05-20,26.82,26.82,26.57,26.67,88000,26.206679
2015-05-19,26.90,27.049999,26.66,26.719999,131700,26.25581
2015-05-18,27.139999,27.23,26.83,26.90,215200,26.432683
2015-05-15,27.10,29.07,26.83,27.280001,173800,26.806082
2015-05-14,26.709999,27.10,26.610001,27.08,165300,26.609556
2015-05-13,26.450001,27.440001,26.299999,26.67,214700,26.206679
2015-05-12,26.58,26.58,25.969999,26.32,165600,25.862759
2015-05-11,26.549999,27.08,26.549999,26.690001,151400,26.226332
2015-05-08,26.90,27.01,26.540001,26.67,171800,26.206679
2015-05-07,26.790001,27.18,26.559999,26.68,166300,26.216505
2015-05-06,26.98,27.07,26.719999,26.99,185200,26.52112
2015-05-05,27.120001,27.389999,26.700001,27.01,253900,26.540773
2015-05-04,25.77,27.58,25.719999,27.120001,424400,26.648862
2015-05-01,32.139999,32.139999,27.51,27.65,519400,27.169654
2015-04-30,33.060001,33.32,32.299999,32.41,149300,31.846961
2015-04-29,33.66,33.799999,33.200001,33.310001,88900,32.731328
2015-04-28,33.459999,33.970001,33.23,33.740002,105200,33.153858
2015-04-27,33.779999,34.060001,33.240002,33.32,129900,32.741152
2015-04-24,33.82,34.259998,33.34,33.650002,63500,33.065421
2015-04-23,33.16,34.419998,32.950001,33.700001,231800,33.114552
2015-04-22,33.540001,33.759998,33.09,33.169998,104900,32.593757
2015-04-21,33.07,33.549999,32.830002,33.220001,64600,32.642891
2015-04-20,32.580002,33.509998,32.349998,33.07,164200,32.495495
2015-04-17,32.709999,32.709999,32.02,32.360001,163700,31.797831
2015-04-16,32.880001,33.34,32.880001,32.959999,72600,32.387406
2015-04-15,32.669998,33.16,32.650002,33.02,74500,32.446365
2015-04-14,32.459999,32.959999,32.310001,32.669998,98800,32.102443
2015-04-13,32.990002,33.43,32.310001,32.540001,124000,31.974704
2015-04-10,32.970001,33.130001,32.560001,32.91,48800,32.338275
2015-04-09,32.880001,33.25,32.259998,32.759998,53700,32.19088
2015-04-08,32.630001,33.169998,32.560001,33.00,83100,32.426712
2015-04-07,32.759998,32.900002,32.52,32.580002,59600,32.01401
2015-04-06,32.259998,32.849998,32.169998,32.759998,77400,32.19088
2015-04-02,31.82,32.43,31.700001,32.369999,60200,31.807655
2015-04-01,32.529999,32.790001,31.57,31.74,137700,31.188601
2015-03-31,32.549999,32.790001,32.259998,32.639999,83900,32.072965
2015-03-30,32.709999,33.09,32.509998,32.779999,76800,32.210533
2015-03-27,32.41,32.68,32.169998,32.599998,68900,31.935398
2015-03-26,32.369999,32.650002,32.18,32.48,93500,31.817845
2015-03-25,32.93,32.990002,32.419998,32.490002,129200,31.827644
2015-03-24,32.98,33.189999,32.849998,32.900002,79500,32.229285
2015-03-23,33.189999,33.290001,33.00,33.040001,115800,32.36643
2015-03-20,33.240002,33.48,32.919998,33.240002,214000,32.562354
2015-03-19,32.790001,33.220001,32.790001,32.990002,118500,32.31745
2015-03-18,32.810001,33.18,32.290001,33.00,147400,32.327245
2015-03-17,33.110001,33.23,32.720001,33.009998,157800,32.337039
2015-03-16,33.00,33.389999,32.849998,33.099998,172300,32.425205
2015-03-13,32.889999,33.209999,32.490002,33.130001,154500,32.454596
2015-03-12,32.209999,32.98,31.959999,32.959999,146700,32.28806
2015-03-11,32.029999,32.299999,30.91,32.080002,330100,31.426002
2015-03-10,32.18,32.529999,31.440001,32.080002,69300,31.426002
2015-03-09,32.669998,32.880001,32.040001,32.509998,142000,31.847233
2015-03-06,32.599998,33.279999,32.599998,32.759998,165000,32.092136
2015-03-05,32.34,33.00,32.099998,32.919998,105900,32.248874
2015-03-04,32.02,32.50,31.85,32.25,137800,31.592535
2015-03-03,32.360001,32.630001,32.299999,32.369999,85500,31.710087
2015-03-02,32.009998,32.380001,31.790001,32.349998,80900,31.690495
2015-02-27,31.98,32.41,31.969999,32.009998,140500,31.357426
2015-02-26,32.23,32.380001,31.90,32.07,102400,31.416204
2015-02-25,32.02,32.490002,31.90,32.310001,90400,31.651313
2015-02-24,32.27,32.43,32.029999,32.169998,117300,31.514164
2015-02-23,32.560001,32.830002,32.130001,32.349998,217500,31.690495
2015-02-20,31.969999,32.82,31.709999,32.82,185100,32.150914
2015-02-19,32.130001,32.439999,31.84,31.91,118400,31.259466
2015-02-18,31.25,32.240002,31.25,32.18,239600,31.523962
2015-02-17,32.02,32.50,31.780001,32.130001,144300,31.474982
2015-02-13,32.150002,33.009998,31.540001,32.189999,205600,31.533757
2015-02-12,31.00,32.299999,29.719999,32.18,468400,31.523962
2015-02-11,30.90,31.07,30.50,30.950001,161300,30.319038
2015-02-10,30.58,31.25,30.450001,30.860001,217300,30.230873
2015-02-09,30.530001,30.940001,30.50,30.52,335100,29.897804
2015-02-06,30.58,30.889999,30.200001,30.68,115500,30.054542
2015-02-05,30.59,30.84,30.16,30.51,127800,29.888008
2015-02-04,30.719999,30.99,30.370001,30.42,134700,29.799842
2015-02-03,30.50,30.959999,30.469999,30.92,158200,30.289649
2015-02-02,29.49,30.67,29.27,30.610001,269900,29.985969
2015-01-30,29.280001,29.700001,29.00,29.34,211300,28.74186
2015-01-29,29.030001,29.59,28.75,29.540001,132300,28.937783
2015-01-28,29.15,29.23,28.780001,29.00,117900,28.408791
2015-01-27,28.93,29.18,28.60,29.00,78800,28.408791
2015-01-26,29.129999,29.40,28.889999,29.17,109300,28.575325
2015-01-23,29.17,29.35,28.889999,29.110001,131000,28.516549
2015-01-22,28.049999,29.40,27.73,29.09,200700,28.496956
2015-01-21,27.870001,28.110001,27.59,27.83,97700,27.262643
2015-01-20,28.16,28.209999,27.52,27.98,89800,27.409585
2015-01-16,27.40,28.120001,27.40,28.08,95800,27.507547
2015-01-15,28.059999,28.290001,27.48,27.52,102500,26.958963
2015-01-14,27.940001,28.16,27.440001,27.950001,118500,27.380198
2015-01-13,27.67,29.34,27.629999,28.27,206600,27.693674
2015-01-12,27.67,27.68,27.030001,27.66,125700,27.096109
2015-01-09,27.91,28.030001,27.68,27.73,81900,27.164681
2015-01-08,28.030001,28.459999,27.85,27.959999,101600,27.389992
2015-01-07,28.18,28.48,27.450001,27.799999,101400,27.233254
2015-01-06,28.530001,28.66,27.870001,28.00,157300,27.429178
2015-01-05,28.60,28.780001,28.17,28.469999,143900,27.889595
2015-01-02,28.959999,29.059999,28.24,28.50,193200,27.918984
2014-12-31,28.700001,29.139999,28.700001,28.83,127300,28.242257
2014-12-30,28.540001,28.889999,28.42,28.700001,99400,28.114908
2014-12-29,28.440001,28.780001,28.40,28.67,114400,28.007148
2014-12-26,28.200001,28.66,28.17,28.440001,168600,27.782466
2014-12-24,27.99,28.25,27.799999,28.15,141300,27.49917
2014-12-23,27.92,28.10,27.809999,27.91,146800,27.264719
2014-12-22,27.790001,28.23,27.66,27.870001,92000,27.225645
2014-12-19,27.90,28.209999,27.700001,27.790001,509700,27.147495
2014-12-18,27.940001,28.290001,27.379999,27.959999,201600,27.313563
2014-12-17,27.059999,27.73,26.65,27.719999,146100,27.079112
2014-12-16,26.82,27.48,26.639999,27.059999,117700,26.434371
2014-12-15,27.440001,27.77,26.799999,26.92,242000,26.297608
2014-12-12,27.290001,27.65,27.120001,27.370001,123600,26.737205
2014-12-11,27.91,28.299999,27.48,27.610001,119600,26.971656
2014-12-10,28.07,28.32,27.719999,27.84,151200,27.196338
2014-12-09,27.52,28.51,27.280001,28.26,239000,27.606628
2014-12-08,27.959999,28.17,27.57,27.809999,126000,27.167031
2014-12-05,28.030001,28.200001,27.950001,28.139999,234300,27.489401
2014-12-04,27.959999,28.57,27.68,28.059999,572800,27.411251
2014-12-03,27.799999,28.17,27.58,27.91,273600,27.264719
