Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,13.47,13.47,13.22,13.29,92800,13.29
2016-06-09,13.45,13.48,13.28,13.42,83400,13.42
2016-06-08,13.45,13.51,13.38,13.47,81000,13.47
2016-06-07,13.46,13.50,13.38,13.45,163500,13.45
2016-06-06,13.18,13.45,13.18,13.45,191800,13.45
2016-06-03,13.34,13.34,13.02,13.17,91300,13.17
2016-06-02,13.25,13.40,13.16,13.37,64700,13.37
2016-06-01,13.25,13.39,13.16,13.32,103200,13.32
2016-05-31,13.26,13.33,13.20,13.29,131600,13.29
2016-05-27,13.23,13.34,13.23,13.25,261700,13.25
2016-05-26,13.23,13.28,13.12,13.20,94000,13.20
2016-05-25,13.28,13.41,13.15,13.15,117300,13.15
2016-05-24,13.09,13.37,13.05,13.27,142700,13.27
2016-05-23,13.08,13.09,12.98,12.98,94100,12.98
2016-05-20,12.92,13.07,12.92,13.05,88900,13.05
2016-05-19,12.98,12.98,12.71,12.84,64000,12.84
2016-05-18,12.71,13.12,12.71,13.04,85400,13.04
2016-05-17,12.93,13.01,12.71,12.78,153900,12.78
2016-05-16,12.69,13.00,12.62,12.96,98900,12.96
2016-05-13,12.97,13.12,12.63,12.64,121100,12.64
2016-05-12,12.95,13.13,12.86,12.99,99200,12.99
2016-05-11,13.04,13.11,12.88,12.88,79300,12.88
2016-05-10,12.87,13.14,12.72,13.02,66900,13.02
2016-05-09,12.84,12.94,12.77,12.80,65900,12.80
2016-05-06,12.72,12.89,12.64,12.88,98200,12.88
2016-05-05,12.80,12.84,12.52,12.72,97400,12.72
2016-05-04,12.62,12.97,12.62,12.79,47500,12.79
2016-05-03,12.94,12.95,12.77,12.87,96900,12.87
2016-05-02,13.06,13.15,12.95,13.08,66300,13.08
2016-04-29,13.00,13.13,12.86,12.98,120900,12.98
2016-04-28,12.92,13.14,12.92,13.00,85200,13.00
2016-04-27,13.01,13.14,13.00,13.08,98100,13.08
