Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,19.370001,19.530001,19.24,19.379999,489900,19.379999
2016-06-09,19.65,19.73,19.450001,19.65,644800,19.65
2016-06-08,19.67,19.799999,19.620001,19.719999,559600,19.719999
2016-06-07,19.93,19.93,19.67,19.709999,541700,19.709999
2016-06-06,19.66,20.049999,19.58,19.959999,660800,19.959999
2016-06-03,20.00,20.25,19.450001,19.66,821200,19.66
2016-06-02,20.17,20.25,20.049999,20.25,580600,20.25
2016-06-01,19.99,20.25,19.85,20.219999,824300,20.219999
2016-05-31,20.25,20.32,20.059999,20.129999,591900,20.129999
2016-05-27,20.110001,20.24,19.969999,20.24,1443100,20.24
2016-05-26,20.27,20.290001,20.030001,20.08,532500,20.08
2016-05-25,20.00,20.41,19.959999,20.290001,909800,20.290001
2016-05-24,19.83,20.110001,19.74,19.940001,1222700,19.940001
2016-05-23,19.48,19.870001,19.48,19.65,1409700,19.65
2016-05-20,19.549999,19.75,19.48,19.50,1228900,19.50
2016-05-19,19.620001,19.860001,19.309999,19.440001,682400,19.440001
2016-05-18,19.299999,19.879999,19.299999,19.75,2034500,19.75
2016-05-17,19.559999,19.75,19.290001,19.299999,515100,19.299999
2016-05-16,19.530001,19.719999,19.48,19.59,984600,19.59
2016-05-13,19.68,19.82,19.34,19.49,659900,19.49
2016-05-12,19.67,19.84,19.49,19.709999,1174900,19.709999
2016-05-11,19.690001,19.889999,19.559999,19.60,500300,19.60
2016-05-10,19.65,19.92,19.60,19.76,598600,19.76
2016-05-09,19.629999,19.68,19.360001,19.559999,427000,19.559999
2016-05-06,19.42,19.65,19.42,19.59,352300,19.59
2016-05-05,19.719999,19.790001,19.50,19.559999,910000,19.559999
2016-05-04,19.559999,19.809999,19.40,19.700001,2106900,19.700001
2016-05-03,19.42,19.74,19.25,19.610001,2263400,19.610001
2016-05-02,20.24,20.450001,19.950001,20.219999,384000,20.219999
2016-04-29,20.10,20.43,19.969999,20.129999,444000,20.129999
2016-04-28,20.18,20.370001,20.00,20.09,589800,20.09
2016-04-27,19.68,20.60,19.25,20.25,548100,20.25
2016-04-26,20.110001,20.40,19.90,20.23,475300,20.23
2016-04-25,20.139999,20.139999,19.77,20.040001,1055900,20.040001
2016-04-22,19.93,20.18,19.860001,20.139999,607500,20.139999
2016-04-21,19.879999,19.99,19.68,19.889999,569700,19.889999
2016-04-20,19.799999,19.91,19.59,19.879999,209400,19.879999
2016-04-19,19.639999,19.76,19.549999,19.709999,212000,19.709999
2016-04-18,19.25,19.620001,19.200001,19.559999,245200,19.559999
2016-04-15,19.32,19.49,19.299999,19.35,192900,19.35
2016-04-14,19.200001,19.620001,19.110001,19.360001,225300,19.360001
2016-04-13,18.73,19.24,18.73,19.219999,290500,19.219999
2016-04-12,18.26,18.629999,18.26,18.549999,283500,18.549999
2016-04-11,18.030001,18.48,18.030001,18.219999,247700,18.219999
2016-04-08,18.030001,18.24,17.879999,17.959999,242000,17.959999
2016-04-07,18.17,18.18,17.690001,17.83,322100,17.83
2016-04-06,18.23,18.360001,18.110001,18.26,209400,18.26
2016-04-05,18.15,18.469999,18.07,18.23,372900,18.23
2016-04-04,18.42,18.440001,18.23,18.27,230100,18.27
2016-04-01,18.450001,18.48,18.129999,18.450001,257600,18.450001
2016-03-31,18.530001,18.65,18.33,18.469999,251500,18.469999
2016-03-30,18.68,18.93,18.49,18.58,226100,18.58
2016-03-29,18.059999,18.59,17.950001,18.59,362900,18.59
2016-03-28,18.41,18.559999,18.110001,18.16,295500,18.16
2016-03-24,18.23,18.35,18.07,18.34,185900,18.34
2016-03-23,18.67,18.76,18.33,18.33,271800,18.33
2016-03-22,18.459999,18.77,18.309999,18.67,316900,18.67
2016-03-21,18.41,18.540001,18.209999,18.42,206800,18.42
2016-03-18,18.459999,18.68,18.200001,18.41,1303100,18.41
2016-03-17,17.82,18.40,17.629999,18.32,379100,18.32
2016-03-16,18.08,18.27,17.73,17.870001,181300,17.870001
2016-03-15,18.190001,18.27,18.059999,18.120001,224000,18.120001
2016-03-14,18.280001,18.440001,18.16,18.35,340300,18.35
2016-03-11,18.190001,18.34,18.18,18.299999,506300,18.299999
2016-03-10,18.34,18.459999,17.860001,18.139999,486400,18.07
2016-03-09,18.549999,18.67,18.209999,18.27,508800,18.199499
2016-03-08,18.67,18.809999,18.40,18.459999,528200,18.388764
2016-03-07,18.49,18.77,18.43,18.76,425800,18.687608
2016-03-04,18.52,18.690001,18.43,18.60,792100,18.528226
2016-03-03,18.34,18.530001,18.200001,18.52,403500,18.448534
