Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,5.96,5.99,5.89,5.92,78400,5.92
2016-06-09,5.99,6.00,5.92,5.99,70700,5.99
2016-06-08,6.06,6.06,6.00,6.02,61000,6.02
2016-06-07,5.97,6.09,5.95,6.09,206000,6.09
2016-06-06,5.91,6.00,5.90,5.99,43500,5.99
2016-06-03,6.00,6.00,5.89,5.91,50100,5.91
2016-06-02,6.01,6.05,5.96,6.04,43500,6.04
2016-06-01,6.07,6.14,6.03,6.04,64900,6.04
2016-05-31,6.14,6.17,6.05,6.09,76300,6.09
2016-05-27,6.10,6.14,6.09,6.12,45300,6.12
2016-05-26,6.05,6.13,6.01,6.08,29300,6.08
2016-05-25,6.10,6.12,6.06,6.07,96200,6.07
2016-05-24,5.95,6.14,5.95,6.10,87100,6.10
2016-05-23,5.97,6.00,5.94,5.95,45100,5.95
2016-05-20,5.94,6.05,5.94,5.99,68900,5.99
2016-05-19,5.90,5.94,5.88,5.90,50600,5.90
2016-05-18,5.88,5.96,5.88,5.95,28800,5.95
2016-05-17,5.93,5.97,5.86,5.88,98100,5.88
2016-05-16,5.95,6.00,5.90,5.95,58900,5.95
2016-05-13,5.94,6.00,5.90,5.91,64500,5.91
2016-05-12,5.93,6.00,5.90,5.91,33400,5.91
2016-05-11,5.98,5.99,5.90,5.90,28700,5.90
2016-05-10,5.98,6.00,5.94,5.99,39000,5.99
2016-05-09,5.86,5.98,5.86,5.93,41200,5.93
2016-05-06,5.88,5.93,5.84,5.89,90800,5.89
2016-05-05,5.90,5.95,5.87,5.88,60400,5.88
2016-05-04,5.85,6.00,5.83,5.90,91100,5.90
2016-05-03,5.92,6.02,5.89,5.90,62300,5.90
2016-05-02,5.92,6.04,5.91,6.00,57600,6.00
2016-04-29,5.91,5.97,5.89,5.94,81500,5.94
2016-04-28,5.90,5.97,5.90,5.91,64800,5.885
2016-04-27,5.94,5.98,5.86,5.95,121300,5.92483
2016-04-26,5.94,6.03,5.91,5.99,50400,5.964661
