Date,Open,High,Low,Close,Volume,Adj Close
2016-06-10,14.05,14.41,14.05,14.27,3800,14.27
2016-06-09,15.75,15.75,14.72,14.76,4300,14.76
2016-06-08,16.129999,16.129999,15.85,15.87,2100,15.87
2016-06-07,16.110001,16.50,16.110001,16.129999,3700,16.129999
2016-06-06,16.389999,16.389999,16.00,16.389999,2600,16.389999
2016-06-03,16.379999,16.379999,15.95,15.95,800,15.95
2016-06-02,16.15,16.65,15.90,16.030001,17700,16.030001
2016-06-01,16.639999,16.82,16.32,16.32,6300,16.32
2016-05-31,16.60,16.92,16.530001,16.58,3300,16.58
2016-05-27,16.860001,16.860001,16.860001,16.860001,000,16.860001
2016-05-26,16.860001,16.860001,16.85,16.860001,600,16.860001
2016-05-25,17.00,17.110001,16.799999,17.110001,2900,17.110001
2016-05-24,17.110001,17.450001,16.76,17.34,2300,17.34
2016-05-23,17.60,17.60,17.459999,17.459999,1000,17.459999
2016-05-20,17.50,17.68,17.450001,17.559999,2900,17.559999
2016-05-19,17.129999,17.41,17.00,17.200001,2400,17.200001
2016-05-18,17.379999,17.90,16.50,17.90,4700,17.90
2016-05-17,16.799999,17.50,16.35,17.059999,4600,17.059999
2016-05-16,16.83,17.35,16.57,17.15,4000,17.15
2016-05-13,17.200001,17.889999,16.59,17.309999,4700,17.309999
2016-05-12,17.35,17.459999,17.00,17.40,2100,17.40
2016-05-11,16.690001,18.07,16.690001,17.68,15800,17.68
2016-05-10,16.719999,16.959999,16.719999,16.959999,1900,16.959999
2016-05-09,16.639999,16.91,16.049999,16.74,6200,16.74
2016-05-06,16.40,17.00,15.90,17.00,5500,17.00
2016-05-05,15.95,16.450001,15.95,16.450001,400,16.450001
2016-05-04,15.90,16.41,15.90,16.059999,1100,16.059999
2016-05-03,15.95,16.42,15.90,16.370001,2200,16.370001
2016-05-02,15.92,16.40,15.92,16.23,3300,16.23
2016-04-29,16.00,16.389999,16.00,16.389999,2500,16.389999
